lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_67_translation,english_translation
θεός,271,unigram,masculine,accusative,plural,ạrumugh,1.2945529280995218,ạrumugh,God
θεός,112,unigram,masculine,accusative,singular,Ẹnaan,5.530946890619748,Ẹnaan,God
θεός,173,unigram,masculine,nominative,singular,Ẹnaan,13.102259055072413,Ẹnaan,God
κύριος,113,unigram,masculine,nominative,singular,Ọmoogh-we,2.4149493069549703,Ọmoogh-we,"Lord, lord, master"
γραφή,108,unigram,feminine,accusative,plural,Ạḍinya,1.3464026404886782,Ạḍinya,Scripture
γραφή,217,unigram,feminine,nominative,plural,Ạḍinya,1.1729060035995404,Ạḍinya,Scripture
γραφή,266,unigram,feminine,nominative,singular,iigbia,1.1698707830817523,iigbia,Scripture
ἄγγελος,83,unigram,masculine,accusative,plural,ookpomoghi,1.1352139588805081,ookpomoghi,angel
ἄγγελος,70,unigram,masculine,accusative,singular,ọokpaany,1.6080220288082243,ọokpaany,angel
ἄγγελος,39,unigram,masculine,nominative,plural,ạruukpaany,1.9944169015024575,ạruukpaany,angel
ἄγγελος,92,unigram,masculine,nominative,singular,ọokpaany,3.8341412725815034,ọokpaany,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,abutelhedom,1.6709345359152201,abutelhedom,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,adom,1.0437883454075485,adom,apostle
ἐξουσία,164,unigram,feminine,accusative,singular,ịikpo,2.9114743756032366,ịikpo,authority
βρέφος,12,unigram,neuter,accusative,plural,rotelhe,1.0591120337209396,rotelhe,babies
ἀποθήκη,59,unigram,feminine,accusative,singular,ookpomoghi,1.055476692814492,ookpomoghi,barn
βλασφημία,25,unigram,feminine,accusative,plural,rạapu,1.095421848054621,rạapu,blasphemy
βλασφημία,81,unigram,feminine,accusative,singular,mạapu,1.095421848054621,mạapu,blasphemy
βλασφημία,171,unigram,feminine,nominative,plural,ọopu,1.8091219128567988,ọopu,blasphemy
πλοῖον,255,unigram,neuter,accusative,singular,oghuugh,5.231144299905346,oghuugh,boat
πλοῖον,199,unigram,neuter,nominative,plural,ọzoghiom,1.0955700932426244,ọzoghiom,boat
πλοῖον,186,unigram,neuter,nominative,singular,oghuugh,1.9738299407618367,oghuugh,boat
σῶμα,51,unigram,neuter,nominative,singular,aloor,1.7055268142040785,aloor,body
κλῆμα,126,unigram,neuter,nominative,singular,ọla,1.6952609028344736,ọla,branch
ἄρτος,259,unigram,masculine,accusative,plural,ạbred,1.16600158704566,ạbred,bread
ἄρτος,279,unigram,masculine,accusative,singular,eḍien,2.2104192601193122,eḍien,bread
ἄρτος,130,unigram,masculine,nominative,plural,iiḅoghoḍi,1.3269041631110496,iiḅoghoḍi,bread
ἄρτος,31,unigram,masculine,nominative,singular,eḍien,1.4199439195162726,eḍien,bread
ἀδελφός,246,unigram,masculine,accusative,plural,rꞌabumor,1.69192204035139,rꞌabumor,brother
ἀδελφός,102,unigram,masculine,accusative,singular,umor,1.8831463780386908,umor,brother
ἀδελφός,95,unigram,masculine,nominative,plural,rꞌabumor,1.3862452822445115,rꞌabumor,brother
ἀδελφός,191,unigram,masculine,nominative,singular,umor,4.150308338972982,umor,brother
στῆθος,233,unigram,neuter,accusative,singular,ekpologhi,1.6459736546538035,ekpologhi,"chest, breast"
ἀρχιερεύς,202,unigram,masculine,accusative,plural,ạrumhu,1.0498159589714386,ạrumhu,chief priest
ἀρχιερεύς,52,unigram,masculine,accusative,singular,ạrikia,1.2634123285980816,ạrikia,chief priest
ἀρχιερεύς,101,unigram,masculine,nominative,plural,ạrumhu,1.0230638145322115,ạrumhu,chief priest
ἀρχιερεύς,206,unigram,masculine,nominative,singular,ạrikia,1.10926176998989,ạrikia,chief priest
παῖς,195,unigram,masculine,accusative,plural,ạnmuny,1.085562034656885,ạnmuny,child
παῖς,41,unigram,masculine,accusative,singular,rꞌigbagbaar,1.0954540950705378,rꞌigbagbaar,child
τέκνον,274,unigram,neuter,accusative,plural,nmụny,1.2709161764839718,nmụny,child
τέκνον,147,unigram,neuter,accusative,singular,umor,1.0097049396243405,umor,child
τέκνον,157,unigram,neuter,nominative,singular,Mọony,2.1193484067871697,Mọony,child
παιδίον,11,unigram,neuter,accusative,plural,ịbam,1.108148359956716,ịbam,child
παιδίον,75,unigram,neuter,accusative,singular,ọbumoony,3.196877794161715,ọbumoony,child
παιδίον,141,unigram,neuter,nominative,plural,ịbam,1.2933219413068997,ịbam,child
παιδίον,32,unigram,neuter,nominative,singular,ọbumoony,1.9526452610551133,ọbumoony,child
πόλις,150,unigram,feminine,accusative,plural,ạramha,1.0863540914961536,ạramha,city
πόλις,55,unigram,feminine,accusative,singular,ẹmha,5.06653463494135,ẹmha,city
χιτών,98,unigram,masculine,accusative,plural,ạrusuoma,1.6059742734461562,ạrusuoma,"clothing, undergarments"
χιτών,23,unigram,masculine,accusative,singular,ạsuoma,2.192547588854048,ạsuoma,"clothing, undergarments"
ἱμάτιον,111,unigram,neuter,accusative,plural,rụsuoma,1.884101423256304,rụsuoma,coat
ἱμάτιον,110,unigram,neuter,accusative,singular,ạsuoma,2.0917356540569347,ạsuoma,coat
ἐντολή,68,unigram,feminine,accusative,plural,iilogh,1.6802583962676196,iilogh,commandment
ἐντολή,66,unigram,feminine,accusative,singular,eḍighinom,1.018032086998092,eḍighinom,commandment
συνέδριον,44,unigram,neuter,accusative,singular,rꞌạbuo,1.2690977590176862,rꞌạbuo,council
χώρα,236,unigram,feminine,accusative,singular,eelhe,1.336316715754056,eelhe,"country, countryside"
ὄχλος,48,unigram,masculine,accusative,plural,ḍita,2.130362139473521,ḍita,crowd
ὄχλος,7,unigram,masculine,accusative,singular,awe,1.8226581976310476,awe,crowd
ὄχλος,85,unigram,masculine,nominative,plural,awe,1.2439092609563285,awe,crowd
ὄχλος,230,unigram,masculine,nominative,singular,aḍita,1.1620470110683354,aḍita,crowd
θυγάτηρ,258,unigram,feminine,nominative,singular,Ọnyani,1.036359977008194,Ọnyani,daughter
ἡμέρα,63,unigram,feminine,accusative,plural,aḍughul-otu,4.179350633774419,aḍughul-otu,day
ἡμέρα,71,unigram,feminine,accusative,singular,ḍio,1.4938203912309598,ḍio,day
ἡμέρα,1,unigram,feminine,nominative,plural,ariiḍio,1.7213630626682417,ariiḍio,day
ἡμέρα,57,unigram,feminine,nominative,singular,ḍio,1.0651966025431197,ḍio,day
ὀφειλέτης,208,unigram,masculine,nominative,plural,Siloam,1.095394287878594,Siloam,debtor
δαιμόνιον,24,unigram,neuter,accusative,plural,ruru,1.7384655553285226,ruru,demon
δαιμόνιον,269,unigram,neuter,accusative,singular,ekola,1.1268606594561044,ekola,demon
δαιμόνιον,159,unigram,neuter,nominative,plural,aruwaloor,1.7519194024430076,aruwaloor,demon
δαιμόνιον,140,unigram,neuter,nominative,singular,uwaloor,1.2555957506558382,uwaloor,demon
