lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_186_translation,english_translation
θεός,113,unigram,masculine,accusative,singular,Dioh,3.2642498555562285,Dioh,God
θεός,175,unigram,masculine,nominative,singular,Dioh,4.145788792159301,Dioh,God
κύριος,275,unigram,masculine,nominative,plural,Uy,1.059724082446904,Uy,"Lord, lord, master"
κύριος,114,unigram,masculine,nominative,singular,amo,2.1261696682537914,amo,"Lord, lord, master"
γραφή,109,unigram,feminine,accusative,plural,naihulat,1.1294545222248331,naihulat,Scripture
γραφή,41,unigram,feminine,accusative,singular,naihulat,1.1374765418004056,naihulat,Scripture
γραφή,220,unigram,feminine,nominative,plural,matupad,1.989777871435554,matupad,Scripture
γραφή,269,unigram,feminine,nominative,singular,naihulat,1.118308826745761,naihulat,Scripture
ἄγγελος,84,unigram,masculine,accusative,plural,aanghil,1.3574345742656553,aanghil,angel
ἄγγελος,71,unigram,masculine,accusative,singular,māngihabi,1.0711482859524826,māngihabi,angel
ἄγγελος,38,unigram,masculine,nominative,plural,aanghil,2.9818252701735024,aanghil,angel
ἄγγελος,94,unigram,masculine,nominative,singular,anghil,3.8155288583158415,anghil,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,aapohtol,1.7254406668760336,aapohtol,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,umiigit,1.2643230690037592,umiigit,apostle
ἐξουσία,169,unigram,feminine,accusative,singular,kapalyadiyan,3.178837514308145,kapalyadiyan,authority
βρέφος,12,unigram,neuter,accusative,plural,ampangilakew,1.0954126531313877,ampangilakew,babies
ἀποθήκη,59,unigram,feminine,accusative,singular,iulam,1.5320743704976316,iulam,barn
ἀρχή,152,unigram,feminine,accusative,singular,Cana,1.048926165570898,Cana,beginning
ζώνη,145,unigram,feminine,accusative,plural,ampangaget,1.137957695641571,ampangaget,belt
βλασφημία,25,unigram,feminine,accusative,plural,ampahalumbangan,1.095421848054621,ampahalumbangan,blasphemy
βλασφημία,82,unigram,feminine,accusative,singular,ampahalumbangan,1.095421848054621,ampahalumbangan,blasphemy
πλοῖον,92,unigram,neuter,accusative,plural,bangka,1.4074795264158058,bangka,boat
πλοῖον,258,unigram,neuter,accusative,singular,bangka,2.651326740135273,bangka,boat
πλοῖον,199,unigram,neuter,nominative,plural,anluganan,1.0955700932426244,anluganan,boat
πλοῖον,189,unigram,neuter,nominative,singular,bangka,1.2040603289498462,bangka,boat
σῶμα,50,unigram,neuter,nominative,singular,laman,1.0737575854998098,laman,body
ἄρτος,263,unigram,masculine,accusative,plural,tinapay,3.814778130789212,tinapay,bread
ἄρτος,282,unigram,masculine,accusative,singular,tinapay,1.0893044391505775,tinapay,bread
ἄρτος,130,unigram,masculine,nominative,plural,hilatin,1.2151213954014772,hilatin,bread
ἄρτος,30,unigram,masculine,nominative,singular,pamangan,1.5506878242127513,pamangan,bread
ἀδελφός,249,unigram,masculine,accusative,plural,kakatongno,2.4692439267424704,kakatongno,brother
ἀδελφός,105,unigram,masculine,accusative,singular,mikatongno,1.2338998658333704,mikatongno,brother
ἀδελφός,97,unigram,masculine,nominative,plural,kakatongno,1.6324793590535944,kakatongno,brother
ἀδελφός,193,unigram,masculine,nominative,singular,katongno,3.449539882220084,katongno,brother
στῆθος,236,unigram,neuter,accusative,singular,nakailig,1.5209162132939795,nakailig,"chest, breast"
ἀρχιερεύς,203,unigram,masculine,accusative,plural,papadi,1.2290935070295768,papadi,chief priest
ἀρχιερεύς,51,unigram,masculine,accusative,singular,pinakapoon,1.1413614566616157,pinakapoon,chief priest
ἀρχιερεύς,104,unigram,masculine,nominative,plural,papadi,1.133627863645094,papadi,chief priest
ἀρχιερεύς,207,unigram,masculine,nominative,singular,pinakapoon,1.0725627816622834,pinakapoon,chief priest
παῖς,196,unigram,masculine,accusative,plural,napoot,1.4417781094304751,napoot,child
