lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_119_translation,version_120_translation,english_translation
θεός,316,unigram,masculine,accusative,plural,vékutan,1.2136558777228728,,vékutan,God
θεός,134,unigram,masculine,accusative,singular,,,kevéréknék,yé,God
θεός,208,unigram,masculine,nominative,singular,Got,17.362067426700452,Got,Got,God
κύριος,135,unigram,masculine,nominative,singular,,,Ban,Néman,"Lord, lord, master"
γραφή,129,unigram,feminine,accusative,plural,,,nyégaba,nyéngaamba,Scripture
γραφή,252,unigram,feminine,nominative,plural,,,kavik,viyaatakandarén,Scripture
γραφή,310,unigram,feminine,nominative,singular,,,adél,nyéngaamba,Scripture
ἄγγελος,99,unigram,masculine,accusative,plural,,,giyaakwa,gaayakwa,angel
ἄγγελος,84,unigram,masculine,accusative,singular,,,du.Wuné,a.Wuné,angel
ἄγγελος,47,unigram,masculine,nominative,plural,,,giyaakwa,gaayakwa,angel
ἄγγελος,110,unigram,masculine,nominative,singular,,,giyaakwa,gaayakwa,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,Jisasna,1.3182777001732617,Jisasna,Jisasna,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,téndékwe,1.1782198090575466,,téndékwe,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,,,yédo,yéndaru,authority
ἐξουσία,201,unigram,feminine,accusative,singular,,,apa,mayé,authority
βρέφος,17,unigram,neuter,accusative,plural,,,waataduké,waatakundénngé,babies
βρέφος,308,unigram,neuter,accusative,singular,,,kwaamba,mikwamba,babies
ἀποθήκη,259,unigram,feminine,accusative,plural,kaadi,1.8883288733795924,kaadi,,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,,,yaaba,yaamba,barn
φραγμός,229,unigram,masculine,accusative,plural,sékérékduké,1.0954034664104502,sékérékduké,,"barrier, wall"
ἀρχή,70,unigram,feminine,accusative,plural,,,yédo,yéndaru,beginning
ἀρχή,182,unigram,feminine,accusative,singular,,,Kenaba,Kanamba,beginning
ζώνη,174,unigram,feminine,accusative,plural,,,yémarék,yamarék,belt
βλασφημία,32,unigram,feminine,accusative,plural,yasnyéputikwa,1.095421848054621,,yasnyéputikwa,blasphemy
βλασφημία,98,unigram,feminine,accusative,singular,,,gétbiyaate,wasélékndén,blasphemy
βλασφημία,85,unigram,feminine,nominative,singular,,,kulaknyénydaran,yasnyéputiké,blasphemy
πλοῖον,108,unigram,neuter,accusative,plural,bot,1.7910220732569195,bot,bot,boat
πλοῖον,295,unigram,neuter,accusative,singular,,,botba,botmba,boat
πλοῖον,234,unigram,neuter,nominative,plural,Waare,1.031045404012763,Waare,,boat
πλοῖον,223,unigram,neuter,nominative,singular,,,botba,botmba,boat
σῶμα,213,unigram,neuter,nominative,plural,Mukdo,1.1055737365195686,Mukdo,,body
σῶμα,58,unigram,neuter,nominative,singular,sépé,1.1977918741486553,sépé,sépé,body
κλῆμα,54,unigram,neuter,nominative,plural,migalé,1.0954080587464583,migalé,,branch
κλῆμα,152,unigram,neuter,nominative,singular,gaalé,1.324297460899922,,gaalé,branch
ἄρτος,300,unigram,masculine,accusative,plural,,,béret,bret,bread
ἄρτος,325,unigram,masculine,accusative,singular,,,kadému,bret,bread
ἄρτος,159,unigram,masculine,nominative,plural,,,béret,bret,bread
ἄρτος,38,unigram,masculine,nominative,singular,,,giyaan,gaayan,bread
ἀδελφός,285,unigram,masculine,accusative,plural,,,némaadugu,waayéka,brother
ἀδελφός,121,unigram,masculine,accusative,singular,,,wayékna,waayéka,brother
ἀδελφός,113,unigram,masculine,nominative,plural,,,wayéknaje,waayékanje,brother
ἀδελφός,227,unigram,masculine,nominative,singular,,,wayékna,waayéka,brother
στῆθος,156,unigram,neuter,accusative,plural,,,kiyaadéka,kiyaandéka,"chest, breast"
στῆθος,272,unigram,neuter,accusative,singular,Jisasale,1.0549294747121578,,Jisasale,"chest, breast"
ἀρχιερεύς,236,unigram,masculine,accusative,plural,,,nyédé,gaamba,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,,,nyédé,dunyanna,chief priest
ἀρχιερεύς,120,unigram,masculine,nominative,plural,,,nyédé,gaamba,chief priest
ἀρχιερεύς,241,unigram,masculine,nominative,singular,,,nyédé,dunyanna,chief priest
παῖς,232,unigram,masculine,accusative,plural,rakarka,1.1789788130891303,,rakarka,child
παῖς,48,unigram,masculine,accusative,singular,,,takubalaakuléka,taakusorak-léka,child
τέκνον,319,unigram,neuter,accusative,plural,,,baadiké,nyambaléké,child
τέκνον,179,unigram,neuter,accusative,singular,,,wayéknajet,waayékat,child
τέκνον,18,unigram,neuter,nominative,plural,,,wayéknajet,waayékat,child
τέκνον,194,unigram,neuter,nominative,singular,Wuna,2.0267481310815865,Wuna,Wuna,child
παιδίον,16,unigram,neuter,accusative,plural,nyambalésé,1.0556807295354729,,nyambalésé,child
παιδίον,92,unigram,neuter,accusative,singular,nyaanét,1.7183546309744946,nyaanét,nyaanét,child
παιδίον,172,unigram,neuter,nominative,plural,nyambalésé,1.2976310091145715,,nyambalésé,child
παιδίον,40,unigram,neuter,nominative,singular,nyaan,1.5831999134833832,nyaan,nyaan,child
πόλις,183,unigram,feminine,accusative,plural,,,gayéba,gaayét,city
πόλις,63,unigram,feminine,accusative,singular,Jerusalemét,1.4979652861369421,Jerusalemét,Jerusalemét,city
χιτών,116,unigram,masculine,accusative,plural,,,wut,laplap,"clothing, undergarments"
χιτών,29,unigram,masculine,accusative,singular,,,wut,laplap,"clothing, undergarments"
ἱμάτιον,132,unigram,neuter,accusative,plural,,,baapmu,laplap,coat
ἱμάτιον,131,unigram,neuter,accusative,singular,,,wut,laplap,coat
ἐντολή,82,unigram,feminine,accusative,plural,,,Sél,apakundi,commandment
ἐντολή,80,unigram,feminine,accusative,singular,,,véknwukaapuk,male,commandment
συνέδριον,303,unigram,neuter,accusative,plural,,,kotimké,viyaakandakwa,council
συνέδριον,50,unigram,neuter,accusative,singular,,,yaadaka,maaka,council
χώρα,274,unigram,feminine,accusative,singular,,,saabak,kwaawuna,"country, countryside"
ὄχλος,55,unigram,masculine,accusative,plural,,,béré,tékésén,crowd
ὄχλος,11,unigram,masculine,accusative,singular,,,béré,dakwa,crowd
ὄχλος,101,unigram,masculine,nominative,plural,,,béré,dakwa,crowd
ὄχλος,268,unigram,masculine,nominative,singular,,,wupmalemu,dakwa,crowd
θυγάτηρ,115,unigram,feminine,nominative,plural,Géraadaka,1.0954864432981108,Géraadaka,,daughter
θυγάτηρ,299,unigram,feminine,nominative,singular,takwanyan,2.842913531201378,takwanyan,takwanyan,daughter
ἡμέρα,74,unigram,feminine,accusative,plural,nyaa,3.099054208500563,nyaa,nyaa,day
ἡμέρα,86,unigram,feminine,accusative,singular,nyaa,2.927444351421657,nyaa,nyaa,day
ἡμέρα,2,unigram,feminine,nominative,plural,,,tulé,kandakwa.,day
ἡμέρα,65,unigram,feminine,nominative,singular,,,kadakwa,yaalandéka,day
δαιμόνιον,30,unigram,neuter,accusative,plural,,,yaage,yaange,demon
δαιμόνιον,313,unigram,neuter,accusative,singular,,,Kutakwa,kutakwa,demon
δαιμόνιον,196,unigram,neuter,nominative,plural,kutakwa,2.85400508316865,kutakwa,kutakwa,demon
δαιμόνιον,171,unigram,neuter,nominative,singular,,,yaage,yaange,demon
δηνάριον,289,unigram,neuter,accusative,plural,yéwaa,2.212622190062779,yéwaa,yéwaa,denarius (about a day's wages)
δηνάριον,161,unigram,neuter,accusative,singular,,,yéwaa,véwutu.,denarius (about a day's wages)
μαθητής,176,unigram,masculine,accusative,plural,,,duwat,dunyansat,disciple
μαθητής,320,unigram,masculine,accusative,singular,,,anat,yasékéyakndékwa,disciple
μαθητής,263,unigram,masculine,nominative,plural,,,Jisasna,dunyan,disciple
μαθητής,318,unigram,masculine,nominative,singular,,,Pitat,gwaandan,disciple
νόσος,3,unigram,feminine,accusative,plural,,,kutnébuldoké,kururéndarénngé,disease
νόσος,72,unigram,feminine,accusative,singular,,,sépékwaapa,sépémaalé,disease
περιστερά,100,unigram,feminine,accusative,plural,api,1.953258674997643,api,api,dove
περιστερά,52,unigram,feminine,accusative,singular,nyaamiyo,1.1405241858742103,nyaamiyo,nyaamiyo,dove
οὖς,151,unigram,neuter,accusative,plural,waan,1.209053125781015,waan,waan,ear
οὖς,267,unigram,neuter,accusative,singular,,,akélak,Ganngumba,ear
σεισμός,202,unigram,masculine,nominative,plural,anyék,1.1620135637619262,anyék,,"earthquakes, storm"
σεισμός,61,unigram,masculine,nominative,singular,,,yatbalaakutakne,varémansatitake,"earthquakes, storm"
τέλος,261,unigram,neuter,accusative,singular,,,kéraadu,kéraandu,end
αἰών,286,unigram,masculine,accusative,singular,,,rasaakuké,apapu,eternity
ὀφθαλμός,23,unigram,masculine,accusative,plural,méni,7.239516028193766,méni,méni,eye
ὀφθαλμός,62,unigram,masculine,nominative,plural,,,méni,kwaandaka,eye
ὀφθαλμός,283,unigram,masculine,nominative,singular,,,tédu,Guna,eye
πρόσωπον,123,unigram,neuter,accusative,plural,,,ménidaama,saawi,face
πρόσωπον,191,unigram,neuter,accusative,singular,,,yakwatnyu,kwaati,face
λιμός,8,unigram,feminine,nominative,plural,,,anyék,génngandékwa,famine
λιμός,294,unigram,masculine,nominative,plural,,,Nyétba,gén-ngandékwa,famine
λιμός,94,unigram,feminine,nominative,singular,,,kaadé,Yaasnyéndéka,famine
λιμός,136,unigram,masculine,nominative,singular,kwawitakwa,1.105476440126733,,kwawitakwa,famine
γεωργός,242,unigram,masculine,nominative,plural,yaawiké,1.631339554180365,yaawiké,yaawiké,"farmer, tenant"
γεωργός,49,unigram,masculine,nominative,singular,,,kubusaaku,vérékwa,"farmer, tenant"
πατήρ,288,unigram,masculine,accusative,singular,,,yaapa,aapa,father
πατήρ,298,unigram,masculine,nominative,plural,képmawaara,2.708323872425427,képmawaara,,father
πατήρ,185,unigram,masculine,nominative,singular,,,yaapa,aapa,father
ἀγρός,312,unigram,masculine,accusative,plural,baaléké,1.630671337508678,baaléké,baaléké,field
ἀγρός,39,unigram,masculine,accusative,singular,,,kéraak,nyaakwa,field
ἰχθύς,154,unigram,masculine,accusative,plural,gukwami,1.4773772728764614,gukwami,gukwami,fish
ἰχθύς,190,unigram,masculine,accusative,singular,,,gukwami,kaambet,fish
δίκτυον,109,unigram,neuter,accusative,plural,,,laaké,aaswut,fishing net
δίκτυον,199,unigram,neuter,accusative,singular,,,tébére,aaswut,fishing net
τροφή,307,unigram,feminine,accusative,singular,,,téségéké,véré,food
πούς,228,unigram,masculine,accusative,plural,maan,6.744594742004608,maan,maan,foot
πούς,112,unigram,masculine,accusative,singular,raménu,1.105641867488199,,raménu,foot
καρπός,181,unigram,masculine,accusative,plural,,,gélédaran,sék,"fruit, crop, harvest"
καρπός,226,unigram,masculine,accusative,singular,sék,5.427824528197831,sék,sék,"fruit, crop, harvest"
πλήρωμα,255,unigram,neuter,accusative,plural,kébi,1.0740802781341254,kébi,,fullness
πλήρωμα,306,unigram,neuter,accusative,singular,gérikndu,1.0591090190634709,,gérikndu,fullness
γενεά,256,unigram,feminine,accusative,plural,,,léknu.Bulaa,yandékwa.Bulaa,generation
