lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_79_translation,version_80_translation,english_translation
θεός,127,unigram,masculine,accusative,singular,Were,16.77948762582861,Were,Were,God
θεός,200,unigram,masculine,nominative,singular,Were,64.5340901716821,Were,Were,God
κύριος,310,unigram,masculine,nominative,plural,Wigonyo,1.2019721036657989,Wigonyo,Wigonyo,"Lord, lord, master"
κύριος,128,unigram,masculine,nominative,singular,Rwoth,6.901630628404145,Rwoth,Rwoth,"Lord, lord, master"
γραφή,123,unigram,feminine,accusative,plural,Ndiko,1.7120374692259113,Ndiko,Ndiko,Scripture
γραφή,48,unigram,feminine,accusative,singular,randik,1.222205793713676,randik,randik,Scripture
γραφή,249,unigram,feminine,nominative,plural,Ndiko,1.955762316671454,Ndiko,Ndiko,Scripture
γραφή,304,unigram,feminine,nominative,singular,randik,1.419058899620176,randik,randik,Scripture
ἄγγελος,93,unigram,masculine,accusative,plural,jomalaika,4.681007378262465,jomalaika,jomalaika,angel
ἄγγελος,80,unigram,masculine,accusative,singular,jamikwenda,1.079060968799629,jamikwenda,jamikwenda,angel
ἄγγελος,45,unigram,masculine,nominative,plural,jomalaika,15.943419187443043,jomalaika,jomalaika,angel
ἄγγελος,104,unigram,masculine,nominative,singular,malaika,13.50435488752431,malaika,malaika,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,Jomoor,5.672285671340069,Jomoor,Jomoor,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,ŋat'ooro,1.6503971519932135,ŋat'ooro,ŋat'ooro,apostle
ἐξουσία,191,unigram,feminine,accusative,singular,meni,23.128125860330215,meni,meni,authority
βρέφος,16,unigram,neuter,accusative,plural,jonyeko,1.0894697534177966,jonyeko,jonyeko,babies
βρέφος,303,unigram,neuter,accusative,singular,wer,1.7212861092036476,wer,wer,babies
ἀποθήκη,254,unigram,feminine,accusative,plural,dere,3.5657859340390408,dere,dere,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,dero,2.313608443539776,dero,dero,barn
φραγμός,109,unigram,masculine,accusative,singular,biyo,1.121699151544212,biyo,biyo,"barrier, wall"
ζώνη,165,unigram,feminine,accusative,plural,dome,1.0894551662559953,dome,dome,belt
ζώνη,213,unigram,feminine,accusative,singular,yer,1.1998986978087096,yer,yer,belt
βλασφημία,30,unigram,feminine,accusative,plural,kigeŋisa,1.222103004343367,kigeŋisa,kigeŋisa,blasphemy
βλασφημία,91,unigram,feminine,accusative,singular,Mar'aŋo,1.199949025195401,Mar'aŋo,Mar'aŋo,blasphemy
βλασφημία,81,unigram,feminine,nominative,singular,reco,1.252893357789373,reco,reco,blasphemy
πλοῖον,102,unigram,neuter,accusative,plural,ye,2.5595100560028534,ye,ye,boat
πλοῖον,290,unigram,neuter,accusative,singular,ye,10.994635849558188,ye,ye,boat
πλοῖον,215,unigram,neuter,nominative,singular,kam'othwo,1.0940620083142727,kam'othwo,kam'othwo,boat
σῶμα,58,unigram,neuter,nominative,singular,delkwoŋin,2.3241226250035383,delkwoŋin,delkwoŋin,body
κλῆμα,54,unigram,neuter,nominative,plural,adoŋ,1.4663796819220583,adoŋ,adoŋ,branch
κλῆμα,141,unigram,neuter,nominative,singular,jangi,1.6348306370381687,jangi,jangi,branch
ἄρτος,294,unigram,masculine,accusative,plural,mugat,13.873716022479849,mugat,mugat,bread
ἄρτος,319,unigram,masculine,accusative,singular,mugat,7.468300003008636,mugat,mugat,bread
ἄρτος,148,unigram,masculine,nominative,plural,cemo,1.1245430755115318,cemo,cemo,bread
ἄρτος,36,unigram,masculine,nominative,singular,mugat,3.0749741818740337,mugat,mugat,bread
ἀδελφός,282,unigram,masculine,accusative,plural,wutmin,6.853042047519794,wutmin,wutmin,brother
ἀδελφός,117,unigram,masculine,accusative,singular,omin,3.6477889351951642,omin,omin,brother
ἀδελφός,108,unigram,masculine,nominative,plural,wutmin,4.750942963999899,wutmin,wutmin,brother
ἀδελφός,221,unigram,masculine,nominative,singular,omin,23.807567765460185,omin,omin,brother
στῆθος,268,unigram,neuter,accusative,singular,jafonjirok,1.3484727558535257,jafonjirok,jafonjirok,"chest, breast"
ἀρχιερεύς,233,unigram,masculine,accusative,plural,jocway,1.0555020672696598,jocway,jocway,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,jocway,1.2050587959625345,jocway,jocway,chief priest
ἀρχιερεύς,116,unigram,masculine,nominative,plural,jocway,1.1280910805894713,jocway,jocway,chief priest
ἀρχιερεύς,237,unigram,masculine,nominative,singular,jocway,1.263966434456932,jocway,jocway,chief priest
παῖς,225,unigram,masculine,accusative,plural,omako,1.3899910417130545,omako,omako,child
τέκνον,312,unigram,neuter,accusative,plural,nyithindho,9.279772431331168,nyithindho,nyithindho,child
τέκνον,171,unigram,neuter,accusative,singular,omin,1.1588033862006761,omin,omin,child
τέκνον,17,unigram,neuter,nominative,plural,ineko,1.3646572225859654,ineko,ineko,child
τέκνον,184,unigram,neuter,nominative,singular,Wodan,2.1838739167374377,Wodan,Wodan,child
παιδίον,15,unigram,neuter,accusative,plural,pameno,1.0563957336592154,pameno,pameno,child
παιδίον,86,unigram,neuter,accusative,singular,nyathi,8.478708758996364,nyathi,nyathi,child
