lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_94_translation,english_translation
θεός,84,unigram,masculine,accusative,singular,Apajuin,1.2303895454630076,Apajuin,God
θεός,132,unigram,masculine,nominative,singular,Apajuí,1.385584863346042,Apajuí,God
κύριος,85,unigram,masculine,nominative,singular,Apu,2.9656636347826586,Apu,"Lord, lord, master"
γραφή,81,unigram,feminine,accusative,plural,asajum,1.0176558668783413,asajum,Scripture
γραφή,172,unigram,feminine,nominative,plural,Agagbau,1.1580715158640509,Agagbau,Scripture
γραφή,208,unigram,feminine,nominative,singular,Agagbaunum,1.5083493863791662,Agagbaunum,Scripture
ἄγγελος,30,unigram,masculine,nominative,plural,ángel,4.230352630388906,ángel,angel
ἄγγελος,68,unigram,masculine,nominative,singular,ángel,1.393963647178312,ángel,angel
ἀπόστολος,27,unigram,masculine,nominative,plural,Apóstol,2.9202551904572327,Apóstol,apostle
πλοῖον,66,unigram,neuter,accusative,plural,barca,1.6904673038951008,barca,boat
πλοῖον,198,unigram,neuter,accusative,singular,barcanum,3.2446135748215066,barcanum,boat
πλοῖον,155,unigram,neuter,nominative,plural,egketunak,1.2113377554823876,egketunak,boat
πλοῖον,147,unigram,neuter,nominative,singular,barcashkam,1.2890227719019889,barcashkam,boat
σῶμα,39,unigram,neuter,nominative,singular,iyashmia,1.3199143937235704,iyashmia,body
κλῆμα,96,unigram,neuter,nominative,singular,Wijai,1.0351454821854067,Wijai,branch
ἄρτος,201,unigram,masculine,accusative,plural,pag,2.328566240954532,pag,bread
ἄρτος,218,unigram,masculine,accusative,singular,pagkan,1.4729257667819848,pagkan,bread
ἄρτος,100,unigram,masculine,nominative,plural,pag,2.4709773876857004,pag,bread
ἄρτος,24,unigram,masculine,nominative,singular,pag,2.308643126124839,pag,bread
ἀδελφός,191,unigram,masculine,accusative,plural,yachi,2.3793120379751223,yachi,brother
ἀδελφός,75,unigram,masculine,accusative,singular,yachi,1.959450469914836,yachi,brother
ἀδελφός,70,unigram,masculine,nominative,plural,yachi,1.5160727146314554,yachi,brother
ἀδελφός,150,unigram,masculine,nominative,singular,yachi,1.1932702701939293,yachi,brother
ἀρχιερεύς,157,unigram,masculine,accusative,plural,sacerdote,1.245289986665633,sacerdote,chief priest
ἀρχιερεύς,40,unigram,masculine,accusative,singular,sumo,1.2347012424601007,sumo,chief priest
ἀρχιερεύς,74,unigram,masculine,nominative,plural,apuji,1.0151215218714875,apuji,chief priest
ἀρχιερεύς,161,unigram,masculine,nominative,singular,sacerdote,1.0224365949818666,sacerdote,chief priest
παῖς,154,unigram,masculine,accusative,plural,uchi,1.085562034656885,uchi,child
τέκνον,214,unigram,neuter,accusative,plural,uchijí,3.3620801948008525,uchijí,child
παιδίον,7,unigram,neuter,accusative,plural,utujiakaigpajum,1.045902648759994,utujiakaigpajum,child
παιδίον,56,unigram,neuter,accusative,singular,uchin,2.6506363014144005,uchin,child
παιδίον,110,unigram,neuter,nominative,plural,uchi,1.146630298832637,uchi,child
πόλις,117,unigram,feminine,accusative,plural,yaakat,2.0844318974031397,yaakat,city
πόλις,43,unigram,feminine,accusative,singular,yaakat,2.2457165549770193,yaakat,city
πύλη,130,unigram,feminine,nominative,singular,ekagta,1.235785000316533,ekagta,city gate
χιτών,72,unigram,masculine,accusative,plural,egkesá,1.4130301363288378,egkesá,"clothing, undergarments"
χιτών,18,unigram,masculine,accusative,singular,susata,1.5929194639461544,susata,"clothing, undergarments"
ἱμάτιον,83,unigram,neuter,accusative,plural,jaanchji,1.9653445902803202,jaanchji,coat
ἱμάτιον,82,unigram,neuter,accusative,singular,jaanch,1.0135305131716912,jaanch,coat
ἐντολή,51,unigram,feminine,accusative,singular,umiktajum,1.0489324972648153,umiktajum,commandment
συνέδριον,203,unigram,neuter,accusative,plural,asutamawagtinai,1.0591180671250278,asutamawagtinai,council
συνέδριον,33,unigram,neuter,accusative,singular,ijunjag,1.88831808003304,ijunjag,council
χώρα,184,unigram,feminine,accusative,singular,gadaranmaya,1.1862764258433578,gadaranmaya,"country, countryside"
ὄχλος,37,unigram,masculine,accusative,plural,aents,1.2540913951117911,aents,crowd
ὄχλος,4,unigram,masculine,accusative,singular,aents,2.3396825052043835,aents,crowd
ὄχλος,62,unigram,masculine,nominative,plural,aents,2.6274706637570353,aents,crowd
ὄχλος,181,unigram,masculine,nominative,singular,aents,1.2581020263095355,aents,crowd
ἡμέρα,48,unigram,feminine,accusative,plural,tsawan,3.366277411129492,tsawan,day
ἡμέρα,2,unigram,feminine,nominative,plural,tsawan,3.562782122825716,tsawan,day
ἡμέρα,44,unigram,feminine,nominative,singular,chichajuinak,1.2754606519948282,chichajuinak,day
δαιμόνιον,19,unigram,neuter,accusative,plural,iwanch,1.9599440472527934,iwanch,demon
δαιμόνιον,210,unigram,neuter,accusative,singular,Iwanch,2.329434910032996,Iwanch,demon
δαιμόνιον,123,unigram,neuter,nominative,plural,iwanch,2.3533560974949346,iwanch,demon
δαιμόνιον,109,unigram,neuter,nominative,singular,ajiaju,1.0531233982422663,ajiaju,demon
δηνάριον,194,unigram,neuter,accusative,plural,denario,1.803610468286772,denario,denarius (about a day's wages)
δηνάριον,102,unigram,neuter,accusative,singular,denario,1.3379605177966094,denario,denarius (about a day's wages)
μαθητής,114,unigram,masculine,accusative,plural,jintintaiji,2.9366098758043435,jintintaiji,disciple
μαθητής,215,unigram,masculine,accusative,singular,jintintaiji,1.0727656277991242,jintintaiji,disciple
μαθητής,177,unigram,masculine,nominative,plural,jintintaiji,4.691613230367445,jintintaiji,disciple
μαθητής,213,unigram,masculine,nominative,singular,Jesusa,1.0625970225130401,Jesusa,disciple
νόσος,47,unigram,feminine,accusative,singular,jau,1.0331595927734247,jau,disease
περιστερά,61,unigram,feminine,accusative,plural,paumá,1.0351532312316778,paumá,dove
περιστερά,35,unigram,feminine,accusative,singular,pauma,1.5118478538093174,pauma,dove
οὖς,95,unigram,neuter,accusative,plural,antutaiji,1.2119329102171268,antutaiji,ear
οὖς,180,unigram,neuter,accusative,singular,antachbaunum,1.958005918961083,antachbaunum,ear
σεισμός,126,unigram,masculine,nominative,plural,yapagtash,1.5320743704976316,yapagtash,"earthquakes, storm"
τέλος,175,unigram,neuter,accusative,singular,ebetmamag,1.2155849870312443,ebetmamag,end
αἰών,192,unigram,masculine,accusative,singular,tuke,5.1361818089550475,tuke,eternity
ὀφθαλμός,12,unigram,masculine,accusative,plural,bikamkatu,1.1951479177963216,bikamkatu,eye
ὀφθαλμός,42,unigram,masculine,nominative,plural,kaji,1.4293174907380062,kaji,eye
ὀφθαλμός,190,unigram,masculine,nominative,singular,jiim,1.9781781470581499,jiim,eye
γεωργός,162,unigram,masculine,nominative,plural,takau,1.307497382578085,takau,"farmer, tenant"
γεωργός,32,unigram,masculine,nominative,singular,numijinuk,1.059142255426459,numijinuk,"farmer, tenant"
πατήρ,193,unigram,masculine,accusative,singular,mina,1.1415360496826292,mina,father
πατήρ,200,unigram,masculine,nominative,plural,muunjum,1.17217612850492,muunjum,father
πατήρ,118,unigram,masculine,nominative,singular,Apag,1.7040711655360534,Apag,father
ἀγρός,209,unigram,masculine,accusative,plural,ajanum,1.2570088329147455,ajanum,field
ἀγρός,25,unigram,masculine,accusative,singular,ajanum,1.1944262719408063,ajanum,field
δάκτυλος,113,unigram,masculine,accusative,singular,tsajam,1.8883234779135436,tsajam,finger
ἰχθύς,97,unigram,masculine,accusative,plural,jimag,1.1196172105279305,jimag,fish
ἰχθύς,121,unigram,masculine,accusative,singular,namak,1.1444708132340795,namak,fish
δίκτυον,67,unigram,neuter,accusative,plural,redjin,1.482128354780978,redjin,fishing net
δίκτυον,125,unigram,neuter,accusative,singular,namak,1.0252699596405712,namak,fishing net
τροφή,207,unigram,feminine,accusative,singular,diyaku,1.09541724956689,diyaku,food
πούς,151,unigram,masculine,accusative,plural,nawen,1.2366576066753612,nawen,foot
καρπός,116,unigram,masculine,accusative,plural,pegkegchaunak,1.0391783724483286,pegkegchaunak,"fruit, crop, harvest"
καρπός,149,unigram,masculine,accusative,singular,ajak,1.1981157836861636,ajak,"fruit, crop, harvest"
πλήρωμα,206,unigram,neuter,accusative,singular,mamujua,1.0591090190634709,mamujua,fullness
δῶρον,103,unigram,neuter,accusative,singular,altarnum,1.0679492970843876,altarnum,gift
θρίξ,57,unigram,feminine,nominative,plural,intashim,1.1781894292718724,intashim,hair
χείρ,196,unigram,feminine,accusative,plural,uwejin,2.014506493843601,uwejin,hand
χείρ,140,unigram,feminine,accusative,singular,uwejin,1.7162637107569427,uwejin,hand
κεφαλή,90,unigram,feminine,accusative,plural,nagkaemaidauk,1.0643144923483716,nagkaemaidauk,head
στάχυς,129,unigram,masculine,accusative,plural,Tsawan,1.319300949451045,Tsawan,head of grain
οὐρανός,171,unigram,masculine,accusative,singular,pagkai,1.0661635217592966,pagkai,"heaven, sky"
ὥρα,15,unigram,feminine,nominative,singular,hora,1.1634161646968426,hora,hour
