lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_123_translation,english_translation
θεός,290,unigram,masculine,accusative,plural,arnam,1.4378242903089562,arnam,God
θεός,124,unigram,masculine,accusative,singular,Arnam,5.133063956910321,Arnam,God
θεός,194,unigram,masculine,nominative,singular,Arnam,9.87383941740805,Arnam,God
κύριος,292,unigram,masculine,nominative,plural,ahemphupo,1.0442500006968416,ahemphupo,"Lord, lord, master"
κύριος,125,unigram,masculine,nominative,singular,Hemphu,1.96680693011249,Hemphu,"Lord, lord, master"
γραφή,121,unigram,feminine,accusative,plural,lo-kangthir,3.0973744609022713,lo-kangthir,Scripture
γραφή,45,unigram,feminine,accusative,singular,lo-kangthir,1.50630573935217,lo-kangthir,Scripture
γραφή,236,unigram,feminine,nominative,plural,lo-kangthir,2.3580626100954145,lo-kangthir,Scripture
γραφή,286,unigram,feminine,nominative,singular,lo-kangthir,2.6027668305277403,lo-kangthir,Scripture
ἄγγελος,91,unigram,masculine,accusative,plural,pangrume,1.041765490623962,pangrume,angel
ἄγγελος,79,unigram,masculine,accusative,singular,ahara,1.0663323167355998,ahara,angel
ἄγγελος,42,unigram,masculine,nominative,plural,ethakpe,1.4671967466153908,ethakpe,angel
ἄγγελος,101,unigram,masculine,nominative,singular,tharlon,1.8068260844337447,tharlon,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,kangthir,1.0111891277950986,kangthir,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,akithechot,1.3244576715552991,akithechot,apostle
ἐξουσία,65,unigram,feminine,accusative,plural,aphu-phang,1.059200056091772,aphu-phang,authority
ἐξουσία,186,unigram,feminine,accusative,singular,apharan,8.14478494392509,apharan,authority
βρέφος,285,unigram,neuter,accusative,singular,longhong,1.6610902988322958,longhong,babies
ἀποθήκη,64,unigram,feminine,accusative,singular,rak,1.708328577626092,rak,barn
ἀρχή,67,unigram,feminine,accusative,plural,aphu-phang,1.0591392270921265,aphu-phang,beginning
βλασφημία,27,unigram,feminine,accusative,plural,haldongsi,1.095421848054621,haldongsi,blasphemy
βλασφημία,89,unigram,feminine,accusative,singular,minonsi,1.095421848054621,minonsi,blasphemy
βλασφημία,80,unigram,feminine,nominative,singular,kapatharak,1.8091219128567988,kapatharak,blasphemy
πλοῖον,99,unigram,neuter,accusative,plural,tilong,2.080945039979408,tilong,boat
πλοῖον,273,unigram,neuter,accusative,singular,tilong,2.758947341924161,tilong,boat
πλοῖον,220,unigram,neuter,nominative,plural,kidomat,1.1604446599788334,kidomat,boat
πλοῖον,207,unigram,neuter,nominative,singular,tilong,2.430679597943194,tilong,boat
σῶμα,199,unigram,neuter,nominative,plural,kithi,1.0719160088957096,kithi,body
σῶμα,55,unigram,neuter,nominative,singular,abangpo,3.5709120031691985,abangpo,body
κλῆμα,51,unigram,neuter,nominative,plural,inghopen,1.0954080587464583,inghopen,branch
κλῆμα,140,unigram,neuter,nominative,singular,arohel,1.2895834895351823,arohel,branch
ἄρτος,277,unigram,masculine,accusative,plural,him,2.1219451424449423,him,bread
ἄρτος,300,unigram,masculine,accusative,singular,him,1.7668405443517503,him,bread
ἄρτος,147,unigram,masculine,nominative,plural,him,1.247148152997145,him,bread
ἄρτος,33,unigram,masculine,nominative,singular,ahim,1.5544924906369246,ahim,bread
ἀδελφός,114,unigram,masculine,accusative,singular,muso,1.3105201730754297,muso,brother
ἀδελφός,105,unigram,masculine,nominative,plural,ai,1.5296419946926303,ai,brother
ἀδελφός,214,unigram,masculine,nominative,singular,muso,1.9458295200561957,muso,brother
στῆθος,252,unigram,neuter,accusative,singular,inghote,1.2874042129206733,inghote,"chest, breast"
ἀρχιερεύς,223,unigram,masculine,accusative,plural,bor-bangthe,2.688735502535336,bor-bangthe,chief priest
ἀρχιερεύς,56,unigram,masculine,accusative,singular,bor-bangthe,1.8323743311791083,bor-bangthe,chief priest
ἀρχιερεύς,113,unigram,masculine,nominative,plural,bor-bangthe,2.570164120862751,bor-bangthe,chief priest
παῖς,217,unigram,masculine,accusative,plural,oso,1.0513809695232843,oso,child
παῖς,43,unigram,masculine,accusative,singular,parti,1.0954540950705378,parti,child
τέκνον,294,unigram,neuter,accusative,plural,asohel,1.4092159638406283,asohel,child
τέκνον,165,unigram,neuter,accusative,singular,asohel,1.4604959525589507,asohel,child
τέκνον,14,unigram,neuter,nominative,plural,asohel,1.0390481636689113,asohel,child
τέκνον,178,unigram,neuter,nominative,singular,Ei,1.1226880580683918,Ei,child
παιδίον,13,unigram,neuter,accusative,plural,tengek,1.258275631832516,tengek,child
παιδίον,85,unigram,neuter,accusative,singular,oso,1.1777500425373368,oso,child
παιδίον,160,unigram,neuter,nominative,plural,oso,1.0768679987328071,oso,child
παιδίον,35,unigram,neuter,nominative,singular,so,1.109863183797792,so,child
πόλις,168,unigram,feminine,accusative,plural,rongpe,1.8646725164945928,rongpe,city
πόλις,60,unigram,feminine,accusative,singular,rongpe,1.764670104997549,rongpe,city
χιτών,109,unigram,masculine,accusative,plural,pak-ni,1.1512480754882584,pak-ni,"clothing, undergarments"
χιτών,24,unigram,masculine,accusative,singular,cholpo,1.3793357891213305,cholpo,"clothing, undergarments"
ἱμάτιον,122,unigram,neuter,accusative,singular,chol,1.0542090696648307,chol,coat
ἐντολή,78,unigram,feminine,accusative,plural,angton,1.2793568773802548,angton,commandment
ἐντολή,76,unigram,feminine,accusative,singular,kanong,1.5606226045695035,kanong,commandment
συνέδριον,281,unigram,neuter,accusative,plural,ahemlong,1.1241204601118342,ahemlong,council
συνέδριον,47,unigram,neuter,accusative,singular,melpe,1.9999517950418368,melpe,council
χώρα,255,unigram,feminine,accusative,singular,alongri,3.977217881222716,alongri,"country, countryside"
ὄχλος,52,unigram,masculine,accusative,plural,rat,2.1924161123747044,rat,crowd
ὄχλος,9,unigram,masculine,accusative,singular,rat,2.261516224364621,rat,crowd
ὄχλος,93,unigram,masculine,nominative,plural,rat,2.0893492612065985,rat,crowd
ὄχλος,248,unigram,masculine,nominative,singular,rat,3.967608667337153,rat,crowd
θυγάτηρ,107,unigram,feminine,nominative,plural,chirtingo,1.2111332496690956,chirtingo,daughter
θυγάτηρ,276,unigram,feminine,nominative,singular,sope,1.0600809199296826,sope,daughter
ἡμέρα,70,unigram,feminine,accusative,plural,aphel,1.525077456608209,aphel,day
ἡμέρα,81,unigram,feminine,accusative,singular,arniten,1.2483441216544022,arniten,day
ἡμέρα,2,unigram,feminine,nominative,plural,arni,1.0458894007347883,arni,day
ἡμέρα,62,unigram,feminine,nominative,singular,arni,1.6070698562588068,arni,day
δαιμόνιον,25,unigram,neuter,accusative,plural,si-ik,3.945008911305088,si-ik,demon
δαιμόνιον,288,unigram,neuter,accusative,singular,si-ik,3.2714307586621962,si-ik,demon
δαιμόνιον,180,unigram,neuter,nominative,plural,si-ik,1.5829788229322366,si-ik,demon
δαιμόνιον,159,unigram,neuter,nominative,singular,si-ik,1.9857195096794,si-ik,demon
δηνάριον,268,unigram,neuter,accusative,plural,atheng,1.028754071720019,atheng,denarius (about a day's wages)
δηνάριον,149,unigram,neuter,accusative,singular,tanga,1.0555999167932628,tanga,denarius (about a day's wages)
μαθητής,163,unigram,masculine,accusative,plural,adun,4.102087325956389,adun,disciple
μαθητής,295,unigram,masculine,accusative,singular,adun,1.0461502095354736,adun,disciple
μαθητής,243,unigram,masculine,nominative,plural,adun,2.9683172998178438,adun,disciple
μαθητής,293,unigram,masculine,nominative,singular,adunpo,1.5727603230643818,adunpo,disciple
νόσος,3,unigram,feminine,accusative,plural,kiso,1.2632377303582127,kiso,disease
νόσος,69,unigram,feminine,accusative,singular,bet,1.0880427219874955,bet,disease
περιστερά,92,unigram,feminine,accusative,plural,wothum,1.0657644165723312,wothum,dove
περιστερά,49,unigram,feminine,accusative,singular,wothum,2.357949794949997,wothum,dove
οὖς,139,unigram,neuter,accusative,plural,ano,2.018272542031492,ano,ear
οὖς,247,unigram,neuter,accusative,singular,katha-ang,1.118180774715533,katha-ang,ear
σεισμός,187,unigram,masculine,nominative,plural,chiklik,1.5320743704976316,chiklik,"earthquakes, storm"
σεισμός,58,unigram,masculine,nominative,singular,langot,1.1083563096185058,langot,"earthquakes, storm"
αἰών,218,unigram,masculine,accusative,plural,mophelyok,1.0955235373722771,mophelyok,eternity
αἰών,264,unigram,masculine,accusative,singular,jatsi,1.0696831868740766,jatsi,eternity
ὀφθαλμός,18,unigram,masculine,accusative,plural,mek,1.5418913818916014,mek,eye
ὀφθαλμός,59,unigram,masculine,nominative,plural,mek,1.1186849191955024,mek,eye
πρόσωπον,115,unigram,neuter,accusative,plural,mahang,1.6179593846183051,mahang,face
πρόσωπον,175,unigram,neuter,accusative,singular,amahang,1.3212181467263848,amahang,face
λιμός,7,unigram,feminine,nominative,plural,chiklik,1.267333399564553,chiklik,famine
γεωργός,226,unigram,masculine,nominative,plural,mari,1.0372293225607363,mari,"farmer, tenant"
γεωργός,44,unigram,masculine,nominative,singular,khiti,1.0954587100358997,khiti,"farmer, tenant"
πατήρ,181,unigram,masculine,accusative,plural,so-su,1.16197581487098,so-su,father
πατήρ,267,unigram,masculine,accusative,singular,Apa,3.6991256939854895,Apa,father
πατήρ,275,unigram,masculine,nominative,plural,sar-lar,1.3355456937176529,sar-lar,father
πατήρ,170,unigram,masculine,nominative,singular,Apa,8.231765167137281,Apa,father
