lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2143_translation,english_translation
θεός,95,unigram,masculine,accusative,singular,Кудайды,2.778432607971483,Кудайды,God
θεός,17,unigram,masculine,nominative,plural,кудайлар,1.097258004808277,кудайлар,God
θεός,153,unigram,masculine,nominative,singular,Кудай,7.4392689560994825,Кудай,God
κύριος,96,unigram,masculine,nominative,singular,Кайракан,2.7429341237760743,Кайракан,"Lord, lord, master"
γραφή,92,unigram,feminine,accusative,plural,Агару,1.7821970087305865,Агару,Scripture
γραφή,32,unigram,feminine,accusative,singular,Бичикте,1.1063446289765493,Бичикте,Scripture
γραφή,192,unigram,feminine,nominative,plural,бӱтсин,1.3861502021699237,бӱтсин,Scripture
γραφή,246,unigram,feminine,nominative,singular,Бичикте,1.2004434674800268,Бичикте,Scripture
ἄγγελος,66,unigram,masculine,accusative,plural,теҥериниҥ,1.014844355315683,теҥериниҥ,angel
ἄγγελος,30,unigram,masculine,nominative,plural,ангелдер,1.0903972110185818,ангелдер,angel
ἄγγελος,74,unigram,masculine,nominative,singular,ангели,1.2619997832375145,ангели,angel
ἀπόστολος,27,unigram,masculine,nominative,plural,Апостолдор,1.8674174155507832,Апостолдор,apostle
ἐξουσία,144,unigram,feminine,accusative,singular,јаҥ,2.936151362746509,јаҥ,authority
βρέφος,7,unigram,neuter,accusative,plural,Кол,1.0960670999999007,Кол,babies
βρέφος,245,unigram,neuter,accusative,singular,салгышта,1.2378143555245482,салгышта,babies
ἀποθήκη,196,unigram,feminine,accusative,plural,јууп,1.335290851007687,јууп,barn
ἀποθήκη,47,unigram,feminine,accusative,singular,буудайын,1.5323096753179035,буудайын,barn
βλασφημία,19,unigram,feminine,accusative,plural,Кинчекти,1.0811064294632369,Кинчекти,blasphemy
βλασφημία,151,unigram,feminine,nominative,plural,јамандап,1.5273960563541416,јамандап,blasphemy
πλοῖον,232,unigram,neuter,accusative,singular,кемеге,2.757896921121018,кемеге,boat
πλοῖον,166,unigram,neuter,nominative,singular,кеме,1.072935009330014,кеме,boat
σῶμα,40,unigram,neuter,nominative,singular,эди-каныҥ,1.0234933292303896,эди-каныҥ,body
κλῆμα,106,unigram,neuter,nominative,singular,Менде,1.4811683173857102,Менде,branch
ἄρτος,237,unigram,masculine,accusative,plural,калаш,1.7319295434270194,калаш,bread
ἄρτος,256,unigram,masculine,accusative,singular,калаш,1.9917943283372896,калаш,bread
ἄρτος,111,unigram,masculine,nominative,plural,калаш,1.4032728085731785,калаш,bread
ἄρτος,23,unigram,masculine,nominative,singular,калаш,2.8460332547490013,калаш,bread
ἀδελφός,225,unigram,masculine,accusative,plural,ага-карындажын,1.0496800899045695,ага-карындажын,brother
ἀδελφός,84,unigram,masculine,accusative,singular,карындажын,2.0153921420342926,карындажын,brother
ἀδελφός,77,unigram,masculine,nominative,plural,карындаштары,1.3950303275466451,карындаштары,brother
ἀδελφός,171,unigram,masculine,nominative,singular,карындажы,1.6752653213497155,карындажы,brother
στῆθος,209,unigram,neuter,accusative,singular,эҥчейип,1.6358498693794146,эҥчейип,"chest, breast"
ἀρχιερεύς,178,unigram,masculine,accusative,plural,улу,1.3008832359934956,улу,chief priest
ἀρχιερεύς,41,unigram,masculine,accusative,singular,абыска,1.4687016691432069,абыска,chief priest
ἀρχιερεύς,83,unigram,masculine,nominative,plural,абыстар,2.121608454482556,абыстар,chief priest
ἀρχιερεύς,181,unigram,masculine,nominative,singular,абыс,2.716498293619275,абыс,chief priest
παῖς,175,unigram,masculine,accusative,plural,балдарды,1.5897909673348871,балдарды,child
τέκνον,252,unigram,neuter,accusative,plural,бала-барказын,1.2404736891477368,бала-барказын,child
τέκνον,127,unigram,neuter,accusative,singular,ада-энезине,1.0648494792904102,ада-энезине,child
τέκνον,8,unigram,neuter,nominative,plural,балдары,1.4383135806500615,балдары,child
τέκνον,138,unigram,neuter,nominative,singular,Уулым,1.1926768127663216,Уулым,child
παιδίον,62,unigram,neuter,accusative,singular,баланы,2.9450954941320515,баланы,child
παιδίον,24,unigram,neuter,nominative,singular,бала,1.527895281325493,бала,child
πόλις,129,unigram,feminine,accusative,plural,калаларды,1.1294467354659496,калаларды,city
πόλις,45,unigram,feminine,accusative,singular,калага,3.0249661455542434,калага,city
πύλη,150,unigram,feminine,nominative,singular,јолы,1.2633235923608288,јолы,city gate
χιτών,80,unigram,masculine,accusative,plural,кийер,1.0715725811976675,кийер,"clothing, undergarments"
