lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_108_translation,english_translation
θεός,93,unigram,masculine,accusative,singular,Bro,1.098018220944207,Bro,God
θεός,146,unigram,masculine,nominative,singular,Bro,1.0766100391184938,Bro,God
κύριος,94,unigram,masculine,nominative,singular,Bror,1.1498463621607946,Bror,"Lord, lord, master"
γραφή,90,unigram,feminine,accusative,plural,mumiwuko,1.1599121187782593,mumiwuko,Scripture
γραφή,33,unigram,feminine,accusative,singular,borngt,1.036018463644593,borngt,Scripture
γραφή,230,unigram,feminine,nominative,singular,borngt,1.0367081948571686,borngt,Scripture
ἄγγελος,61,unigram,masculine,accusative,plural,mounmotm,1.4872393022563684,mounmotm,angel
ἄγγελος,30,unigram,masculine,nominative,plural,mounmotm,1.4703495062756162,mounmotm,angel
ἄγγελος,72,unigram,masculine,nominative,singular,mounmotr,3.848867505902114,mounmotr,angel
ἀπόστολος,27,unigram,masculine,nominative,plural,aposerm,1.6144827257050482,aposerm,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,tkrurafyuk,1.0186361982420569,tkrurafyuk,apostle
βρέφος,228,unigram,neuter,accusative,singular,bulmakauroh,1.2896025283470043,bulmakauroh,babies
ἀποθήκη,188,unigram,feminine,accusative,plural,yeshrt,1.3950644922171689,yeshrt,barn
ἀποθήκη,46,unigram,feminine,accusative,singular,kunysn,1.0177989109544414,kunysn,barn
βλασφημία,18,unigram,feminine,accusative,plural,furarn,1.0591180671250278,furarn,blasphemy
πλοῖον,70,unigram,neuter,accusative,plural,mmbrf,1.6369462966640205,mmbrf,boat
πλοῖον,217,unigram,neuter,accusative,singular,mmbrtn,1.404068490081253,mmbrtn,boat
πλοῖον,160,unigram,neuter,nominative,singular,mmbrt,2.570181801621958,mmbrt,boat
σῶμα,39,unigram,neuter,nominative,singular,thatipt,1.0414592897443136,thatipt,body
ἄρτος,221,unigram,masculine,accusative,plural,bretpam,1.1561172128332498,bretpam,bread
ἄρτος,240,unigram,masculine,accusative,singular,bretpat,1.0849191796108122,bretpat,bread
ἄρτος,108,unigram,masculine,nominative,plural,bretpam,1.0247337893129993,bretpam,bread
ἄρτος,21,unigram,masculine,nominative,singular,hefen,1.1507743566575726,hefen,bread
ἀδελφός,209,unigram,masculine,accusative,plural,yifa,1.1153049001565571,yifa,brother
ἀδελφός,84,unigram,masculine,accusative,singular,Andru,1.0879493545718713,Andru,brother
ἀδελφός,76,unigram,masculine,nominative,plural,najohfit,1.3810100362034106,najohfit,brother
στῆθος,198,unigram,neuter,accusative,singular,kekutni,1.347438586406045,kekutni,"chest, breast"
ἀρχιερεύς,169,unigram,masculine,accusative,plural,prisroh,2.5383938108639317,prisroh,chief priest
ἀρχιερεύς,40,unigram,masculine,accusative,singular,yakniyuk,1.0644814318668898,yakniyuk,chief priest
ἀρχιερεύς,83,unigram,masculine,nominative,plural,prisroh,1.1663838429940967,prisroh,chief priest
ἀρχιερεύς,173,unigram,masculine,nominative,singular,prisroh,1.05649035274654,prisroh,chief priest
παῖς,165,unigram,masculine,accusative,plural,memohat,1.592794989570565,memohat,child
τέκνον,236,unigram,neuter,accusative,plural,yonm,1.3916724967498804,yonm,child
τέκνον,133,unigram,neuter,nominative,singular,minysafet,1.0747584863745092,minysafet,child
παιδίον,58,unigram,neuter,accusative,singular,nmehf,1.0398438262932568,nmehf,child
παιδίον,119,unigram,neuter,nominative,plural,yon,1.4635717650081852,yon,child
παιδίον,23,unigram,neuter,nominative,singular,yiruhatm,1.1482372207811586,yiruhatm,child
πόλις,126,unigram,feminine,accusative,plural,taunm,1.9257340357474468,taunm,city
πόλις,43,unigram,feminine,accusative,singular,kmi,1.368544889796517,kmi,city
πύλη,144,unigram,feminine,nominative,singular,riwita,1.0591029938321448,riwita,city gate
χιτών,79,unigram,masculine,accusative,plural,musm,1.0709561727675458,musm,"clothing, undergarments"
χιτών,16,unigram,masculine,accusative,singular,hekfot,1.5197102669498803,hekfot,"clothing, undergarments"
ἱμάτιον,92,unigram,neuter,accusative,plural,rmontham,1.441208526903664,rmontham,coat
ἱμάτιον,91,unigram,neuter,accusative,singular,hmbreshat,1.20712293531197,hmbreshat,coat
