lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_453_translation,english_translation
θεός,114,unigram,masculine,accusative,singular,Ɛsɔwɔ,5.051175346283881,Ɛsɔwɔ,God
θεός,22,unigram,masculine,nominative,plural,nke,1.097258004808277,nke,God
θεός,179,unigram,masculine,nominative,singular,Ɛsɔwɔ,5.170086400933964,Ɛsɔwɔ,God
κύριος,295,unigram,masculine,nominative,plural,géjuŋá,1.0175379345401907,géjuŋá,"Lord, lord, master"
κύριος,115,unigram,masculine,nominative,singular,Ata,4.416154199240206,Ata,"Lord, lord, master"
γραφή,110,unigram,feminine,accusative,plural,mekomejɔɔ́,1.1905998460752891,mekomejɔɔ́,Scripture
γραφή,42,unigram,feminine,accusative,singular,dankaá,1.1063446289765493,dankaá,Scripture
γραφή,230,unigram,feminine,nominative,plural,Yɛ́mbɔ,1.2146797901324706,Yɛ́mbɔ,Scripture
γραφή,290,unigram,feminine,nominative,singular,ásame,1.0865616837765666,ásame,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,makiɛ́nné,2.7855145272109194,makiɛ́nné,angel
ἄγγελος,74,unigram,masculine,accusative,singular,kwyɛ́,1.0500981916898025,kwyɛ́,angel
ἄγγελος,39,unigram,masculine,nominative,plural,makiɛ́nné,1.8748002988063768,makiɛ́nné,angel
ἄγγελος,94,unigram,masculine,nominative,singular,ɛkiɛ́nné,1.7857043593188666,ɛkiɛ́nné,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,*Áŋgbá,1.5714424133603553,*Áŋgbá,apostle
ἐξουσία,172,unigram,feminine,accusative,singular,uto,4.3127293717101605,uto,authority
βρέφος,11,unigram,neuter,accusative,plural,kɔ́,1.0960670999999007,kɔ́,babies
βρέφος,289,unigram,neuter,accusative,singular,gekú,1.1682581154670333,gekú,babies
ἀποθήκη,235,unigram,feminine,accusative,plural,mbwɛ́,1.1987842514118998,mbwɛ́,barn
φραγμός,203,unigram,masculine,accusative,plural,gégbeé,1.096057314542422,gégbeé,"barrier, wall"
ἀρχή,157,unigram,feminine,accusative,singular,apyɛɛ,1.1062845238338443,apyɛɛ,beginning
ζώνη,150,unigram,feminine,accusative,plural,gefɔ́ge,1.044101405315964,gefɔ́ge,belt
ζώνη,194,unigram,feminine,accusative,singular,Gefɔgé,1.0960524252565438,Gefɔgé,belt
πλοῖον,92,unigram,neuter,accusative,plural,mákpée,1.7402339988258508,mákpée,boat
πλοῖον,277,unigram,neuter,accusative,singular,ɛkpée,1.0242660403156088,ɛkpée,boat
πλοῖον,196,unigram,neuter,nominative,singular,ɛkpée,2.298819170140815,ɛkpée,boat
σῶμα,52,unigram,neuter,nominative,singular,menyammyɛ,2.961124897789661,menyammyɛ,body
κλῆμα,127,unigram,neuter,nominative,singular,genɔɔ́,1.147540631632191,genɔɔ́,branch
ἄρτος,281,unigram,masculine,accusative,plural,brɛd,3.6396417422479415,brɛd,bread
ἄρτος,304,unigram,masculine,accusative,singular,brɛd,1.3877707055417154,brɛd,bread
ἄρτος,133,unigram,masculine,nominative,plural,brɛd,2.3198498962689724,brɛd,bread
ἄρτος,30,unigram,masculine,nominative,singular,brɛd,1.9672455687029264,brɛd,bread
ἀδελφός,267,unigram,masculine,accusative,plural,aŋmɛ́,1.973430956235274,aŋmɛ́,brother
ἀδελφός,104,unigram,masculine,accusative,singular,Jɛmsi,1.0077689765390567,Jɛmsi,brother
ἀδελφός,97,unigram,masculine,nominative,plural,aŋmó,2.0920068724780845,aŋmó,brother
ἀδελφός,201,unigram,masculine,nominative,singular,meŋmó,1.056516899672854,meŋmó,brother
