lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_299_translation,english_translation
θεός,109,unigram,masculine,accusative,singular,Iruhin,1.7367252810305753,Iruhin,God
θεός,171,unigram,masculine,nominative,singular,Iruhin,6.901690419647305,Iruhin,God
κύριος,110,unigram,masculine,nominative,singular,Debeini,2.1405254274259335,Debeini,"Lord, lord, master"
γραφή,104,unigram,feminine,accusative,plural,nyetem,1.2474196662329484,nyetem,Scripture
γραφή,44,unigram,feminine,accusative,singular,Buk,1.044185756787967,Buk,Scripture
γραφή,213,unigram,feminine,nominative,plural,nyetem,1.1283960775510196,nyetem,Scripture
γραφή,261,unigram,feminine,nominative,singular,Buk,1.0399461078476773,Buk,Scripture
ἄγγελος,79,unigram,masculine,accusative,plural,enselahos,1.7617981302807213,enselahos,angel
ἄγγελος,70,unigram,masculine,accusative,singular,ishopok,1.0018398924095637,ishopok,angel
ἄγγελος,41,unigram,masculine,nominative,plural,enselahos,4.739403274091443,enselahos,angel
ἄγγελος,90,unigram,masculine,nominative,singular,ensel,3.6675927257689738,ensel,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,aposel,2.0681112728205746,aposel,apostle
ἐξουσία,164,unigram,feminine,accusative,singular,big,3.6187873047900676,big,authority
βρέφος,13,unigram,neuter,accusative,plural,hahaesh,1.05938592946131,hahaesh,babies
βρέφος,260,unigram,neuter,accusative,singular,nyor,1.174390016971536,nyor,babies
ἀρχή,148,unigram,feminine,accusative,singular,Neneken,1.0660918455318757,Neneken,beginning
βλασφημία,71,unigram,feminine,nominative,singular,shabubunim,1.080867738692671,shabubunim,blasphemy
πλοῖον,88,unigram,neuter,accusative,plural,botog,1.0805365231555073,botog,boat
πλοῖον,249,unigram,neuter,accusative,singular,bot,4.088227810771189,bot,boat
πλοῖον,184,unigram,neuter,nominative,singular,bot,1.3432386763724444,bot,boat
σῶμα,51,unigram,neuter,nominative,singular,yegeshiweruh,1.4220801218577581,yegeshiweruh,body
κλῆμα,123,unigram,neuter,nominative,singular,wain,1.2592716884230835,wain,branch
ἄρτος,253,unigram,masculine,accusative,plural,bret,1.1721950562575254,bret,bread
ἄρτος,273,unigram,masculine,accusative,singular,bret,1.7834254240647018,bret,bread
ἄρτος,128,unigram,masculine,nominative,plural,bret,1.9010157397191842,bret,bread
ἄρτος,32,unigram,masculine,nominative,singular,bret,1.5647616289697415,bret,bread
ἀδελφός,239,unigram,masculine,accusative,plural,owarhim,1.9465187813913998,owarhim,brother
ἀδελφός,98,unigram,masculine,accusative,singular,wanin,1.86538189160958,wanin,brother
ἀδελφός,92,unigram,masculine,nominative,plural,amakek,1.5507448790205403,amakek,brother
ἀδελφός,189,unigram,masculine,nominative,singular,wanin,1.9854623104025695,wanin,brother
στῆθος,125,unigram,neuter,accusative,plural,shohwido,1.3556326773335652,shohwido,"chest, breast"
στῆθος,228,unigram,neuter,accusative,singular,natotigos,1.6653567817714705,natotigos,"chest, breast"
ἀρχιερεύς,196,unigram,masculine,accusative,plural,pris,1.2689178527749114,pris,chief priest
ἀρχιερεύς,52,unigram,masculine,accusative,singular,pris,1.308767426223917,pris,chief priest
ἀρχιερεύς,97,unigram,masculine,nominative,plural,pris,1.168359937236479,pris,chief priest
ἀρχιερεύς,200,unigram,masculine,nominative,singular,pris,1.5072839793564923,pris,chief priest
παῖς,192,unigram,masculine,accusative,plural,hatik,1.0406171338154224,hatik,child
τέκνον,268,unigram,neuter,accusative,plural,batowish,4.059963842724135,batowish,child
τέκνον,145,unigram,neuter,accusative,singular,shesh,1.220217856677014,shesh,child
τέκνον,14,unigram,neuter,nominative,plural,shesh,1.2637679066026994,shesh,child
τέκνον,157,unigram,neuter,nominative,singular,nyakish,1.3469480083445091,nyakish,child
παιδίον,12,unigram,neuter,accusative,plural,batowish,1.0795388003900552,batowish,child
παιδίον,76,unigram,neuter,accusative,singular,nuganin,1.2351477578992207,nuganin,child
