lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_147_translation,english_translation
θεός,289,unigram,masculine,accusative,plural,Tãm,1.0400461921952646,Tãm,God
θεός,118,unigram,masculine,accusative,singular,Tĩrtũm,2.698942386239428,Tĩrtũm,God
θεός,186,unigram,masculine,nominative,singular,Tĩrtũm,1.5944414124762534,Tĩrtũm,God
κύριος,119,unigram,masculine,nominative,singular,“,1.2414694088841634,“,"Lord, lord, master"
γραφή,116,unigram,feminine,accusative,plural,kagà,1.3342468034824535,kagà,Scripture
γραφή,43,unigram,feminine,accusative,singular,htũm,1.1192543812756837,htũm,Scripture
γραφή,229,unigram,feminine,nominative,plural,htũm,1.0132276877529924,htũm,Scripture
γραφή,284,unigram,feminine,nominative,singular,htũm,1.0006900772760403,htũm,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,wrỳk,1.6123667897841971,wrỳk,angel
ἄγγελος,74,unigram,masculine,accusative,singular,Ixkra,1.2038285156023274,Ixkra,angel
ἄγγελος,39,unigram,masculine,nominative,plural,wrỳk,2.583781897060339,wrỳk,angel
ἄγγελος,97,unigram,masculine,nominative,singular,wrỳk,1.5541129469315518,wrỳk,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,nhỹ,1.4178636390317758,nhỹ,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,ajuta.,1.2906639892677767,ajuta.,apostle
ἐξουσία,62,unigram,feminine,accusative,plural,apynê,1.1995764567582914,apynê,authority
ἐξουσία,179,unigram,feminine,accusative,singular,Mẽhõ,1.2564801634198004,Mẽhõ,authority
βρέφος,282,unigram,neuter,accusative,singular,kôsti,1.5972407699443398,kôsti,babies
ἀποθήκη,236,unigram,feminine,accusative,plural,grireta,1.1054441961004942,grireta,barn
ἀποθήκη,61,unigram,feminine,accusative,singular,harôj,1.1446564385401752,harôj,barn
φραγμός,101,unigram,masculine,accusative,singular,ho.,1.0804514595593513,ho.,"barrier, wall"
ἀρχή,64,unigram,feminine,accusative,plural,apynê,1.199295840174937,apynê,beginning
ἀρχή,161,unigram,feminine,accusative,singular,Kanã,1.13357626812722,Kanã,beginning
βλασφημία,23,unigram,feminine,accusative,plural,Parijew,1.0327234457794567,Parijew,blasphemy
βλασφημία,85,unigram,feminine,accusative,singular,hkaxônh,1.4072062138430308,hkaxônh,blasphemy
βλασφημία,184,unigram,feminine,nominative,plural,punuj,1.1137651955160148,punuj,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,pàr,1.4746944435994789,pàr,boat
πλοῖον,269,unigram,neuter,accusative,singular,pàr,1.6362378542859597,pàr,boat
πλοῖον,210,unigram,neuter,nominative,plural,kwỳja,1.2087938472373847,kwỳja,boat
πλοῖον,199,unigram,neuter,nominative,singular,pàr,1.3511597163240616,pàr,boat
