lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2258_translation,version_2259_translation,english_translation
θεός,124,unigram,masculine,accusative,singular,ঈশ্বৰৰ,7.937183248636945,ঈশ্বৰৰ,ঈশ্বৰৰ,God
θεός,27,unigram,masculine,nominative,plural,,,বিধান-শাস্ত্ৰত,ঈশ্বৰবোৰ,God
θεός,189,unigram,masculine,nominative,singular,ঈশ্বৰে,2.301928352196199,ঈশ্বৰে,ঈশ্বৰে,God
κύριος,125,unigram,masculine,nominative,singular,প্ৰভুৱে,1.4143342907895453,প্ৰভুৱে,প্ৰভুৱে,"Lord, lord, master"
γραφή,120,unigram,feminine,accusative,plural,ধৰ্মশাস্ত্ৰ,3.885831496201726,,ধৰ্মশাস্ত্ৰ,Scripture
γραφή,233,unigram,feminine,nominative,plural,,,শাস্ত্ৰীয়,সিদ্ধ,Scripture
γραφή,295,unigram,feminine,nominative,singular,বচন,2.5271833647170436,বচন,বচন,Scripture
ἄγγελος,89,unigram,masculine,accusative,plural,দূত,3.8252570605194056,দূত,দূত,angel
ἄγγελος,75,unigram,masculine,accusative,singular,দূতক,1.6018630148757407,দূতক,,angel
ἄγγελος,43,unigram,masculine,nominative,plural,দূত,1.2325879511997675,,দূত,angel
ἄγγελος,100,unigram,masculine,nominative,singular,দূতে,4.116788161035306,দূতে,দূতে,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,পাঁচনি,2.7497894991396885,পাঁচনি,পাঁচনি,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,জনতকৈ,1.0960817954296525,,জনতকৈ,apostle
ἐξουσία,181,unigram,feminine,accusative,singular,ক্ষমতা,18.209820248372097,ক্ষমতা,ক্ষমতা,authority
βρέφος,13,unigram,neuter,accusative,plural,শিশুবোৰক,1.1189146761750244,,শিশুবোৰক,babies
βρέφος,293,unigram,neuter,accusative,singular,দানা,1.1133149773729265,,দানা,babies
ἀποθήκη,239,unigram,feminine,accusative,plural,ভঁৰালত,1.8875606038669042,,ভঁৰালত,barn
ἀποθήκη,62,unigram,feminine,accusative,singular,,,চপাই,ভঁৰালত,barn
