lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1641_translation,english_translation
θεός,112,unigram,masculine,accusative,singular,Tyoꞌtsꞌon,2.7664919858932078,Tyoꞌtsꞌon,God
θεός,179,unigram,masculine,nominative,singular,Tyoꞌtsꞌon,3.1138604056274124,Tyoꞌtsꞌon,God
κύριος,113,unigram,masculine,nominative,singular,patrón,1.1965554505128029,patrón,"Lord, lord, master"
γραφή,108,unigram,feminine,accusative,plural,conanꞌjnꞌaanhoꞌ,1.1779766409145584,conanꞌjnꞌaanhoꞌ,Scripture
γραφή,233,unigram,feminine,nominative,plural,nanꞌmin,1.4524257327728638,nanꞌmin,Scripture
γραφή,291,unigram,feminine,nominative,singular,jndui,1.2553815498790095,jndui,Scripture
ἄγγελος,82,unigram,masculine,accusative,plural,ángeles,2.282310882087551,ángeles,angel
ἄγγελος,72,unigram,masculine,accusative,singular,tonnonꞌ,1.241259962100275,tonnonꞌ,angel
ἄγγελος,42,unigram,masculine,nominative,plural,ángeles,5.135699173484328,ángeles,angel
ἄγγελος,91,unigram,masculine,nominative,singular,ángel,1.008959924717428,ángel,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,nchoꞌve,1.791861310481352,nchoꞌve,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,tyiꞌtsijonhanꞌhin,1.3569469868250894,tyiꞌtsijonhanꞌhin,apostle
ἐξουσία,171,unigram,feminine,accusative,singular,najndei,1.2735603195688907,najndei,authority
βρέφος,289,unigram,neuter,accusative,singular,cocüaꞌ,1.0404443012869338,cocüaꞌ,babies
ἀποθήκη,61,unigram,feminine,accusative,singular,ntsue,1.0481557689966998,ntsue,barn
φραγμός,95,unigram,masculine,accusative,singular,Jnonꞌ,1.0595512823290478,Jnonꞌ,"barrier, wall"
ζώνη,195,unigram,feminine,accusative,singular,ndyueꞌ,1.0960817954296525,ndyueꞌ,belt
βλασφημία,28,unigram,feminine,accusative,plural,toquindyiiꞌ,1.0354420932147959,toquindyiiꞌ,blasphemy
βλασφημία,73,unigram,feminine,nominative,singular,nacjooꞌ,1.1117453355165945,nacjooꞌ,blasphemy
πλοῖον,89,unigram,neuter,accusative,plural,ntꞌaandaaꞌñeen,1.3911966662681152,ntꞌaandaaꞌñeen,boat
πλοῖον,276,unigram,neuter,accusative,singular,vꞌaandaa,1.7562079705772078,vꞌaandaa,boat
πλοῖον,210,unigram,neuter,nominative,plural,ntꞌaandaa,1.113603878541182,ntꞌaandaa,boat
πλοῖον,197,unigram,neuter,nominative,singular,tueeꞌhanꞌ,1.161528479988097,tueeꞌhanꞌ,boat
σῶμα,53,unigram,neuter,nominative,singular,conduihanꞌ,1.1161072247396362,conduihanꞌ,body
κλῆμα,127,unigram,neuter,nominative,singular,tsꞌöö,1.887537595001228,tsꞌöö,branch
ἄρτος,281,unigram,masculine,accusative,plural,tyooꞌ,1.8073706608724809,tyooꞌ,bread
ἄρτος,305,unigram,masculine,accusative,singular,tyooꞌ,3.3925889715165205,tyooꞌ,bread
ἄρτος,134,unigram,masculine,nominative,plural,ntcüaꞌ,1.4693902627170117,ntcüaꞌ,bread
ἄρτος,33,unigram,masculine,nominative,singular,tyooꞌ,1.861696493236174,tyooꞌ,bread
ἀδελφός,266,unigram,masculine,accusative,plural,ntsinda,1.0447250015503244,ntsinda,brother
ἀδελφός,101,unigram,masculine,accusative,singular,tyje,2.0864332825511736,tyje,brother
ἀδελφός,94,unigram,masculine,nominative,plural,ntyje,1.2102303166136996,ntyje,brother
ἀδελφός,202,unigram,masculine,nominative,singular,tyje,1.1103946992587943,tyje,brother
στῆθος,132,unigram,neuter,accusative,plural,ndeiꞌndyahan,1.161372324758298,ndeiꞌndyahan,"chest, breast"
