lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2144_translation,version_2145_translation,english_translation
θεός,508,unigram,masculine,accusative,singular,Алланы,2.4593333436766187,,Алланы,God
θεός,435,unigram,masculine,nominative,plural,илаһтар,1.097258004808277,,илаһтар,God
θεός,565,unigram,masculine,nominative,singular,Алла,3.5743014782441658,,Алла,God
κύριος,509,unigram,masculine,nominative,singular,Раббы,1.9431694021738475,,Раббы,"Lord, lord, master"
γραφή,504,unigram,feminine,accusative,plural,Изге,1.1039962753327077,,Изге,Scripture
γραφή,451,unigram,feminine,accusative,singular,Яҙмала,1.2587488159219395,,Яҙмала,Scripture
γραφή,602,unigram,feminine,nominative,plural,ашһын,1.1041404640775663,,ашһын,Scripture
γραφή,650,unigram,feminine,nominative,singular,Изге,1.3786010499343446,,Изге,Scripture
ἄγγελος,481,unigram,masculine,accusative,plural,фәрештәләрен,1.2309017195728584,,фәрештәләрен,angel
ἄγγελος,473,unigram,masculine,accusative,singular,алдыңданхәбәрсемде,1.0500981916898025,,алдыңданхәбәрсемде,angel
ἄγγελος,448,unigram,masculine,nominative,plural,фәрештәләр,2.435409347713696,,фәрештәләр,angel
ἄγγελος,488,unigram,masculine,nominative,singular,фәрештәһе,1.5108626685042514,,фәрештәһе,angel
ἀπόστολος,446,unigram,masculine,nominative,plural,Илселәр,1.8233490409209796,,Илселәр,apostle
ἀπόστολος,419,unigram,masculine,nominative,singular,ебәреүсенән,1.1613548718850133,,ебәреүсенән,apostle
ἐξουσία,559,unigram,feminine,accusative,singular,бар,1.0354012400563555,,бар,authority
βρέφος,424,unigram,neuter,accusative,plural,үткәрмәгән,1.0960670999999007,,үткәрмәгән,babies
βρέφος,648,unigram,neuter,accusative,singular,утлыҡсаһында,1.059538418040185,,утлыҡсаһында,babies
ζώνη,574,unigram,feminine,accusative,singular,быуған,1.0960524252565438,,быуған,belt
βλασφημία,438,unigram,feminine,accusative,plural,алыша,1.0960768946513286,,алыша,blasphemy
βλασφημία,480,unigram,feminine,accusative,singular,шаһиттар,1.0595480639608463,,шаһиттар,blasphemy
βλασφημία,563,unigram,feminine,nominative,plural,бөтәһе,1.2889498836002362,,бөтәһе,blasphemy
πλοῖον,486,unigram,neuter,accusative,plural,Балыҡсылар,1.0648687290883774,,Балыҡсылар,boat
πλοῖον,637,unigram,neuter,accusative,singular,кәмәгә,2.561576784703974,,кәмәгә,boat
πλοῖον,585,unigram,neuter,nominative,plural,кәмәләр,1.1064882619361553,,кәмәләр,boat
πλοῖον,576,unigram,neuter,nominative,singular,кәмә,1.835242916648275,,кәмә,boat
σῶμα,457,unigram,neuter,nominative,singular,тәнең,1.9741987939400132,,тәнең,body
κλῆμα,522,unigram,neuter,nominative,singular,Миндә,1.477442532974955,,Миндә,branch
ἄρτος,641,unigram,masculine,accusative,plural,икмәк,1.1428216354601433,,икмәк,bread
ἄρτος,661,unigram,masculine,accusative,singular,икмәк,3.6986574583570895,,икмәк,bread
ἄρτος,529,unigram,masculine,nominative,plural,икмәк,1.1701816054525092,,икмәк,bread
ἄρτος,441,unigram,masculine,nominative,singular,икмәк,1.331318841524713,,икмәк,bread
ἀδελφός,630,unigram,masculine,accusative,plural,балаларын,1.0627995167926674,,балаларын,brother
ἀδελφός,498,unigram,masculine,accusative,singular,ҡустыһы,2.3456953052922276,,ҡустыһы,brother
ἀδελφός,490,unigram,masculine,nominative,plural,ҡустылары,1.5967303407206548,,ҡустылары,brother
στῆθος,617,unigram,neuter,accusative,singular,шәкерт,1.2205560671119073,,шәкерт,"chest, breast"
