lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1985_translation,english_translation
θεός,356,unigram,masculine,accusative,plural,vənwi,1.5681397573640812,vənwi,God
θεός,145,unigram,masculine,accusative,singular,Nwi,1.3417845356569376,Nwi,God
θεός,33,unigram,masculine,nominative,plural,vənwi,1.7141907831796015,vənwi,God
θεός,225,unigram,masculine,nominative,singular,Nwi,4.112955742284381,Nwi,God
κύριος,358,unigram,masculine,nominative,plural,ŋgɔɔ,1.0970894485985805,ŋgɔɔ,"Lord, lord, master"
κύριος,146,unigram,masculine,nominative,singular,tɨɨ,1.2771580236752142,tɨɨ,"Lord, lord, master"
γραφή,140,unigram,feminine,accusative,plural,ŋwaꞌlə,1.6844953990644282,ŋwaꞌlə,Scripture
γραφή,284,unigram,feminine,nominative,plural,Luu,1.1039769739433871,Luu,Scripture
γραφή,350,unigram,feminine,nominative,singular,ŋwaꞌlə,2.6535376226188845,ŋwaꞌlə,Scripture
ἄγγελος,107,unigram,masculine,accusative,plural,nshiisə-ŋiisə,2.759492530326895,nshiisə-ŋiisə,angel
ἄγγελος,92,unigram,masculine,accusative,singular,lootə,1.2738274489253447,lootə,angel
ἄγγελος,55,unigram,masculine,nominative,plural,nshiisə-ŋiisə,2.805829212648105,nshiisə-ŋiisə,angel
ἄγγελος,118,unigram,masculine,nominative,singular,Nshiiŋii,1.405558183126287,Nshiiŋii,angel
ἀπόστολος,52,unigram,masculine,nominative,plural,ntɔŋ,1.6658440045758962,ntɔŋ,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,ntɔŋ,1.1224871161500745,ntɔŋ,apostle
ἐξουσία,75,unigram,feminine,accusative,plural,lɔꞌ,1.0711379726113754,lɔꞌ,authority
ἐξουσία,214,unigram,feminine,accusative,singular,wutə,2.212312734156173,wutə,authority
βρέφος,19,unigram,neuter,accusative,plural,tu,1.1923622857698908,tu,babies
βρέφος,348,unigram,neuter,accusative,singular,ŋkɨŋ,1.1923499058244968,ŋkɨŋ,babies
ἀποθήκη,74,unigram,feminine,accusative,singular,twàŋ,1.2399657335953544,twàŋ,barn
φραγμός,252,unigram,masculine,accusative,plural,mbɔꞌsə,1.212529657217808,mbɔꞌsə,"barrier, wall"
φραγμός,123,unigram,masculine,accusative,singular,tə̀ə,1.0439955835392232,tə̀ə,"barrier, wall"
ἀρχή,78,unigram,feminine,accusative,plural,lɔꞌ,1.0710318306072584,lɔꞌ,beginning
ἀρχή,197,unigram,feminine,accusative,singular,laŋ,1.2378094987613537,laŋ,beginning
ζώνη,188,unigram,feminine,accusative,plural,vəkɔtə,1.1613026128296644,vəkɔtə,belt
βλασφημία,37,unigram,feminine,accusative,plural,kwàꞌtə,1.1682899627994014,kwàꞌtə,blasphemy
βλασφημία,105,unigram,feminine,accusative,singular,sètə,1.1454842242733958,sètə,blasphemy
βλασφημία,223,unigram,feminine,nominative,plural,məndasə,1.1062485993005018,məndasə,blasphemy
πλοῖον,116,unigram,neuter,accusative,plural,vəbay,2.0370766194719128,vəbay,boat
πλοῖον,333,unigram,neuter,accusative,singular,bay,4.006528700796896,bay,boat
πλοῖον,258,unigram,neuter,nominative,plural,Vəbay,1.3701997646114408,Vəbay,boat
πλοῖον,243,unigram,neuter,nominative,singular,bay,1.656087831328471,bay,boat
σῶμα,232,unigram,neuter,nominative,plural,məŋkɔꞌ,1.3305370190776638,məŋkɔꞌ,body
σῶμα,64,unigram,neuter,nominative,singular,kiꞌ,1.0338035244817123,kiꞌ,body
κλῆμα,163,unigram,neuter,nominative,singular,tɨ,1.1388074246744977,tɨ,branch
ἄρτος,337,unigram,masculine,accusative,plural,bee,1.3397777813968117,bee,bread
ἄρτος,368,unigram,masculine,accusative,singular,bee,2.088238665418857,bee,bread
ἄρτος,171,unigram,masculine,nominative,plural,bee,2.040264608553005,bee,bread
ἄρτος,45,unigram,masculine,nominative,singular,fazɨ,1.285775159695005,fazɨ,bread
ἀδελφός,322,unigram,masculine,accusative,plural,vaŋ-nshwi,4.877377833373392,vaŋ-nshwi,brother
ἀδελφός,132,unigram,masculine,accusative,singular,weenshu,2.4825592130411662,weenshu,brother
ἀδελφός,122,unigram,masculine,nominative,plural,vaŋ-nshwi,2.779071901781914,vaŋ-nshwi,brother
ἀδελφός,250,unigram,masculine,nominative,singular,weenshu,6.06866641164838,weenshu,brother
στῆθος,306,unigram,neuter,accusative,singular,ndə,1.02941913860725,ndə,"chest, breast"
ἀρχιερεύς,263,unigram,masculine,accusative,plural,məfeꞌ,1.333891778792658,məfeꞌ,chief priest
ἀρχιερεύς,65,unigram,masculine,accusative,singular,məfeꞌ,1.2009377549991933,məfeꞌ,chief priest
ἀρχιερεύς,131,unigram,masculine,nominative,plural,məfeꞌ,1.2869242130224432,məfeꞌ,chief priest
ἀρχιερεύς,268,unigram,masculine,nominative,singular,məfeꞌ,1.3129269325171458,məfeꞌ,chief priest
παῖς,255,unigram,masculine,accusative,plural,bɨ,1.1441394207118607,bɨ,child
παῖς,56,unigram,masculine,accusative,singular,kəŋgu,1.1422016563167072,kəŋgu,child
τέκνον,360,unigram,neuter,accusative,plural,vaŋ,4.208657845790364,vaŋ,child
τέκνον,194,unigram,neuter,accusative,singular,weenshu,1.1971408421349874,weenshu,child
τέκνον,20,unigram,neuter,nominative,plural,vaŋ,1.114928374650207,vaŋ,child
τέκνον,207,unigram,neuter,nominative,singular,Ŋwiŋ,2.5625570645460267,Ŋwiŋ,child
παιδίον,18,unigram,neuter,accusative,plural,vaŋmbwaa,2.5867742223449883,vaŋmbwaa,child
παιδίον,99,unigram,neuter,accusative,singular,wee,1.4676445425833151,wee,child
παιδίον,186,unigram,neuter,nominative,plural,vaŋmbwaa,1.5122363729817618,vaŋmbwaa,child
παιδίον,47,unigram,neuter,nominative,singular,weembwa,1.5781061076372689,weembwa,child
πόλις,198,unigram,feminine,accusative,plural,ntɨꞌsə,2.0878285207250227,ntɨꞌsə,city
πόλις,69,unigram,feminine,accusative,singular,shɨ,1.0056810205078726,shɨ,city
πύλη,288,unigram,feminine,nominative,plural,Yighɔsə,1.0960622061228922,Yighɔsə,city gate
πύλη,222,unigram,feminine,nominative,singular,tiitə,1.2025384651289357,tiitə,city gate
