lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_228_translation,english_translation
θεός,291,unigram,masculine,accusative,plural,godino,1.2568811710380376,godino,God
θεός,122,unigram,masculine,accusative,singular,Godi,2.5253287345681814,Godi,God
θεός,185,unigram,masculine,nominative,singular,Godi,4.6087034406033816,Godi,God
κύριος,123,unigram,masculine,nominative,singular,Ireobo,2.5386512244178188,Ireobo,"Lord, lord, master"
γραφή,118,unigram,feminine,accusative,plural,vierafei,1.1428709285477785,vierafei,Scripture
γραφή,43,unigram,feminine,accusative,singular,baronenaro,1.235562546182145,baronenaro,Scripture
γραφή,232,unigram,feminine,nominative,plural,buki,1.3910632162564542,buki,Scripture
γραφή,286,unigram,feminine,nominative,singular,buki,1.043833000389988,buki,Scripture
ἄγγελος,91,unigram,masculine,accusative,plural,anera,1.6221755151680497,anera,angel
ἄγγελος,77,unigram,masculine,accusative,singular,Anera,1.2935761829763182,Anera,angel
ἄγγελος,40,unigram,masculine,nominative,plural,anera,2.6146677189283367,anera,angel
ἄγγελος,102,unigram,masculine,nominative,singular,anera,6.70537811136194,anera,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,Afasero,1.8149491325254927,Afasero,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,figa,1.1782198090575466,figa,apostle
ἐξουσία,62,unigram,feminine,accusative,plural,oefiadiavo,1.2910628680329042,oefiadiavo,authority
ἐξουσία,178,unigram,feminine,accusative,singular,daro,3.6994636202429447,daro,authority
βρέφος,15,unigram,neuter,accusative,plural,vafiae,1.0437766779430342,vafiae,babies
βρέφος,284,unigram,neuter,accusative,singular,utima,1.0740021224163885,utima,babies
ἀποθήκη,238,unigram,feminine,accusative,plural,uije,1.066184964364997,uije,barn
ἀποθήκη,61,unigram,feminine,accusative,singular,atake,1.1579189970598602,atake,barn
φραγμός,106,unigram,masculine,accusative,singular,kira,1.0591029938321448,kira,"barrier, wall"
ἀρχή,64,unigram,feminine,accusative,plural,oefiadiavo,1.2907301597734746,oefiadiavo,beginning
ἀρχή,161,unigram,feminine,accusative,singular,eraga,1.1054890991685846,eraga,beginning
ζώνη,155,unigram,feminine,accusative,plural,kedena,1.095398876121712,kedena,belt
ζώνη,198,unigram,feminine,accusative,singular,mutuekiro,1.095398876121712,mutuekiro,belt
βλασφημία,28,unigram,feminine,accusative,plural,buzeime,1.095421848054621,buzeime,blasphemy
πλοῖον,100,unigram,neuter,accusative,plural,sisime,1.6672492469622748,sisime,boat
πλοῖον,271,unigram,neuter,accusative,singular,vanage,6.064825777810378,vanage,boat
πλοῖον,211,unigram,neuter,nominative,plural,vanage,1.1112175638536672,vanage,boat
πλοῖον,200,unigram,neuter,nominative,singular,vanage,1.1438320126858352,vanage,boat
σῶμα,52,unigram,neuter,nominative,singular,vajae,2.589685523565446,vajae,body
κλῆμα,49,unigram,neuter,nominative,plural,finoekuva,1.0954080587464583,finoekuva,branch
ἄρτος,275,unigram,masculine,accusative,plural,burete,3.1155610005202883,burete,bread
ἄρτος,299,unigram,masculine,accusative,singular,burete,1.9688611827991835,burete,bread
ἄρτος,143,unigram,masculine,nominative,plural,burete,1.1130809835873043,burete,bread
ἄρτος,32,unigram,masculine,nominative,singular,burete,2.65866529486446,burete,bread
ἀδελφός,260,unigram,masculine,accusative,plural,uviarafa,1.930560498295972,uviarafa,brother
ἀδελφός,113,unigram,masculine,accusative,singular,iviegi,1.0879493545718713,iviegi,brother
ἀδελφός,105,unigram,masculine,nominative,plural,uviarafa,2.662628482682812,uviarafa,brother
ἀδελφός,205,unigram,masculine,nominative,singular,uvia,2.5250530019789106,uvia,brother
στῆθος,140,unigram,neuter,accusative,plural,baronemoga,1.1409270093858517,baronemoga,"chest, breast"
στῆθος,249,unigram,neuter,accusative,singular,tuana,1.3180503615842003,tuana,"chest, breast"
ἀρχιερεύς,215,unigram,masculine,accusative,plural,ifaejevo,1.0204640058109675,ifaejevo,chief priest
ἀρχιερεύς,53,unigram,masculine,accusative,singular,toeva,1.6910500237781376,toeva,chief priest
ἀρχιερεύς,112,unigram,masculine,nominative,plural,zinone,1.0836652731426508,zinone,chief priest
ἀρχιερεύς,220,unigram,masculine,nominative,singular,Kaefasi,1.3419669486443917,Kaefasi,chief priest
παῖς,209,unigram,masculine,accusative,plural,isesina,1.0450049421448255,isesina,child
τέκνον,294,unigram,neuter,accusative,plural,anafa,2.3769285720281776,anafa,child
τέκνον,171,unigram,neuter,nominative,singular,Farino,1.86116685046036,Farino,child
παιδίον,14,unigram,neuter,accusative,plural,ruafo,1.3083923114172749,ruafo,child
παιδίον,83,unigram,neuter,accusative,singular,ame,3.052699465173198,ame,child
παιδίον,34,unigram,neuter,nominative,singular,ame,1.9247608621272485,ame,child
πόλις,162,unigram,feminine,accusative,plural,sidove,1.3805838204055376,sidove,city
πόλις,57,unigram,feminine,accusative,singular,sidove,4.506327166007041,sidove,city
χιτών,109,unigram,masculine,accusative,plural,seti,1.0981152946993986,seti,"clothing, undergarments"
χιτών,26,unigram,masculine,accusative,singular,ado,1.097020499038343,ado,"clothing, undergarments"
ἱμάτιον,120,unigram,neuter,accusative,plural,ugone,2.4036472667089255,ugone,coat
ἱμάτιον,119,unigram,neuter,accusative,singular,ugone,1.453416227298446,ugone,coat
ἐντολή,75,unigram,feminine,accusative,plural,iriniano,1.5946089583964065,iriniano,commandment
ἐντολή,73,unigram,feminine,accusative,singular,akae,1.2552898432503459,akae,commandment
συνέδριον,279,unigram,neuter,accusative,plural,toenamiana,1.2358551681443826,toenamiana,council
συνέδριον,45,unigram,neuter,accusative,singular,ifaejevo,1.0691154062256574,ifaejevo,council
χώρα,252,unigram,feminine,accusative,singular,Gerasiko,1.035746807649254,Gerasiko,"country, countryside"
ὄχλος,50,unigram,masculine,accusative,plural,ajiana,1.0018267699075605,ajiana,crowd
ὄχλος,9,unigram,masculine,accusative,singular,afuiva,1.1678810726983635,afuiva,crowd
ὄχλος,93,unigram,masculine,nominative,plural,vakoga,1.3827575503294858,vakoga,crowd
ὄχλος,245,unigram,masculine,nominative,singular,uruvana,1.3758711544278537,uruvana,crowd
θυγάτηρ,108,unigram,feminine,nominative,plural,niraekuva,1.0954864432981108,niraekuva,daughter
θυγάτηρ,274,unigram,feminine,nominative,singular,kabae,2.116143130033381,kabae,daughter
