lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_232_translation,english_translation
θεός,330,unigram,masculine,accusative,plural,deo,1.2568811710380376,deo,God
θεός,135,unigram,masculine,accusative,singular,Deo,2.1132886743473884,Deo,God
θεός,212,unigram,masculine,nominative,singular,Deo,7.3243854870204546,Deo,God
κύριος,136,unigram,masculine,nominative,singular,Maron,3.0511382943683287,Maron,"Lord, lord, master"
γραφή,130,unigram,feminine,accusative,plural,laulau,1.7583933086250878,laulau,Scripture
γραφή,50,unigram,feminine,accusative,singular,laulau,1.1750625107313866,laulau,Scripture
γραφή,267,unigram,feminine,nominative,plural,iparangrang,1.301202842334885,iparangrang,Scripture
γραφή,324,unigram,feminine,nominative,singular,laulau,2.280348317067135,laulau,Scripture
ἄγγελος,102,unigram,masculine,accusative,plural,anggelo,2.5670853819169714,anggelo,angel
ἄγγελος,86,unigram,masculine,accusative,singular,eao.Ta,1.2467445781334583,eao.Ta,angel
ἄγγελος,46,unigram,masculine,nominative,plural,anggelo,4.091856691708232,anggelo,angel
ἄγγελος,112,unigram,masculine,nominative,singular,anggelo,4.724842107483239,anggelo,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,ato,1.9497975274073516,ato,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,ato,1.0625529020360438,ato,apostle
ἐξουσία,71,unigram,feminine,accusative,plural,akoli,1.080092816100176,akoli,authority
ἐξουσία,202,unigram,feminine,accusative,singular,bagemeai,1.1900408747925024,bagemeai,authority
βρέφος,15,unigram,neuter,accusative,plural,tidaba,1.0812925503674258,tidaba,babies
βρέφος,322,unigram,neuter,accusative,singular,golomada,1.3228100923790451,golomada,babies
ἀποθήκη,70,unigram,feminine,accusative,singular,duduinga,1.0642323521868506,duduinga,barn
φραγμός,238,unigram,masculine,accusative,plural,Ot,1.140918812724259,Ot,"barrier, wall"
ἀρχή,73,unigram,feminine,accusative,plural,akoli,1.0227276575546982,akoli,beginning
ἀρχή,184,unigram,feminine,accusative,singular,Kena,1.1265934008219958,Kena,beginning
ζώνη,175,unigram,feminine,accusative,plural,akikisi,1.1443093755096192,akikisi,belt
βλασφημία,30,unigram,feminine,accusative,plural,imul,1.05908695313985,imul,blasphemy
βλασφημία,210,unigram,feminine,nominative,plural,sasat,1.0776918894500191,sasat,blasphemy
βλασφημία,87,unigram,feminine,nominative,singular,sat,1.2544002671718464,sat,blasphemy
πλοῖον,110,unigram,neuter,accusative,plural,oaga,2.134121790050933,oaga,boat
πλοῖον,308,unigram,neuter,accusative,singular,oagaeai,2.889280358921513,oagaeai,boat
πλοῖον,243,unigram,neuter,nominative,plural,oaga,1.3094287086269312,oaga,boat
πλοῖον,229,unigram,neuter,nominative,singular,tiuodeode,1.047835738921362,tiuodeode,boat
σῶμα,219,unigram,neuter,nominative,plural,timate,1.2445688381014486,timate,body
σῶμα,61,unigram,neuter,nominative,singular,tinim,1.8545598275836768,tinim,body
κλῆμα,57,unigram,neuter,nominative,plural,natoi,1.0954080587464583,natoi,branch
κλῆμα,152,unigram,neuter,nominative,singular,itoi,1.043772018409583,itoi,branch
ἄρτος,313,unigram,masculine,accusative,plural,bret,3.7986476914726506,bret,bread
ἄρτος,342,unigram,masculine,accusative,singular,bret,1.1940936259894774,bret,bread
ἄρτος,159,unigram,masculine,nominative,plural,bret,1.371834849099265,bret,bread
ἄρτος,37,unigram,masculine,nominative,singular,annga,1.411867519898999,annga,bread
ἀδελφός,299,unigram,masculine,accusative,plural,kakakau,1.54842918887894,kakakau,brother
ἀδελφός,124,unigram,masculine,accusative,singular,itar,1.5909241213877785,itar,brother
ἀδελφός,115,unigram,masculine,nominative,plural,kakakau,3.3693816944323927,kakakau,brother
ἀδελφός,236,unigram,masculine,nominative,singular,itar,1.2371142582755963,itar,brother
στῆθος,286,unigram,neuter,accusative,singular,igogoeai,1.300247254301705,igogoeai,"chest, breast"
ἀρχιερεύς,247,unigram,masculine,accusative,plural,tenainga,1.3353005243184162,tenainga,chief priest
ἀρχιερεύς,62,unigram,masculine,accusative,singular,tenainga,1.094854075730321,tenainga,chief priest
ἀρχιερεύς,123,unigram,masculine,nominative,plural,tenainga,1.2512681315260483,tenainga,chief priest
ἀρχιερεύς,252,unigram,masculine,nominative,singular,tenainga,1.5916050615849735,tenainga,chief priest
παῖς,240,unigram,masculine,accusative,plural,arangaranga,1.0949997875006308,arangaranga,child
παῖς,48,unigram,masculine,accusative,singular,ipasamimi,1.36607080792283,ipasamimi,child
τέκνον,333,unigram,neuter,accusative,plural,gergeu,2.5279696099189577,gergeu,child
τέκνον,181,unigram,neuter,accusative,singular,itar,1.0597834872333811,itar,child
τέκνον,16,unigram,neuter,nominative,plural,tamatamad,1.4099731179852717,tamatamad,child
τέκνον,194,unigram,neuter,nominative,singular,Natug,1.949859009727453,Natug,child
παιδίον,14,unigram,neuter,accusative,plural,Alongean,1.0471547345933478,Alongean,child
παιδίον,95,unigram,neuter,accusative,singular,gergeu,2.99354475680326,gergeu,child
παιδίον,173,unigram,neuter,nominative,plural,gergeu,1.2345099051068833,gergeu,child
παιδίον,39,unigram,neuter,nominative,singular,gergeu,2.5784460167725505,gergeu,child
πόλις,185,unigram,feminine,accusative,plural,tuanga,1.292898247823154,tuanga,city
πόλις,66,unigram,feminine,accusative,singular,tuanga,2.1218837059348488,tuanga,city
πύλη,209,unigram,feminine,nominative,singular,atama,1.0092157948981024,atama,city gate
χιτών,119,unigram,masculine,accusative,plural,barikia,1.0709561727675458,barikia,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,pononga,1.42576133829072,pononga,"clothing, undergarments"
ἱμάτιον,133,unigram,neuter,accusative,plural,pononga,1.451278586942046,pononga,coat
ἱμάτιον,132,unigram,neuter,accusative,singular,pononga,2.6142025145811525,pononga,coat
ἐντολή,84,unigram,feminine,accusative,plural,apu,1.5991577274421378,apu,commandment
ἐντολή,82,unigram,feminine,accusative,singular,apaki,1.0198404694079597,apaki,commandment
συνέδριον,317,unigram,neuter,accusative,plural,timuimui,1.093094479366722,timuimui,council
συνέδριον,52,unigram,neuter,accusative,singular,patutuinga,1.1486983463922489,patutuinga,council
χώρα,289,unigram,feminine,accusative,singular,tibur,1.384713907154187,tibur,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,ipom,5.193231756468708,ipom,crowd
ὄχλος,10,unigram,masculine,accusative,singular,ipom,4.321755420747964,ipom,crowd
ὄχλος,104,unigram,masculine,nominative,plural,ipom,4.4127450722882955,ipom,crowd
ὄχλος,281,unigram,masculine,nominative,singular,ipom,5.081326210841377,ipom,crowd
θυγάτηρ,117,unigram,feminine,nominative,plural,atang,1.7600215492175002,atang,daughter
θυγάτηρ,312,unigram,feminine,nominative,singular,taine,1.8761473734659488,taine,daughter
ἡμέρα,76,unigram,feminine,accusative,plural,ado,3.1658467350418973,ado,day
ἡμέρα,88,unigram,feminine,accusative,singular,ado,3.295539649285553,ado,day
