lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_209_translation,english_translation
θεός,337,unigram,masculine,accusative,plural,kơdră,1.2362116763908513,kơdră,God
θεός,141,unigram,masculine,accusative,singular,Kei-Dei,1.2011345836469052,Kei-Dei,God
θεός,220,unigram,masculine,nominative,singular,Kei-Dei,1.1918680346371742,Kei-Dei,God
κύριος,339,unigram,masculine,nominative,plural,yaih,1.1471445263182651,yaih,"Lord, lord, master"
κύριος,142,unigram,masculine,nominative,singular,Kră,1.355520587838552,Kră,"Lord, lord, master"
γραφή,136,unigram,feminine,accusative,plural,sơ̆p,1.0793743051684168,sơ̆p,Scripture
γραφή,54,unigram,feminine,accusative,singular,sơ̆p,1.0835530245733895,sơ̆p,Scripture
γραφή,274,unigram,feminine,nominative,plural,sơ̆p,1.0821020915142887,sơ̆p,Scripture
γραφή,332,unigram,feminine,nominative,singular,bơar,1.0864338281159809,bơar,Scripture
ἄγγελος,105,unigram,masculine,accusative,plural,linh,1.0365884497260005,linh,angel
ἄγγελος,88,unigram,masculine,accusative,singular,Âu,1.4254003551821552,Âu,angel
ἄγγελος,50,unigram,masculine,nominative,plural,linh,1.2305998843142671,linh,angel
ἄγγελος,116,unigram,masculine,nominative,singular,jang,1.1151918617052978,jang,angel
ἀπόστολος,47,unigram,masculine,nominative,plural,'bang,1.6160677828793246,'bang,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,lah,1.2089265286520792,lah,apostle
ἐξουσία,73,unigram,feminine,accusative,plural,Mưh,1.142069936420206,Mưh,authority
ἐξουσία,210,unigram,feminine,accusative,singular,gơh,1.0208671569590135,gơh,authority
βρέφος,18,unigram,neuter,accusative,plural,hơ'lơ̆p,1.0343932341071742,hơ'lơ̆p,babies
βρέφος,330,unigram,neuter,accusative,singular,kro,1.1052073542262515,kro,babies
ἀποθήκη,281,unigram,feminine,accusative,plural,'ba,1.1083563096185058,'ba,barn
ἀποθήκη,72,unigram,feminine,accusative,singular,kŭ,1.467821444313653,kŭ,barn
φραγμός,245,unigram,masculine,accusative,plural,dui,1.055472951803847,dui,"barrier, wall"
ἀρχή,75,unigram,feminine,accusative,plural,Mưh,1.1418898248442702,Mưh,beginning
ἀρχή,191,unigram,feminine,accusative,singular,Kanna,1.6066439044680028,Kanna,beginning
ζώνη,182,unigram,feminine,accusative,plural,chĕp,1.0678140327638554,chĕp,belt
ζώνη,236,unigram,feminine,accusative,singular,tơ̆n,1.095398876121712,tơ̆n,belt
βλασφημία,34,unigram,feminine,accusative,plural,blông,1.0799633815971614,blông,blasphemy
βλασφημία,103,unigram,feminine,accusative,singular,blông,1.0559735953933147,blông,blasphemy
βλασφημία,218,unigram,feminine,nominative,plural,pơjăm,1.4452301685527165,pơjăm,blasphemy
πλοῖον,114,unigram,neuter,accusative,plural,thŏng-nan,1.722176552554451,thŏng-nan,boat
πλοῖον,318,unigram,neuter,accusative,singular,thŏng-nan,1.9830652086969085,thŏng-nan,boat
πλοῖον,251,unigram,neuter,nominative,plural,tơklah,1.012475259640731,tơklah,boat
πλοῖον,238,unigram,neuter,nominative,singular,thŏng-nan,1.1944699884470833,thŏng-nan,boat
σῶμα,227,unigram,neuter,nominative,plural,Lơ,1.0489699523705365,Lơ,body
σῶμα,63,unigram,neuter,nominative,singular,akâu,1.809552837784065,akâu,body
κλῆμα,158,unigram,neuter,nominative,singular,dơng,2.1806705302929186,dơng,branch
ἄρτος,322,unigram,masculine,accusative,plural,'bĕng,1.255924378213325,'bĕng,bread
ἄρτος,349,unigram,masculine,accusative,singular,sa,1.4244330740636244,sa,bread
ἄρτος,166,unigram,masculine,nominative,plural,'bĕng,1.0167717928893447,'bĕng,bread
ἄρτος,41,unigram,masculine,nominative,singular,tơmam,1.1573196460493913,tơmam,bread
ἀδελφός,308,unigram,masculine,accusative,plural,'nhŏng,1.0367632722950415,'nhŏng,brother
