lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_245_translation,english_translation
θεός,276,unigram,masculine,accusative,plural,keye'ahana,1.0784767796294568,keye'ahana,God
θεός,113,unigram,masculine,accusative,singular,Hu'mamofihi,1.8081237851650365,Hu'mamofihi,God
θεός,172,unigram,masculine,nominative,singular,Hu'mau,5.268427484754786,Hu'mau,God
κύριος,278,unigram,masculine,nominative,plural,nefa'ibe,1.096344883540667,nefa'ibe,"Lord, lord, master"
κύριος,114,unigram,masculine,nominative,singular,Sipi,2.731604429961408,Sipi,"Lord, lord, master"
γραφή,108,unigram,feminine,accusative,plural,go'ehina,1.021094321049857,go'ehina,Scripture
γραφή,41,unigram,feminine,accusative,singular,bukugu,1.5302781532124954,bukugu,Scripture
γραφή,220,unigram,feminine,nominative,plural,kagu,1.3906183981714877,kagu,Scripture
γραφή,270,unigram,feminine,nominative,singular,bukugu,1.2862993888083287,bukugu,Scripture
ἄγγελος,82,unigram,masculine,accusative,plural,agelo,1.2094008980644428,agelo,angel
ἄγγελος,70,unigram,masculine,accusative,singular,agelomofihi,1.026566712147491,agelomofihi,angel
ἄγγελος,37,unigram,masculine,nominative,plural,agelomagi,3.863166317416953,agelomagi,angel
ἄγγελος,91,unigram,masculine,nominative,singular,agelouba,1.209731364238767,agelouba,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,aposolo,1.2706972787235795,aposolo,apostle
ἐξουσία,58,unigram,feminine,accusative,plural,nebinogomo,1.059200056091772,nebinogomo,authority
ἐξουσία,165,unigram,feminine,accusative,singular,lenelepilube,1.0853581716482468,lenelepilube,authority
βρέφος,11,unigram,neuter,accusative,plural,meso'ani,1.0954126531313877,meso'ani,babies
βρέφος,269,unigram,neuter,accusative,singular,sepeke'nagu,1.8091403287443315,sepeke'nagu,babies
ἀποθήκη,57,unigram,feminine,accusative,singular,logogu,1.2224496917848748,logogu,barn
φραγμός,194,unigram,masculine,accusative,plural,hepa'ni,1.2109304266994652,hepa'ni,"barrier, wall"
φραγμός,95,unigram,masculine,accusative,singular,gegisa,1.3626462971411994,gegisa,"barrier, wall"
ἀρχή,60,unigram,feminine,accusative,plural,nebinogomo,1.0591392270921265,nebinogomo,beginning
ἀρχή,150,unigram,feminine,accusative,singular,yata,1.0678826977248106,yata,beginning
ζώνη,144,unigram,feminine,accusative,plural,gutini,1.095398876121712,gutini,belt
βλασφημία,23,unigram,feminine,accusative,plural,kele'me,1.2535450509576167,kele'me,blasphemy
βλασφημία,71,unigram,feminine,nominative,singular,enemegeka,1.1054498000273834,enemegeka,blasphemy
πλοῖον,89,unigram,neuter,accusative,plural,boti,1.9488013135495013,boti,boat
πλοῖον,256,unigram,neuter,accusative,singular,botigu,2.417740298472089,botigu,boat
πλοῖον,199,unigram,neuter,nominative,plural,hetegete,1.0806167294774145,hetegete,boat
πλοῖον,186,unigram,neuter,nominative,singular,botigu,2.570181801621958,botigu,boat
σῶμα,49,unigram,neuter,nominative,singular,kugufaka,1.2497348466552662,kugufaka,body
κλῆμα,126,unigram,neuter,nominative,singular,mehepilana,1.9354431763926456,mehepilana,branch
ἄρτος,260,unigram,masculine,accusative,plural,beleti,2.487226372083927,beleti,bread
ἄρτος,286,unigram,masculine,accusative,singular,beleti,2.0092741741748528,beleti,bread
ἄρτος,28,unigram,masculine,nominative,singular,beleti,2.6786735280143894,beleti,bread
ἀδελφός,102,unigram,masculine,accusative,singular,kogunale,1.0345615105147146,kogunale,brother
ἀδελφός,94,unigram,masculine,nominative,plural,gonamu,1.6170672461664386,gonamu,brother
ἀδελφός,192,unigram,masculine,nominative,singular,Atulu,1.1537911726260606,Atulu,brother
στῆθος,235,unigram,neuter,accusative,singular,fatehakamagihi,1.1549688321377318,fatehakamagihi,"chest, breast"
ἀρχιερεύς,203,unigram,masculine,accusative,plural,mono,1.293061808703207,mono,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,mono,1.1125611220782647,mono,chief priest
ἀρχιερεύς,101,unigram,masculine,nominative,plural,mono,1.810495457102549,mono,chief priest
ἀρχιερεύς,207,unigram,masculine,nominative,singular,mono,1.2822045819956982,mono,chief priest
παῖς,197,unigram,masculine,accusative,plural,bi'ehina,1.383635614337004,bi'ehina,child
παῖς,39,unigram,masculine,accusative,singular,noigo,1.0954540950705378,noigo,child
τέκνον,280,unigram,neuter,accusative,plural,yagapana,2.0739364953645643,yagapana,child
τέκνον,160,unigram,neuter,nominative,singular,Pana'ni,3.772677619795034,Pana'ni,child
παιδίον,77,unigram,neuter,accusative,singular,ito'afi,1.1314550743960805,ito'afi,child
παιδίον,142,unigram,neuter,nominative,plural,lagaso,1.1699451706491824,lagaso,child
παιδίον,30,unigram,neuter,nominative,singular,metilina'mu,1.6359777210891275,metilina'mu,child
πόλις,151,unigram,feminine,accusative,plural,hepatoga,1.8526256582991771,hepatoga,city
πόλις,54,unigram,feminine,accusative,singular,hepato,1.6584845504200765,hepato,city
πύλη,170,unigram,feminine,nominative,singular,kitili,1.035143547150464,kitili,city gate
χιτών,98,unigram,masculine,accusative,plural,lenayapako,1.0453188048124886,lenayapako,"clothing, undergarments"
χιτών,21,unigram,masculine,accusative,singular,kefeka,1.11505618771538,kefeka,"clothing, undergarments"
ἱμάτιον,111,unigram,neuter,accusative,plural,kata,1.428035278490157,kata,coat
ἱμάτιον,110,unigram,neuter,accusative,singular,kefeka,1.083347114035231,kefeka,coat
ἐντολή,68,unigram,feminine,accusative,singular,komopatini,1.0572122032743558,komopatini,commandment
συνέδριον,264,unigram,neuter,accusative,plural,hilo,1.0925333611063008,hilo,council
συνέδριον,43,unigram,neuter,accusative,singular,kanisole,1.374425399801667,kanisole,council
χώρα,237,unigram,feminine,accusative,singular,muya,1.0963727980773297,muya,"country, countryside"
ὄχλος,47,unigram,masculine,accusative,plural,boana,2.915341625420629,boana,crowd
ὄχλος,7,unigram,masculine,accusative,singular,babu,1.235443351954512,babu,crowd
ὄχλος,84,unigram,masculine,nominative,plural,babu,1.1697406761960845,babu,crowd
ὄχλος,232,unigram,masculine,nominative,singular,babu,1.8750756542335638,babu,crowd
θυγάτηρ,259,unigram,feminine,nominative,singular,Yailusihi,1.0287998276423986,Yailusihi,daughter
ἡμέρα,63,unigram,feminine,accusative,plural,yegegu,1.0078624500715174,yegegu,day
ἡμέρα,72,unigram,feminine,accusative,singular,yupahi,1.4647192639718445,yupahi,day
ἡμέρα,2,unigram,feminine,nominative,plural,kana,1.3236296902621285,kana,day
ἡμέρα,56,unigram,feminine,nominative,singular,tilago,1.093174790518156,tilago,day
δαιμόνιον,22,unigram,neuter,accusative,plural,fele,1.1260765003029871,fele,demon
δαιμόνιον,273,unigram,neuter,accusative,singular,fele,2.4846243573839555,fele,demon
δαιμόνιον,161,unigram,neuter,nominative,plural,foipa,1.0608377925014487,foipa,demon
δαιμόνιον,141,unigram,neuter,nominative,singular,fele,1.1120176244049451,fele,demon
δηνάριον,251,unigram,neuter,accusative,plural,efaha,1.1243809394186968,efaha,denarius (about a day's wages)
δηνάριον,133,unigram,neuter,accusative,singular,nelepilo,1.1277506914981952,nelepilo,denarius (about a day's wages)
μαθητής,147,unigram,masculine,accusative,plural,pana'alobo,1.005055541437733,pana'alobo,disciple
μαθητής,281,unigram,masculine,accusative,singular,bita,2.11892504152302,bita,disciple
μαθητής,227,unigram,masculine,nominative,plural,koko,1.4314648902387803,koko,disciple
μαθητής,279,unigram,masculine,nominative,singular,koko,1.411952330257192,koko,disciple
νόσος,62,unigram,feminine,accusative,singular,enugufagu,1.0881197532950422,enugufagu,disease
περιστερά,83,unigram,feminine,accusative,plural,bisinisi,1.2231942163649103,bisinisi,dove
περιστερά,45,unigram,feminine,accusative,singular,nama,1.5741998814638154,nama,dove
οὖς,125,unigram,neuter,accusative,plural,ni'inogomo,1.447177006867116,ni'inogomo,ear
οὖς,231,unigram,neuter,accusative,singular,ti'ehite,1.0477742917811492,ti'ehite,ear
σεισμός,166,unigram,masculine,nominative,plural,imima,1.2185414941398196,imima,"earthquakes, storm"
σεισμός,52,unigram,masculine,nominative,singular,sipinamo,1.872189122047192,sipinamo,"earthquakes, storm"
τέλος,225,unigram,neuter,accusative,singular,kosele,1.0976969407464068,kosele,end
αἰών,198,unigram,masculine,accusative,plural,naga'amagihi,1.2112239318970408,naga'amagihi,eternity
αἰών,247,unigram,masculine,accusative,singular,minoba,1.0400940151874598,minoba,eternity
ὀφθαλμός,15,unigram,masculine,accusative,plural,bu,1.186439585452337,bu,eye
ὀφθαλμός,53,unigram,masculine,nominative,plural,etubu'atiti,1.2611441811207975,etubu'atiti,eye
ὀφθαλμός,245,unigram,masculine,nominative,singular,kubuka,1.612884339229507,kubuka,eye
πρόσωπον,157,unigram,neuter,accusative,singular,okabagati,1.0679059316298949,okabagati,face
λιμός,4,unigram,feminine,nominative,plural,naga'amagi,1.105470825457771,naga'amagi,famine
λιμός,255,unigram,masculine,nominative,plural,enebesise'na,1.0437766779430342,enebesise'na,famine
λιμός,79,unigram,feminine,nominative,singular,he'miba,1.112412249166863,he'miba,famine
γεωργός,208,unigram,masculine,nominative,plural,fililototi,1.1283215266986546,fililototi,"farmer, tenant"
γεωργός,40,unigram,masculine,nominative,singular,emito,1.0136911610148658,emito,"farmer, tenant"
πατήρ,250,unigram,masculine,accusative,singular,Afo'nifitoga,1.474763876840376,Afo'nifitoga,father
πατήρ,258,unigram,masculine,nominative,plural,tatatinigi,2.5582577795617087,tatatinigi,father
πατήρ,152,unigram,masculine,nominative,singular,Afo'nifu,3.0885111271690624,Afo'nifu,father
ἀγρός,272,unigram,masculine,accusative,plural,lifitogo,1.024922584588284,lifitogo,field
ἀγρός,29,unigram,masculine,accusative,singular,mina,1.2530642003313612,mina,field
δάκτυλος,190,unigram,masculine,accusative,plural,kenetufa'alo,1.2109753543116366,kenetufa'alo,finger
δάκτυλος,146,unigram,masculine,accusative,singular,ule'ale,1.0825647485585757,ule'ale,finger
ἰχθύς,128,unigram,masculine,accusative,plural,faya,1.15237977530792,faya,fish
ἰχθύς,156,unigram,masculine,accusative,singular,faya,1.276192474648115,faya,fish
δίκτυον,90,unigram,neuter,accusative,plural,faya,1.70167812415416,faya,fishing net
δίκτυον,164,unigram,neuter,accusative,singular,faya,1.2079239995047342,faya,fishing net
