lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2187_translation,version_2188_translation,english_translation
θεός,116,unigram,masculine,accusative,singular,Бога,75.47569426753401,Бога,Бога,God
θεός,24,unigram,masculine,nominative,plural,,,багі,богі,God
θεός,188,unigram,masculine,nominative,singular,Бог,24.791860327564585,Бог,Бог,God
κύριος,117,unigram,masculine,nominative,singular,,,Гасподзь,Госпад,"Lord, lord, master"
γραφή,112,unigram,feminine,accusative,plural,,,Пісаньняў,Пісаньня,Scripture
γραφή,44,unigram,feminine,accusative,singular,Пісаньня,2.2126324773276504,,Пісаньня,Scripture
γραφή,240,unigram,feminine,nominative,plural,Пісаньне,1.064803471350054,,Пісаньне,Scripture
γραφή,301,unigram,feminine,nominative,singular,Пісаньне,3.06701610489539,Пісаньне,Пісаньне,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,анёлаў,3.7436241563791763,анёлаў,анёлаў,angel
ἄγγελος,71,unigram,masculine,accusative,singular,анёла,1.1298548197653642,анёла,,angel
ἄγγελος,42,unigram,masculine,nominative,plural,анёлы,23.29336085300342,анёлы,анёлы,angel
ἄγγελος,92,unigram,masculine,nominative,singular,анёл,4.774941655879061,анёл,анёл,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,апосталы,2.0616477272063083,апосталы,апосталы,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,пасланец,1.9473475673777605,пасланец,пасланец,apostle
ἐξουσία,180,unigram,feminine,accusative,singular,ўладу,6.886302178572925,ўладу,ўладу,authority
βρέφος,299,unigram,neuter,accusative,singular,ясьлях,1.999949063699646,ясьлях,,babies
ἀποθήκη,245,unigram,feminine,accusative,plural,,,засекі,сьвірны,barn
ζώνη,154,unigram,feminine,accusative,plural,паясы,1.2013309189107515,паясы,паясы,belt
ζώνη,205,unigram,feminine,accusative,singular,ежай,1.0960524252565438,ежай,,belt
βλασφημία,28,unigram,feminine,accusative,plural,разважаць,1.2013845589884997,разважаць,разважаць,blasphemy
βλασφημία,186,unigram,feminine,nominative,plural,блюзьнерствы,1.999949021035427,,блюзьнерствы,blasphemy
βλασφημία,72,unigram,feminine,nominative,singular,блюзьнерства,1.8875548557134734,блюзьнерства,,blasphemy
πλοῖον,90,unigram,neuter,accusative,plural,,,лодкі,чаўны,boat
πλοῖον,286,unigram,neuter,accusative,singular,,,лодку,човен,boat
πλοῖον,220,unigram,neuter,nominative,plural,лодку,1.1616361309642669,лодку,,boat
πλοῖον,207,unigram,neuter,nominative,singular,,,лодка,човен,boat
σῶμα,53,unigram,neuter,nominative,singular,цела,3.0405793444177878,цела,цела,body
κλῆμα,50,unigram,neuter,nominative,plural,галіны,1.0960622061228922,галіны,,branch
κλῆμα,131,unigram,neuter,nominative,singular,галіна,1.4742683993964798,галіна,галіна,branch
ἄρτος,290,unigram,masculine,accusative,plural,хлябоў,5.730562100995723,хлябоў,хлябоў,bread
ἄρτος,314,unigram,masculine,accusative,singular,хлеб,7.190532993494468,хлеб,хлеб,bread
ἄρτος,139,unigram,masculine,nominative,plural,,,хлябоў,хлеба,bread
ἄρτος,33,unigram,masculine,nominative,singular,хлеб,4.113892743962461,хлеб,хлеб,bread
ἀδελφός,276,unigram,masculine,accusative,plural,братоў,11.401606698501311,братоў,братоў,brother
ἀδελφός,103,unigram,masculine,accusative,singular,брата,6.052528935715848,брата,брата,brother
ἀδελφός,94,unigram,masculine,nominative,plural,браты,6.5861127464974425,браты,браты,brother
ἀδελφός,212,unigram,masculine,nominative,singular,брат,30.99859775467609,брат,брат,brother
στῆθος,261,unigram,neuter,accusative,singular,,,грудзі,грудзей,"chest, breast"
ἀρχιερεύς,224,unigram,masculine,accusative,plural,першасьвятароў,4.594714088137562,першасьвятароў,першасьвятароў,chief priest
ἀρχιερεύς,54,unigram,masculine,accusative,singular,першасьвятара,2.348379341076693,першасьвятара,першасьвятара,chief priest
ἀρχιερεύς,102,unigram,masculine,nominative,plural,першасьвятары,21.666202076799305,першасьвятары,першасьвятары,chief priest
ἀρχιερεύς,228,unigram,masculine,nominative,singular,першасьвятар,4.7336931614004,першасьвятар,першасьвятар,chief priest
παῖς,216,unigram,masculine,accusative,plural,,,убачыўшы,дзяцей,child
τέκνον,308,unigram,neuter,accusative,plural,дзяцей,9.452239419066414,дзяцей,дзяцей,child
τέκνον,160,unigram,neuter,accusative,singular,брат,1.5207698406112509,брат,брат,child
τέκνον,13,unigram,neuter,nominative,plural,дзеці,2.454780935712136,дзеці,дзеці,child
τέκνον,172,unigram,neuter,nominative,singular,,,сыне,Дзіця,child
παιδίον,12,unigram,neuter,accusative,plural,,,пусьцеце,забараняйце,child
παιδίον,78,unigram,neuter,accusative,singular,,,дзіця,Дзіцятка,child
παιδίον,152,unigram,neuter,nominative,plural,дзеці,5.495593643069073,дзеці,дзеці,child
παιδίον,35,unigram,neuter,nominative,singular,дзіця,3.069279209435035,дзіця,дзіця,child
πόλις,163,unigram,feminine,accusative,plural,гарады,1.5722190488317687,гарады,гарады,city
πόλις,57,unigram,feminine,accusative,singular,горад,49.22210052514084,горад,горад,city
πύλη,185,unigram,feminine,nominative,singular,брама,1.0595352057902494,,брама,city gate
χιτών,98,unigram,masculine,accusative,plural,,,дзьве,вопраткі,"clothing, undergarments"
χιτών,25,unigram,masculine,accusative,singular,,,кашулю,вопратку,"clothing, undergarments"
ἱμάτιον,114,unigram,neuter,accusative,plural,,,вопратку,адзеньне,coat
ἱμάτιον,113,unigram,neuter,accusative,singular,,,вопратку,адзеньне,coat
ἐντολή,69,unigram,feminine,accusative,plural,,,запаведзі,прыказаньні,commandment
ἐντολή,67,unigram,feminine,accusative,singular,,,запаведзь,прыказаньне,commandment
συνέδριον,295,unigram,neuter,accusative,plural,,,судзілішчы,сынэдрыёны,council
συνέδριον,46,unigram,neuter,accusative,singular,,,першасьвятары,сынэдрыён,council
χώρα,265,unigram,feminine,accusative,singular,,,краіну,край,"country, countryside"
ὄχλος,51,unigram,masculine,accusative,plural,,,людзей,натоўпы,crowd
ὄχλος,10,unigram,masculine,accusative,singular,,,людзей,натоўп,crowd
ὄχλος,83,unigram,masculine,nominative,plural,,,люд,натоўпы,crowd
ὄχλος,256,unigram,masculine,nominative,singular,натоўп,7.053180702485106,,натоўп,crowd
θυγάτηρ,289,unigram,feminine,nominative,singular,дачка,4.059448071062754,дачка,дачка,daughter
ἡμέρα,63,unigram,feminine,accusative,plural,дні,1.7598785427153716,дні,дні,day
ἡμέρα,73,unigram,feminine,accusative,singular,дзень,10.725992505290302,дзень,дзень,day
ἡμέρα,2,unigram,feminine,nominative,plural,дні,11.923292083050852,дні,дні,day
ἡμέρα,59,unigram,feminine,nominative,singular,дзень,10.122433627818538,дзень,дзень,day
ὀφειλέτης,105,unigram,masculine,nominative,singular,рахавацца,1.5222726047565007,рахавацца,рахавацца,debtor
δαιμόνιον,26,unigram,neuter,accusative,plural,дэманаў,12.401877890084023,дэманаў,дэманаў,demon
δαιμόνιον,304,unigram,neuter,accusative,singular,,,дэман,дэмана,demon
δαιμόνιον,174,unigram,neuter,nominative,plural,,,дэманы,дэманаў,demon
δαιμόνιον,151,unigram,neuter,nominative,singular,дэман,5.705277441607817,дэман,дэман,demon
δηνάριον,281,unigram,neuter,accusative,plural,дынараў,1.2938984347818963,дынараў,дынараў,denarius (about a day's wages)
δηνάριον,141,unigram,neuter,accusative,singular,дынар,2.2337856962825495,дынар,дынар,denarius (about a day's wages)
μαθητής,157,unigram,masculine,accusative,plural,вучняў,3.1075071262192036,вучняў,вучняў,disciple
μαθητής,309,unigram,masculine,accusative,singular,,,любіў,вучня,disciple
μαθητής,249,unigram,masculine,nominative,plural,вучні,4.451683645689705,вучні,вучні,disciple
