lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2260_translation,version_2261_translation,version_2262_translation,version_2263_translation,version_2264_translation,version_2265_translation,version_2266_translation,version_2267_translation,english_translation
θεός,369,unigram,masculine,accusative,plural,,,,,দেবতার,,,ঈশ্বর,,,God
θεός,153,unigram,masculine,accusative,singular,ঈশ্বরের,26.424696652967622,আল্লাহ্‌র,ঈশ্বরের,ঈশ্বরের,আল্লাহ্‌র,ঈশ্বরের,ঈশ্বরের,ঈশ্বরের,ঈশ্বরের,God
θεός,32,unigram,masculine,nominative,plural,,,বললাম,বললাম,,আল্লাহ্‌,দেবতা,ঈশ্বর,ঈশ্বর,,God
θεός,235,unigram,masculine,nominative,singular,ঈশ্বর,133569.74014934697,আল্লাহ্‌,ঈশ্বর,ঈশ্বর,আল্লাহ্‌,ঈশ্বর,ঈশ্বর,ঈশ্বর,ঈশ্বর,God
κύριος,154,unigram,masculine,nominative,singular,প্রভু,588.5557825657314,মালিক,প্রভু,প্রভু,প্রভু,প্রভু,প্রভু,প্রভু,প্রভু,"Lord, lord, master"
γραφή,148,unigram,feminine,accusative,plural,শাস্ত্র,84.39923067467477,পাক-কিতাব,শাস্ত্র,শাস্ত্র,পাক-কিতাব,শাস্ত্রজ্ঞান,শাস্ত্র,শাস্ত্র,শাস্ত্র,Scripture
γραφή,57,unigram,feminine,accusative,singular,দিয়েছিলসেটাই,1.140901498548929,দিয়েছিলসেটাই,দিয়েছিলসেটাই,,পাক-কিতাবের,,,,,Scripture
γραφή,297,unigram,feminine,nominative,plural,,,,শাস্ত্রে,শাস্ত্রের,পাক-কিতাবের,শাস্ত্রের,বচনগুলি,বচনগুলি,শাস্ত্রবাণী,Scripture
γραφή,364,unigram,feminine,nominative,singular,শাস্ত্রের,5.662522463446665,পাক-কিতাবের,শাস্ত্রের,শাস্ত্রের,পাক-কিতাবের,শাস্ত্রের,বচন,শাস্ত্রের,শাস্ত্রের,Scripture
ἄγγελος,112,unigram,masculine,accusative,plural,দূতদের,3.46023678260687,ফেরেশতারা,দূতেরা,দূতদের,ফেরেশতাদেরকে,দূতদের,দূতগণকে,দূতগণকে,দূতদের,angel
ἄγγελος,94,unigram,masculine,accusative,singular,দূতকে,25.3873477194324,,,দূতকে,,দূতকে,দূতকে,দূতকে,পাঠাব,angel
ἄγγελος,54,unigram,masculine,nominative,plural,স্বর্গদূতেরা,7.653949771349664,ফেরেশতারা,স্বর্গদূতেরা,দূতেরা,ফেরেশতারা,স্বর্গদূতেরা,দূতগণ,দূতগণ,স্বর্গদূতেরা,angel
ἄγγελος,123,unigram,masculine,nominative,singular,দূত,548.3873100074269,ফেরেশতা,দূত,দূত,ফেরেশতা,দূত,দূত,দূত,দূত,angel
