lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1467_translation,english_translation
θεός,320,unigram,masculine,accusative,plural,बौल़दी,1.097258004808277,बौल़दी,God
θεός,137,unigram,masculine,accusative,singular,परमेश्‍वरा,1.7368430420221794,परमेश्‍वरा,God
θεός,29,unigram,masculine,nominative,plural,ईश्वर,1.6005622049634816,ईश्वर,God
θεός,207,unigram,masculine,nominative,singular,परमेश्‍वर,4.725857048446174,परमेश्‍वर,God
κύριος,138,unigram,masculine,nominative,singular,प्रभु,1.7194110315668898,प्रभु,"Lord, lord, master"
γραφή,132,unigram,feminine,accusative,plural,पवित्रशास्त्रा,1.5296300242831056,पवित्रशास्त्रा,Scripture
γραφή,50,unigram,feminine,accusative,singular,पवित्रशास्त्रा,1.3347125567462772,पवित्रशास्त्रा,Scripture
γραφή,254,unigram,feminine,nominative,plural,हुआ।,1.0603090995124296,हुआ।,Scripture
γραφή,315,unigram,feminine,nominative,singular,लिखौ,1.0129055274567564,लिखौ,Scripture
ἄγγελος,102,unigram,masculine,accusative,plural,सौरगदूत,3.8217524261047764,सौरगदूत,angel
ἄγγελος,87,unigram,masculine,accusative,singular,औगाड़िऐ,1.1909419133435757,औगाड़िऐ,angel
ἄγγελος,47,unigram,masculine,nominative,plural,सौरगदूत,1.9594526828117242,सौरगदूत,angel
ἄγγελος,112,unigram,masculine,nominative,singular,दूतै,1.2480049160913989,दूतै,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,भेज़ै,1.753853638797118,भेज़ै,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,भेज़णै,1.25762379114676,भेज़णै,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,मुकदमौ,1.0962199599997684,मुकदमौ,authority
ἐξουσία,197,unigram,feminine,accusative,singular,हक्क,3.741333267390773,हक्क,authority
βρέφος,16,unigram,neuter,accusative,plural,आणदै,1.2552670215213475,आणदै,babies
βρέφος,314,unigram,neuter,accusative,singular,खोरली,1.5108276857212686,खोरली,babies
ἀποθήκη,69,unigram,feminine,accusative,singular,गीऊं,1.3763487480727807,गीऊं,barn
φραγμός,228,unigram,masculine,accusative,plural,भौरीया।,1.096057314542422,भौरीया।,"barrier, wall"
ἀρχή,73,unigram,feminine,accusative,plural,मुकदमौ,1.0961063339256685,मुकदमौ,beginning
ζώνη,172,unigram,feminine,accusative,plural,चांबौ,1.0960524252565438,चांबौ,belt
βλασφημία,33,unigram,feminine,accusative,plural,बुराई,1.1485429056662781,बुराई,blasphemy
βλασφημία,99,unigram,feminine,accusative,singular,च़िरै,1.2378593682289951,च़िरै,blasphemy
βλασφημία,205,unigram,feminine,nominative,plural,बुराई,1.5830215956916172,बुराई,blasphemy
βλασφημία,88,unigram,feminine,nominative,singular,बुराई,1.5830215956916172,बुराई,blasphemy
πλοῖον,110,unigram,neuter,accusative,plural,किश्ती,1.723202666572944,किश्ती,boat
πλοῖον,300,unigram,neuter,accusative,singular,किश्ती,6.926840173238531,किश्ती,boat
πλοῖον,221,unigram,neuter,nominative,singular,किश्ती,1.9723880660012219,किश्ती,boat
σῶμα,60,unigram,neuter,nominative,singular,शरीर,1.8154470656082449,शरीर,body
κλῆμα,56,unigram,neuter,nominative,plural,डाल़ी।,1.1613200159490844,डाल़ी।,branch
κλῆμα,149,unigram,neuter,nominative,singular,डाल़ी,1.1099820082575567,डाल़ी,branch
ἄρτος,304,unigram,masculine,accusative,plural,रोटी,3.4214756183466384,रोटी,bread
ἄρτος,330,unigram,masculine,accusative,singular,रोटी,5.196525970266751,रोटी,bread
ἄρτος,158,unigram,masculine,nominative,plural,रोटी,2.3751404586160687,रोटी,bread
ἄρτος,39,unigram,masculine,nominative,singular,रोटी,1.5859808262372146,रोटी,bread
ἀδελφός,291,unigram,masculine,accusative,plural,भाई,3.6847734223743025,भाई,brother
ἀδελφός,124,unigram,masculine,accusative,singular,भाई,2.2183521933585104,भाई,brother
ἀδελφός,116,unigram,masculine,nominative,plural,भाई,1.9856453574574908,भाई,brother
