lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_290_translation,english_translation
θεός,322,unigram,masculine,accusative,plural,ghod,1.3870046582573454,ghod,God
θεός,133,unigram,masculine,accusative,singular,God,3.51290776479758,God,God
θεός,208,unigram,masculine,nominative,singular,God,8.156918620125817,God,God
κύριος,324,unigram,masculine,nominative,plural,romiu,1.059724082446904,romiu,"Lord, lord, master"
κύριος,134,unigram,masculine,nominative,singular,Lod,2.8749454316442447,Lod,"Lord, lord, master"
γραφή,128,unigram,feminine,accusative,plural,Rioriso,1.502184734729347,Rioriso,Scripture
γραφή,51,unigram,feminine,accusative,singular,Rioriso,1.521536260288428,Rioriso,Scripture
γραφή,256,unigram,feminine,nominative,plural,Rioriso,1.4217741855301045,Rioriso,Scripture
γραφή,316,unigram,feminine,nominative,singular,Rioriso,1.5736012923390104,Rioriso,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,enjel,1.7991379674621886,enjel,angel
ἄγγελος,84,unigram,masculine,accusative,singular,atua,1.1863722509686458,atua,angel
ἄγγελος,47,unigram,masculine,nominative,plural,enjel,5.280894686006626,enjel,angel
ἄγγελος,108,unigram,masculine,nominative,singular,enjel,5.248270746492923,enjel,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,vetula,1.2645936685196912,vetula,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,vunaghigna,1.3052194643113608,vunaghigna,apostle
ἐξουσία,69,unigram,feminine,accusative,plural,Sa,1.112598487580266,Sa,authority
ἐξουσία,199,unigram,feminine,accusative,singular,mana,3.2921280767080585,mana,authority
βρέφος,18,unigram,neuter,accusative,plural,peora,1.144333223882831,peora,babies
βρέφος,314,unigram,neuter,accusative,singular,vangadia,1.1124058718355103,vangadia,babies
ἀποθήκη,262,unigram,feminine,accusative,plural,boa,1.2193166510306406,boa,barn
ἀποθήκη,68,unigram,feminine,accusative,singular,pughulira,1.15995203104778,pughulira,barn
ἀρχή,71,unigram,feminine,accusative,plural,Sa,1.1124697784561155,Sa,beginning
ἀρχή,180,unigram,feminine,accusative,singular,Kena,1.074044520768367,Kena,beginning
ζώνη,173,unigram,feminine,accusative,plural,duamiu,1.3457787652898092,duamiu,belt
βλασφημία,32,unigram,feminine,accusative,plural,vananaba,1.0437813417314847,vananaba,blasphemy
βλασφημία,206,unigram,feminine,nominative,plural,haghorea,1.1054498000273834,haghorea,blasphemy
πλοῖον,106,unigram,neuter,accusative,plural,boti,1.7471156971531223,boti,boat
πλοῖον,301,unigram,neuter,accusative,singular,boti,2.2509136211798166,boti,boat
πλοῖον,234,unigram,neuter,nominative,plural,hahaghe,1.0801169672594162,hahaghe,boat
πλοῖον,224,unigram,neuter,nominative,singular,boti,1.4882126154279356,boti,boat
σῶμα,215,unigram,neuter,nominative,plural,tagotia,1.03947650848412,tagotia,body
σῶμα,61,unigram,neuter,nominative,singular,batugho,1.2592946816643338,batugho,body
κλῆμα,58,unigram,neuter,nominative,plural,sagharomiu,1.210941650915542,sagharomiu,branch
κλῆμα,150,unigram,neuter,nominative,singular,totho,1.6287637021256465,totho,branch
ἄρτος,305,unigram,masculine,accusative,plural,bred,3.4157251713864114,bred,bread
ἄρτος,333,unigram,masculine,accusative,singular,bred,1.1599723334530625,bred,bread
ἄρτος,157,unigram,masculine,nominative,plural,nabadia,1.0870666061654597,nabadia,bread
ἄρτος,38,unigram,masculine,nominative,singular,bred,3.177756604028553,bred,bread
ἀδελφός,290,unigram,masculine,accusative,plural,tahigna,2.080391091459997,tahigna,brother
ἀδελφός,119,unigram,masculine,accusative,singular,Jemes,1.2646011615261763,Jemes,brother
ἀδελφός,111,unigram,masculine,nominative,plural,tahigna,1.7588333042593736,tahigna,brother
ἀδελφός,228,unigram,masculine,nominative,singular,tahigna,2.2025930390044426,tahigna,brother
στῆθος,275,unigram,neuter,accusative,singular,ravi,1.9580339404940268,ravi,"chest, breast"
ἀρχιερεύς,118,unigram,masculine,nominative,plural,pris,1.0466419071051611,pris,chief priest
παῖς,49,unigram,masculine,accusative,singular,vasikili,1.1124697784561155,vasikili,child
τέκνον,326,unigram,neuter,accusative,plural,ara,1.2455402090501635,ara,child
τέκνον,192,unigram,neuter,nominative,singular,Dathegu,2.380963322421983,Dathegu,child
παιδίον,17,unigram,neuter,accusative,plural,lutira,1.1222908082953684,lutira,child
παιδίον,91,unigram,neuter,accusative,singular,gari,2.0779614089140113,gari,child
παιδίον,40,unigram,neuter,nominative,singular,gari,2.9761425020035115,gari,child
πόλις,181,unigram,feminine,accusative,plural,meleha,1.2699473427345704,meleha,city
πόλις,64,unigram,feminine,accusative,singular,meleha,1.7573959939477604,meleha,city
πύλη,205,unigram,feminine,nominative,singular,kapocho,1.3065525124243509,kapocho,city gate
χιτών,115,unigram,masculine,accusative,plural,varua,1.161726942264512,varua,"clothing, undergarments"
χιτών,29,unigram,masculine,accusative,singular,poko,1.511716701955837,poko,"clothing, undergarments"
ἱμάτιον,131,unigram,neuter,accusative,plural,oopo,1.3389864173822763,oopo,coat
ἱμάτιον,130,unigram,neuter,accusative,singular,oopo,1.435473261389969,oopo,coat
ἐντολή,83,unigram,feminine,accusative,plural,vuha,1.0431568384492746,vuha,commandment
ἐντολή,81,unigram,feminine,accusative,singular,vetula,1.2035253874374772,vetula,commandment
συνέδριον,309,unigram,neuter,accusative,plural,thabuhighamu,1.1781894292718724,thabuhighamu,council
συνέδριον,53,unigram,neuter,accusative,singular,Kansol,1.7476762320359218,Kansol,council
χώρα,76,unigram,feminine,accusative,plural,hathatanora.,1.3816981662284962,hathatanora.,"country, countryside"
χώρα,278,unigram,feminine,accusative,singular,meleha,1.4865546678163548,meleha,"country, countryside"
ὄχλος,59,unigram,masculine,accusative,plural,mavitu,2.581523736806256,mavitu,crowd
ὄχλος,12,unigram,masculine,accusative,singular,mavitu,4.975680255593696,mavitu,crowd
ὄχλος,100,unigram,masculine,nominative,plural,mavitu,1.7443248741118569,mavitu,crowd
ὄχλος,270,unigram,masculine,nominative,singular,mavitu,1.7592625553978203,mavitu,crowd
θυγάτηρ,113,unigram,feminine,nominative,plural,dathemiu,1.0800302900197924,dathemiu,daughter
θυγάτηρ,304,unigram,feminine,nominative,singular,vaivine,1.297624026486901,vaivine,daughter
ἡμέρα,74,unigram,feminine,accusative,plural,dani,3.9309252724047306,dani,day
ἡμέρα,85,unigram,feminine,accusative,singular,dani,1.2013999341078816,dani,day
ἡμέρα,2,unigram,feminine,nominative,plural,dani,1.9953646162972711,dani,day
ἡμέρα,66,unigram,feminine,nominative,singular,dani,1.3064359839255062,dani,day
ὀφειλέτης,243,unigram,masculine,nominative,plural,horuvira,1.1601320719510206,horuvira,debtor
δαιμόνιον,30,unigram,neuter,accusative,plural,gigi,1.0358091732351546,gigi,demon
δαιμόνιον,319,unigram,neuter,accusative,singular,tidatho,2.14736110956257,tidatho,demon
δαιμόνιον,194,unigram,neuter,nominative,plural,tidatho,1.367414081332907,tidatho,demon
δαιμόνιον,171,unigram,neuter,nominative,singular,tidatho,1.7971800717588098,tidatho,demon
δηνάριον,295,unigram,neuter,accusative,plural,kaonia,1.1309377473188773,kaonia,denarius (about a day's wages)
δηνάριον,159,unigram,neuter,accusative,singular,sileni,1.8975973048708543,sileni,denarius (about a day's wages)
μαθητής,175,unigram,masculine,accusative,plural,vaovarongo,2.056934115604545,vaovarongo,disciple
μαθητής,327,unigram,masculine,accusative,singular,dothovia,1.6779451689565468,dothovia,disciple
μαθητής,266,unigram,masculine,nominative,plural,vaovarongo,4.865286429454653,vaovarongo,disciple
μαθητής,325,unigram,masculine,nominative,singular,vaovarongo,2.3384239353951224,vaovarongo,disciple
νόσος,3,unigram,feminine,accusative,plural,vahaghi,1.1029241270048349,vahaghi,disease
νόσος,73,unigram,feminine,accusative,singular,thagi,1.2115811107216443,thagi,disease
περιστερά,99,unigram,feminine,accusative,plural,bora,1.4379100558780151,bora,dove
