lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_224_translation,english_translation
θεός,275,unigram,masculine,accusative,plural,ilah,1.0965172048072145,ilah,God
θεός,109,unigram,masculine,accusative,singular,Bisa,1.1160991939209541,Bisa,God
θεός,176,unigram,masculine,nominative,singular,Bisa,1.1158775059554873,Bisa,God
κύριος,277,unigram,masculine,nominative,plural,kotumbuno,1.059724082446904,kotumbuno,"Lord, lord, master"
κύριος,110,unigram,masculine,nominative,singular,Temeneno,2.9622616853328654,Temeneno,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,Kitab,1.013080328981221,Kitab,Scripture
γραφή,42,unigram,feminine,accusative,singular,Kitab,1.014031369879454,Kitab,Scripture
γραφή,220,unigram,feminine,nominative,plural,takainomo,1.2379918380452108,takainomo,Scripture
γραφή,271,unigram,feminine,nominative,singular,Kitab,1.0117907331268938,Kitab,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,malaekat-malaekat,1.5969142806303331,malaekat-malaekat,angel
ἄγγελος,70,unigram,masculine,accusative,singular,nabukayo,1.275630477167489,nabukayo,angel
ἄγγελος,39,unigram,masculine,nominative,plural,malaekat-malaekat,1.4269449230495488,malaekat-malaekat,angel
ἄγγελος,89,unigram,masculine,nominative,singular,namalaekat,1.333994557392671,namalaekat,angel
ἀπόστολος,5,unigram,masculine,nominative,singular,kobito-bito,1.1055045519588804,kobito-bito,apostle
ἐξουσία,169,unigram,feminine,accusative,singular,kuasa,1.5205157881058855,kuasa,authority
βρέφος,13,unigram,neuter,accusative,plural,pauno,1.0295682891680462,pauno,babies
βρέφος,270,unigram,neuter,accusative,singular,lumboon,1.8883342664331375,lumboon,babies
ἀποθήκη,225,unigram,feminine,accusative,plural,lobian,1.0636154833175089,lobian,barn
ἀποθήκη,58,unigram,feminine,accusative,singular,longgo,1.5320743704976316,longgo,barn
φραγμός,92,unigram,masculine,accusative,singular,batotoolian,1.0591029938321448,batotoolian,"barrier, wall"
ζώνη,145,unigram,feminine,accusative,plural,tombaga,1.210919207601045,tombaga,belt
βλασφημία,27,unigram,feminine,accusative,plural,pobantikono,1.0437813417314847,pobantikono,blasphemy
βλασφημία,80,unigram,feminine,accusative,singular,sia-siake,1.0591180671250278,sia-siake,blasphemy
πλοῖον,259,unigram,neuter,accusative,singular,lakit,1.332721217525365,lakit,boat
πλοῖον,191,unigram,neuter,nominative,singular,naduangan,1.1582348345126028,naduangan,boat
σῶμα,49,unigram,neuter,nominative,singular,kobutomu,1.2132439938152144,kobutomu,body
κλῆμα,45,unigram,neuter,nominative,plural,kopanga-pangano,1.1781590917201523,kopanga-pangano,branch
