lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_260_translation,english_translation
θεός,296,unigram,masculine,accusative,plural,got,1.358815317370961,got,God
θεός,123,unigram,masculine,accusative,singular,Sunbin-Got,2.6940701141402204,Sunbin-Got,God
θεός,193,unigram,masculine,nominative,singular,Sunbin-Got,5.802588464646384,Sunbin-Got,God
κύριος,298,unigram,masculine,nominative,plural,silelsiliw,1.180223737972827,silelsiliw,"Lord, lord, master"
κύριος,124,unigram,masculine,nominative,singular,Fian,1.021281308429027,Fian,"Lord, lord, master"
γραφή,118,unigram,feminine,accusative,plural,fut,1.6904032014679753,fut,Scripture
γραφή,49,unigram,feminine,accusative,singular,fut,1.0204212829083112,fut,Scripture
γραφή,241,unigram,feminine,nominative,plural,ki,1.2140747026461995,ki,Scripture
γραφή,291,unigram,feminine,nominative,singular,fut,2.90426127554953,fut,Scripture
ἄγγελος,90,unigram,masculine,accusative,plural,yemdakamin,2.1324473232272387,yemdakamin,angel
ἄγγελος,81,unigram,masculine,accusative,singular,kelewboke,1.0917016437247125,kelewboke,angel
ἄγγελος,45,unigram,masculine,nominative,plural,yemdakamin,2.014099922044689,yemdakamin,angel
ἄγγελος,99,unigram,masculine,nominative,singular,dabalakamin,1.7749861208390614,dabalakamin,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,kalan,2.3156475104540344,kalan,apostle
ἐξουσία,69,unigram,feminine,accusative,plural,geeyembiw,1.1604032204292956,geeyembiw,authority
ἐξουσία,185,unigram,feminine,accusative,singular,kitil,1.3695389318399511,kitil,authority
βρέφος,16,unigram,neuter,accusative,plural,dukuyemeko,1.0804647548593014,dukuyemeko,babies
βρέφος,290,unigram,neuter,accusative,singular,beliw,1.3660896907082325,beliw,babies
ἀποθήκη,68,unigram,feminine,accusative,singular,kubuleko,1.3428329401390289,kubuleko,barn
φραγμός,215,unigram,masculine,accusative,plural,gekokoliw,1.290548486027686,gekokoliw,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,geeyembiw,1.160238403567914,geeyembiw,beginning
ἀρχή,169,unigram,feminine,accusative,singular,fitewei,1.117895958986858,fitewei,beginning
ζώνη,160,unigram,feminine,accusative,plural,win,1.1182933219406144,win,belt
ζώνη,207,unigram,feminine,accusative,singular,minggisomelei,1.095398876121712,minggisomelei,belt
βλασφημία,31,unigram,feminine,accusative,plural,dawkatikabe,1.3659018885071654,dawkatikabe,blasphemy
βλασφημία,191,unigram,feminine,nominative,plural,miyemin,1.3655959669422455,miyemin,blasphemy
πλοῖον,97,unigram,neuter,accusative,plural,kunuw,1.3598197465987871,kunuw,boat
πλοῖον,278,unigram,neuter,accusative,singular,kunuw,1.0557876239089017,kunuw,boat
πλοῖον,220,unigram,neuter,nominative,plural,Unsiliw,1.1181540875758709,Unsiliw,boat
πλοῖον,209,unigram,neuter,nominative,singular,kunuw,1.7447972042963655,kunuw,boat
σῶμα,59,unigram,neuter,nominative,singular,kal,1.2460237373351817,kal,body
κλῆμα,55,unigram,neuter,nominative,plural,kelii,1.0954080587464583,kelii,branch
κλῆμα,138,unigram,neuter,nominative,singular,fewtokoko,1.0378814131285032,fewtokoko,branch
ἄρτος,282,unigram,masculine,accusative,plural,belet,1.107912290995285,belet,bread
ἄρτος,307,unigram,masculine,accusative,singular,wanin,2.241168715759865,wanin,bread
ἄρτος,146,unigram,masculine,nominative,plural,wanin,1.11453612903258,wanin,bread
ἄρτος,36,unigram,masculine,nominative,singular,belet,1.7008506705907742,belet,bread
ἀδελφός,268,unigram,masculine,accusative,plural,kumel,1.408388277748031,kumel,brother
ἀδελφός,112,unigram,masculine,accusative,singular,awkunum,1.4445332236352435,awkunum,brother
ἀδελφός,103,unigram,masculine,nominative,plural,kumel,1.3066671801521508,kumel,brother
ἀδελφός,213,unigram,masculine,nominative,singular,awkunum,1.0995423920312073,awkunum,brother
στῆθος,143,unigram,neuter,accusative,plural,tileleko,1.1601565545731825,tileleko,"chest, breast"
ἀρχιερεύς,223,unigram,masculine,accusative,plural,sel,1.015379623986291,sel,chief priest
ἀρχιερεύς,60,unigram,masculine,accusative,singular,Kaiafas,1.197995103387619,Kaiafas,chief priest
ἀρχιερεύς,111,unigram,masculine,nominative,plural,sel,1.012522665861144,sel,chief priest
ἀρχιερεύς,228,unigram,masculine,nominative,singular,sel,1.0146920700324271,sel,chief priest
παῖς,47,unigram,masculine,accusative,singular,kileleweko,1.1055270877357866,kileleweko,child
τέκνον,300,unigram,neuter,accusative,plural,aul,1.1297558378047388,aul,child
τέκνον,166,unigram,neuter,accusative,singular,yenokoliw,1.025078290742201,yenokoliw,child
τέκνον,17,unigram,neuter,nominative,plural,muluwel,1.1551806152515371,muluwel,child
τέκνον,178,unigram,neuter,nominative,singular,ateyemeko,1.0317426853339415,ateyemeko,child
παιδίον,15,unigram,neuter,accusative,plural,kanemokoliw,1.2850411523825278,kanemokoliw,child
παιδίον,86,unigram,neuter,accusative,singular,aul,1.4907758915284053,aul,child
παιδίον,158,unigram,neuter,nominative,plural,aul,1.2817640438097575,aul,child
παιδίον,38,unigram,neuter,nominative,singular,aul,1.011675936574571,aul,child
πόλις,170,unigram,feminine,accusative,plural,abiw,1.4853299420787374,abiw,city
πόλις,64,unigram,feminine,accusative,singular,abiw,2.2257433399723934,abiw,city
πύλη,190,unigram,feminine,nominative,singular,abisom,1.3529341136983142,abisom,city gate
χιτών,107,unigram,masculine,accusative,plural,ilim,1.582670476658816,ilim,"clothing, undergarments"
χιτών,29,unigram,masculine,accusative,singular,ilim,1.0894817849182152,ilim,"clothing, undergarments"
ἱμάτιον,121,unigram,neuter,accusative,plural,ilim,3.0627863635631494,ilim,coat
ἱμάτιον,120,unigram,neuter,accusative,singular,ilim,1.8979825003042687,ilim,coat
ἐντολή,80,unigram,feminine,accusative,plural,tewe,1.0013015756704,tewe,commandment
ἐντολή,78,unigram,feminine,accusative,singular,dawkatikoko,1.041482120508644,dawkatikoko,commandment
συνέδριον,286,unigram,neuter,accusative,plural,keyemomi,1.0591180671250278,keyemomi,council
συνέδριον,51,unigram,neuter,accusative,singular,diwyemin,1.3254748827357694,diwyemin,council
χώρα,258,unigram,feminine,accusative,singular,aneng,2.0331671437194623,aneng,"country, countryside"
ὄχλος,56,unigram,masculine,accusative,plural,biilo,1.0469149712676662,biilo,crowd
ὄχλος,10,unigram,masculine,accusative,singular,banban,1.168873031390287,banban,crowd
ὄχλος,92,unigram,masculine,nominative,plural,banban,2.4302873125829274,banban,crowd
ὄχλος,252,unigram,masculine,nominative,singular,banban,1.6721427492566658,banban,crowd
θυγάτηρ,105,unigram,feminine,nominative,plural,amemoliwka,1.0954864432981108,amemoliwka,daughter
θυγάτηρ,281,unigram,feminine,nominative,singular,mun,1.625352409464414,mun,daughter
