lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1774_translation,english_translation
θεός,351,unigram,masculine,accusative,plural,ŋmɩmɛ,1.0972689715935855,ŋmɩmɛ,God
θεός,147,unigram,masculine,accusative,singular,Nãaŋmɩn,3.3460013191142077,Nãaŋmɩn,God
θεός,225,unigram,masculine,nominative,singular,Nãaŋmɩn,8.311948927730876,Nãaŋmɩn,God
κύριος,353,unigram,masculine,nominative,plural,foro,1.1631681976587882,foro,"Lord, lord, master"
κύριος,148,unigram,masculine,nominative,singular,Soro,1.7096849842576596,Soro,"Lord, lord, master"
γραφή,142,unigram,feminine,accusative,plural,gãma,1.3489889707776628,gãma,Scripture
γραφή,54,unigram,feminine,accusative,singular,gãn,1.278102243182783,gãn,Scripture
γραφή,283,unigram,feminine,nominative,plural,gãma,1.6442594321961292,gãma,Scripture
γραφή,346,unigram,feminine,nominative,singular,gãn,1.8683402225883157,gãn,Scripture
ἄγγελος,106,unigram,masculine,accusative,plural,malakasɩ,3.6075756070606686,malakasɩ,angel
ἄγγελος,51,unigram,masculine,nominative,plural,malakasɩ,5.90183581917629,malakasɩ,angel
ἄγγελος,117,unigram,masculine,nominative,singular,malaka,5.618798260186422,malaka,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,nɩtʊ̃nsɩ,4.520983917628362,nɩtʊ̃nsɩ,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,Tʊ̃tʊ̃nɔ̃,1.096091603901298,Tʊ̃tʊ̃nɔ̃,apostle
ἐξουσία,73,unigram,feminine,accusative,plural,kpãɛn,1.1064490517410592,kpãɛn,authority
ἐξουσία,214,unigram,feminine,accusative,singular,kpɛ̃ɔ,2.0732131487206185,kpɛ̃ɔ,authority
βρέφος,345,unigram,neuter,accusative,singular,bipɩla,1.0595448471241755,bipɩla,babies
ἀποθήκη,72,unigram,feminine,accusative,singular,boor,1.1835894945615644,boor,barn
φραγμός,122,unigram,masculine,accusative,singular,nɛŋmɛr,1.1454587468979875,nɛŋmɛr,"barrier, wall"
ἀρχή,75,unigram,feminine,accusative,plural,kpãɛn,1.0839085466920408,kpãɛn,beginning
ἀρχή,196,unigram,feminine,accusative,singular,Keena,1.10613808598546,Keena,beginning
βλασφημία,36,unigram,feminine,accusative,plural,fere,1.2358464723699814,fere,blasphemy
βλασφημία,104,unigram,feminine,accusative,singular,dãasɩdirbe,1.0960866985123228,dãasɩdirbe,blasphemy
βλασφημία,223,unigram,feminine,nominative,plural,kʊfʊ,1.44136469353869,kʊfʊ,blasphemy
πλοῖον,115,unigram,neuter,accusative,plural,gborsɩ,1.9354309252724489,gborsɩ,boat
πλοῖον,330,unigram,neuter,accusative,singular,gboro,3.3565989166516363,gboro,boat
πλοῖον,259,unigram,neuter,nominative,plural,gborsɩ,1.1616538535693444,gborsɩ,boat
πλοῖον,245,unigram,neuter,nominative,singular,gboro,2.4684520345408587,gboro,boat
σῶμα,233,unigram,neuter,nominative,plural,Kpɛ̃ɛ,1.106362717114845,Kpɛ̃ɛ,body
σῶμα,64,unigram,neuter,nominative,singular,ãgãn,3.162710089743427,ãgãn,body
κλῆμα,60,unigram,neuter,nominative,plural,wilsɩ,1.106282796604272,wilsɩ,branch
ἄρτος,335,unigram,masculine,accusative,plural,paanʊ̃ɔ,1.4222042232937453,paanʊ̃ɔ,bread
ἄρτος,363,unigram,masculine,accusative,singular,bʊ̃diir,1.4608957668483402,bʊ̃diir,bread
ἄρτος,173,unigram,masculine,nominative,plural,paanʊ̃ɔ,1.798951439208263,paanʊ̃ɔ,bread
ἄρτος,43,unigram,masculine,nominative,singular,bʊ̃diir,2.8034788608021453,bʊ̃diir,bread
ἀδελφός,320,unigram,masculine,accusative,plural,yɛɛr,2.988270218108726,yɛɛr,brother
ἀδελφός,132,unigram,masculine,accusative,singular,yɛbɛ,1.5441509180504582,yɛbɛ,brother
ἀδελφός,121,unigram,masculine,nominative,plural,yɛɛr,3.1993285657554558,yɛɛr,brother
ἀδελφός,251,unigram,masculine,nominative,singular,yɛbɛ,3.0178795478939233,yɛbɛ,brother
στῆθος,305,unigram,neuter,accusative,singular,dɩɛl,1.5803379411455911,dɩɛl,"chest, breast"
ἀρχιερεύς,263,unigram,masculine,accusative,plural,bɔɔrlo,1.369073840896667,bɔɔrlo,chief priest
ἀρχιερεύς,65,unigram,masculine,accusative,singular,bɔɔrlo,1.4652923425477231,bɔɔrlo,chief priest
ἀρχιερεύς,131,unigram,masculine,nominative,plural,bɔɔrlo,1.197331012405485,bɔɔrlo,chief priest
ἀρχιερεύς,267,unigram,masculine,nominative,singular,bɔɔrlo,2.0332707722548338,bɔɔrlo,chief priest
παῖς,255,unigram,masculine,accusative,plural,Nãa,1.2283343522061403,Nãa,child
παῖς,53,unigram,masculine,accusative,singular,tãa,1.4525555800558805,tãa,child
τέκνον,355,unigram,neuter,accusative,plural,bibiir,4.57520536509362,bibiir,child
τέκνον,19,unigram,neuter,nominative,plural,Bibiir,1.5066807260931006,Bibiir,child
τέκνον,207,unigram,neuter,nominative,singular,bie,1.751873483693983,bie,child
παιδίον,18,unigram,neuter,accusative,plural,bibiir,1.2293824649874523,bibiir,child
παιδίον,97,unigram,neuter,accusative,singular,bie,1.2276234848552618,bie,child
παιδίον,189,unigram,neuter,nominative,plural,bibiir,1.5895078791502293,bibiir,child
παιδίον,45,unigram,neuter,nominative,singular,bie,2.18251872113772,bie,child
πόλις,197,unigram,feminine,accusative,plural,tẽbɛrɛ,1.0995193308010456,tẽbɛrɛ,city
πόλις,68,unigram,feminine,accusative,singular,tẽe,3.1909396802388947,tẽe,city
πύλη,287,unigram,feminine,nominative,plural,kpĩi,1.4996303967941966,kpĩi,city gate
πύλη,222,unigram,feminine,nominative,singular,fɩɩl,1.2378293523500483,fɩɩl,city gate
χιτών,127,unigram,masculine,accusative,plural,fuusɩ,1.4508456768474414,fuusɩ,"clothing, undergarments"
χιτών,33,unigram,masculine,accusative,singular,fuu,1.8929391269617153,fuu,"clothing, undergarments"
