lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_214_translation,version_215_translation,english_translation
θεός,283,unigram,masculine,accusative,plural,alaata'ala,1.0965172048072145,,alaata'ala,God
θεός,114,unigram,masculine,accusative,singular,Alaata'ala,5.581409858527715,Alaata'ala,Alaata'ala,God
θεός,177,unigram,masculine,nominative,singular,Alaata'ala,70.06925943451368,Alaata'ala,Alaata'ala,God
κύριος,285,unigram,masculine,nominative,plural,tombonona,1.1230151309179328,tombonona,tombonona,"Lord, lord, master"
κύριος,115,unigram,masculine,nominative,singular,Tumpu,3.5997751425151927,Tumpu,Tumpu,"Lord, lord, master"
γραφή,111,unigram,feminine,accusative,plural,isiina,1.532531450766866,isiina,isiina,Scripture
γραφή,44,unigram,feminine,accusative,singular,Alkitaap,1.5956732679430854,Alkitaap,Alkitaap,Scripture
γραφή,223,unigram,feminine,nominative,plural,sidamo,1.2100715744888861,sidamo,sidamo,Scripture
γραφή,277,unigram,feminine,nominative,singular,Alkitaap,4.034544392247954,Alkitaap,Alkitaap,Scripture
ἄγγελος,86,unigram,masculine,accusative,plural,malaa'ikat-Na,2.1863678981012256,malaa'ikat-Na,malaa'ikat-Na,angel
ἄγγελος,74,unigram,masculine,accusative,singular,salan-Muu,1.1286311096521646,salan-Muu,,angel
ἄγγελος,40,unigram,masculine,nominative,plural,malaa'ikat,3.189718886410622,malaa'ikat,malaa'ikat,angel
ἄγγελος,96,unigram,masculine,nominative,singular,malaa'ikat,1.537647831670594,malaa'ikat,malaa'ikat,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,Poposuu,2.477773441030067,Poposuu,Poposuu,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,mangalalabii,1.0891829834665727,mangalalabii,mangalalabii,apostle
ἐξουσία,61,unigram,feminine,accusative,plural,pansalangi,1.467201123313186,pansalangi,pansalangi,authority
ἐξουσία,169,unigram,feminine,accusative,singular,kuasa,1.8905609834502501,kuasa,kuasa,authority
βρέφος,16,unigram,neuter,accusative,plural,nongkomaso'imo,1.466406878194165,nongkomaso'imo,nongkomaso'imo,babies
βρέφος,276,unigram,neuter,accusative,singular,pamakaanan,1.0437743476448686,,pamakaanan,babies
φραγμός,198,unigram,masculine,accusative,plural,salanoa,1.1999087542240303,salanoa,salanoa,"barrier, wall"
ἀρχή,63,unigram,feminine,accusative,plural,pansalangi,1.4666522159271318,pansalangi,pansalangi,beginning
ἀρχή,153,unigram,feminine,accusative,singular,Ko'ona,1.1090206596653183,Ko'ona,Ko'ona,beginning
βλασφημία,29,unigram,feminine,accusative,plural,nompoo'inurutikonmo,1.2708876922135144,nompoo'inurutikonmo,nompoo'inurutikonmo,blasphemy
πλοῖον,94,unigram,neuter,accusative,plural,duanganna,1.1497876269866885,duanganna,duanganna,boat
πλοῖον,266,unigram,neuter,accusative,singular,duangan,8.75632492730701,duangan,duangan,boat
πλοῖον,191,unigram,neuter,nominative,singular,duanganna,1.93568023499432,duanganna,duanganna,boat
σῶμα,53,unigram,neuter,nominative,singular,wakamuu,4.580131164352743,wakamuu,wakamuu,body
κλῆμα,50,unigram,neuter,nominative,plural,,,upaupa,pu'una,branch
κλῆμα,128,unigram,neuter,nominative,singular,panga,1.3969356130490171,panga,panga,branch
ἄρτος,269,unigram,masculine,accusative,plural,roti,11.625981641241397,roti,roti,bread
ἄρτος,293,unigram,masculine,accusative,singular,roti,4.8862952734140706,roti,roti,bread
ἄρτος,134,unigram,masculine,nominative,plural,karaaya,1.3132833760866547,karaaya,karaaya,bread
ἄρτος,32,unigram,masculine,nominative,singular,roti,3.689578535492582,roti,roti,bread
ἀδελφός,256,unigram,masculine,accusative,plural,utusna,6.775578835824292,utusna,utusna,brother
ἀδελφός,105,unigram,masculine,accusative,singular,utusna,2.3686216913437237,utusna,utusna,brother
ἀδελφός,196,unigram,masculine,nominative,singular,utusna,2.573232091296951,utusna,utusna,brother
στῆθος,242,unigram,neuter,accusative,singular,beebeel,1.5454751912452385,beebeel,beebeel,"chest, breast"
ἀρχιερεύς,207,unigram,masculine,accusative,plural,imam,1.5223225530385995,imam,imam,chief priest
ἀρχιερεύς,54,unigram,masculine,accusative,singular,Moola,1.0898058804271809,Moola,Moola,chief priest
ἀρχιερεύς,104,unigram,masculine,nominative,plural,imam,2.546178889100722,imam,imam,chief priest
ἀρχιερεύς,210,unigram,masculine,nominative,singular,Moola,1.0347140492189284,Moola,Moola,chief priest
