lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_281_translation,english_translation
θεός,274,unigram,masculine,accusative,plural,Akedumodukare,1.5040522767932514,Akedumodukare,God
θεός,109,unigram,masculine,accusative,singular,Kurireuji,1.5173744863105758,Kurireuji,God
θεός,173,unigram,masculine,nominative,singular,Pao,1.1350943501764146,Pao,God
κύριος,276,unigram,masculine,nominative,plural,čenagu,1.096344883540667,čenagu,"Lord, lord, master"
κύριος,110,unigram,masculine,nominative,singular,ukimijera,1.1539591448636728,ukimijera,"Lord, lord, master"
γραφή,104,unigram,feminine,accusative,plural,baperaji,1.6656374128748823,baperaji,Scripture
γραφή,215,unigram,feminine,nominative,plural,pudui,1.0169147043992992,pudui,Scripture
γραφή,270,unigram,feminine,nominative,singular,jeture,1.0595832129661218,jeture,Scripture
ἄγγελος,79,unigram,masculine,accusative,plural,tadawuge,1.149586224268403,tadawuge,angel
ἄγγελος,70,unigram,masculine,accusative,singular,togi.,1.3576250087405275,togi.,angel
ἄγγελος,40,unigram,masculine,nominative,plural,tadawuge,1.3273882140154063,tadawuge,angel
ἄγγελος,87,unigram,masculine,nominative,singular,baru,1.0640655229808225,baru,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,tabowuge,1.3434262976597646,tabowuge,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,tabowuji,1.2535870364456758,tabowuji,apostle
ἐξουσία,59,unigram,feminine,accusative,plural,tamororamagadukaba,1.0805942297333446,tamororamagadukaba,authority
ἐξουσία,165,unigram,feminine,accusative,singular,bope,1.253301965527276,bope,authority
βρέφος,15,unigram,neuter,accusative,plural,etaregodukaiago,1.105476440126733,etaregodukaiago,babies
βρέφος,269,unigram,neuter,accusative,singular,tapira,1.207404063838971,tapira,babies
ἀποθήκη,221,unigram,feminine,accusative,plural,ja,1.1752384433569472,ja,barn
ἀποθήκη,58,unigram,feminine,accusative,singular,joruto,1.0924758156114156,joruto,barn
ἀρχή,61,unigram,feminine,accusative,plural,tamororamagadukaba,1.0805047511321948,tamororamagadukaba,beginning
ἀρχή,148,unigram,feminine,accusative,singular,turagare,1.1054890991685846,turagare,beginning
βλασφημία,28,unigram,feminine,accusative,plural,Makočarore,1.2535450509576167,Makočarore,blasphemy
βλασφημία,171,unigram,feminine,nominative,plural,ekiripagadowu,1.1026655277930235,ekiripagadowu,blasphemy
πλοῖον,256,unigram,neuter,accusative,singular,ika,1.0434186069816056,ika,boat
πλοῖον,196,unigram,neuter,nominative,plural,kurireugebo,1.1446058275416502,kurireugebo,boat
πλοῖον,187,unigram,neuter,nominative,singular,ika,1.3620722489611474,ika,boat
σῶμα,178,unigram,neuter,nominative,plural,bireuge,1.5061378766947109,bireuge,body
ἄρτος,260,unigram,masculine,accusative,plural,amireu,2.4177872706320405,amireu,bread
ἄρτος,284,unigram,masculine,accusative,singular,eke,1.357444768926124,eke,bread
ἄρτος,126,unigram,masculine,nominative,plural,kowuje,1.1436188591839784,kowuje,bread
ἄρτος,32,unigram,masculine,nominative,singular,remawu,1.0668767369147978,remawu,bread
ἀδελφός,245,unigram,masculine,accusative,plural,tumanamage,1.1631085378270367,tumanamage,brother
ἀδελφός,98,unigram,masculine,accusative,singular,uwie,1.1316377174389676,uwie,brother
ἀδελφός,90,unigram,masculine,nominative,plural,uwiemage,1.3064760469111998,uwiemage,brother
ἀδελφός,192,unigram,masculine,nominative,singular,uwie,1.3369075295193922,uwie,brother
στῆθος,232,unigram,neuter,accusative,singular,tuburedo,1.7581813325432911,tuburedo,"chest, breast"
ἀρχιερεύς,200,unigram,masculine,accusative,plural,enomea,1.0670571337860808,enomea,chief priest
ἀρχιερεύς,51,unigram,masculine,accusative,singular,enomea,1.059351313347047,enomea,chief priest
ἀρχιερεύς,97,unigram,masculine,nominative,plural,enomea,1.0244811711724398,enomea,chief priest
ἀρχιερεύς,204,unigram,masculine,nominative,singular,enomea,1.045542222196408,enomea,chief priest
παῖς,194,unigram,masculine,accusative,plural,etore,1.1925100055683064,etore,child
παῖς,41,unigram,masculine,accusative,singular,Magadugodure,1.0591392270921265,Magadugodure,child
τέκνον,278,unigram,neuter,accusative,plural,tore,1.9503822506175523,tore,child
