lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_223_translation,english_translation
θεός,104,unigram,masculine,accusative,singular,Aláemit,3.077424966961397,Aláemit,God
θεός,163,unigram,masculine,nominative,singular,Aláemit,7.036921708379239,Aláemit,God
κύριος,255,unigram,masculine,nominative,plural,ejal,1.1137085185869229,ejal,"Lord, lord, master"
κύριος,105,unigram,masculine,nominative,singular,Ataw,2.229888093430733,Ataw,"Lord, lord, master"
γραφή,100,unigram,feminine,accusative,plural,Bahiĉer,1.7850583953853831,Bahiĉer,Scripture
γραφή,38,unigram,feminine,accusative,singular,Bahiĉer,1.227600625661931,Bahiĉer,Scripture
γραφή,205,unigram,feminine,nominative,plural,bukano,1.0106959437739904,bukano,Scripture
γραφή,249,unigram,feminine,nominative,singular,Bahiĉer,1.8344458175927485,Bahiĉer,Scripture
ἄγγελος,75,unigram,masculine,accusative,plural,emalakaol,1.0956250344963658,emalakaol,angel
ἄγγελος,36,unigram,masculine,nominative,plural,emalakaay,2.7262845787717898,emalakaay,angel
ἄγγελος,84,unigram,masculine,nominative,singular,amalaka,3.5610564563155465,amalaka,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,gubbanno,1.0576304975660746,gubbanno,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,aboñulol,1.2129590551011773,aboñulol,apostle
ἐξουσία,155,unigram,feminine,accusative,singular,sembe,1.4058720913733038,sembe,authority
βρέφος,248,unigram,neuter,accusative,singular,gasium,1.8883342664331375,gasium,babies
ἀποθήκη,55,unigram,feminine,accusative,singular,emano,1.3130091049572743,emano,barn
ζώνη,175,unigram,feminine,accusative,singular,Bisimo,1.095398876121712,Bisimo,belt
βλασφημία,25,unigram,feminine,accusative,plural,ajele,1.2109753543116366,ajele,blasphemy
πλοῖον,82,unigram,neuter,accusative,plural,usana,1.349344353668438,usana,boat
πλοῖον,236,unigram,neuter,accusative,singular,busana,4.151671742687366,busana,boat
πλοῖον,188,unigram,neuter,nominative,plural,unaᵽ,1.1604446599788334,unaᵽ,boat
πλοῖον,177,unigram,neuter,nominative,singular,busana,1.6076757248023354,busana,boat
σῶμα,47,unigram,neuter,nominative,singular,enili,1.3202112768127403,enili,body
κλῆμα,116,unigram,neuter,nominative,singular,gaan,1.888339657076128,gaan,branch
ἄρτος,240,unigram,masculine,accusative,plural,unaĉ,2.259632391221865,unaĉ,bread
ἄρτος,263,unigram,masculine,accusative,singular,ganaĉ,2.3856842202188266,ganaĉ,bread
ἄρτος,122,unigram,masculine,nominative,plural,unaĉ,1.1505792566250246,unaĉ,bread
ἄρτος,29,unigram,masculine,nominative,singular,ganaĉ,1.6967958721178258,ganaĉ,bread
ἀδελφός,228,unigram,masculine,accusative,plural,gutiol,1.7472428358863097,gutiol,brother
ἀδελφός,95,unigram,masculine,accusative,singular,atiol,2.4822643126226307,atiol,brother
ἀδελφός,86,unigram,masculine,nominative,plural,gutiol,1.395096330793805,gutiol,brother
ἀδελφός,181,unigram,masculine,nominative,singular,atiol,1.4309571566959522,atiol,brother
στῆθος,217,unigram,neuter,accusative,singular,mbaa,1.1367959317356302,mbaa,"chest, breast"
ἀρχιερεύς,190,unigram,masculine,accusative,plural,uteŋenaaw,1.0036172135680006,uteŋenaaw,chief priest
ἀρχιερεύς,48,unigram,masculine,accusative,singular,uteŋenaaw,1.1739611143803446,uteŋenaaw,chief priest
ἀρχιερεύς,94,unigram,masculine,nominative,plural,uteŋenaaw,1.4062079568927677,uteŋenaaw,chief priest
