lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_255_translation,english_translation
θεός,307,unigram,masculine,accusative,plural,aset,1.0965172048072145,aset,God
θεός,129,unigram,masculine,accusative,singular,Tapa,2.716414261407767,Tapa,God
θεός,199,unigram,masculine,nominative,singular,Tapa,11.58068060591742,Tapa,God
κύριος,309,unigram,masculine,nominative,plural,dapu-i,1.096344883540667,dapu-i,"Lord, lord, master"
κύριος,130,unigram,masculine,nominative,singular,Tuhan,1.7834223195487402,Tuhan,"Lord, lord, master"
γραφή,125,unigram,feminine,accusative,plural,Surat-kudus,2.839525582071948,Surat-kudus,Scripture
γραφή,49,unigram,feminine,accusative,singular,Surat-kudus,1.2917051433339697,Surat-kudus,Scripture
γραφή,248,unigram,feminine,nominative,plural,Surat-kudus,1.3160626680291792,Surat-kudus,Scripture
γραφή,302,unigram,feminine,nominative,singular,Surat-kudus,1.7564359102960163,Surat-kudus,Scripture
ἄγγελος,96,unigram,masculine,accusative,plural,malaikat,1.3111246904613494,malaikat,angel
ἄγγελος,83,unigram,masculine,accusative,singular,pinyisung,1.1282972557651696,pinyisung,angel
ἄγγελος,45,unigram,masculine,nominative,plural,malaikat,3.6411833716834585,malaikat,angel
ἄγγελος,107,unigram,masculine,nominative,singular,Malaikat,1.1864871266117114,Malaikat,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,pinyuruh,2.1256964215315706,pinyuruh,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,pinyisung,1.0400574626134922,pinyisung,apostle
ἐξουσία,66,unigram,feminine,accusative,plural,dawa,1.0352059133321203,dawa,authority
ἐξουσία,189,unigram,feminine,accusative,singular,kuasa,3.330687869908219,kuasa,authority
βρέφος,16,unigram,neuter,accusative,plural,tuas,1.114787219167063,tuas,babies
βρέφος,301,unigram,neuter,accusative,singular,durang,1.0804603210543138,durang,babies
ἀποθήκη,253,unigram,feminine,accusative,plural,panggau,1.9201134423030057,panggau,barn
ἀποθήκη,65,unigram,feminine,accusative,singular,panggau,1.2532821438734876,panggau,barn
φραγμός,222,unigram,masculine,accusative,plural,sakap,1.4785000397104235,sakap,"barrier, wall"
ἀρχή,68,unigram,feminine,accusative,plural,dawa,1.0351668264658822,dawa,beginning
ζώνη,213,unigram,feminine,accusative,singular,Piraka,1.095398876121712,Piraka,belt
βλασφημία,30,unigram,feminine,accusative,plural,ngujat,1.1179275840721914,ngujat,blasphemy
βλασφημία,197,unigram,feminine,nominative,plural,napŭ,1.0194212336924198,napŭ,blasphemy
πλοῖον,105,unigram,neuter,accusative,plural,arud,1.9905016983062411,arud,boat
πλοῖον,289,unigram,neuter,accusative,singular,arud,2.783135049305156,arud,boat
πλοῖον,228,unigram,neuter,nominative,plural,Arud,1.1446058275416502,Arud,boat
πλοῖον,215,unigram,neuter,nominative,singular,arud,1.420080430802544,arud,boat
σῶμα,205,unigram,neuter,nominative,plural,Rimŭh,1.06580892345423,Rimŭh,body
σῶμα,57,unigram,neuter,nominative,singular,pŭrŭng,1.994169992803067,pŭrŭng,body
κλῆμα,54,unigram,neuter,nominative,plural,daan-i,1.2793543134677838,daan-i,branch
κλῆμα,145,unigram,neuter,nominative,singular,rŭŭ,1.0637056579961477,rŭŭ,branch
ἄρτος,293,unigram,masculine,accusative,plural,ruti,1.7525260314722877,ruti,bread
ἄρτος,320,unigram,masculine,accusative,singular,ruti,1.8790946208629025,ruti,bread
ἄρτος,150,unigram,masculine,nominative,plural,ruti,1.866717169271992,ruti,bread
ἄρτος,36,unigram,masculine,nominative,singular,ruti,2.6942831274725143,ruti,bread
ἀδελφός,279,unigram,masculine,accusative,plural,jurud,1.8270763371999024,jurud,brother
ἀδελφός,119,unigram,masculine,accusative,singular,bijurud,1.0377983016095682,bijurud,brother
ἀδελφός,111,unigram,masculine,nominative,plural,jurud,1.3558296312371685,jurud,brother
ἀδελφός,220,unigram,masculine,nominative,singular,jurud,2.3378058519511224,jurud,brother
ἀρχιερεύς,231,unigram,masculine,accusative,plural,pingubak,1.1718342529609862,pingubak,chief priest
ἀρχιερεύς,118,unigram,masculine,nominative,plural,imam,1.025710087741165,imam,chief priest
παῖς,225,unigram,masculine,accusative,plural,baji,1.522185635032392,baji,child
παῖς,47,unigram,masculine,accusative,singular,pitumbang,1.144404966983523,pitumbang,child
τέκνον,311,unigram,neuter,accusative,plural,anak,1.0099434335676365,anak,child
τέκνον,170,unigram,neuter,accusative,singular,anak-i,1.009147024026739,anak-i,child
τέκνον,17,unigram,neuter,nominative,plural,anak-i,1.1448667713367515,anak-i,child
τέκνον,183,unigram,neuter,nominative,singular,Nak,2.089978985613617,Nak,child
παιδίον,15,unigram,neuter,accusative,plural,anak-sŭ,1.1783946290579803,anak-sŭ,child
παιδίον,90,unigram,neuter,accusative,singular,sindŭ-I,1.2565661579657972,sindŭ-I,child
παιδίον,163,unigram,neuter,nominative,plural,anak-sŭ,1.5160435412266775,anak-sŭ,child
παιδίον,38,unigram,neuter,nominative,singular,anak-sŭ,1.2610979908506643,anak-sŭ,child
πόλις,173,unigram,feminine,accusative,plural,kupo,2.5502334700292275,kupo,city
πόλις,61,unigram,feminine,accusative,singular,kupo,7.767338614917128,kupo,city
πύλη,196,unigram,feminine,nominative,singular,sapit,1.2610474159855796,sapit,city gate
χιτών,114,unigram,masculine,accusative,plural,jipo,1.7885774211640082,jipo,"clothing, undergarments"
χιτών,28,unigram,masculine,accusative,singular,jipo,1.264303772930412,jipo,"clothing, undergarments"
ἱμάτιον,127,unigram,neuter,accusative,plural,jipo,1.762245364342935,jipo,coat
ἱμάτιον,126,unigram,neuter,accusative,singular,jipo-i,1.144139050614269,jipo-i,coat
ἐντολή,81,unigram,feminine,accusative,plural,Pinyipesan,3.0925871228009214,Pinyipesan,commandment
ἐντολή,79,unigram,feminine,accusative,singular,pesan,1.118297875482603,pesan,commandment
συνέδριον,297,unigram,neuter,accusative,plural,bisara,1.2761963509621044,bisara,council
συνέδριον,50,unigram,neuter,accusative,singular,Kunsil,1.8885743727167237,Kunsil,council
χώρα,74,unigram,feminine,accusative,plural,ngatŭm.,1.3539939984954434,ngatŭm.,"country, countryside"
χώρα,268,unigram,feminine,accusative,singular,tarun,1.0991339298012592,tarun,"country, countryside"
ὄχλος,55,unigram,masculine,accusative,plural,bara,1.077266293588468,bara,crowd
ὄχλος,10,unigram,masculine,accusative,singular,daya,1.07958752018867,daya,crowd
ὄχλος,98,unigram,masculine,nominative,plural,bagŭ,1.3676749846650158,bagŭ,crowd
ὄχλος,261,unigram,masculine,nominative,singular,bagŭ,1.25262648571435,bagŭ,crowd
θυγάτηρ,292,unigram,feminine,nominative,singular,dayung,1.1482052993974492,dayung,daughter
ἡμέρα,72,unigram,feminine,accusative,plural,andu,1.8114919893317307,andu,day
ἡμέρα,84,unigram,feminine,accusative,singular,andu,3.6296830662909954,andu,day
ἡμέρα,2,unigram,feminine,nominative,plural,andu-i,1.0153610957462975,andu-i,day
ἡμέρα,63,unigram,feminine,nominative,singular,andu,3.319483816245264,andu,day
ὀφειλέτης,236,unigram,masculine,nominative,plural,boh,1.0590999832560763,boh,debtor
δαιμόνιον,29,unigram,neuter,accusative,plural,umot,1.07517361029493,umot,demon
δαιμόνιον,305,unigram,neuter,accusative,singular,umot,1.9681496545854424,umot,demon
δαιμόνιον,185,unigram,neuter,nominative,plural,umot,2.576541827499818,umot,demon
δαιμόνιον,162,unigram,neuter,nominative,singular,umot,1.6077138582251942,umot,demon
δηνάριον,284,unigram,neuter,accusative,plural,birutang,1.1387331426660472,birutang,denarius (about a day's wages)
δηνάριον,152,unigram,neuter,accusative,singular,kiping,1.1005489054520268,kiping,denarius (about a day's wages)
μαθητής,167,unigram,masculine,accusative,plural,murid-I,2.8252649242865653,murid-I,disciple
μαθητής,312,unigram,masculine,accusative,singular,murid,1.0324667414217124,murid,disciple
μαθητής,256,unigram,masculine,nominative,plural,murid,1.7388600569911548,murid,disciple
μαθητής,310,unigram,masculine,nominative,singular,murid,5.3061560484783294,murid,disciple
νόσος,3,unigram,feminine,accusative,plural,andam,1.3045615727269586,andam,disease
νόσος,70,unigram,feminine,accusative,singular,masam,1.0170324258375922,masam,disease
περιστερά,97,unigram,feminine,accusative,plural,asang,1.3108370138290752,asang,dove
περιστερά,52,unigram,feminine,accusative,singular,asang,1.3108370138290752,asang,dove
οὖς,144,unigram,neuter,accusative,plural,kajit,1.4803376137967486,kajit,ear
οὖς,260,unigram,neuter,accusative,singular,kajit,1.0880904919534071,kajit,ear
σεισμός,190,unigram,masculine,nominative,plural,apag,1.5811118134899245,apag,"earthquakes, storm"
σεισμός,59,unigram,masculine,nominative,singular,ngana,1.1054441961004942,ngana,"earthquakes, storm"
τέλος,254,unigram,neuter,accusative,singular,sikasŭn-i,1.5392273241152383,sikasŭn-i,end
αἰών,280,unigram,masculine,accusative,singular,adu,1.362850178758486,adu,eternity
ὀφθαλμός,22,unigram,masculine,accusative,plural,batŭh,1.0027341981294018,batŭh,eye
ὀφθαλμός,60,unigram,masculine,nominative,plural,nyijŭn,1.0834427649082616,nyijŭn,eye
ὀφθαλμός,277,unigram,masculine,nominative,singular,batŭh,1.4621138311841662,batŭh,eye
πρόσωπον,180,unigram,neuter,accusative,singular,pangkat,1.2681388426681457,pangkat,face
λιμός,7,unigram,feminine,nominative,plural,apag,1.105470825457771,apag,famine
λιμός,92,unigram,feminine,nominative,singular,apag,1.0954126531313877,apag,famine
λιμός,131,unigram,masculine,nominative,singular,apag,1.210952880253466,apag,famine
γεωργός,235,unigram,masculine,nominative,plural,teya,1.0252100700979137,teya,"farmer, tenant"
γεωργός,48,unigram,masculine,nominative,singular,tukang-teya,1.1621240685055458,tukang-teya,"farmer, tenant"
πατήρ,283,unigram,masculine,accusative,singular,Sama,2.113592249818526,Sama,father
πατήρ,291,unigram,masculine,nominative,plural,tayung-babuk,1.202266212264522,tayung-babuk,father
πατήρ,175,unigram,masculine,nominative,singular,Sama,6.8139267469959055,Sama,father
ἀγρός,304,unigram,masculine,accusative,plural,teya,1.5157603073760753,teya,field
ἀγρός,37,unigram,masculine,accusative,singular,miris,1.1932505984751365,miris,field
δάκτυλος,166,unigram,masculine,accusative,singular,Thomas,1.6974935765326735,Thomas,finger
ἰχθύς,146,unigram,masculine,accusative,plural,baru,1.0430254924506188,baru,fish
ἰχθύς,179,unigram,masculine,accusative,singular,iken,1.4883468262655244,iken,fish
δίκτυον,106,unigram,neuter,accusative,plural,jaring,2.1374911640560392,jaring,fishing net
δίκτυον,187,unigram,neuter,accusative,singular,jara,1.3432891640741518,jara,fishing net
πούς,221,unigram,masculine,accusative,plural,kaja,3.936861208052394,kaja,foot
πούς,110,unigram,masculine,accusative,singular,kinaman,1.035217710333984,kinaman,foot
καρπός,172,unigram,masculine,accusative,plural,buwa,2.5724156391740163,buwa,"fruit, crop, harvest"
καρπός,217,unigram,masculine,accusative,singular,buwa,1.5270826886595037,buwa,"fruit, crop, harvest"
πλήρωμα,300,unigram,neuter,accusative,singular,kŭrŭng,1.0591090190634709,kŭrŭng,fullness
γενεά,218,unigram,feminine,accusative,singular,jaman,1.4354420692893213,jaman,generation
γενεά,143,unigram,feminine,nominative,singular,jaman,1.0679030078201408,jaman,generation
δῶρον,282,unigram,neuter,accusative,plural,pinganggen,1.4076149543163703,pinganggen,gift
δῶρον,153,unigram,neuter,accusative,singular,pinganggen,1.1214692566151823,pinganggen,gift
ἡγεμών,160,unigram,masculine,accusative,plural,pinguasa,1.3822031289614756,pinguasa,"governor, ruler"
ἡγεμών,12,unigram,masculine,accusative,singular,Gabenor,1.21099784890759,Gabenor,"governor, ruler"
σταφυλή,174,unigram,feminine,accusative,plural,bakos,1.2534752038687749,bakos,grapes
σταφυλή,314,unigram,feminine,accusative,singular,bikaram,1.210919207601045,bikaram,grapes
ἀσπασμός,294,unigram,masculine,accusative,plural,tabi,1.0186281237989547,tabi,greeting
ἀσπασμός,161,unigram,masculine,accusative,singular,minanjon,1.09541724956689,minanjon,greeting
ὁδηγός,5,unigram,masculine,nominative,plural,kayak,1.0591060057675743,kayak,guide
ὁδηγός,4,unigram,masculine,nominative,singular,karak,1.2638754952293183,karak,guide
θρίξ,91,unigram,feminine,nominative,plural,niap,1.0591180671250278,niap,hair
χείρ,286,unigram,feminine,accusative,plural,tangan,1.169991854732897,tangan,hand
χείρ,208,unigram,feminine,accusative,singular,ton,1.1386667350090105,ton,hand
κεφαλή,135,unigram,feminine,accusative,plural,kuting,1.1151969520781295,kuting,head
κεφαλή,194,unigram,feminine,accusative,singular,ubak,1.4339274387356018,ubak,head
στάχυς,195,unigram,masculine,accusative,plural,tundun,1.2185131613860718,tundun,head of grain
στάχυς,71,unigram,masculine,accusative,singular,bitundun,1.0954080587464583,bitundun,head of grain
καρδία,31,unigram,feminine,accusative,plural,tangek,1.028554234518338,tangek,heart
καρδία,263,unigram,feminine,accusative,singular,atŭk,1.466842039018745,atŭk,heart
καρδία,181,unigram,feminine,nominative,singular,atin,2.8175908489126416,atin,heart
οὐρανός,8,unigram,masculine,accusative,plural,tunduh-I,1.0959745071681273,tunduh-I,"heaven, sky"
οὐρανός,247,unigram,masculine,accusative,singular,rangit,1.7440461432241048,rangit,"heaven, sky"
οὐρανός,318,unigram,masculine,nominative,plural,Rangit,1.0959745071681273,Rangit,"heaven, sky"
ὥρα,267,unigram,feminine,nominative,plural,sikak,1.1448090412316556,sikak,hour
ὥρα,25,unigram,feminine,nominative,singular,mandŭg,1.5915576566493748,mandŭg,hour
οἰκία,148,unigram,feminine,accusative,plural,dayung,1.006016333272047,dayung,house
οἰκία,298,unigram,feminine,accusative,singular,ramin,2.6793930573027547,ramin,house
