lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_291_translation,english_translation
θεός,248,unigram,masculine,accusative,plural,allataala,1.0965172048072145,allataala,God
θεός,100,unigram,masculine,accusative,singular,Allataala,2.332669461091424,Allataala,God
θεός,163,unigram,masculine,nominative,singular,Allataala,4.433027364268455,Allataala,God
κύριος,101,unigram,masculine,nominative,singular,Puwangngé,1.4283371098108024,Puwangngé,"Lord, lord, master"
γραφή,96,unigram,feminine,accusative,plural,Kitta,1.966696206639848,Kitta,Scripture
γραφή,36,unigram,feminine,accusative,singular,Kitta,1.263199615240238,Kitta,Scripture
γραφή,198,unigram,feminine,nominative,plural,mémeng,1.1522925869873173,mémeng,Scripture
γραφή,243,unigram,feminine,nominative,singular,Kitta,2.4411289199438504,Kitta,Scripture
ἄγγελος,71,unigram,masculine,accusative,plural,paddeppungengngi,1.1235284920078001,paddeppungengngi,angel
ἄγγελος,61,unigram,masculine,accusative,singular,suro-Ku,1.2811594129096338,suro-Ku,angel
ἄγγελος,33,unigram,masculine,nominative,plural,malaéka,1.1831718659150774,malaéka,angel
ἄγγελος,80,unigram,masculine,nominative,singular,malaéka'na,1.1767832472404278,malaéka'na,angel
ἀπόστολος,30,unigram,masculine,nominative,plural,sining,1.1639343987123167,sining,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,suro,1.0437883454075485,suro,apostle
ἐξουσία,155,unigram,feminine,accusative,singular,kuwasa,1.0708389475737663,kuwasa,authority
βρέφος,11,unigram,neuter,accusative,plural,nacairini,1.0954126531313877,nacairini,babies
βρέφος,241,unigram,neuter,accusative,singular,dulangngé,1.9999518525859392,dulangngé,babies
ἀποθήκη,50,unigram,feminine,accusative,singular,lappoé,1.5320743704976316,lappoé,barn
ζώνη,134,unigram,feminine,accusative,plural,tembaga,1.1443093755096192,tembaga,belt
βλασφημία,62,unigram,feminine,nominative,singular,pogau,1.0977232201567748,pogau,blasphemy
πλοῖον,78,unigram,neuter,accusative,plural,lopiéro,1.1152644708199129,lopiéro,boat
πλοῖον,231,unigram,neuter,accusative,singular,lopié,3.2611170640945306,lopié,boat
πλοῖον,178,unigram,neuter,nominative,singular,lopinna,1.2890227719019889,lopinna,boat
κλῆμα,115,unigram,neuter,nominative,singular,takké,1.235799020728225,takké,branch
ἄρτος,234,unigram,masculine,accusative,plural,roti,2.322749057746684,roti,bread
ἄρτος,257,unigram,masculine,accusative,singular,roti,1.2490724655190346,roti,bread
ἄρτος,121,unigram,masculine,nominative,plural,roti,1.0771443801512257,roti,bread
ἄρτος,27,unigram,masculine,nominative,singular,roti,2.139559615645428,roti,bread
ἀδελφός,221,unigram,masculine,accusative,plural,ana'-ana'na,1.2232141277629385,ana'-ana'na,brother
