lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_297_translation,english_translation
θεός,300,unigram,masculine,accusative,plural,bezambe,1.3716631806590651,bezambe,God
θεός,121,unigram,masculine,accusative,singular,Zambe,5.679657160203535,Zambe,God
θεός,193,unigram,masculine,nominative,singular,Zambe,11.983463432399757,Zambe,God
κύριος,122,unigram,masculine,nominative,singular,Nti,2.179375262853237,Nti,"Lord, lord, master"
γραφή,117,unigram,feminine,accusative,plural,Mintilan,1.4946289444888732,Mintilan,Scripture
γραφή,43,unigram,feminine,accusative,singular,ntilan,1.5973063783855783,ntilan,Scripture
γραφή,243,unigram,feminine,nominative,plural,tôéban,1.2629723497432817,tôéban,Scripture
γραφή,296,unigram,feminine,nominative,singular,ntilan,2.0297659833571826,ntilan,Scripture
ἄγγελος,89,unigram,masculine,accusative,plural,bʼéngele,1.0737440021976097,bʼéngele,angel
ἄγγελος,73,unigram,masculine,accusative,singular,éngele,1.0944326651288545,éngele,angel
ἄγγελος,40,unigram,masculine,nominative,plural,beéngele,4.9553521128812905,beéngele,angel
ἄγγελος,99,unigram,masculine,nominative,singular,éngele,2.111345342806951,éngele,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,minlôman,2.245918027726831,minlôman,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,nke,1.0954356558477605,nke,apostle
ἐξουσία,184,unigram,feminine,accusative,singular,ngule,1.5791282496457968,ngule,authority
βρέφος,15,unigram,neuter,accusative,plural,bijô,1.1179135406357286,bijô,babies
βρέφος,295,unigram,neuter,accusative,singular,nkeñelé,1.2083660857336689,nkeñelé,babies
ἀποθήκη,248,unigram,feminine,accusative,plural,yoé,1.9999518334190312,yoé,barn
ἀποθήκη,60,unigram,feminine,accusative,singular,diʼi,1.3428329401390289,diʼi,barn
φραγμός,215,unigram,masculine,accusative,plural,minkaʼalé,1.0591060057675743,minkaʼalé,"barrier, wall"
φραγμός,104,unigram,masculine,accusative,singular,nkaʼalé,1.3273206017755863,nkaʼalé,"barrier, wall"
ἀρχή,165,unigram,feminine,accusative,singular,kana,1.1054890991685846,kana,beginning
ζώνη,157,unigram,feminine,accusative,plural,argent,1.095398876121712,argent,belt
βλασφημία,29,unigram,feminine,accusative,plural,ébiasé,1.0559735953933147,ébiasé,blasphemy
βλασφημία,191,unigram,feminine,nominative,plural,ébiasé,1.6974935765326735,ébiasé,blasphemy
βλασφημία,74,unigram,feminine,nominative,singular,ébiasé,1.6974935765326735,ébiasé,blasphemy
πλοῖον,97,unigram,neuter,accusative,plural,bilelé,1.957958117975908,bilelé,boat
πλοῖον,284,unigram,neuter,accusative,singular,éfunga,2.287408302355803,éfunga,boat
πλοῖον,221,unigram,neuter,nominative,plural,bifunga,1.0438565467693068,bifunga,boat
σῶμα,53,unigram,neuter,nominative,singular,nyôle,3.1329354880135285,nyôle,body
κλῆμα,49,unigram,neuter,nominative,plural,bifaʼalé,1.0954080587464583,bifaʼalé,branch
κλῆμα,137,unigram,neuter,nominative,singular,éfaʼalé,2.166581728554692,éfaʼalé,branch
ἄρτος,288,unigram,masculine,accusative,plural,belet,3.0809146438245607,belet,bread
ἄρτος,309,unigram,masculine,accusative,singular,belet,1.5210117067039832,belet,bread
ἄρτος,143,unigram,masculine,nominative,plural,belet,2.248819088364598,belet,bread
ἄρτος,33,unigram,masculine,nominative,singular,belet,2.260447928386701,belet,bread
ἀδελφός,275,unigram,masculine,accusative,plural,bobenyañ,2.006094132494868,bobenyañ,brother
ἀδελφός,112,unigram,masculine,accusative,singular,monyañe,1.646954924602264,monyañe,brother
ἀδελφός,103,unigram,masculine,nominative,plural,bobenyañ,1.2476905312485116,bobenyañ,brother
ἀδελφός,213,unigram,masculine,nominative,singular,monyañe,1.2457529915600798,monyañe,brother
στῆθος,261,unigram,neuter,accusative,singular,tôé,2.473379371353567,tôé,"chest, breast"
ἀρχιερεύς,225,unigram,masculine,accusative,plural,betuni,1.2311219982121675,betuni,chief priest
ἀρχιερεύς,111,unigram,masculine,nominative,plural,betuni,1.3039338308465818,betuni,chief priest
ἀρχιερεύς,230,unigram,masculine,nominative,singular,Ntuni,1.553152505147591,Ntuni,chief priest
τέκνον,303,unigram,neuter,accusative,plural,bone,1.0940341695406597,bone,child
τέκνον,162,unigram,neuter,accusative,singular,monyañ,1.5306826807370273,monyañ,child
τέκνον,16,unigram,neuter,nominative,plural,ésaa,1.1375024037531312,ésaa,child
τέκνον,177,unigram,neuter,nominative,singular,mbôbôʼô,1.1111436911029684,mbôbôʼô,child
παιδίον,14,unigram,neuter,accusative,plural,bongô,1.282744596445698,bongô,child
παιδίον,83,unigram,neuter,accusative,singular,mon,1.3952739700970007,mon,child
παιδίον,155,unigram,neuter,nominative,plural,bongô,1.129935884851465,bongô,child
