lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_304_translation,english_translation
θεός,119,unigram,masculine,accusative,singular,Wangarr,2.405821582345604,Wangarr,God
θεός,187,unigram,masculine,nominative,singular,Wangarr,3.3679801584190097,Wangarr,God
κύριος,295,unigram,masculine,nominative,plural,aburr-gurrimapa,1.096344883540667,aburr-gurrimapa,"Lord, lord, master"
κύριος,120,unigram,masculine,nominative,singular,bunggawa,1.6594196200961049,bunggawa,"Lord, lord, master"
γραφή,114,unigram,feminine,accusative,plural,mu-jurra,1.5630422273907283,mu-jurra,Scripture
γραφή,234,unigram,feminine,nominative,plural,geka,1.0242811186428906,geka,Scripture
γραφή,289,unigram,feminine,nominative,singular,gu-yurra,1.4094542954541625,gu-yurra,Scripture
ἄγγελος,90,unigram,masculine,accusative,plural,aburr-mujaruk,1.1481480452958035,aburr-mujaruk,angel
ἄγγελος,76,unigram,masculine,accusative,singular,ngu-jerrma,1.0409211605980433,ngu-jerrma,angel
ἄγγελος,40,unigram,masculine,nominative,plural,aburr-guyinda,1.026734863082065,aburr-guyinda,angel
ἄγγελος,98,unigram,masculine,nominative,singular,an-mujaruk,1.4956247645441352,an-mujaruk,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,aburr-yinmiyana,1.1431208105964683,aburr-yinmiyana,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,a-jerrmarrapa,1.2906639892677767,a-jerrmarrapa,apostle
ἐξουσία,61,unigram,feminine,accusative,plural,nyirrbu-barnja,1.0352059133321203,nyirrbu-barnja,authority
ἐξουσία,178,unigram,feminine,accusative,singular,ganyjarr,1.7474537925332918,ganyjarr,authority
βρέφος,13,unigram,neuter,accusative,plural,burr-jalkaka,1.105476440126733,burr-jalkaka,babies
βρέφος,288,unigram,neuter,accusative,singular,bulugi,1.014841198641049,bulugi,babies
ἀποθήκη,60,unigram,feminine,accusative,singular,mun-nerra,1.1198145272538844,mun-nerra,barn
φραγμός,208,unigram,masculine,accusative,plural,burr-ga,1.1054652133497325,burr-ga,"barrier, wall"
ἀρχή,63,unigram,feminine,accusative,plural,nyirrbu-barnja,1.0351668264658822,nyirrbu-barnja,beginning
ζώνη,154,unigram,feminine,accusative,plural,nyibu-barrba,1.1443093755096192,nyibu-barrba,belt
βλασφημία,28,unigram,feminine,accusative,plural,a-rorrcha,1.4207398027218867,a-rorrcha,blasphemy
βλασφημία,88,unigram,feminine,accusative,singular,mun-nigipiya,1.0591180671250278,mun-nigipiya,blasphemy
βλασφημία,185,unigram,feminine,nominative,plural,gun-jaranga,1.03319051363592,gun-jaranga,blasphemy
βλασφημία,77,unigram,feminine,nominative,singular,gun-jaranga,1.03319051363592,gun-jaranga,blasphemy
πλοῖον,96,unigram,neuter,accusative,plural,jorrnyjurra,1.047835738921362,jorrnyjurra,boat
πλοῖον,276,unigram,neuter,accusative,singular,mu-michiyang,3.2029066067815473,mu-michiyang,boat
πλοῖον,213,unigram,neuter,nominative,plural,michiyang,1.0806167294774145,michiyang,boat
πλοῖον,202,unigram,neuter,nominative,singular,michiyang,1.1302310349461877,michiyang,boat
σῶμα,52,unigram,neuter,nominative,singular,arr-burral,1.048137829010061,arr-burral,body
κλῆμα,48,unigram,neuter,nominative,plural,ny-jakiya,1.3236539482285743,ny-jakiya,branch
κλῆμα,133,unigram,neuter,nominative,singular,mernda,1.2212452689305646,mernda,branch
ἄρτος,280,unigram,masculine,accusative,plural,rakaraka,3.1278411829335804,rakaraka,bread
ἄρτος,303,unigram,masculine,accusative,singular,rakaraka,1.0769309350520424,rakaraka,bread
ἄρτος,139,unigram,masculine,nominative,plural,rakaraka,1.7116334908568265,rakaraka,bread
ἄρτος,32,unigram,masculine,nominative,singular,a-nenga,1.051716216462418,a-nenga,bread
ἀδελφός,266,unigram,masculine,accusative,plural,worlapa,3.1855961780699324,worlapa,brother
ἀδελφός,107,unigram,masculine,accusative,singular,worlapa,2.5872912329810838,worlapa,brother
ἀδελφός,101,unigram,masculine,nominative,plural,worlapa,2.575931560717952,worlapa,brother
ἀδελφός,206,unigram,masculine,nominative,singular,worlapa,4.914346616553287,worlapa,brother
στῆθος,252,unigram,neuter,accusative,singular,ana-wagarba,1.0642252506379395,ana-wagarba,"chest, breast"
ἀρχιερεύς,216,unigram,masculine,accusative,plural,junggay,2.557719632498209,junggay,chief priest
ἀρχιερεύς,53,unigram,masculine,accusative,singular,junggay,1.030272745927877,junggay,chief priest
ἀρχιερεύς,106,unigram,masculine,nominative,plural,junggay,1.8007459001428492,junggay,chief priest
ἀρχιερεύς,221,unigram,masculine,nominative,singular,junggay,1.0239000061138324,junggay,chief priest
παῖς,211,unigram,masculine,accusative,plural,gu-ngarda,1.108197516534946,gu-ngarda,child
παῖς,42,unigram,masculine,accusative,singular,a-jorrpiyana,1.0591392270921265,a-jorrpiyana,child
τέκνον,297,unigram,neuter,accusative,plural,gu-ngarda,2.54620957371175,gu-ngarda,child
τέκνον,159,unigram,neuter,accusative,singular,burrbu-barnja,1.1582059178884203,burrbu-barnja,child
τέκνον,14,unigram,neuter,nominative,plural,gu-ngarda,1.5274809737812185,gu-ngarda,child
τέκνον,171,unigram,neuter,nominative,singular,walkur,1.060535364856612,walkur,child
παιδίον,12,unigram,neuter,accusative,plural,burrbu-jobujoba,1.1691727665595608,burrbu-jobujoba,child
παιδίον,83,unigram,neuter,accusative,singular,delipa,3.0587698161619685,delipa,child
παιδίον,152,unigram,neuter,nominative,plural,gu-ngarda,1.8249522270984773,gu-ngarda,child
παιδίον,33,unigram,neuter,nominative,singular,delipa,3.041209210885876,delipa,child
πόλις,161,unigram,feminine,accusative,plural,gu-boya,1.2670330127159886,gu-boya,city
πόλις,56,unigram,feminine,accusative,singular,rrawa,2.9174343678977994,rrawa,city
πύλη,184,unigram,feminine,nominative,singular,gu-rruwurdola,1.2083418532109105,gu-rruwurdola,city gate
χιτών,103,unigram,masculine,accusative,plural,gun-gugarlakarlaja,1.218686884392743,gun-gugarlakarlaja,"clothing, undergarments"
χιτών,25,unigram,masculine,accusative,singular,mun-gumirrka,1.188169573374063,mun-gumirrka,"clothing, undergarments"
ἱμάτιον,117,unigram,neuter,accusative,plural,mirikal,1.781686454691575,mirikal,coat
ἱμάτιον,116,unigram,neuter,accusative,singular,mirikal,1.3857999854420042,mirikal,coat
ἐντολή,75,unigram,feminine,accusative,plural,gun-guyinda,1.092661108769064,gun-guyinda,commandment
ἐντολή,73,unigram,feminine,accusative,singular,joborr,1.6613390106275283,joborr,commandment
συνέδριον,284,unigram,neuter,accusative,plural,councillor,1.0591180671250278,councillor,council
συνέδριον,44,unigram,neuter,accusative,singular,councillor,1.0591180671250278,councillor,council
χώρα,255,unigram,feminine,accusative,singular,rrawa,1.358517190324308,rrawa,"country, countryside"
ὄχλος,49,unigram,masculine,accusative,plural,gama,1.0045425955140297,gama,crowd
ὄχλος,9,unigram,masculine,accusative,singular,gama,1.0039632991841956,gama,crowd
ὄχλος,92,unigram,masculine,nominative,plural,gama,1.0044680570622466,gama,crowd
ὄχλος,247,unigram,masculine,nominative,singular,aburr-jaranga,1.061088279697226,aburr-jaranga,crowd
θυγάτηρ,102,unigram,feminine,nominative,plural,buburr-rruwuja,1.0954864432981108,buburr-rruwuja,daughter
θυγάτηρ,279,unigram,feminine,nominative,singular,achila,1.812972806245076,achila,daughter
ἡμέρα,67,unigram,feminine,accusative,plural,ngorrngurra,2.120112408734608,ngorrngurra,day
ἡμέρα,78,unigram,feminine,accusative,singular,ngu-jaranga,1.0356444179125537,ngu-jaranga,day
ἡμέρα,2,unigram,feminine,nominative,plural,ngorrngurra,1.23200083367889,ngorrngurra,day
ἡμέρα,58,unigram,feminine,nominative,singular,balngga,1.0302973225799514,balngga,day
δαιμόνιον,26,unigram,neuter,accusative,plural,walkwalk,2.411225475569334,walkwalk,demon
δαιμόνιον,292,unigram,neuter,accusative,singular,walkwalk,3.055046948598696,walkwalk,demon
δαιμόνιον,173,unigram,neuter,nominative,plural,walkwalk,2.0746529889760104,walkwalk,demon
δαιμόνιον,151,unigram,neuter,nominative,singular,walkwalk,1.7085280834204704,walkwalk,demon
δηνάριον,271,unigram,neuter,accusative,plural,muna-gurdanyja,1.0324472241408975,muna-gurdanyja,denarius (about a day's wages)
δηνάριον,141,unigram,neuter,accusative,singular,mun-mama,1.7338017665570262,mun-mama,denarius (about a day's wages)
μαθητής,157,unigram,masculine,accusative,plural,jawina,1.0611959188453266,jawina,disciple
μαθητής,298,unigram,masculine,accusative,singular,gu-day,1.5388837006209868,gu-day,disciple
μαθητής,243,unigram,masculine,nominative,plural,jawina,2.6471006667987336,jawina,disciple
μαθητής,296,unigram,masculine,nominative,singular,jawina,1.8380993853679155,jawina,disciple
νόσος,65,unigram,feminine,accusative,singular,gubi-rrimarra,1.6543343306850389,gubi-rrimarra,disease
περιστερά,91,unigram,feminine,accusative,plural,jalim,1.1943361375892287,jalim,dove
περιστερά,46,unigram,feminine,accusative,singular,mukumul,1.5746231360347005,mukumul,dove
οὖς,132,unigram,neuter,accusative,plural,ny-jaliyana,1.0803804004940625,ny-jaliyana,ear
οὖς,246,unigram,neuter,accusative,singular,rrengarrenga,1.2832550978731063,rrengarrenga,ear
σεισμός,179,unigram,masculine,nominative,plural,gu-ngorrkiya,1.0804603210543138,gu-ngorrkiya,"earthquakes, storm"
τέλος,241,unigram,neuter,accusative,singular,ny-jinyjapa,1.0664465961492915,ny-jinyjapa,end
αἰών,267,unigram,masculine,accusative,singular,a-nipa,1.2718375349460902,a-nipa,eternity
ὀφθαλμός,19,unigram,masculine,accusative,plural,a-ganana,1.0715019757894626,a-ganana,eye
ὀφθαλμός,55,unigram,masculine,nominative,plural,aburr-yu,1.0130217387013158,aburr-yu,eye
ὀφθαλμός,264,unigram,masculine,nominative,singular,mipila,1.0051215423734678,mipila,eye
πρόσωπον,108,unigram,neuter,accusative,plural,aburr-jirra,1.1300430277377458,aburr-jirra,face
πρόσωπον,168,unigram,neuter,accusative,singular,nyirr-gurdagurdarraja,1.1698049005143858,nyirr-gurdagurdarraja,face
λιμός,6,unigram,feminine,nominative,plural,gu-ngorrkiya,1.105470825457771,gu-ngorrkiya,famine
γεωργός,222,unigram,masculine,nominative,plural,aburr-ganana,1.0368074877535505,aburr-ganana,"farmer, tenant"
πατήρ,270,unigram,masculine,accusative,singular,nyanyapa,1.1732280237464807,nyanyapa,father
πατήρ,278,unigram,masculine,nominative,plural,nyanyapa,2.217897175554134,nyanyapa,father
πατήρ,162,unigram,masculine,nominative,singular,Nyanyapa,1.0570227475685123,Nyanyapa,father
ἀγρός,291,unigram,masculine,accusative,plural,jelapa,1.0029225680580416,jelapa,field
δάκτυλος,156,unigram,masculine,accusative,singular,gerlk,1.0657606826130903,gerlk,finger
ἰχθύς,135,unigram,masculine,accusative,plural,jichicha,1.0809579795879265,jichicha,fish
ἰχθύς,167,unigram,masculine,accusative,singular,jichicha,1.1793725352293374,jichicha,fish
δίκτυον,97,unigram,neuter,accusative,plural,mulucha,3.3880942008971537,mulucha,fishing net
δίκτυον,176,unigram,neuter,accusative,singular,jichicha,1.0176983171260732,jichicha,fishing net
τροφή,214,unigram,feminine,accusative,plural,gubu-wembangarna,1.3236916235855574,gubu-wembangarna,food
τροφή,287,unigram,feminine,accusative,singular,a-gana,1.0436286834078912,a-gana,food
πούς,207,unigram,masculine,accusative,plural,rrepara,1.8836877385568584,rrepara,foot
πούς,100,unigram,masculine,accusative,singular,a-gortkurrcha,1.0592184132162543,a-gortkurrcha,foot
καρπός,160,unigram,masculine,accusative,plural,gun-jong,1.066042424967394,gun-jong,"fruit, crop, harvest"
καρπός,205,unigram,masculine,accusative,singular,balaja,1.0165862709148539,balaja,"fruit, crop, harvest"
