lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_303_translation,english_translation
θεός,138,unigram,masculine,accusative,singular,Hyel,2.416025293445472,Hyel,God
θεός,212,unigram,masculine,nominative,singular,Hyel,3.8083932017569873,Hyel,God
κύριος,333,unigram,masculine,nominative,plural,mthlakari,1.2939322565597502,mthlakari,"Lord, lord, master"
κύριος,139,unigram,masculine,nominative,singular,Mthlaku,3.766703763526032,Mthlaku,"Lord, lord, master"
γραφή,134,unigram,feminine,accusative,plural,kakaɗayeri,2.6370358571817056,kakaɗayeri,Scripture
γραφή,54,unigram,feminine,accusative,singular,kakaɗər,1.5591836166901758,kakaɗər,Scripture
γραφή,267,unigram,feminine,nominative,plural,rəbuta,1.0203855139016071,rəbuta,Scripture
γραφή,326,unigram,feminine,nominative,singular,kakaɗər,2.188279660498388,kakaɗər,Scripture
ἄγγελος,105,unigram,masculine,accusative,plural,mjirthlentərni,1.4872393022563684,mjirthlentərni,angel
ἄγγελος,88,unigram,masculine,accusative,singular,mdərthlentərna,1.1922517662911372,mdərthlentərna,angel
ἄγγελος,50,unigram,masculine,nominative,plural,mjirthlentərhyel,5.13904706106377,mjirthlentərhyel,angel
ἄγγελος,116,unigram,masculine,nominative,singular,mdərthlentərhyel,5.118446522102729,mdərthlentərhyel,angel
ἀπόστολος,47,unigram,masculine,nominative,plural,aposəlayeri,3.7528746826174393,aposəlayeri,apostle
ἐξουσία,74,unigram,feminine,accusative,plural,kuthlyayeri,1.0395287610686494,kuthlyayeri,authority
ἐξουσία,205,unigram,feminine,accusative,singular,dunar,1.162361281807896,dunar,authority
βρέφος,18,unigram,neuter,accusative,plural,maɗankyarər,1.7464200687690268,maɗankyarər,babies
βρέφος,324,unigram,neuter,accusative,singular,nggaɓa,1.2845720935250229,nggaɓa,babies
ἀποθήκη,73,unigram,feminine,accusative,singular,alkama,1.286702617968854,alkama,barn
φραγμός,235,unigram,masculine,accusative,plural,lambatayeri,1.1601483900139276,lambatayeri,"barrier, wall"
ἀρχή,76,unigram,feminine,accusative,plural,kuthlyayeri,1.057308545015722,kuthlyayeri,beginning
ἀρχή,186,unigram,feminine,accusative,singular,baɗitari,1.1781780617437103,baɗitari,beginning
ζώνη,178,unigram,feminine,accusative,plural,nggirkumi,1.095398876121712,nggirkumi,belt
βλασφημία,34,unigram,feminine,accusative,plural,rutə,1.2673875340453744,rutə,blasphemy
βλασφημία,103,unigram,feminine,accusative,singular,thləthləhumta,1.1054876771558184,thləthləhumta,blasphemy
βλασφημία,210,unigram,feminine,nominative,plural,ɗimi,1.1331884052012933,ɗimi,blasphemy
πλοῖον,114,unigram,neuter,accusative,plural,sharayeri,2.776072126054652,sharayeri,boat
πλοῖον,312,unigram,neuter,accusative,singular,shar,2.412719467064134,shar,boat
πλοῖον,242,unigram,neuter,nominative,plural,sharayeri,1.2725047209194045,sharayeri,boat
πλοῖον,228,unigram,neuter,nominative,singular,shar,1.9808073066775596,shar,boat
σῶμα,65,unigram,neuter,nominative,singular,dza,1.8647196195739928,dza,body
κλῆμα,61,unigram,neuter,nominative,plural,hangari,1.0437743476448686,hangari,branch
κλῆμα,154,unigram,neuter,nominative,singular,nfwa,1.2899880075497272,nfwa,branch
ἄρτος,316,unigram,masculine,accusative,plural,buradi,3.6504926811306944,buradi,bread
ἄρτος,343,unigram,masculine,accusative,singular,buradi,2.1020055580463888,buradi,bread
ἄρτος,162,unigram,masculine,nominative,plural,susəma,1.0439759726114133,susəma,bread
ἄρτος,41,unigram,masculine,nominative,singular,buradi,2.7492304327515886,buradi,bread
ἀδελφός,301,unigram,masculine,accusative,plural,maɗama'ni,1.1331094749501829,maɗama'ni,brother
ἀδελφός,126,unigram,masculine,accusative,singular,ɓzərma'ni,2.8031653914797205,ɓzərma'ni,brother
ἀδελφός,119,unigram,masculine,nominative,plural,maɗama'ni,1.282284957096278,maɗama'ni,brother
στῆθος,159,unigram,neuter,accusative,plural,kərathla,1.3813962124614525,kərathla,"chest, breast"
στῆθος,287,unigram,neuter,accusative,singular,mdərthlipə,1.0303757848524575,mdərthlipə,"chest, breast"
ἀρχιερεύς,247,unigram,masculine,accusative,plural,pristayeri,1.5221514608578202,pristayeri,chief priest
ἀρχιερεύς,66,unigram,masculine,accusative,singular,prist,1.4973024617204338,prist,chief priest
ἀρχιερεύς,125,unigram,masculine,nominative,plural,pristayeri,1.2271660006766696,pristayeri,chief priest
ἀρχιερεύς,252,unigram,masculine,nominative,singular,prist,1.6138228359141595,prist,chief priest
παῖς,238,unigram,masculine,accusative,plural,maɗankyar,1.0080197266872175,maɗankyar,child
παῖς,52,unigram,masculine,accusative,singular,kədza,1.3985418169282438,kədza,child
τέκνον,335,unigram,neuter,accusative,plural,maɗa'ni,1.3725813611182591,maɗa'ni,child
τέκνον,183,unigram,neuter,accusative,singular,ɓzərma'ni,1.560170195026242,ɓzərma'ni,child
τέκνον,19,unigram,neuter,nominative,plural,baba,1.5430599422089253,baba,child
τέκνον,198,unigram,neuter,nominative,singular,Ɓzərna,3.8746897454695213,Ɓzərna,child
παιδίον,17,unigram,neuter,accusative,plural,maɗankyar,1.2605659309597672,maɗankyar,child
παιδίον,96,unigram,neuter,accusative,singular,ɓzəngkyar,2.855273450677507,ɓzəngkyar,child
παιδίον,176,unigram,neuter,nominative,plural,maɗankyar,1.195217232199938,maɗankyar,child
παιδίον,43,unigram,neuter,nominative,singular,ɓzəngkyar,2.7813220081041696,ɓzəngkyar,child
πόλις,187,unigram,feminine,accusative,plural,kauyayeri,2.2041083272008515,kauyayeri,city
πόλις,70,unigram,feminine,accusative,singular,di,2.822984510689603,di,city
χιτών,122,unigram,masculine,accusative,plural,ləptu,1.4929581847500686,ləptu,"clothing, undergarments"
χιτών,31,unigram,masculine,accusative,singular,ləptər,1.0369742311155503,ləptər,"clothing, undergarments"
ἱμάτιον,136,unigram,neuter,accusative,plural,ləptayeri,1.9162779365195848,ləptayeri,coat
ἱμάτιον,135,unigram,neuter,accusative,singular,ləptu,2.168126570847156,ləptu,coat
ἐντολή,87,unigram,feminine,accusative,plural,tsawayeri,1.9673351074952168,tsawayeri,commandment
ἐντολή,85,unigram,feminine,accusative,singular,surharar,1.1441423224729763,surharar,commandment
συνέδριον,320,unigram,neuter,accusative,plural,ɓu,1.0591180671250278,ɓu,council
συνέδριον,56,unigram,neuter,accusative,singular,pristayeri,1.0731781317384452,pristayeri,council
χώρα,290,unigram,feminine,accusative,singular,tsəɗi,1.304537107325664,tsəɗi,"country, countryside"
ὄχλος,62,unigram,masculine,accusative,plural,dlamar,2.0453537451242734,dlamar,crowd
ὄχλος,12,unigram,masculine,accusative,singular,dlamar,1.3315745802889876,dlamar,crowd
ὄχλος,107,unigram,masculine,nominative,plural,dlamar,1.4831131706424656,dlamar,crowd
ὄχλος,282,unigram,masculine,nominative,singular,mji,1.111926721093219,mji,crowd
θυγάτηρ,121,unigram,feminine,nominative,plural,Mwankir,1.496697726386885,Mwankir,daughter
ἡμέρα,80,unigram,feminine,accusative,plural,vir,3.2713884447813646,vir,day
ἡμέρα,89,unigram,feminine,accusative,singular,viri,1.6382836633425726,viri,day
ἡμέρα,2,unigram,feminine,nominative,plural,virayeri,1.2853583745318076,virayeri,day
ἡμέρα,71,unigram,feminine,nominative,singular,viri,1.265373495818826,viri,day
ὀφειλέτης,254,unigram,masculine,nominative,plural,ndlangkərdzi,1.095394287878594,ndlangkərdzi,debtor
δαιμόνιον,32,unigram,neuter,accusative,plural,shatanayeri,1.0681249030013922,shatanayeri,demon
δαιμόνιον,329,unigram,neuter,accusative,singular,shatan,4.86217127357563,shatan,demon
δαιμόνιον,199,unigram,neuter,nominative,plural,shatanayeri,2.7050751540897795,shatanayeri,demon
δαιμόνιον,175,unigram,neuter,nominative,singular,shatan,1.6312959755593566,shatan,demon
δηνάριον,306,unigram,neuter,accusative,plural,təmbəl,1.1001275630428675,təmbəl,denarius (about a day's wages)
δηνάριον,164,unigram,neuter,accusative,singular,kwabar,1.730280460263138,kwabar,denarius (about a day's wages)
μαθητής,181,unigram,masculine,accusative,plural,mjirthlipərni,5.109510400702738,mjirthlipərni,disciple
μαθητής,336,unigram,masculine,accusative,singular,mdərthlipə,1.562781030452114,mdərthlipə,disciple
μαθητής,276,unigram,masculine,nominative,plural,mjirthlipərni,4.14654037188473,mjirthlipərni,disciple
μαθητής,334,unigram,masculine,nominative,singular,mdərthlipə,2.752672093861593,mdərthlipə,disciple
νόσος,3,unigram,feminine,accusative,plural,shilkayeri,1.6550378150174971,shilkayeri,disease
νόσος,78,unigram,feminine,accusative,singular,nggawakurayeri,1.2292054811397732,nggawakurayeri,disease
περιστερά,106,unigram,feminine,accusative,plural,ɗəl,1.3696338284609322,ɗəl,dove
περιστερά,58,unigram,feminine,accusative,singular,bukəl,1.3749138250582218,bukəl,dove
οὖς,153,unigram,neuter,accusative,plural,thləmər,1.475321567519081,thləmər,ear
οὖς,281,unigram,neuter,accusative,singular,mbwayeri,1.0528627292703832,mbwayeri,ear
σεισμός,206,unigram,masculine,nominative,plural,kənggərantədzi,1.079949101256034,kənggərantədzi,"earthquakes, storm"
σεισμός,68,unigram,masculine,nominative,singular,ncighəi,1.1695529302539718,ncighəi,"earthquakes, storm"
τέλος,35,unigram,neuter,accusative,plural,nta.,1.0954540950705378,nta.,end
τέλος,274,unigram,neuter,accusative,singular,kurari,1.7270952074489725,kurari,end
αἰών,239,unigram,masculine,accusative,plural,dur,1.2925804998329276,dur,eternity
αἰών,302,unigram,masculine,accusative,singular,ba,1.3312870759799862,ba,eternity
ὀφθαλμός,25,unigram,masculine,accusative,plural,nca,1.07130550388797,nca,eye
ὀφθαλμός,69,unigram,masculine,nominative,plural,nca,1.0715215223777197,nca,eye
ὀφθαλμός,299,unigram,masculine,nominative,singular,ga,1.1300159271906751,ga,eye
πρόσωπον,128,unigram,neuter,accusative,plural,kəma,1.1242417810217626,kəma,face
πρόσωπον,195,unigram,neuter,accusative,singular,wul,1.0151396746933177,wul,face
λιμός,8,unigram,feminine,nominative,plural,Tsəɗi,1.1124058718355103,Tsəɗi,famine
λιμός,311,unigram,masculine,nominative,plural,Di,1.0954126531313877,Di,famine
λιμός,98,unigram,feminine,nominative,singular,tur,1.0495933202819676,tur,famine
γεωργός,253,unigram,masculine,nominative,plural,haya,1.2787668579962777,haya,"farmer, tenant"
γεωργός,53,unigram,masculine,nominative,singular,gadinar,1.4759228210295436,gadinar,"farmer, tenant"
πατήρ,200,unigram,masculine,accusative,plural,durər,1.1460982287440158,durər,father
πατήρ,305,unigram,masculine,accusative,singular,Tədda,2.394940572780337,Tədda,father
πατήρ,315,unigram,masculine,nominative,plural,kəkayeri,1.1705317952116558,kəkayeri,father
πατήρ,189,unigram,masculine,nominative,singular,Tədda,1.4102086375605367,Tədda,father
ἀγρός,328,unigram,masculine,accusative,plural,fakayeri,1.273865109103306,fakayeri,field
ἀγρός,42,unigram,masculine,accusative,singular,mastə,2.041390817113775,mastə,field
δάκτυλος,180,unigram,masculine,accusative,singular,Thlomas,1.0799586192505333,Thlomas,finger
ἰχθύς,156,unigram,masculine,accusative,plural,kəlfa,1.0169046707442573,kəlfa,fish
ἰχθύς,194,unigram,masculine,accusative,singular,pwapu,1.3401393325323308,pwapu,fish
