lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2189_translation,version_2190_translation,english_translation
θεός,97,unigram,masculine,accusative,singular,Бурханиие,1.8991297757145635,,Бурханиие,God
θεός,16,unigram,masculine,nominative,plural,бурхад,1.3312679263925702,,бурхад,God
θεός,156,unigram,masculine,nominative,singular,Бурхан,5.047203466132704,,Бурхан,God
κύριος,98,unigram,masculine,nominative,singular,Эзэн,1.1537833741654004,,Эзэн,"Lord, lord, master"
γραφή,93,unigram,feminine,accusative,plural,Нангин,1.0128460463549789,,Нангин,Scripture
γραφή,33,unigram,feminine,accusative,singular,бэшээтэй,1.030472081886162,,бэшээтэй,Scripture
γραφή,200,unigram,feminine,nominative,plural,Нангин,1.1548365557447868,,Нангин,Scripture
γραφή,247,unigram,feminine,nominative,singular,Нангин,1.340561459204294,,Нангин,Scripture
ἄγγελος,30,unigram,masculine,nominative,plural,Эльгээмэлнүүд,1.0350628309411558,,Эльгээмэлнүүд,angel
ἄγγελος,77,unigram,masculine,nominative,singular,Эльгээмэл,1.879642161047262,,Эльгээмэл,angel
ἀπόστολος,27,unigram,masculine,nominative,plural,Элшэнэр,1.6277097084468133,,Элшэнэр,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,эльгээгшэһээ,1.0960817954296525,,эльгээгшэһээ,apostle
ἐξουσία,148,unigram,feminine,accusative,singular,эрхэ,1.4957222240466366,,эрхэ,authority
ἀποθήκη,49,unigram,feminine,accusative,singular,суглуулжа,1.4675800420888785,,суглуулжа,barn
βλασφημία,20,unigram,feminine,accusative,plural,хүлисэдэг,1.0595480639608463,,хүлисэдэг,blasphemy
βλασφημία,154,unigram,feminine,nominative,plural,хара,1.4605463878099645,,хара,blasphemy
βλασφημία,60,unigram,feminine,nominative,singular,али,1.061802405788273,,али,blasphemy
πλοῖον,75,unigram,neuter,accusative,plural,эрье,1.6881751768407898,,эрье,boat
πλοῖον,234,unigram,neuter,accusative,singular,онгосодо,4.7174124572413225,,онгосодо,boat
πλοῖον,172,unigram,neuter,nominative,singular,тэгэндэ,1.1769512424412798,,тэгэндэ,boat
σῶμα,41,unigram,neuter,nominative,singular,бэешни,1.0486320623693686,,бэешни,body
κλῆμα,108,unigram,neuter,nominative,singular,досоо,1.5538840862828218,,досоо,branch
ἄρτος,239,unigram,masculine,accusative,plural,хилээмэ,1.6657196450741238,,хилээмэ,bread
ἄρτος,258,unigram,masculine,accusative,singular,хилээмэ,3.32197747762083,,хилээмэ,bread
ἄρτος,113,unigram,masculine,nominative,plural,хүртэхэгүйл,1.1379678799014312,,хүртэхэгүйл,bread
ἄρτος,24,unigram,masculine,nominative,singular,хилээмэн,2.4174502346751305,,хилээмэн,bread
ἀδελφός,225,unigram,masculine,accusative,plural,аха,2.068500911360654,,аха,brother
ἀδελφός,88,unigram,masculine,accusative,singular,аха,1.1200974843129925,,аха,brother
ἀδελφός,80,unigram,masculine,nominative,plural,аха,1.793568828539077,,аха,brother
ἀδελφός,177,unigram,masculine,nominative,singular,дүү,1.1274033081448105,,дүү,brother
στῆθος,213,unigram,neuter,accusative,singular,шабинь,1.2716091139966834,,шабинь,"chest, breast"
ἀρχιερεύς,184,unigram,masculine,accusative,plural,түрүү,1.1719969293300168,,түрүү,chief priest
ἀρχιερεύς,42,unigram,masculine,accusative,singular,ахамад,1.697858241635687,,ахамад,chief priest
ἀρχιερεύς,87,unigram,masculine,nominative,plural,санаартан,1.5548566760318674,,санаартан,chief priest
ἀρχιερεύς,188,unigram,masculine,nominative,singular,санаарта,1.1653713847214506,,санаарта,chief priest
τέκνον,254,unigram,neuter,accusative,plural,үхибүүдээ,1.006863065141038,,үхибүүдээ,child
τέκνον,142,unigram,neuter,nominative,singular,Хүбүүмни,1.2236541560684142,,Хүбүүмни,child
παιδίον,9,unigram,neuter,accusative,plural,Үхибүүдые,1.0475556606704368,,Үхибүүдые,child
παιδίον,65,unigram,neuter,accusative,singular,үхибүүе,1.2446776908039328,,үхибүүе,child
παιδίον,26,unigram,neuter,nominative,singular,тогтоон,1.0621618815685356,,тогтоон,child
πόλις,133,unigram,feminine,accusative,plural,хото,1.5006951615337631,,хото,city
πόλις,46,unigram,feminine,accusative,singular,хото,3.4300277513360555,,хото,city
πύλη,153,unigram,feminine,nominative,singular,хаалгань,1.0595352057902494,,хаалгань,city gate
χιτών,84,unigram,masculine,accusative,plural,һэлгэхэ,1.4945875293157729,,һэлгэхэ,"clothing, undergarments"
χιτών,17,unigram,masculine,accusative,singular,тайлажа,1.6352052657445966,,тайлажа,"clothing, undergarments"
ἱμάτιον,95,unigram,neuter,accusative,plural,хубсаһаяа,1.692819107036455,,хубсаһаяа,coat
ἱμάτιον,94,unigram,neuter,accusative,singular,хунараа,1.0484265970270883,,хунараа,coat
ἐντολή,59,unigram,feminine,accusative,plural,захяа,1.9065529522357736,,захяа,commandment
ἐντολή,57,unigram,feminine,accusative,singular,захяа,2.1062348030868003,,захяа,commandment
συνέδριον,242,unigram,neuter,accusative,plural,сохихо,1.123664399048184,,сохихо,council
συνέδριον,35,unigram,neuter,accusative,singular,санаартан,1.1559700852179615,,санаартан,council
