lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_640_translation,english_translation
θεός,305,unigram,masculine,accusative,plural,ngalá,1.4657629759385362,ngalá,God
θεός,133,unigram,masculine,accusative,singular,Ngalá,1.0024719022846151,Ngalá,God
θεός,28,unigram,masculine,nominative,plural,ngalángaa,1.2154724280609577,ngalángaa,God
θεός,197,unigram,masculine,nominative,singular,Ngalá,2.9076475949202667,Ngalá,God
κύριος,306,unigram,masculine,nominative,plural,fuló,1.0446287418949451,fuló,"Lord, lord, master"
κύριος,134,unigram,masculine,nominative,singular,Ndemɔí,2.3191802458659105,Ndemɔí,"Lord, lord, master"
γραφή,128,unigram,feminine,accusative,plural,Kɔ́lɔi,1.8714049340592305,Kɔ́lɔi,Scripture
γραφή,49,unigram,feminine,accusative,singular,Kɔ́lɔi,1.2883675756039348,Kɔ́lɔi,Scripture
γραφή,248,unigram,feminine,nominative,plural,Kɔ́lɔi,1.5848857098172422,Kɔ́lɔi,Scripture
γραφή,300,unigram,feminine,nominative,singular,Kɔ́lɔi,1.5163366161130878,Kɔ́lɔi,Scripture
ἄγγελος,96,unigram,masculine,accusative,plural,w̃álekaitii,1.7277225507809235,w̃álekaitii,angel
ἄγγελος,82,unigram,masculine,accusative,singular,lɔ́vema,1.0500981916898025,lɔ́vema,angel
ἄγγελος,46,unigram,masculine,nominative,plural,w̃álekaitii,2.484846561581481,w̃álekaitii,angel
ἄγγελος,107,unigram,masculine,nominative,singular,malékai,1.8555862940442616,malékai,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,géélaitii,1.9233468224710968,géélaitii,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,wota,1.0962199599997684,wota,authority
ἐξουσία,189,unigram,feminine,accusative,singular,ngakpá,2.8998715693842065,ngakpá,authority
βρέφος,13,unigram,neuter,accusative,plural,ndoulálaitii,1.2125536087908515,ndoulálaitii,babies
βρέφος,299,unigram,neuter,accusative,singular,suwaítii,1.1133149773729265,suwaítii,babies
ἀποθήκη,67,unigram,feminine,accusative,singular,wótai,1.1133149773729267,wótai,barn
φραγμός,223,unigram,masculine,accusative,plural,ndɔbɔ,1.0441038887271343,ndɔbɔ,"barrier, wall"
ἀρχή,70,unigram,feminine,accusative,plural,wota,1.212649645711236,wota,beginning
ζώνη,166,unigram,feminine,accusative,plural,siyangí,1.1613891358488626,siyangí,belt
βλασφημία,32,unigram,feminine,accusative,plural,tɛɣɛsuí,1.3263996211162876,tɛɣɛsuí,blasphemy
πλοῖον,105,unigram,neuter,accusative,plural,kelé,1.0327937236211813,kelé,boat
πλοῖον,287,unigram,neuter,accusative,singular,keléngi,2.8640752835334355,keléngi,boat
πλοῖον,229,unigram,neuter,nominative,plural,pékani,1.096239847813496,pékani,boat
πλοῖον,216,unigram,neuter,nominative,singular,keléngi,2.2591107759087117,keléngi,boat
σῶμα,204,unigram,neuter,nominative,plural,wó,1.1125111918664137,wó,body
σῶμα,58,unigram,neuter,nominative,singular,yááh̃uitii,1.0435546338236426,yááh̃uitii,body
κλῆμα,54,unigram,neuter,nominative,plural,mbekeítii,1.0960622061228922,mbekeítii,branch
ἄρτος,292,unigram,masculine,accusative,plural,bilé,1.5080651086578951,bilé,bread
ἄρτος,316,unigram,masculine,accusative,singular,biléi,1.1961186565565831,biléi,bread
ἄρτος,153,unigram,masculine,nominative,plural,mɛɛní,1.1131067619433872,mɛɛní,bread
ἄρτος,37,unigram,masculine,nominative,singular,bílei,1.0556704896835658,bílei,bread
ἀδελφός,277,unigram,masculine,accusative,plural,léngaitii,1.0239044014158902,léngaitii,brother
