lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_386_translation,version_387_translation,english_translation
θεός,334,unigram,masculine,accusative,plural,yab'jnac,1.0598372961267315,,yab'jnac,God
θεός,138,unigram,masculine,accusative,singular,,,Dios,paxti,God
θεός,217,unigram,masculine,nominative,singular,Dios,7.637639575341218,Dios,Dios,God
κύριος,336,unigram,masculine,nominative,plural,,,stijanelta,sjiyn,"Lord, lord, master"
κύριος,139,unigram,masculine,nominative,singular,,,Cajal,Cajlil,"Lord, lord, master"
γραφή,133,unigram,feminine,accusative,plural,,,Slolonel,Ch'an̈,Scripture
γραφή,52,unigram,feminine,accusative,singular,,,Slolonel,U'un̈,Scripture
γραφή,270,unigram,feminine,nominative,plural,,,Slolonel,U'un̈,Scripture
γραφή,329,unigram,feminine,nominative,singular,,,Slolonel,Ch'an̈,Scripture
ἄγγελος,105,unigram,masculine,accusative,plural,vángel,1.0517002572624523,vángel,,angel
ἄγγελος,88,unigram,masculine,accusative,singular,,,c'ochi,checc,angel
ἄγγελος,48,unigram,masculine,nominative,plural,ángel,10.607887261248402,ángel,ángel,angel
ἄγγελος,116,unigram,masculine,nominative,singular,ángel,1.0959547784122712,ángel,ángel,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,,,schecab,schecb,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,,,schecan,tzchecn,apostle
ἐξουσία,72,unigram,feminine,accusative,plural,pacn,1.1604032204292956,,pacn,authority
ἐξουσία,209,unigram,feminine,accusative,singular,,,vopisio,opiso,authority
βρέφος,17,unigram,neuter,accusative,plural,,,cachji,b't,babies
βρέφος,327,unigram,neuter,accusative,singular,chej,1.7119149476426778,chej,,babies
ἀποθήκη,71,unigram,feminine,accusative,singular,,,smatz'il,yet'ul,barn
φραγμός,243,unigram,masculine,accusative,plural,,,sb'ud'ji,b'ut'joc,"barrier, wall"
ἀρχή,74,unigram,feminine,accusative,plural,pacn,1.160238403567914,,pacn,beginning
ἀρχή,188,unigram,feminine,accusative,singular,valnacxo,1.1054890991685846,valnacxo,,beginning
ζώνη,180,unigram,feminine,accusative,plural,centavo,1.2534752038687749,centavo,,belt
ζώνη,232,unigram,feminine,accusative,singular,,,caltacte'al,calte'al,belt
βλασφημία,32,unigram,feminine,accusative,plural,,,snaub'tan̈ani,Toc,blasphemy
βλασφημία,103,unigram,feminine,accusative,singular,sn̈ic'chitan,1.2109753543116366,sn̈ic'chitan,,blasphemy
βλασφημία,89,unigram,feminine,nominative,singular,svach'il,1.3158337737709331,svach'il,,blasphemy
πλοῖον,114,unigram,neuter,accusative,plural,barco,3.371465603813479,barco,barco,boat
πλοῖον,313,unigram,neuter,accusative,singular,barco,8.659414583294314,barco,barco,boat
πλοῖον,250,unigram,neuter,nominative,plural,,,b'ajtaxon,yactn,boat
πλοῖον,234,unigram,neuter,nominative,singular,barco,1.9303345688959779,barco,barco,boat
σῶμα,224,unigram,neuter,nominative,plural,,,snivanil,sniwnal,body
σῶμα,62,unigram,neuter,nominative,singular,,,nivanil,niwnal,body
κλῆμα,58,unigram,neuter,nominative,plural,'ajcn,1.0804603210543138,,'ajcn,branch
κλῆμα,155,unigram,neuter,nominative,singular,cann̈j,1.222554375129182,,cann̈j,branch
ἄρτος,318,unigram,masculine,accusative,plural,pan,4.901914788584982,pan,pan,bread
ἄρτος,347,unigram,masculine,accusative,singular,pan,2.385565872666061,pan,pan,bread
ἄρτος,163,unigram,masculine,nominative,plural,,,qued'nac,ca,bread
ἄρτος,39,unigram,masculine,nominative,singular,,,vael,cotnc,bread
ἀδελφός,303,unigram,masculine,accusative,plural,,,yuc'tac,yu'tac,brother
ἀδελφός,126,unigram,masculine,accusative,singular,,,yuc'tac,yu'tac,brother
ἀδελφός,119,unigram,masculine,nominative,plural,,,yuc'tac,yu'tac,brother
ἀδελφός,241,unigram,masculine,nominative,singular,,,yuc'tac,yu'tac,brother
στῆθος,160,unigram,neuter,accusative,plural,,,cusc'olal,uji,"chest, breast"
στῆθος,289,unigram,neuter,accusative,singular,,,¿mach,q'ueln,"chest, breast"
ἀρχιερεύς,253,unigram,masculine,accusative,plural,,,sacerdote,ya'mal,chief priest
ἀρχιερεύς,63,unigram,masculine,accusative,singular,,,sacerdote,ya'mal,chief priest
ἀρχιερεύς,125,unigram,masculine,nominative,plural,,,sacerdote,ya'mal,chief priest
ἀρχιερεύς,257,unigram,masculine,nominative,singular,,,sacerdote,ya'mal,chief priest
παῖς,246,unigram,masculine,accusative,plural,,,yoval,Ton̈j,child
παῖς,50,unigram,masculine,accusative,singular,xtumwj,1.0954540950705378,,xtumwj,child
τέκνον,338,unigram,neuter,accusative,plural,,,yuninal,yunnal,child
τέκνον,186,unigram,neuter,accusative,singular,,,yuc'tac,yu'tac,child
τέκνον,18,unigram,neuter,nominative,plural,,,mamab'il,mamb'il,child
τέκνον,201,unigram,neuter,nominative,singular,,,vetanimail,Ach,child
παιδίον,16,unigram,neuter,accusative,plural,,,—Chaeccot,—Chajec,child
παιδίον,96,unigram,neuter,accusative,singular,,,unin,'unn,child
παιδίον,178,unigram,neuter,nominative,plural,unin,1.6178089115525185,unin,,child
παιδίον,41,unigram,neuter,nominative,singular,,,unin,'unn,child
πόλις,189,unigram,feminine,accusative,plural,chon̈ab,1.83797289331346,chon̈ab,chon̈ab,city
πόλις,67,unigram,feminine,accusative,singular,chon̈ab,5.1478275615063955,chon̈ab,chon̈ab,city
πύλη,215,unigram,feminine,nominative,singular,,,yunen̈ej,puerta,city gate
χιτών,122,unigram,masculine,accusative,plural,,,c'ococh,eyic,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,,,camix,camx,"clothing, undergarments"
ἱμάτιον,136,unigram,neuter,accusative,plural,,,spichul,spichl,coat
