lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2310_translation,english_translation
θεός,110,unigram,masculine,accusative,singular,Yak'usda,5.1293231997140785,Yak'usda,God
θεός,175,unigram,masculine,nominative,singular,Yak'usda,6.5076226874256555,Yak'usda,God
κύριος,111,unigram,masculine,nominative,singular,neMoodihti,2.413270031357873,neMoodihti,"Lord, lord, master"
γραφή,107,unigram,feminine,accusative,plural,bughunek,1.7639529769716389,bughunek,Scripture
γραφή,40,unigram,feminine,accusative,singular,'uk'une'úsduguz,1.3753840270699382,'uk'une'úsduguz,Scripture
γραφή,225,unigram,feminine,nominative,plural,'uhóneh,1.5896355329183092,'uhóneh,Scripture
γραφή,281,unigram,feminine,nominative,singular,'uk'une'úsduguz,1.3905442357389763,'uk'une'úsduguz,Scripture
ἄγγελος,82,unigram,masculine,accusative,plural,bulizas,1.487126115304709,bulizas,angel
ἄγγελος,37,unigram,masculine,nominative,plural,lizas,3.7382816674735535,lizas,angel
ἄγγελος,91,unigram,masculine,nominative,singular,lizas,1.4191493160566218,lizas,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,whel,2.0745726803667432,whel,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,yughatélh,1.0960817954296525,yughatélh,apostle
ἐξουσία,167,unigram,feminine,accusative,singular,ndoh,1.72328397802485,ndoh,authority
ἀποθήκη,55,unigram,feminine,accusative,singular,duték'un,1.4173718379039892,duték'un,barn
φραγμός,93,unigram,masculine,accusative,singular,tsak'et,1.761537830929366,tsak'et,"barrier, wall"
ἀρχή,150,unigram,feminine,accusative,singular,'udechoo,1.1492299615296555,'udechoo,beginning
ζώνη,142,unigram,feminine,accusative,plural,óohdzaih,1.0960524252565438,óohdzaih,belt
ζώνη,189,unigram,feminine,accusative,singular,'ukulh,1.0960524252565438,'ukulh,belt
βλασφημία,80,unigram,feminine,accusative,singular,cha'uznízun,1.0960768946513286,cha'uznízun,blasphemy
