lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_323_translation,english_translation
θεός,109,unigram,masculine,accusative,singular,Tamusi,1.1984553090693055,Tamusi,God
θεός,176,unigram,masculine,nominative,singular,Tamusi,2.6253749635064447,Tamusi,God
κύριος,273,unigram,masculine,nominative,plural,aporenjan,1.096344883540667,aporenjan,"Lord, lord, master"
κύριος,110,unigram,masculine,nominative,singular,ijopotory,1.147901496567306,ijopotory,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,ipo,1.0428912078347599,ipo,Scripture
γραφή,267,unigram,feminine,nominative,singular,imero'po,2.1630853647002297,imero'po,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,tapojongon,1.4872393022563684,tapojongon,angel
ἄγγελος,38,unigram,masculine,nominative,plural,apojongon,1.3519231028566807,apojongon,angel
ἄγγελος,89,unigram,masculine,nominative,singular,apojonano,1.022896252970476,apojonano,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,napojoma'san,1.2778829836384324,napojoma'san,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,tapojomanenymbo,1.0954356558477605,tapojomanenymbo,apostle
ἐξουσία,167,unigram,feminine,accusative,singular,aina,1.1762571516132263,aina,authority
βρέφος,266,unigram,neuter,accusative,singular,wendametopo,1.0804603210543138,wendametopo,babies
ἀποθήκη,56,unigram,feminine,accusative,singular,ikura'matopo,1.5320743704976316,ikura'matopo,barn
ζώνη,144,unigram,feminine,accusative,plural,ikarai'po,1.095398876121712,ikarai'po,belt
βλασφημία,25,unigram,feminine,accusative,plural,jamikanen,1.1781894292718724,jamikanen,blasphemy
βλασφημία,174,unigram,feminine,nominative,plural,kyno'katan,1.012318030437118,kyno'katan,blasphemy
πλοῖον,87,unigram,neuter,accusative,plural,kurijara,2.570181801621958,kurijara,boat
πλοῖον,256,unigram,neuter,accusative,singular,kurijara,2.433851380865674,kurijara,boat
πλοῖον,200,unigram,neuter,nominative,plural,iwaitopo,1.1604446599788334,iwaitopo,boat
πλοῖον,191,unigram,neuter,nominative,singular,kurijara,1.5203972272636432,kurijara,boat
σῶμα,49,unigram,neuter,nominative,singular,aja'mun,1.93185654421136,aja'mun,body
κλῆμα,121,unigram,neuter,nominative,singular,yta,1.4248291989165531,yta,branch
ἄρτος,259,unigram,masculine,accusative,plural,perere,3.767895065643473,perere,bread
ἄρτος,281,unigram,masculine,accusative,singular,perere,1.3045585499817791,perere,bread
ἄρτος,128,unigram,masculine,nominative,plural,perere,2.1833608026226834,perere,bread
ἄρτος,30,unigram,masculine,nominative,singular,arepa,1.8139009843110383,arepa,bread
ἀδελφός,249,unigram,masculine,accusative,plural,typiryjan,1.2943850187757582,typiryjan,brother
ἀδελφός,100,unigram,masculine,accusative,singular,ipiry,1.522979703593217,ipiry,brother
ἀδελφός,92,unigram,masculine,nominative,plural,ipiryjan,1.2410978523140954,ipiryjan,brother
ἀδελφός,196,unigram,masculine,nominative,singular,tyryi,1.2405506743120551,tyryi,brother
στῆθος,235,unigram,neuter,accusative,singular,noky,1.2467636395516704,noky,"chest, breast"
ἀρχιερεύς,204,unigram,masculine,accusative,plural,jopotorykon,1.2915894036010798,jopotorykon,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,jopotory,1.0251468532799128,jopotory,chief priest
ἀρχιερεύς,99,unigram,masculine,nominative,plural,jopotorykon,1.1786268741411972,jopotorykon,chief priest
ἀρχιερεύς,207,unigram,masculine,nominative,singular,jopotory,1.0932437033660811,jopotory,chief priest
τέκνον,275,unigram,neuter,accusative,plural,ty'makon,1.4817773444533184,ty'makon,child
τέκνον,149,unigram,neuter,accusative,singular,tyryi,1.4677702814373756,tyryi,child
τέκνον,13,unigram,neuter,nominative,plural,ekaramatan,1.0680572072721175,ekaramatan,child
τέκνον,160,unigram,neuter,nominative,singular,Koki,1.4820996394800448,Koki,child
παιδίον,12,unigram,neuter,accusative,plural,pitanikon,1.2003910446014106,pitanikon,child
παιδίον,73,unigram,neuter,accusative,singular,pitani,1.853479506726912,pitani,child
παιδίον,142,unigram,neuter,nominative,plural,pitanikon,1.5566748438423552,pitanikon,child
παιδίον,32,unigram,neuter,nominative,singular,pitani,1.902762394774824,pitani,child
πόλις,152,unigram,feminine,accusative,plural,siky'inon,1.0084639024988913,siky'inon,city
πόλις,52,unigram,feminine,accusative,singular,aitopo,3.637491670833511,aitopo,city
πύλη,173,unigram,feminine,nominative,singular,a'mykanen,1.0591029938321448,a'mykanen,city gate
χιτών,95,unigram,masculine,accusative,plural,Awo'mykon,1.1282635733960409,Awo'mykon,"clothing, undergarments"
χιτών,23,unigram,masculine,accusative,singular,upi'nono,1.4179744215117582,upi'nono,"clothing, undergarments"
ἱμάτιον,107,unigram,neuter,accusative,singular,wo'mynano,1.3773236210201756,wo'mynano,coat
ἐντολή,68,unigram,feminine,accusative,plural,wykato'konymbo,1.543237087934728,wykato'konymbo,commandment
ἐντολή,66,unigram,feminine,accusative,singular,wykato'konymbo,1.0745292564692923,wykato'konymbo,commandment
συνέδριον,263,unigram,neuter,accusative,plural,aitoko,1.148917894915854,aitoko,council
συνέδριον,41,unigram,neuter,accusative,singular,wota'nanopy'san,1.3378346044142655,wota'nanopy'san,council
χώρα,63,unigram,feminine,accusative,plural,Typotyry,1.0954679461699222,Typotyry,"country, countryside"
χώρα,238,unigram,feminine,accusative,singular,Gerasa,1.047968218672758,Gerasa,"country, countryside"
ὄχλος,46,unigram,masculine,accusative,plural,apyimykon,2.5343075333851917,apyimykon,crowd
ὄχλος,7,unigram,masculine,accusative,singular,apyimy,1.2983417704943387,apyimy,crowd
ὄχλος,81,unigram,masculine,nominative,plural,apyimykon,2.0607406596735407,apyimykon,crowd
ὄχλος,230,unigram,masculine,nominative,singular,apyimy,1.5281492544837143,apyimy,crowd
