lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_331_translation,version_332_translation,english_translation
θεός,299,unigram,masculine,accusative,plural,déus,1.0965172048072145,déus,,God
θεός,118,unigram,masculine,accusative,singular,Déu,195.6903239301717,Déu,Déu,God
θεός,191,unigram,masculine,nominative,singular,Déu,142.0243022425818,Déu,Déu,God
κύριος,301,unigram,masculine,nominative,plural,,,deslligaven,desfermaven,"Lord, lord, master"
κύριος,119,unigram,masculine,nominative,singular,Senyor,3.086668247295089,Senyor,Senyor,"Lord, lord, master"
γραφή,114,unigram,feminine,accusative,plural,Escriptures,6.309387439521236,Escriptures,Escriptures,Scripture
γραφή,46,unigram,feminine,accusative,singular,Escriptura,1.441716776981174,Escriptura,,Scripture
γραφή,241,unigram,feminine,nominative,plural,Escriptures,3.5220843692699617,Escriptures,Escriptures,Scripture
γραφή,294,unigram,feminine,nominative,singular,Escriptura,3.9745949473559827,Escriptura,Escriptura,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,àngels,3.1425846933877795,àngels,àngels,angel
ἄγγελος,78,unigram,masculine,accusative,singular,envio,1.2716880314249452,,envio,angel
ἄγγελος,43,unigram,masculine,nominative,plural,àngels,17.191412534915802,àngels,àngels,angel
ἄγγελος,97,unigram,masculine,nominative,singular,àngel,23.93749682649117,àngel,àngel,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,apòstols,11.680087146283109,apòstols,apòstols,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,envia,1.3471973149965013,envia,envia,apostle
ἐξουσία,182,unigram,feminine,accusative,singular,,,poder,autoritat,authority
βρέφος,13,unigram,neuter,accusative,plural,,,acaronés,renyaven,babies
βρέφος,293,unigram,neuter,accusative,singular,,,menjadora,ajagut,babies
ἀποθήκη,246,unigram,feminine,accusative,plural,graners,3.9998073359961444,graners,graners,barn
ἀποθήκη,65,unigram,feminine,accusative,singular,graner,1.331281727665898,graner,graner,barn
ἀρχή,165,unigram,feminine,accusative,singular,,,manifestà,començament,beginning
