lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_333_translation,english_translation
θεός,101,unigram,masculine,accusative,singular,Yusu,3.5019680515348264,Yusu,God
θεός,157,unigram,masculine,nominative,singular,Yusura,1.1490813496508343,Yusura,God
κύριος,251,unigram,masculine,nominative,plural,emetse,1.096344883540667,emetse,"Lord, lord, master"
κύριος,102,unigram,masculine,nominative,singular,Cuatsashaquique,1.4113993418739574,Cuatsashaquique,"Lord, lord, master"
γραφή,96,unigram,feminine,accusative,plural,ehueneque,1.0386279092474129,ehueneque,Scripture
γραφή,37,unigram,feminine,accusative,singular,Mesiastu,1.1055341666876135,Mesiastu,Scripture
γραφή,199,unigram,feminine,nominative,plural,atayaqueri,1.1151498770524315,atayaqueri,Scripture
γραφή,246,unigram,feminine,nominative,singular,ehuene,1.7396701884946046,ehuene,Scripture
ἄγγελος,74,unigram,masculine,accusative,plural,tsahuaqui,1.1907799297422814,tsahuaqui,angel
ἄγγελος,34,unigram,masculine,nominative,plural,tsahuaqui,3.2187169117432197,tsahuaqui,angel
ἄγγελος,84,unigram,masculine,nominative,singular,tsahuaquique,1.275606628898762,tsahuaquique,angel
ἀπόστολος,4,unigram,masculine,nominative,singular,cuadishaquique,1.1602056195070092,cuadishaquique,apostle
ἐξουσία,150,unigram,feminine,accusative,singular,casa,2.7804668595739304,casa,authority
βρέφος,245,unigram,neuter,accusative,singular,huaca,1.0681820576252234,huaca,babies
ἀποθήκη,53,unigram,feminine,accusative,singular,trigo,1.0870710819453682,trigo,barn
πλοῖον,82,unigram,neuter,accusative,plural,cuaba,2.069972720051454,cuaba,boat
πλοῖον,234,unigram,neuter,accusative,singular,cuabaju,2.7699549617268824,cuabaju,boat
πλοῖον,170,unigram,neuter,nominative,singular,bei,1.8812421639516368,bei,boat
σῶμα,161,unigram,neuter,nominative,plural,emaju,1.141858572258294,emaju,body
κλῆμα,115,unigram,neuter,nominative,singular,ecadutyati,1.7592114236089342,ecadutyati,branch
ἄρτος,238,unigram,masculine,accusative,plural,pan,3.874460307554591,pan,bread
ἄρτος,259,unigram,masculine,accusative,singular,pan,1.1197073586484614,pan,bread
ἄρτος,120,unigram,masculine,nominative,plural,ejuuque,1.139346068137047,ejuuque,bread
ἄρτος,28,unigram,masculine,nominative,singular,earaqui,1.2913690502690576,earaqui,bread
ἀδελφός,227,unigram,masculine,accusative,plural,tuatsehuequi,1.1184760438197,tuatsehuequi,brother
ἀδελφός,90,unigram,masculine,accusative,singular,tsehuequique,1.8226104997683212,tsehuequique,brother
ἀδελφός,174,unigram,masculine,nominative,singular,ebacuaque,1.2866444126838539,ebacuaque,brother
στῆθος,215,unigram,neuter,accusative,singular,tatseja,1.0539190859919974,tatseja,"chest, breast"
ἀρχιερεύς,181,unigram,masculine,accusative,plural,pae,1.894870544134056,pae,chief priest
ἀρχιερεύς,45,unigram,masculine,accusative,singular,pae,1.1569478765994885,pae,chief priest
ἀρχιερεύς,89,unigram,masculine,nominative,plural,huaraji,1.3536226309758903,huaraji,chief priest
ἀρχιερεύς,186,unigram,masculine,nominative,singular,pae,1.5085314054020995,pae,chief priest
παῖς,177,unigram,masculine,accusative,plural,ijahue,1.026681270224309,ijahue,child
τέκνον,253,unigram,neuter,accusative,plural,jabacua,1.06400459686045,jabacua,child
τέκνον,136,unigram,neuter,accusative,singular,Iyemere,1.0643396655655928,Iyemere,child
τέκνον,11,unigram,neuter,nominative,plural,etata,1.084324194793857,etata,child
παιδίον,68,unigram,neuter,accusative,singular,ebacua,1.5884992958015598,ebacua,child
παιδίον,130,unigram,neuter,nominative,plural,ebacua,1.4393452487740477,ebacua,child
παιδίον,29,unigram,neuter,nominative,singular,nana,1.3930658836587244,nana,child
πόλις,137,unigram,feminine,accusative,plural,achaacha,1.1644945832483125,achaacha,city
πόλις,49,unigram,feminine,accusative,singular,epu,1.794105016632486,epu,city
πύλη,155,unigram,feminine,nominative,singular,nubiya,1.159270432102156,nubiya,city gate
χιτών,22,unigram,masculine,accusative,singular,chompa,1.1954982073163982,chompa,"clothing, undergarments"
ἱμάτιον,99,unigram,neuter,accusative,plural,jutuhua,1.09550520203702,jutuhua,coat
ἱμάτιον,98,unigram,neuter,accusative,singular,camisa,1.5960641850461954,camisa,coat
συνέδριον,242,unigram,neuter,accusative,plural,Necanaruticue,1.3396655769820889,Necanaruticue,council
συνέδριον,38,unigram,neuter,accusative,singular,pae,1.0635252281179797,pae,council
χώρα,59,unigram,feminine,accusative,plural,junabareya,1.1602630306563693,junabareya,"country, countryside"
χώρα,217,unigram,feminine,accusative,singular,jaratsuradirucuare,1.1046177063554246,jaratsuradirucuare,"country, countryside"
ὄχλος,42,unigram,masculine,accusative,plural,isaratsutu,1.1180589939893202,isaratsutu,crowd
ὄχλος,6,unigram,masculine,accusative,singular,ecuita,2.469767602709624,ecuita,crowd
ὄχλος,76,unigram,masculine,nominative,plural,tupujudya,1.289183573771607,tupujudya,crowd
ὄχλος,210,unigram,masculine,nominative,singular,jetiama,1.2019208504663248,jetiama,crowd
θυγάτηρ,237,unigram,feminine,nominative,singular,ebacujunaque,1.289071284606248,ebacujunaque,daughter
ἡμέρα,57,unigram,feminine,accusative,plural,huecaca,3.4435531687845837,huecaca,day
ἡμέρα,65,unigram,feminine,accusative,singular,huecaca,1.6732917856624845,huecaca,day
ἡμέρα,2,unigram,feminine,nominative,plural,huecaca,1.6245256112851667,huecaca,day
ἡμέρα,51,unigram,feminine,nominative,singular,huecaca,1.309706247213821,huecaca,day
δαιμόνιον,23,unigram,neuter,accusative,plural,ijahua,1.766726161920657,ijahua,demon
δαιμόνιον,248,unigram,neuter,accusative,singular,ijahua,1.0545682931954317,ijahua,demon
δαιμόνιον,145,unigram,neuter,nominative,plural,ijahua,1.3394484523960144,ijahua,demon
δαιμόνιον,129,unigram,neuter,nominative,singular,ijahua,1.289747547003127,ijahua,demon
δηνάριον,231,unigram,neuter,accusative,plural,manu,1.3708103471609665,manu,denarius (about a day's wages)
δηνάριον,122,unigram,neuter,accusative,singular,tsujetya,1.1985686315883046,tsujetya,denarius (about a day's wages)
μαθητής,133,unigram,masculine,accusative,plural,mepehua,1.3322742534298797,mepehua,disciple
μαθητής,254,unigram,masculine,accusative,singular,Jesúsja,1.0696872269214937,Jesúsja,disciple
μαθητής,206,unigram,masculine,nominative,plural,mepehua,2.02135181905242,mepehua,disciple
μαθητής,252,unigram,masculine,nominative,singular,Pedro,1.2050352591256062,Pedro,disciple
νόσος,3,unigram,feminine,accusative,plural,cuanaque.—Ijahua,1.1054554065091202,cuanaque.—Ijahua,disease
νόσος,56,unigram,feminine,accusative,singular,ujeje,1.0303847376793709,ujeje,disease
περιστερά,75,unigram,feminine,accusative,plural,catyati,1.0427280736430773,catyati,dove
περιστερά,40,unigram,feminine,accusative,singular,buteyaju,1.1891816937569517,buteyaju,dove
οὖς,114,unigram,neuter,accusative,plural,nebacacue,1.065836640997341,nebacacue,ear
σεισμός,151,unigram,masculine,nominative,plural,Bucucubuquetu,1.0804603210543138,Bucucubuquetu,"earthquakes, storm"
σεισμός,47,unigram,masculine,nominative,singular,ebari,1.0172734288631486,ebari,"earthquakes, storm"
τέλος,204,unigram,neuter,accusative,singular,jacanuca,1.0668614354750914,jacanuca,end
αἰών,228,unigram,masculine,accusative,singular,ama,1.1446776364892188,ama,eternity
ὀφθαλμός,17,unigram,masculine,accusative,plural,yatuca,1.1702719486681363,yatuca,eye
ὀφθαλμός,48,unigram,masculine,nominative,plural,yatuca,1.7343216412230331,yatuca,eye
ὀφθαλμός,225,unigram,masculine,nominative,singular,atuca,1.0550456455065136,atuca,eye
πρόσωπον,143,unigram,neuter,accusative,singular,mubatsu,1.0293115436726314,mubatsu,face
λιμός,103,unigram,masculine,nominative,singular,mije,1.0954126531313877,mije,famine
γεωργός,187,unigram,masculine,nominative,plural,naruqui,1.048993239708088,naruqui,"farmer, tenant"
γεωργός,36,unigram,masculine,nominative,singular,cunu,1.2529489959094549,cunu,"farmer, tenant"
πατήρ,146,unigram,masculine,accusative,plural,jadya.Tereya,1.0964306905114636,jadya.Tereya,father
πατήρ,230,unigram,masculine,accusative,singular,Etata,2.3654310864493038,Etata,father
πατήρ,236,unigram,masculine,nominative,plural,baba,1.4680840765659642,baba,father
πατήρ,138,unigram,masculine,nominative,singular,Etata,1.2850474532154372,Etata,father
ἀγρός,247,unigram,masculine,accusative,plural,epu,1.1075878338619731,epu,field
ἰχθύς,117,unigram,masculine,accusative,plural,jae,1.1265984325782412,jae,fish
δίκτυον,83,unigram,neuter,accusative,plural,deru,1.316888414191903,deru,fishing net
δίκτυον,148,unigram,neuter,accusative,singular,deruquique,1.4133289438416108,deruquique,fishing net
πούς,175,unigram,masculine,accusative,plural,ehuachi,1.2575966898219393,ehuachi,foot
καρπός,172,unigram,masculine,accusative,singular,ecaca,1.328523254971473,ecaca,"fruit, crop, harvest"
πλήρωμα,202,unigram,neuter,accusative,plural,jiti,1.4648321851686297,jiti,fullness
γενεά,173,unigram,feminine,accusative,singular,iyacua,1.129599606018084,iyacua,generation
γενεά,113,unigram,feminine,nominative,singular,Aya,1.1194513241364221,Aya,generation
δῶρον,123,unigram,neuter,accusative,singular,nebajejeticue,1.3971293012568762,nebajejeticue,gift
ἡγεμών,128,unigram,masculine,accusative,plural,Dujubuque,1.162053680609891,Dujubuque,"governor, ruler"
ἡγεμών,8,unigram,masculine,accusative,singular,enaruquique,1.2093222165495792,enaruquique,"governor, ruler"
ἀσπασμός,239,unigram,masculine,accusative,plural,isaratacara,1.1620035464197986,isaratacara,greeting
θρίξ,69,unigram,feminine,nominative,plural,etsaru,1.3838548721672823,etsaru,hair
χείρ,232,unigram,feminine,accusative,plural,emetucu,4.4845152629576175,emetucu,hand
χείρ,164,unigram,feminine,accusative,singular,emetucu,1.8452413974862731,emetucu,hand
κεφαλή,154,unigram,feminine,accusative,singular,iyuca,1.835385674434012,iyuca,head
καρδία,24,unigram,feminine,accusative,plural,iyuhueda,1.0356320144213746,iyuhueda,heart
καρδία,212,unigram,feminine,accusative,singular,inime,1.1253512970749602,inime,heart
οὐρανός,5,unigram,masculine,accusative,plural,pacashatanayaju,1.0959745071681273,pacashatanayaju,"heaven, sky"
οὐρανός,198,unigram,masculine,accusative,singular,petacuare,1.1536746274508318,petacuare,"heaven, sky"
οὐρανός,258,unigram,masculine,nominative,plural,Utsahuajutu,1.0959745071681273,Utsahuajutu,"heaven, sky"
ὥρα,20,unigram,feminine,nominative,singular,Amenatu,1.0355396896155895,Amenatu,hour
οἰκία,243,unigram,feminine,accusative,singular,etareju,2.282806348035705,etareju,house
οἶκος,16,unigram,masculine,accusative,singular,etareju,4.273167705989648,etareju,"house, home"
κριτής,229,unigram,masculine,nominative,plural,ijehuecuinaya,1.1724602084688034,ijehuecuinaya,judge
βασιλεύς,81,unigram,masculine,accusative,plural,Dujubuque,1.1624181904575577,Dujubuque,king
βασιλεύς,43,unigram,masculine,accusative,singular,ecuari,2.8139315196334453,ecuari,king
βασιλεία,62,unigram,feminine,accusative,plural,matina,1.044017671550346,matina,kingdom
βασιλεία,121,unigram,feminine,accusative,singular,judirutaqui,1.0344462808092243,judirutaqui,kingdom
κόπος,149,unigram,masculine,accusative,plural,ahuaquetu,1.7662148369404496,ahuaquetu,"labour, work, trouble, difficulty"
κλῆρος,1,unigram,masculine,accusative,singular,ejeja,1.2631953513173089,ejeja,"lots (casting of lots), inheritance"
ἄνθρωπος,188,unigram,masculine,accusative,singular,cajuchatishaya,1.041007101779019,cajuchatishaya,man
ἄνθρωπος,132,unigram,masculine,nominative,singular,ecuita,1.59335860385967,ecuita,man
ἀνήρ,183,unigram,masculine,accusative,singular,ahue,1.4048573242689566,ahue,"man, husband"
ἀνήρ,112,unigram,masculine,nominative,plural,mil,1.1916198139251881,mil,"man, husband"
ἀνήρ,176,unigram,masculine,nominative,singular,Tuquetu,1.7178811219735557,Tuquetu,"man, husband"
μνᾶ,221,unigram,feminine,accusative,plural,chipiru,1.1861645929292717,chipiru,mina (about 100 days' wages)
μνᾶ,9,unigram,feminine,accusative,singular,Nesecacue,1.059115049741089,Nesecacue,mina (about 100 days' wages)
μήτηρ,207,unigram,feminine,accusative,singular,ecuaque,1.6060942320526732,ecuaque,mother
ὄρος,160,unigram,neuter,accusative,plural,catehua,1.027816448343709,catehua,mountain
ὄρος,196,unigram,neuter,accusative,singular,Olivo,1.0451771633346896,Olivo,mountain
ὄνομα,25,unigram,neuter,accusative,singular,jujerira,1.1043751480099546,jujerira,name
ὄνομα,78,unigram,neuter,nominative,plural,ebacani,1.5049232695906898,ebacani,name
ὄνομα,184,unigram,neuter,nominative,singular,bacani,2.783452267477463,bacani,name
ἔθνος,169,unigram,neuter,accusative,plural,tilla,1.5821739734883586,tilla,nation
ἔθνος,224,unigram,neuter,nominative,plural,nejuneniume,1.0937178053873342,nejuneniume,nation
νύξ,140,unigram,feminine,accusative,plural,meta,1.3705216192329988,meta,night
νύξ,179,unigram,feminine,accusative,singular,meta,1.4448276919124134,meta,night
ὅρκος,44,unigram,masculine,accusative,plural,ahuaque,1.069574840004755,ahuaque,oath
ὅρκος,195,unigram,masculine,accusative,singular,ebaba,1.025751969078638,ebaba,oath
βοῦς,116,unigram,masculine,accusative,plural,juye,1.6282646381805748,juye,ox
παραβολή,191,unigram,feminine,accusative,plural,cuatsabiji,1.693933700267421,cuatsabiji,parable
παραβολή,165,unigram,feminine,accusative,singular,cuatsabiji,3.9380925578390116,cuatsabiji,parable
μέρος,257,unigram,neuter,accusative,plural,cuacuare,1.1215083277991098,cuacuare,part
τόπος,203,unigram,masculine,accusative,plural,Bucucubuquetu,1.0806618865995392,Bucucubuquetu,place
τόπος,218,unigram,masculine,accusative,singular,cuemusu,1.0247628765833476,cuemusu,place
πρωτοκλισία,205,unigram,feminine,accusative,plural,muida,1.0572688300193829,muida,place of honor
πρωτοκλισία,26,unigram,feminine,accusative,singular,muida,1.0630653315175471,muida,place of honor
ὄφις,79,unigram,masculine,accusative,singular,bacua,1.2342746401430025,bacua,poison
σκεῦος,104,unigram,neuter,accusative,plural,secamaja,1.0591060057675743,secamaja,"possession, object, thing, jar, vessel"
δύναμις,80,unigram,feminine,accusative,plural,ataquique,1.1061192953955212,ataquique,"power, ability, miracle"
δύναμις,33,unigram,feminine,accusative,singular,ejeque,1.191349197061363,ejeque,"power, ability, miracle"
δύναμις,64,unigram,feminine,nominative,plural,bamereyaque,1.035204579992851,bamereyaque,"power, ability, miracle"
ἱερεύς,14,unigram,masculine,nominative,plural,juyara,1.0351590523887644,juyara,priest
ἱερεύς,178,unigram,masculine,nominative,singular,pae,1.097592685688079,pae,priest
