lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_248_translation,version_249_translation,english_translation
θεός,319,unigram,masculine,accusative,plural,,,Tuparrüma,nɨrixhimia,God
θεός,130,unigram,masculine,accusative,singular,,,Tuparrü,Tupax,God
θεός,205,unigram,masculine,nominative,singular,,,Tuparrü,Tupax,God
κύριος,321,unigram,masculine,nominative,plural,tüsoquisüro,1.096344883540667,tüsoquisüro,,"Lord, lord, master"
κύριος,131,unigram,masculine,nominative,singular,,,Señor,Yɨriabux,"Lord, lord, master"
γραφή,125,unigram,feminine,accusative,plural,,,Nicororrü,Nikorox,Scripture
γραφή,46,unigram,feminine,accusative,singular,,,Nicororrü,Nikorox,Scripture
γραφή,259,unigram,feminine,nominative,plural,,,acoco,uxiane,Scripture
γραφή,314,unigram,feminine,nominative,singular,,,Nicororrü,Nikorox,Scripture
ἄγγελος,97,unigram,masculine,accusative,plural,,,angelerrü,ángeles,angel
ἄγγελος,84,unigram,masculine,accusative,singular,,,Rracüpuca,Ikɨpukati,angel
ἄγγελος,42,unigram,masculine,nominative,plural,,,angelerrü,ángeles,angel
ἄγγελος,107,unigram,masculine,nominative,singular,ángel,36.34594248465046,ángel,ángel,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,,,cuama,urapoimia,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,,,coreorrü,champɨtityo,apostle
ἐξουσία,67,unigram,feminine,accusative,plural,,,autacuatoe,emekatɨ,authority
ἐξουσία,196,unigram,feminine,accusative,singular,,,üriacaboma,ɨriakaboma,authority
βρέφος,14,unigram,neuter,accusative,plural,Sɨromatityo,1.0591120337209396,,Sɨromatityo,babies
βρέφος,312,unigram,neuter,accusative,singular,,,barücüboti,konokonoti,babies
ἀποθήκη,66,unigram,feminine,accusative,singular,,,trigo,pes,barn
ἀρχή,69,unigram,feminine,accusative,plural,,,autacuatoe,emekatɨ,beginning
ἀρχή,177,unigram,feminine,accusative,singular,,,masamuña,iñumu,beginning
ζώνη,169,unigram,feminine,accusative,plural,,,monirripü,oro,belt
ζώνη,218,unigram,feminine,accusative,singular,nityaki,1.095398876121712,,nityaki,belt
βλασφημία,28,unigram,feminine,accusative,plural,,,Arrtiatai,Kunauntañati,blasphemy
βλασφημία,203,unigram,feminine,nominative,plural,chomixhampɨ,1.3397888196192491,,chomixhampɨ,blasphemy
