lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_322_translation,english_translation
θεός,93,unigram,masculine,accusative,singular,Diore,1.9784916160608093,Diore,God
θεός,149,unigram,masculine,nominative,singular,Dios,4.151748556962198,Dios,God
κύριος,94,unigram,masculine,nominative,singular,Quetiupaʉ,1.826665529791216,Quetiupaʉ,"Lord, lord, master"
γραφή,89,unigram,feminine,accusative,plural,mawijiacoaya,1.0530409908677447,mawijiacoaya,Scripture
γραφή,36,unigram,feminine,accusative,singular,tutipʉ,1.1746004458556911,tutipʉ,Scripture
γραφή,185,unigram,feminine,nominative,plural,bʉsʉrica,1.1726328161829866,bʉsʉrica,Scripture
γραφή,228,unigram,feminine,nominative,singular,tutipʉ,2.1317444275061144,tutipʉ,Scripture
ἄγγελος,69,unigram,masculine,accusative,plural,ángelea,2.2842839267746133,ángelea,angel
ἄγγελος,33,unigram,masculine,nominative,plural,ángelea,2.260024430528129,ángelea,angel
ἄγγελος,76,unigram,masculine,nominative,singular,ángel,3.012161104650008,ángel,angel
ἀπόστολος,30,unigram,masculine,nominative,plural,caquetibʉjʉrotijoricarã,1.1150794096619856,caquetibʉjʉrotijoricarã,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,cajooecoʉ,1.0954356558477605,cajooecoʉ,apostle
ἐξουσία,143,unigram,feminine,accusative,singular,masĩrĩqũẽrẽ,1.0563809614161424,masĩrĩqũẽrẽ,authority
βρέφος,227,unigram,neuter,accusative,singular,nurĩcã,1.261079103290757,nurĩcã,babies
ἀποθήκη,51,unigram,feminine,accusative,singular,carorijere,1.01820255676955,carorijere,barn
ζώνη,121,unigram,feminine,accusative,plural,cobre,1.1601402291408716,cobre,belt
πλοῖον,74,unigram,neuter,accusative,plural,cũmuurẽ,1.957958117975908,cũmuurẽ,boat
πλοῖον,216,unigram,neuter,accusative,singular,cũmuapʉ,1.2408600689985976,cũmuapʉ,boat
πλοῖον,161,unigram,neuter,nominative,singular,tira,1.1235748836225514,tira,boat
σῶμα,42,unigram,neuter,nominative,singular,rupaʉ,1.0800795433485195,rupaʉ,body
κλῆμα,104,unigram,neuter,nominative,singular,ʉsewʉ,1.2336553448561625,ʉsewʉ,branch
ἄρτος,220,unigram,masculine,accusative,plural,pan,1.8797334260692664,pan,bread
ἄρτος,239,unigram,masculine,accusative,singular,pan,2.7033210104072585,pan,bread
ἄρτος,109,unigram,masculine,nominative,plural,pan,1.340804546226296,pan,bread
ἄρτος,26,unigram,masculine,nominative,singular,ʉgarique,1.1552443442423983,ʉgarique,bread
ἀδελφός,208,unigram,masculine,accusative,plural,bairã,1.186430780869927,bairã,brother
ἀδελφός,83,unigram,masculine,accusative,singular,bai,1.8237903408582017,bai,brother
ἀδελφός,78,unigram,masculine,nominative,plural,bairã,1.6231146483820118,bairã,brother
ἀδελφός,164,unigram,masculine,nominative,singular,bai,1.863247789734433,bai,brother
στῆθος,199,unigram,neuter,accusative,singular,¿ni,1.5541096150281,¿ni,"chest, breast"
ἀρχιερεύς,171,unigram,masculine,accusative,plural,sacerdote,1.861324002188816,sacerdote,chief priest
ἀρχιερεύς,43,unigram,masculine,accusative,singular,sacerdote,1.0959906112840787,sacerdote,chief priest
ἀρχιερεύς,82,unigram,masculine,nominative,plural,sacerdote,1.155412472254073,sacerdote,chief priest
ἀρχιερεύς,175,unigram,masculine,nominative,singular,sacerdote,1.1156191362936931,sacerdote,chief priest
παῖς,167,unigram,masculine,accusative,plural,cawĩmarã,1.4357590364217905,cawĩmarã,child
τέκνον,234,unigram,neuter,accusative,plural,pũnaa,1.6749207598465388,pũnaa,child
τέκνον,126,unigram,neuter,accusative,singular,pũnaa,1.0026028108100955,pũnaa,child
τέκνον,136,unigram,neuter,nominative,singular,qũĩñupʉ̃,1.1304891636153651,qũĩñupʉ̃,child
παιδίον,10,unigram,neuter,accusative,plural,cawĩmarãrẽ,1.2249809450977074,cawĩmarãrẽ,child
παιδίον,64,unigram,neuter,accusative,singular,cawĩmaʉrẽ,1.4324642805905348,cawĩmaʉrẽ,child
παιδίον,119,unigram,neuter,nominative,plural,jãã,1.0554070568723428,jãã,child
παιδίον,28,unigram,neuter,nominative,singular,cawĩmaʉ,1.8015135674010203,cawĩmaʉ,child
πόλις,127,unigram,feminine,accusative,plural,macãã,1.1159060282620663,macãã,city
πόλις,47,unigram,feminine,accusative,singular,macãpʉ,1.6074663970043492,macãpʉ,city
χιτών,21,unigram,masculine,accusative,singular,camisa,1.11505618771538,camisa,"clothing, undergarments"
ἱμάτιον,91,unigram,neuter,accusative,plural,jutii,1.15525743189175,jutii,coat
ἱμάτιον,90,unigram,neuter,accusative,singular,jutiro,2.6416102282011376,jutiro,coat
ἐντολή,58,unigram,feminine,accusative,singular,borã,1.1101286728945992,borã,commandment
συνέδριον,224,unigram,neuter,accusative,plural,tʉ̃goñamasacatiya,1.2084024769069663,tʉ̃goñamasacatiya,council
χώρα,201,unigram,feminine,accusative,singular,Jesujãã,1.0502245842458064,Jesujãã,"country, countryside"
ὄχλος,40,unigram,masculine,accusative,plural,camasãrẽ,1.1338028139294696,camasãrẽ,crowd
ὄχλος,7,unigram,masculine,accusative,singular,camasã,1.9877441233615232,camasã,crowd
ὄχλος,71,unigram,masculine,nominative,plural,camasã,1.1502638821655002,camasã,crowd
ὄχλος,197,unigram,masculine,nominative,singular,camasã,1.0402988420301942,camasã,crowd
θυγάτηρ,219,unigram,feminine,nominative,singular,macõ,2.2963782697961856,macõ,daughter
ἡμέρα,55,unigram,feminine,accusative,plural,rʉ̃mʉ,1.5688078636577791,rʉ̃mʉ,day
ἡμέρα,61,unigram,feminine,accusative,singular,rʉ̃mʉa,1.8548936529843,rʉ̃mʉa,day
ἡμέρα,1,unigram,feminine,nominative,plural,rʉ̃mʉrĩ,1.1528988997399978,rʉ̃mʉrĩ,day
ἡμέρα,49,unigram,feminine,nominative,singular,tãmurĩ,1.0286204005762267,tãmurĩ,day
δαιμόνιον,22,unigram,neuter,accusative,plural,wãtĩ,1.0232448608619271,wãtĩ,demon
δαιμόνιον,230,unigram,neuter,accusative,singular,yeri,1.0456932994549586,yeri,demon
δαιμόνιον,138,unigram,neuter,nominative,plural,wãtĩ,1.1233841694125732,wãtĩ,demon
δαιμόνιον,118,unigram,neuter,nominative,singular,wãtĩ,1.1718352700911614,wãtĩ,demon
δηνάριον,212,unigram,neuter,accusative,plural,denario,1.4077341353716248,denario,denarius (about a day's wages)
δηνάριον,111,unigram,neuter,accusative,singular,joñijate,1.246054747432978,joñijate,denarius (about a day's wages)
μαθητής,124,unigram,masculine,accusative,plural,cabuerãrẽ,2.5071300898330846,cabuerãrẽ,disciple
μαθητής,235,unigram,masculine,accusative,singular,camai,1.140247472782599,camai,disciple
μαθητής,192,unigram,masculine,nominative,plural,cabuerã,2.6830504893403324,cabuerã,disciple
μαθητής,233,unigram,masculine,nominative,singular,Pedro,1.3050022505113343,Pedro,disciple
νόσος,54,unigram,feminine,accusative,singular,nipetiri,1.207018828055625,nipetiri,disease
περιστερά,70,unigram,feminine,accusative,plural,buare,1.3696338284609322,buare,dove
περιστερά,39,unigram,feminine,accusative,singular,Yeri,1.200249839556356,Yeri,dove
οὖς,103,unigram,neuter,accusative,plural,caãmoocʉna,1.155285441549991,caãmoocʉna,ear
οὖς,196,unigram,neuter,accusative,singular,yasioro,1.0324553009695592,yasioro,ear
σεισμός,144,unigram,masculine,nominative,plural,yuguigaro,1.0437743476448686,yuguigaro,"earthquakes, storm"
σεισμός,45,unigram,masculine,nominative,singular,caátó,1.1030105864518869,caátó,"earthquakes, storm"
τέλος,190,unigram,neuter,accusative,singular,wãmeacã,1.1942518269007465,wãmeacã,end
αἰών,209,unigram,masculine,accusative,singular,caticõã,1.3729934628217912,caticõã,eternity
ὀφθαλμός,15,unigram,masculine,accusative,plural,cacaapee,1.4206291396485076,cacaapee,eye
ὀφθαλμός,46,unigram,masculine,nominative,plural,masĩẽsuparã,1.1008117736737033,masĩẽsuparã,eye
πρόσωπον,133,unigram,neuter,accusative,singular,riapére,1.2555012494364493,riapére,face
λιμός,4,unigram,feminine,nominative,plural,yuguigaro,1.0591090190634709,yuguigaro,famine
γεωργός,176,unigram,masculine,nominative,plural,paari,1.205292242418628,paari,"farmer, tenant"
γεωργός,35,unigram,masculine,nominative,singular,otericʉ,1.0954587100358997,otericʉ,"farmer, tenant"
πατήρ,211,unigram,masculine,accusative,singular,Pacʉ,1.724270504639512,Pacʉ,father
πατήρ,218,unigram,masculine,nominative,plural,maná,1.0747281690069368,maná,father
πατήρ,128,unigram,masculine,nominative,singular,Pacʉ,5.6769772386944535,Pacʉ,father
ἀγρός,229,unigram,masculine,accusative,plural,yeseare,1.206794732954673,yeseare,field
ἀγρός,27,unigram,masculine,accusative,singular,wesepʉ,1.0009397757674792,wesepʉ,field
δάκτυλος,123,unigram,masculine,accusative,singular,Tomárẽ,1.059115049741089,Tomárẽ,finger
ἰχθύς,106,unigram,masculine,accusative,plural,wai,1.136268291113488,wai,fish
ἰχθύς,132,unigram,masculine,accusative,singular,¿ãña,1.064267958156091,¿ãña,fish
δίκτυον,75,unigram,neuter,accusative,plural,bapi,1.054730651613886,bapi,fishing net
δίκτυον,141,unigram,neuter,accusative,singular,bapire,1.3508731977903292,bapire,fishing net
πούς,165,unigram,masculine,accusative,plural,rʉporire,1.7811630343979878,rʉporire,foot
καρπός,163,unigram,masculine,accusative,singular,caríca,1.110577551806249,caríca,"fruit, crop, harvest"
πλήρωμα,188,unigram,neuter,accusative,plural,piiripʉ,1.0572724318849296,piiripʉ,fullness
γενεά,102,unigram,feminine,nominative,singular,ĩñoetigʉmi,1.0789108459669956,ĩñoetigʉmi,generation
