lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_310_translation,english_translation
θεός,117,unigram,masculine,accusative,singular,Diosdih,2.5076484091011686,Diosdih,God
θεός,184,unigram,masculine,nominative,singular,Dios,2.1270293979958828,Dios,God
κύριος,118,unigram,masculine,nominative,singular,Maáh,1.7653901349351329,Maáh,"Lord, lord, master"
γραφή,114,unigram,feminine,accusative,plural,wẽpatdihbʉt,1.0079473062290885,wẽpatdihbʉt,Scripture
γραφή,44,unigram,feminine,accusative,singular,jwʉ́hcap,1.433657786209644,jwʉ́hcap,Scripture
γραφή,230,unigram,feminine,nominative,plural,daacátji,1.7413218833849242,daacátji,Scripture
γραφή,278,unigram,feminine,nominative,singular,daacátji,1.303364542486529,daacátji,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,ángelwãdih,1.4205393694699535,ángelwãdih,angel
ἄγγελος,75,unigram,masculine,accusative,singular,waóhni,1.203802375115561,waóhni,angel
ἄγγελος,42,unigram,masculine,nominative,plural,ángelwã,3.280418542876151,ángelwã,angel
ἄγγελος,98,unigram,masculine,nominative,singular,ángel,3.467073041181429,ángel,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,chãjatjidih,1.0887573346946622,chãjatjidih,apostle
ἐξουσία,61,unigram,feminine,accusative,plural,pebhboobʉ́t,1.1604032204292956,pebhboobʉ́t,authority
ἐξουσία,176,unigram,feminine,accusative,singular,jwíin,1.1370166082683568,jwíin,authority
βρέφος,13,unigram,neuter,accusative,plural,tʉ́ʉhnitdih,1.3814193739509182,tʉ́ʉhnitdih,babies
βρέφος,276,unigram,neuter,accusative,singular,paihdih,1.0804603210543138,paihdih,babies
ἀποθήκη,236,unigram,feminine,accusative,plural,ámohat,1.5066874522566078,ámohat,barn
ἀποθήκη,60,unigram,feminine,accusative,singular,Trigo,1.3535537847146468,Trigo,barn
φραγμός,101,unigram,masculine,accusative,singular,mʉʉdíhbʉt,1.0591029938321448,mʉʉdíhbʉt,"barrier, wall"
ἀρχή,63,unigram,feminine,accusative,plural,pebhboobʉ́t,1.160238403567914,pebhboobʉ́t,beginning
ἀρχή,159,unigram,feminine,accusative,singular,jwíih,1.1857371549169835,jwíih,beginning
ζώνη,151,unigram,feminine,accusative,plural,bejca,1.2010410688043531,bejca,belt
βλασφημία,28,unigram,feminine,accusative,plural,cã́acjeh,1.0591180671250278,cã́acjeh,blasphemy
βλασφημία,86,unigram,feminine,accusative,singular,yeenachah,1.095421848054621,yeenachah,blasphemy
βλασφημία,182,unigram,feminine,nominative,plural,nihcannitjĩh,1.1781073541768443,nihcannitjĩh,blasphemy
πλοῖον,96,unigram,neuter,accusative,plural,chóona,1.0521761208485658,chóona,boat
πλοῖον,264,unigram,neuter,accusative,singular,jãáj,2.112843114959518,jãáj,boat
πλοῖον,200,unigram,neuter,nominative,singular,íim,1.1700548400482322,íim,boat
σῶμα,190,unigram,neuter,nominative,plural,bácahjidih,1.3268342724283968,bácahjidih,body
σῶμα,52,unigram,neuter,nominative,singular,jeémé,1.3794847281802785,jeémé,body
κλῆμα,132,unigram,neuter,nominative,singular,iguíh,1.0706739883599703,iguíh,branch
ἄρτος,268,unigram,masculine,accusative,plural,pan,2.754842004009208,pan,bread
ἄρτος,292,unigram,masculine,accusative,singular,pan,1.2837001247377462,pan,bread
ἄρτος,138,unigram,masculine,nominative,plural,dahna,1.4182177499198465,dahna,bread
ἄρτος,34,unigram,masculine,nominative,singular,jeémát,1.016784447624373,jeémát,bread
ἀδελφός,256,unigram,masculine,accusative,plural,déewãdih,1.2957186241612662,déewãdih,brother
ἀδελφός,108,unigram,masculine,accusative,singular,ʉ́ʉd,1.1966763442078334,ʉ́ʉd,brother
ἀδελφός,100,unigram,masculine,nominative,plural,íin,1.014526575939261,íin,brother
ἀδελφός,204,unigram,masculine,nominative,singular,ʉ́ʉd,2.0664290379571413,ʉ́ʉd,brother
στῆθος,136,unigram,neuter,accusative,plural,jʉibínitji,1.102028536382384,jʉibínitji,"chest, breast"
στῆθος,246,unigram,neuter,accusative,singular,jã́ah,1.288343053899397,jã́ah,"chest, breast"
ἀρχιερεύς,214,unigram,masculine,accusative,plural,sacerdotewã,2.382282412704376,sacerdotewã,chief priest
ἀρχιερεύς,53,unigram,masculine,accusative,singular,sacerdotewã,1.6079424812953111,sacerdotewã,chief priest
ἀρχιερεύς,107,unigram,masculine,nominative,plural,sacerdotewã,1.0651495683629053,sacerdotewã,chief priest
ἀρχιερεύς,218,unigram,masculine,nominative,singular,sacerdotewã,1.8103149518796708,sacerdotewã,chief priest
παῖς,208,unigram,masculine,accusative,plural,neoná,1.017652021006687,neoná,child
τέκνον,286,unigram,neuter,accusative,plural,weh,1.3078928321905128,weh,child
τέκνον,156,unigram,neuter,accusative,singular,mánadihbʉt,1.0478273223821362,mánadihbʉt,child
τέκνον,14,unigram,neuter,nominative,plural,mánadihbʉt,1.0507246245323751,mánadihbʉt,child
τέκνον,168,unigram,neuter,nominative,singular,Wʉ̃ʉhʉ́,1.0342386974840063,Wʉ̃ʉhʉ́,child
παιδίον,12,unigram,neuter,accusative,plural,jʉ̃ihñʉchah,1.1593566904490429,jʉ̃ihñʉchah,child
παιδίον,82,unigram,neuter,accusative,singular,wébítdih,1.3999277745293015,wébítdih,child
παιδίον,149,unigram,neuter,nominative,plural,wehdih,1.2869259855839867,wehdih,child
παιδίον,36,unigram,neuter,nominative,singular,wébít,2.937689324217013,wébít,child
πόλις,160,unigram,feminine,accusative,plural,dahwani,1.075310566412247,dahwani,city
πόλις,56,unigram,feminine,accusative,singular,tʉ́tchina,2.455848743513276,tʉ́tchina,city
πύλη,181,unigram,feminine,nominative,singular,ñáan,1.0186269724908723,ñáan,city gate
χιτών,104,unigram,masculine,accusative,plural,bejca,1.2368857582403607,bejca,"clothing, undergarments"
χιτών,26,unigram,masculine,accusative,singular,chóodihbʉt,1.3226207526220464,chóodihbʉt,"clothing, undergarments"
ἱμάτιον,116,unigram,neuter,accusative,plural,yégueh,1.088369151541114,yégueh,coat
ἱμάτιον,115,unigram,neuter,accusative,singular,yégueh,1.4040463326685413,yégueh,coat
ἐντολή,74,unigram,feminine,accusative,plural,wʉtatdih,1.2355017861455573,wʉtatdih,commandment
ἐντολή,72,unigram,feminine,accusative,singular,wʉtatdih,1.1810366063326239,wʉtatdih,commandment
συνέδριον,272,unigram,neuter,accusative,plural,pʉ̃ibipna,1.0489443695893181,pʉ̃ibipna,council
συνέδριον,46,unigram,neuter,accusative,singular,Baáb,1.0740162350201103,Baáb,council
χώρα,68,unigram,feminine,accusative,plural,Chénena,1.1602630306563693,Chénena,"country, countryside"
χώρα,248,unigram,feminine,accusative,singular,Gadara,1.4834935297468181,Gadara,"country, countryside"
ὄχλος,49,unigram,masculine,accusative,plural,yílip,1.1202306607625119,yílip,crowd
ὄχλος,8,unigram,masculine,accusative,singular,dawá,1.7154841569976838,dawá,crowd
ὄχλος,90,unigram,masculine,nominative,plural,dawá,1.5930160444640615,dawá,crowd
ὄχλος,242,unigram,masculine,nominative,singular,dawá,2.2006913620226403,dawá,crowd
θυγάτηρ,102,unigram,feminine,nominative,plural,yaadá,1.0954864432981108,yaadá,daughter
θυγάτηρ,267,unigram,feminine,nominative,singular,nʉʉ́m,1.0597619119225816,nʉʉ́m,daughter
ἡμέρα,66,unigram,feminine,accusative,plural,jáap,1.1351238147244327,jáap,day
ἡμέρα,76,unigram,feminine,accusative,singular,Yeó,1.3438748454348768,Yeó,day
ἡμέρα,1,unigram,feminine,nominative,plural,jwʉhcan,1.0063965719086179,jwʉhcan,day
ἡμέρα,58,unigram,feminine,nominative,singular,jáap,1.1270729781989797,jáap,day
ὀφειλέτης,220,unigram,masculine,nominative,plural,tãjap,1.095394287878594,tãjap,debtor
δαιμόνιον,27,unigram,neuter,accusative,plural,nemépwãdih,1.4791456346440262,nemépwãdih,demon
δαιμόνιον,281,unigram,neuter,accusative,singular,nemép,1.955327518432328,nemép,demon
δαιμόνιον,170,unigram,neuter,nominative,plural,nemépwã,2.159853481517358,nemépwã,demon
δαιμόνιον,148,unigram,neuter,nominative,singular,nemépdih,1.6215867038711362,nemépdih,demon
δηνάριον,140,unigram,neuter,accusative,singular,jʉ́dʉdih,1.327354545396854,jʉ́dʉdih,denarius (about a day's wages)
μαθητής,153,unigram,masculine,accusative,plural,bohénitdih,4.951762013392295,bohénitdih,disciple
μαθητής,287,unigram,masculine,accusative,singular,weém,1.0412265773673086,weém,disciple
μαθητής,238,unigram,masculine,nominative,plural,jwĩ,1.1740612887188469,jwĩ,disciple
μαθητής,285,unigram,masculine,nominative,singular,bohéni,1.5057648228045457,bohéni,disciple
νόσος,2,unigram,feminine,accusative,plural,wʉnatdihbʉt,1.0657304078428862,wʉnatdihbʉt,disease
νόσος,65,unigram,feminine,accusative,singular,booanap,1.2954193386807675,booanap,disease
περιστερά,89,unigram,feminine,accusative,plural,chãjnitdih,1.2808961590253023,chãjnitdih,dove
οὖς,131,unigram,neuter,accusative,plural,molít,1.155285441549991,molít,ear
σεισμός,177,unigram,masculine,nominative,plural,nʉʉgʉ́p,1.1349224489282663,nʉʉgʉ́p,"earthquakes, storm"
τέλος,237,unigram,neuter,accusative,singular,cádahcah,1.108732001261589,cádahcah,end
αἰών,209,unigram,masculine,accusative,plural,nʉʉmní,1.0800687221060052,nʉʉmní,eternity
αἰών,257,unigram,masculine,accusative,singular,niít,1.2725692540097864,niít,eternity
ὀφθαλμός,20,unigram,masculine,accusative,plural,quíibnadih,1.1382808361104966,quíibnadih,eye
ὀφθαλμός,55,unigram,masculine,nominative,plural,ʉ̃ona,1.0835153576928338,ʉ̃ona,eye
πρόσωπον,165,unigram,neuter,accusative,singular,yeecanni,1.1198534378048464,yeecanni,face
λιμός,5,unigram,feminine,nominative,plural,méméatbʉt,1.1781590917201523,méméatbʉt,famine
λιμός,119,unigram,masculine,nominative,singular,beéd,1.0954126531313877,beéd,famine
γεωργός,219,unigram,masculine,nominative,plural,daonítboó,1.460239926790568,daonítboó,"farmer, tenant"
πατήρ,171,unigram,masculine,accusative,plural,nʉowãjidih,1.0964306905114636,nʉowãjidih,father
πατήρ,259,unigram,masculine,accusative,singular,íip,2.4604516883829937,íip,father
πατήρ,266,unigram,masculine,nominative,plural,nʉowãji,1.9001669271338155,nʉowãji,father
πατήρ,161,unigram,masculine,nominative,singular,íip,3.993212928854645,íip,father
ἀγρός,280,unigram,masculine,accusative,plural,Jweí,1.1447631927611408,Jweí,field
ἀγρός,35,unigram,masculine,accusative,singular,chãjniíh,1.1896537910050926,chãjniíh,field
ἰχθύς,134,unigram,masculine,accusative,plural,pan,1.1681477398835305,pan,fish
δίκτυον,97,unigram,neuter,accusative,plural,ñʉonádih,2.920245112108464,ñʉonádih,fishing net
δίκτυον,174,unigram,neuter,accusative,singular,ñʉodíh,1.3012095874596543,ñʉodíh,fishing net
τροφή,275,unigram,feminine,accusative,singular,waadánap,1.1020409313138635,waadánap,food
πούς,205,unigram,masculine,accusative,plural,jítchanadih,2.0212288720634013,jítchanadih,foot
καρπός,158,unigram,masculine,accusative,plural,dahna,1.315399817886076,dahna,"fruit, crop, harvest"
καρπός,203,unigram,masculine,accusative,singular,tib,1.240075519199663,tib,"fruit, crop, harvest"
πλήρωμα,232,unigram,neuter,accusative,plural,jʉdh,1.0727346707398857,jʉdh,fullness
γενεά,233,unigram,feminine,accusative,plural,pʉ́ʉ́,1.112540419792015,pʉ́ʉ́,generation
γενεά,130,unigram,feminine,nominative,singular,yeejépwã,1.3098083141774175,yeejépwã,generation
δῶρον,258,unigram,neuter,accusative,plural,jʉ́dʉnadih,1.2664521208390709,jʉ́dʉnadih,gift
ἡγεμών,147,unigram,masculine,accusative,plural,maátadihbʉt,1.117934610734108,maátadihbʉt,"governor, ruler"
ἡγεμών,9,unigram,masculine,accusative,singular,yacatdih,1.4011355012444264,yacatdih,"governor, ruler"
ἀσπασμός,269,unigram,masculine,accusative,plural,náahna,1.060240467546812,náahna,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,waóhna,1.289564459880915,waóhna,guide
θρίξ,83,unigram,feminine,nominative,plural,waó,1.6550378150174971,waó,hair
χείρ,261,unigram,feminine,accusative,plural,teo,1.196151474324717,teo,hand
χείρ,193,unigram,feminine,accusative,singular,téihyadih,1.3865458300082485,téihyadih,hand
κεφαλή,179,unigram,feminine,accusative,singular,dáhdih,1.0855403181098815,dáhdih,head
στάχυς,180,unigram,masculine,accusative,plural,chóop,1.0351435471504635,chóop,head of grain
καρδία,29,unigram,feminine,accusative,plural,chãjnit,1.0910631613079058,chãjnit,heart
καρδία,282,unigram,feminine,nominative,plural,máihnit,1.0956074896286079,máihnit,heart
καρδία,166,unigram,feminine,nominative,singular,baácboojéh,1.0747232800526958,baácboojéh,heart
οὐρανός,229,unigram,masculine,accusative,singular,chéi,1.117867537155386,chéi,"heaven, sky"
οὐρανός,172,unigram,masculine,nominative,singular,jeábʉt,1.4070603268543698,jeábʉt,"heaven, sky"
ὥρα,23,unigram,feminine,nominative,singular,choó,1.1958371127716954,choó,hour
οἰκία,135,unigram,feminine,accusative,plural,yaádíh,1.0681542846147318,yaádíh,house
οἰκία,273,unigram,feminine,accusative,singular,mʉʉná,1.0259972607593597,mʉʉná,house
οἶκος,19,unigram,masculine,accusative,singular,mʉʉná,1.6081708662172225,mʉʉná,"house, home"
κριτής,142,unigram,masculine,nominative,singular,tʉ́ʉtni,1.3692114480902855,tʉ́ʉtni,judge
βασιλεύς,95,unigram,masculine,accusative,plural,maátadihbʉt,1.1181897896389341,maátadihbʉt,king
βασιλεύς,50,unigram,masculine,accusative,singular,Pilato,1.5471206644438795,Pilato,king
βασιλεία,71,unigram,feminine,accusative,plural,jeejína,1.2352067787831946,jeejína,kingdom
βασιλεία,139,unigram,feminine,accusative,singular,maáh,2.710789162730168,maáh,kingdom
κόπος,175,unigram,masculine,accusative,plural,Weemdíh,1.7523977845237293,Weemdíh,"labour, work, trouble, difficulty"
λύχνος,201,unigram,masculine,nominative,singular,jiiát,1.1003010166955176,jiiát,lamp
ἄνθρωπος,221,unigram,masculine,accusative,singular,naóhcah,1.2344972024265175,naóhcah,man
ἄνθρωπος,152,unigram,masculine,nominative,singular,newé,1.866827521947424,newé,man
ἀνήρ,212,unigram,masculine,accusative,plural,ñʉhnitdihbʉt,1.0658541353878042,ñʉhnitdihbʉt,"man, husband"
ἀνήρ,216,unigram,masculine,accusative,singular,María,1.1131183578483277,María,"man, husband"
ἀνήρ,128,unigram,masculine,nominative,plural,Yaádh,1.1945031284766532,Yaádh,"man, husband"
ἀνήρ,206,unigram,masculine,nominative,singular,ʉʉ́bʉ́p,1.0739977286089797,ʉʉ́bʉ́p,"man, husband"
μνᾶ,251,unigram,feminine,accusative,plural,jʉ́dʉjĩh,1.2706641921229007,jʉ́dʉjĩh,mina (about 100 days' wages)
