lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_399_translation,english_translation
θεός,284,unigram,masculine,accusative,plural,féꞌˆnaaꞌ,1.0965172048072145,féꞌˆnaaꞌ,God
θεός,114,unigram,masculine,accusative,singular,Fidiéeˇ,1.1812884394677383,Fidiéeˇ,God
θεός,183,unigram,masculine,nominative,singular,Fidiéeˇ,4.426587407459051,Fidiéeˇ,God
κύριος,286,unigram,masculine,nominative,plural,sɨꞌrˊ,1.096344883540667,sɨꞌrˊ,"Lord, lord, master"
κύριος,115,unigram,masculine,nominative,singular,fiir˜,1.1258164943541875,fiir˜,"Lord, lord, master"
γραφή,110,unigram,feminine,accusative,plural,jiˋ,1.3551684440698557,jiˋ,Scripture
γραφή,44,unigram,feminine,accusative,singular,jiˋ,1.0538572862357474,jiˋ,Scripture
γραφή,228,unigram,feminine,nominative,plural,jiˋ,1.2165628168207137,jiˋ,Scripture
γραφή,279,unigram,feminine,nominative,singular,jiˋ,1.4186558941949703,jiˋ,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,ángeles,3.4303294698296365,ángeles,angel
ἄγγελος,41,unigram,masculine,nominative,plural,ángeles,4.254130872239583,ángeles,angel
ἄγγελος,95,unigram,masculine,nominative,singular,ángel,5.882146296151139,ángel,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,guitúungˋ,1.4223882600856723,guitúungˋ,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,niingˉguɨr,1.289665850422686,niingˉguɨr,apostle
ἐξουσία,175,unigram,feminine,accusative,singular,ta˜,2.022606598563334,ta˜,authority
βρέφος,278,unigram,neuter,accusative,singular,niꞌnʉ́ʉˊ,1.0591090190634709,niꞌnʉ́ʉˊ,babies
φραγμός,98,unigram,masculine,accusative,singular,iáˋ,1.1279998971769871,iáˋ,"barrier, wall"
ἀρχή,159,unigram,feminine,accusative,singular,cajmijnéeiñˋ,1.1781780617437103,cajmijnéeiñˋ,beginning
ζώνη,151,unigram,feminine,accusative,plural,caꞌíingꞌ˜,1.2357850003165327,caꞌíingꞌ˜,belt
ζώνη,198,unigram,feminine,accusative,singular,ꞌñʉtuꞌˊ,1.095398876121712,ꞌñʉtuꞌˊ,belt
βλασφημία,29,unigram,feminine,accusative,plural,jaféeꞌr˜,1.160181070398136,jaféeꞌr˜,blasphemy
πλοῖον,93,unigram,neuter,accusative,plural,móoˊ,1.3848124120942806,móoˊ,boat
πλοῖον,266,unigram,neuter,accusative,singular,móoˊ,2.92599357347694,móoˊ,boat
πλοῖον,200,unigram,neuter,nominative,singular,móoˊ,1.5269330732695083,móoˊ,boat
σῶμα,189,unigram,neuter,nominative,plural,ꞌlɨɨ˜,1.0240539038796392,ꞌlɨɨ˜,body
