lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2159_translation,english_translation
θεός,100,unigram,masculine,accusative,singular,Дела,1.108978527115246,Дела,God
θεός,19,unigram,masculine,nominative,plural,деланаш,1.2591437047102771,деланаш,God
θεός,166,unigram,masculine,nominative,singular,Дела,1.6921608321967487,Дела,God
γραφή,96,unigram,feminine,accusative,plural,Йозанаш,1.202395907884245,Йозанаш,Scripture
γραφή,35,unigram,feminine,accusative,singular,Йозанаш,1.6153559499913188,Йозанаш,Scripture
γραφή,209,unigram,feminine,nominative,plural,Йозанаш,1.0228151957549927,Йозанаш,Scripture
γραφή,262,unigram,feminine,nominative,singular,Делан,1.0165903968829242,Делан,Scripture
ἄγγελος,70,unigram,masculine,accusative,plural,маликаш,1.9943437145604381,маликаш,angel
ἄγγελος,81,unigram,masculine,nominative,singular,малик,1.1170037174406209,малик,angel
ἀπόστολος,29,unigram,masculine,nominative,plural,Векалша,1.6194078453506062,Векалша,apostle
ἐξουσία,159,unigram,feminine,accusative,singular,олалла,1.2539723100675977,олалла,authority
βρέφος,261,unigram,neuter,accusative,singular,Бер,1.58306411573898,Бер,babies
ἀποθήκη,50,unigram,feminine,accusative,singular,кӀа,1.4173718379039892,кӀа,barn
ἀρχή,142,unigram,feminine,accusative,singular,дӀадолийра,1.1062845238338443,дӀадолийра,beginning
ζώνη,134,unigram,feminine,accusative,plural,цӀаста,1.0960524252565438,цӀаста,belt
πλοῖον,79,unigram,neuter,accusative,plural,берда,1.456425118197355,берда,boat
πλοῖον,248,unigram,neuter,accusative,singular,хинкеманна,1.998744476592331,хинкеманна,boat
πλοῖον,181,unigram,neuter,nominative,singular,хинкема,1.8383904571048064,хинкема,boat
σῶμα,43,unigram,neuter,nominative,singular,дегӀ,1.9310956266033916,дегӀ,body
κλῆμα,114,unigram,neuter,nominative,singular,Соьца,1.361774347955532,Соьца,branch
ἄρτος,252,unigram,masculine,accusative,plural,бепиг,2.6611613824486224,бепиг,bread
ἄρτος,273,unigram,masculine,accusative,singular,бепиг,4.266694201803873,бепиг,bread
ἄρτος,120,unigram,masculine,nominative,plural,бепиг,1.5435499306209066,бепиг,bread
ἄρτος,26,unigram,masculine,nominative,singular,бепиг,3.486514107660278,бепиг,bread
ἀδελφός,239,unigram,masculine,accusative,plural,вежарийн,1.1199149444887344,вежарийн,brother
ἀδελφός,90,unigram,masculine,accusative,singular,ваша,2.3969898812564514,ваша,brother
ἀδελφός,83,unigram,masculine,nominative,plural,вежарий,1.7358315378736378,вежарий,brother
ἀδελφός,185,unigram,masculine,nominative,singular,ваша,2.1027034600146344,ваша,brother
στῆθος,225,unigram,neuter,accusative,singular,некха,2.786326845388395,некха,"chest, breast"
ἀρχιερεύς,194,unigram,masculine,accusative,plural,динан,1.9837103946043384,динан,chief priest
ἀρχιερεύς,44,unigram,masculine,accusative,singular,коьрта,1.214759627789857,коьрта,chief priest
ἀρχιερεύς,89,unigram,masculine,nominative,plural,коьртачу,1.2001746674318714,коьртачу,chief priest
ἀρχιερεύς,198,unigram,masculine,nominative,singular,коьртачу,1.1198904960078893,коьртачу,chief priest
παῖς,33,unigram,masculine,accusative,singular,тӀевогӀучу,1.0961210847775034,тӀевогӀучу,child
τέκνον,268,unigram,neuter,accusative,plural,бераш,2.7475027836269645,бераш,child
τέκνον,7,unigram,neuter,nominative,plural,дийр,1.0031331421312042,дийр,child
τέκνον,151,unigram,neuter,nominative,singular,кӀант,1.7484590023314994,кӀант,child
παιδίον,65,unigram,neuter,accusative,singular,бер,1.7290223025192306,бер,child
παιδίον,133,unigram,neuter,nominative,plural,бераш,1.9079332273381011,бераш,child
πόλις,143,unigram,feminine,accusative,plural,гӀаланашка,1.0718729254157002,гӀаланашка,city
πόλις,46,unigram,feminine,accusative,singular,гӀала,2.7176412569788257,гӀала,city
πύλη,164,unigram,feminine,nominative,singular,готта,1.1062648286089038,готта,city gate
χιτών,86,unigram,masculine,accusative,plural,бедар,1.2828237517169072,бедар,"clothing, undergarments"
χιτών,20,unigram,masculine,accusative,singular,коч,1.7770894295983568,коч,"clothing, undergarments"
ἱμάτιον,98,unigram,neuter,accusative,plural,бедарш,1.7596732232367454,бедарш,coat
ἱμάτιον,97,unigram,neuter,accusative,singular,бедар,1.2702318094128993,бедар,coat
ἐντολή,59,unigram,feminine,accusative,plural,гӀуллакхаш,1.0218378060444215,гӀуллакхаш,commandment
συνέδριον,257,unigram,neuter,accusative,plural,гуламан,1.1911072107013487,гуламан,council
χώρα,230,unigram,feminine,accusative,singular,махка,1.959178245594629,махка,"country, countryside"
ὄχλος,40,unigram,masculine,accusative,plural,Нах,1.5066053265231651,Нах,crowd
ὄχλος,4,unigram,masculine,accusative,singular,тоба,1.1050848905623256,тоба,crowd
ὄχλος,72,unigram,masculine,nominative,plural,Цунна,1.341743974770176,Цунна,crowd
ὄχλος,221,unigram,masculine,nominative,singular,адам,1.2097033442536251,адам,crowd
θυγάτηρ,251,unigram,feminine,nominative,singular,йоӀ,5.877140622522161,йоӀ,daughter
ἡμέρα,54,unigram,feminine,accusative,plural,де,1.36056161153939,де,day
ἡμέρα,60,unigram,feminine,accusative,singular,дийнахь,1.8674400526768424,дийнахь,day
ἡμέρα,48,unigram,feminine,nominative,singular,де,1.0386445602865078,де,day
ὀφειλέτης,200,unigram,masculine,nominative,plural,Шилонан,1.0960524252565438,Шилонан,debtor
δαιμόνιον,21,unigram,neuter,accusative,plural,жинаш,3.90649587788648,жинаш,demon
δαιμόνιον,264,unigram,neuter,accusative,singular,жин,3.277005335861757,жин,demon
δαιμόνιον,153,unigram,neuter,nominative,plural,жинаш,1.646431147023511,жинаш,demon
δαιμόνιον,132,unigram,neuter,nominative,singular,жине,1.2571298114345721,жине,demon
δηνάριον,244,unigram,neuter,accusative,plural,динари,1.262513082951341,динари,denarius (about a day's wages)
δηνάριον,122,unigram,neuter,accusative,singular,динари,1.1036510438355724,динари,denarius (about a day's wages)
μαθητής,137,unigram,masculine,accusative,plural,Шен,1.1620544612855628,Шен,disciple
μαθητής,269,unigram,masculine,accusative,singular,къаьсттина,1.7937496186753552,къаьсттина,disciple
μαθητής,215,unigram,masculine,nominative,plural,мурдаша,1.0591945920166992,мурдаша,disciple
μαθητής,267,unigram,masculine,nominative,singular,мурд,3.1970757256782223,мурд,disciple
νόσος,53,unigram,feminine,accusative,singular,цамгарех,1.4675728068262772,цамгарех,disease
περιστερά,71,unigram,feminine,accusative,plural,керта,1.177795974716656,керта,dove
περιστερά,38,unigram,feminine,accusative,singular,суьртехь,1.32303936165621,суьртехь,dove
οὖς,113,unigram,neuter,accusative,plural,Лергаш,1.250023690398472,Лергаш,ear
οὖς,220,unigram,neuter,accusative,singular,боданашкахь,1.06478056812557,боданашкахь,ear
αἰών,189,unigram,masculine,accusative,plural,ерриг,1.0596192241828948,ерриг,eternity
αἰών,240,unigram,masculine,accusative,singular,цкъа,2.2128100616384083,цкъа,eternity
ὀφθαλμός,13,unigram,masculine,accusative,plural,бӀаьргаш,1.4151958537510527,бӀаьргаш,eye
ὀφθαλμός,237,unigram,masculine,nominative,singular,бӀаьрг,1.113982213409604,бӀаьрг,eye
πρόσωπον,148,unigram,neuter,accusative,singular,хаьа,1.094781463155756,хаьа,face
γεωργός,199,unigram,masculine,nominative,plural,бахам,1.0670229146125654,бахам,"farmer, tenant"
γεωργός,34,unigram,masculine,nominative,singular,Лелорхо,1.0961112485594913,Лелорхо,"farmer, tenant"
πατήρ,154,unigram,masculine,accusative,plural,халкъана.Цуьнан,1.0602775724410085,халкъана.Цуьнан,father
πατήρ,243,unigram,masculine,accusative,singular,Да,2.0724503917181485,Да,father
πατήρ,250,unigram,masculine,nominative,plural,дайша,2.0852008360193137,дайша,father
πατήρ,144,unigram,masculine,nominative,singular,Дас,1.36069834673186,Дас,father
σύνδουλος,62,unigram,masculine,accusative,singular,накъостах,1.0960670999999007,накъостах,"fellow-servant, colleague"
σύνδουλος,254,unigram,masculine,nominative,plural,ялхоша,1.3263593546298147,ялхоша,"fellow-servant, colleague"
ἀγρός,263,unigram,masculine,accusative,plural,юххерчу,1.0748168256115975,юххерчу,field
δάκτυλος,136,unigram,masculine,accusative,singular,ТӀамига,1.0595448471241755,ТӀамига,finger
ἰχθύς,116,unigram,masculine,accusative,plural,чӀарий,1.0085930773047675,чӀарий,fish
ἰχθύς,147,unigram,masculine,accusative,singular,лаьхьа,1.1160716799575845,лаьхьа,fish
δίκτυον,80,unigram,neuter,accusative,plural,бойнаш,2.696860306350546,бойнаш,fishing net
δίκτυον,157,unigram,neuter,accusative,singular,бой,1.5360066637209775,бой,fishing net
τροφή,192,unigram,feminine,accusative,plural,баханера,1.38474934372428,баханера,food
τροφή,260,unigram,feminine,accusative,singular,тӀехӀоттийнарг,1.096071996175396,тӀехӀоттийнарг,food
πούς,186,unigram,masculine,accusative,plural,когаш,2.5297358636277054,когаш,foot
καρπός,141,unigram,masculine,accusative,plural,вуочу,1.0766735019611966,вуочу,"fruit, crop, harvest"
καρπός,183,unigram,masculine,accusative,singular,стом,1.3013179651313709,стом,"fruit, crop, harvest"
πλήρωμα,212,unigram,neuter,accusative,plural,тускар,1.695462353734308,тускар,fullness
γενεά,184,unigram,feminine,accusative,singular,хӀокху,1.31235147480855,хӀокху,generation
γενεά,112,unigram,feminine,nominative,singular,тӀаьхье,1.4083160302195377,тӀаьхье,generation
δῶρον,242,unigram,neuter,accusative,plural,луш,1.072045125491259,луш,gift
δῶρον,124,unigram,neuter,accusative,singular,сагӀина,1.173335035688288,сагӀина,gift
ἡγεμών,131,unigram,masculine,accusative,plural,бахьана,1.1188186322724862,бахьана,"governor, ruler"
ἡγεμών,5,unigram,masculine,accusative,singular,хаттаршна,1.0960965115985384,хаттаршна,"governor, ruler"
ἀσπασμός,253,unigram,masculine,accusative,plural,маршалла,1.1045461379969117,маршалла,greeting
ὁδηγός,2,unigram,masculine,nominative,singular,юьхьлаьцнарш,1.9634259437791168,юьхьлаьцнарш,guide
χείρ,245,unigram,feminine,accusative,plural,куьйгаш,3.30775166815742,куьйгаш,hand
χείρ,174,unigram,feminine,accusative,singular,куьг,2.0111435891123297,куьг,hand
κεφαλή,105,unigram,feminine,accusative,plural,кортош,1.4675382476111016,кортош,head
κεφαλή,162,unigram,feminine,accusative,singular,корта,2.798461574163199,корта,head
στάχυς,163,unigram,masculine,accusative,plural,кенаш,1.0441014053159638,кенаш,head of grain
καρδία,223,unigram,feminine,accusative,singular,дегнаш,1.527040304761914,дегнаш,heart
καρδία,149,unigram,feminine,nominative,singular,дегнаш,2.8226355155442673,дегнаш,heart
οὐρανός,208,unigram,masculine,accusative,singular,стигала,1.840375331031724,стигала,"heaven, sky"
οὐρανός,155,unigram,masculine,nominative,singular,латтий,1.2820458879968482,латтий,"heaven, sky"
ὥρα,229,unigram,feminine,nominative,plural,гал,1.0963247953316897,гал,hour
ὥρα,16,unigram,feminine,nominative,singular,хан,1.0171989795273806,хан,hour
οἰκία,258,unigram,feminine,accusative,singular,цӀа,3.3538369352209485,цӀа,house
οἶκος,12,unigram,masculine,accusative,singular,цӀа,4.370010667846464,цӀа,"house, home"
κριτής,241,unigram,masculine,nominative,plural,дӀалохкуш,1.0595416318177244,дӀалохкуш,judge
κριτής,126,unigram,masculine,nominative,singular,кхелахочо,1.465193521298976,кхелахочо,judge
κλείς,119,unigram,feminine,accusative,singular,хаарш,1.0960524252565438,хаарш,key
βασιλεύς,78,unigram,masculine,accusative,plural,бахьана,1.1292319240351083,бахьана,king
βασιλεύς,41,unigram,masculine,accusative,singular,Паччахь,1.0371395915685953,Паччахь,king
βασιλεία,57,unigram,feminine,accusative,plural,пачхьалкхаш,1.1807061337280629,пачхьалкхаш,kingdom
βασιλεία,121,unigram,feminine,accusative,singular,Олалла,2.594044690818463,Олалла,kingdom
κόπος,158,unigram,masculine,accusative,plural,хоьтуьйту,1.3179737984452145,хоьтуьйту,"labour, work, trouble, difficulty"
κλῆρος,69,unigram,masculine,accusative,plural,.ТӀемалоша,1.0960622061228922,.ТӀемалоша,"lots (casting of lots), inheritance"
