lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2185_translation,english_translation
θεός,103,unigram,masculine,accusative,singular,Турра,2.1889359779357616,Турра,God
θεός,158,unigram,masculine,nominative,singular,Турӑ,5.082586424613255,Турӑ,God
κύριος,104,unigram,masculine,nominative,singular,хуҫи,1.2552156984571599,хуҫи,"Lord, lord, master"
γραφή,99,unigram,feminine,accusative,plural,Ҫырнине,2.1955166753136623,Ҫырнине,Scripture
γραφή,38,unigram,feminine,accusative,singular,Ҫырнинче,1.3753840270699382,Ҫырнинче,Scripture
γραφή,203,unigram,feminine,nominative,plural,Ҫырнинче,1.1056823153997517,Ҫырнинче,Scripture
γραφή,248,unigram,feminine,nominative,singular,Ҫырнинче,2.2493840479339915,Ҫырнинче,Scripture
ἄγγελος,75,unigram,masculine,accusative,plural,ангелӗсене,1.1356550824671978,ангелӗсене,angel
ἄγγελος,65,unigram,masculine,accusative,singular,умӑнтан,1.064889062891715,умӑнтан,angel
ἄγγελος,36,unigram,masculine,nominative,plural,ангелсем,1.3837364445865108,ангелсем,angel
ἄγγελος,83,unigram,masculine,nominative,singular,ангелӗ,1.0301757131252431,ангелӗ,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,Апостолсем,1.6098940806247295,Апостолсем,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,яраканнинчен,1.1613548718850133,яраканнинчен,apostle
ἐξουσία,150,unigram,feminine,accusative,singular,ирӗк,1.3289430654669347,ирӗк,authority
βρέφος,11,unigram,neuter,accusative,plural,сӗртӗнтӗр,1.161328723715616,сӗртӗнтӗр,babies
βρέφος,246,unigram,neuter,accusative,singular,Ачана,1.5538613545105593,Ачана,babies
ἀποθήκη,54,unigram,feminine,accusative,singular,туллине,1.0810922260060456,туллине,barn
φραγμός,176,unigram,masculine,accusative,plural,килӗм,1.096057314542422,килӗм,"barrier, wall"
ζώνη,169,unigram,feminine,accusative,singular,Ҫӳрессе,1.0960524252565438,Ҫӳрессе,belt
βλασφημία,25,unigram,feminine,accusative,plural,Камах,1.161346151680032,Камах,blasphemy
βλασφημία,73,unigram,feminine,accusative,singular,хурларӗ,1.0960768946513286,хурларӗ,blasphemy
πλοῖον,81,unigram,neuter,accusative,plural,кимӗ,1.2463727627223369,кимӗ,boat
πλοῖον,236,unigram,neuter,accusative,singular,кимӗ,1.763346748653611,кимӗ,boat
πλοῖον,182,unigram,neuter,nominative,plural,киммипех,1.096239847813496,киммипех,boat
πλοῖον,171,unigram,neuter,nominative,singular,кимӗ,2.073407232787424,кимӗ,boat
σῶμα,45,unigram,neuter,nominative,singular,ӳт-пӗвӳ,1.3197811104517692,ӳт-пӗвӳ,body
κλῆμα,112,unigram,neuter,nominative,singular,Манра,1.695462353734308,Манра,branch
ἄρτος,240,unigram,masculine,accusative,plural,ҫӑкӑр,1.3834158491383908,ҫӑкӑр,bread
ἄρτος,259,unigram,masculine,accusative,singular,ҫӑкӑр,2.009509768672144,ҫӑкӑр,bread
ἄρτος,119,unigram,masculine,nominative,plural,ҫӑкӑр,1.4685230039730544,ҫӑкӑр,bread
ἄρτος,28,unigram,masculine,nominative,singular,ҫӑкӑр,1.0214569045400437,ҫӑкӑр,bread
ἀδελφός,229,unigram,masculine,accusative,plural,ашшӗ-амӑшне,1.3543538802225892,ашшӗ-амӑшне,brother
ἀδελφός,93,unigram,masculine,accusative,singular,шӑллӗне,1.2555860882473031,шӑллӗне,brother
ἀδελφός,86,unigram,masculine,nominative,plural,тӑванӗсем,1.352274389970249,тӑванӗсем,brother
