lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_163_translation,english_translation
θεός,93,unigram,masculine,accusative,singular,Tajorentsi,1.4685232178554477,Tajorentsi,God
θεός,152,unigram,masculine,nominative,singular,Tajorentsi,2.000790056766688,Tajorentsi,God
κύριος,94,unigram,masculine,nominative,singular,Awinkatharite,1.0601626917549494,Awinkatharite,"Lord, lord, master"
γραφή,90,unigram,feminine,accusative,plural,Iwaperite,1.6147692330008647,Iwaperite,Scripture
γραφή,34,unigram,feminine,accusative,singular,nokenkithashireeyironi,1.1055341666876135,nokenkithashireeyironi,Scripture
γραφή,232,unigram,feminine,nominative,singular,Iwaperite,1.4545520561820326,Iwaperite,Scripture
ἄγγελος,67,unigram,masculine,accusative,plural,nonampiripaeni,1.0737440021976097,nonampiripaeni,angel
ἄγγελος,59,unigram,masculine,accusative,singular,ikanteri,1.0993154798537166,ikanteri,angel
ἄγγελος,32,unigram,masculine,nominative,plural,ronampiri,1.048196598938267,ronampiri,angel
ἄγγελος,76,unigram,masculine,nominative,singular,ronampiri,3.1255327690292773,ronampiri,angel
ἀπόστολος,29,unigram,masculine,nominative,plural,rotyaantanewopaeni,1.0768359747936829,rotyaantanewopaeni,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,ranaakotziri,1.0351590523887644,ranaakotziri,apostle
ἐξουσία,145,unigram,feminine,accusative,singular,notajorenka,1.2454979466811458,notajorenka,authority
βρέφος,231,unigram,neuter,accusative,singular,piratsi,1.186363170982559,piratsi,babies
ἀποθήκη,48,unigram,feminine,accusative,singular,impaetakinari,1.671350065803276,impaetakinari,barn
ζώνη,123,unigram,feminine,accusative,plural,paanaki,1.224272089710799,paanaki,belt
πλοῖον,74,unigram,neuter,accusative,plural,pitotsi,1.755599832330773,pitotsi,boat
πλοῖον,220,unigram,neuter,accusative,singular,pitotsiki,3.9841426764016235,pitotsiki,boat
πλοῖον,165,unigram,neuter,nominative,singular,inkaareki,1.0155443425693955,inkaareki,boat
κλῆμα,104,unigram,neuter,nominative,singular,oowa,1.0538984430277112,oowa,branch
ἄρτος,224,unigram,masculine,accusative,plural,paa,2.302945091314629,paa,bread
ἄρτος,243,unigram,masculine,accusative,singular,paa,1.4266061630774811,paa,bread
ἄρτος,111,unigram,masculine,nominative,plural,owanawontsi,2.129550366633205,owanawontsi,bread
ἄρτος,25,unigram,masculine,nominative,singular,oshiyawori,1.2565669203319951,oshiyawori,bread
ἀδελφός,84,unigram,masculine,accusative,singular,rirentzi,2.391347513980981,rirentzi,brother
ἀδελφός,78,unigram,masculine,nominative,plural,rirentzipaeni,1.951987911416468,rirentzipaeni,brother
ἀδελφός,169,unigram,masculine,nominative,singular,rirentzi,2.2038670486960577,rirentzi,brother
στῆθος,202,unigram,neuter,accusative,singular,aakaanteminika,1.1150295313820564,aakaanteminika,"chest, breast"
