lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_367_translation,english_translation
θεός,295,unigram,masculine,accusative,plural,dioses,1.0965172048072145,dioses,God
θεός,120,unigram,masculine,accusative,singular,Dios,7.410156080749679,Dios,God
θεός,193,unigram,masculine,nominative,singular,Dios,3.592451482104274,Dios,God
κύριος,121,unigram,masculine,nominative,singular,fii²,1.2658297121223985,fii²,"Lord, lord, master"
γραφή,116,unigram,feminine,accusative,plural,na³xɨɨ²,1.0784423919624782,na³xɨɨ²,Scripture
γραφή,42,unigram,feminine,accusative,singular,na³xɨɨ²,1.429770753049706,na³xɨɨ²,Scripture
γραφή,238,unigram,feminine,nominative,plural,hí⁴dxá⁴heey⁴,1.1529254864721874,hí⁴dxá⁴heey⁴,Scripture
γραφή,290,unigram,feminine,nominative,singular,na³xɨɨ²,1.1001746993111632,na³xɨɨ²,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,ángeles,2.065862169525126,ángeles,angel
ἄγγελος,72,unigram,masculine,accusative,singular,Hi²sɨ́⁴á⁴,1.4664801097484972,Hi²sɨ́⁴á⁴,angel
ἄγγελος,39,unigram,masculine,nominative,plural,ángeles,4.990502482886732,ángeles,angel
ἄγγελος,98,unigram,masculine,nominative,singular,ángel,4.332472688248589,ángel,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,bí⁴dxi̱i̱³²,1.131370555711382,bí⁴dxi̱i̱³²,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,Ná⁴ŋɨy¹,1.2110091039177606,Ná⁴ŋɨy¹,apostle
ἐξουσία,60,unigram,feminine,accusative,plural,mɨ³dsá⁴jay⁴,1.2910628680329042,mɨ³dsá⁴jay⁴,authority
ἐξουσία,185,unigram,feminine,accusative,singular,jú¹hiíh⁴,3.7802184798728016,jú¹hiíh⁴,authority
βρέφος,289,unigram,neuter,accusative,singular,ca³dsa³taah²,1.0630653315175471,ca³dsa³taah²,babies
φραγμός,103,unigram,masculine,accusative,singular,gá⁴haá²,1.029563259125251,gá⁴haá²,"barrier, wall"
ἀρχή,62,unigram,feminine,accusative,plural,mɨ³dsá⁴jay⁴,1.2907301597734746,mɨ³dsá⁴jay⁴,beginning
ἀρχή,166,unigram,feminine,accusative,singular,―Gá⁴foóh²á⁴,1.1054890991685846,―Gá⁴foóh²á⁴,beginning
