lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_349_translation,english_translation
θεός,282,unigram,masculine,accusative,plural,Diiloŋ-ãndaaŋgu‑i,1.3282115501887737,Diiloŋ-ãndaaŋgu‑i,God
θεός,121,unigram,masculine,accusative,singular,Diiloŋo‑i,1.6512078487923922,Diiloŋo‑i,God
θεός,181,unigram,masculine,nominative,singular,Diiloŋo,2.4758613082586005,Diiloŋo,God
κύριος,284,unigram,masculine,nominative,plural,kakũmbiloŋo‑i,1.096344883540667,kakũmbiloŋo‑i,"Lord, lord, master"
κύριος,122,unigram,masculine,nominative,singular,yuntieŋo,1.3630415231157835,yuntieŋo,"Lord, lord, master"
γραφή,117,unigram,feminine,accusative,plural,Diiloŋ-nelma,1.0281837487479235,Diiloŋ-nelma,Scripture
γραφή,45,unigram,feminine,accusative,singular,‹Dũmarãambaŋ,1.065782666439751,‹Dũmarãambaŋ,Scripture
γραφή,228,unigram,feminine,nominative,plural,Diiloŋ-nelma-na,1.498728824570917,Diiloŋ-nelma-na,Scripture
γραφή,278,unigram,feminine,nominative,singular,Diiloŋ-nelma-na,1.56863903178416,Diiloŋ-nelma-na,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,*dɔrpɔpuɔrbiemba,1.5184119901111919,*dɔrpɔpuɔrbiemba,angel
ἄγγελος,74,unigram,masculine,accusative,singular,pɔpuɔrbiloŋo,1.1863054235224049,pɔpuɔrbiloŋo,angel
ἄγγελος,41,unigram,masculine,nominative,plural,*dɔrpɔpuɔrbiemba,1.2664224527493595,*dɔrpɔpuɔrbiemba,angel
ἄγγελος,97,unigram,masculine,nominative,singular,*dɔrpɔpuɔrbiloŋo,1.044586374379133,*dɔrpɔpuɔrbiloŋo,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,*pɔpuɔrbiembaŋ,1.9382808600894783,*pɔpuɔrbiembaŋ,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,pɔpuɔrbiloŋo,1.079977682056941,pɔpuɔrbiloŋo,apostle
ἐξουσία,174,unigram,feminine,accusative,singular,hãa,1.0376915984890542,hãa,authority
βρέφος,13,unigram,neuter,accusative,plural,tontobaa-ba,1.0591120337209396,tontobaa-ba,babies
ἀποθήκη,61,unigram,feminine,accusative,singular,inɔŋgɔ̃-na,1.1124058718355103,inɔŋgɔ̃-na,barn
ζώνη,155,unigram,feminine,accusative,plural,gbeiŋa,1.289793747167335,gbeiŋa,belt
βλασφημία,29,unigram,feminine,accusative,plural,nanolŋo,1.1443491410946474,nanolŋo,blasphemy
βλασφημία,85,unigram,feminine,accusative,singular,tuoraaya,1.095421848054621,tuoraaya,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,benni‑i,1.957958117975908,benni‑i,boat
πλοῖον,265,unigram,neuter,accusative,singular,beŋo-na,1.1108552400493732,beŋo-na,boat
πλοῖον,206,unigram,neuter,nominative,plural,Benni,1.0955700932426244,Benni,boat
σῶμα,54,unigram,neuter,nominative,singular,kũɔma,1.3303970769686475,kũɔma,body
ἄρτος,270,unigram,masculine,accusative,plural,buruo,1.5867548790049983,buruo,bread
ἄρτος,293,unigram,masculine,accusative,singular,wuo,1.1067461949867976,wuo,bread
ἄρτος,142,unigram,masculine,nominative,plural,nelpũŋ,1.0790366649789958,nelpũŋ,bread
ἄρτος,34,unigram,masculine,nominative,singular,dɔrɔ‑i-na,1.2277200109435396,dɔrɔ‑i-na,bread
ἀδελφός,257,unigram,masculine,accusative,plural,hãmba‑i,1.6415267667038893,hãmba‑i,brother
ἀδελφός,109,unigram,masculine,accusative,singular,hãaŋo‑i,1.8683807539800583,hãaŋo‑i,brother
ἀδελφός,101,unigram,masculine,nominative,plural,nyu‑i,1.005900508428083,nyu‑i,brother
ἀδελφός,199,unigram,masculine,nominative,singular,hãaŋo,1.9912255690277656,hãaŋo,brother
στῆθος,139,unigram,neuter,accusative,plural,misĩrrã,1.0804603210543138,misĩrrã,"chest, breast"
στῆθος,243,unigram,neuter,accusative,singular,miɛl,1.380772044511242,miɛl,"chest, breast"
ἀρχιερεύς,210,unigram,masculine,accusative,plural,*Diilojigãntaamba,1.8110586800352368,*Diilojigãntaamba,chief priest
ἀρχιερεύς,55,unigram,masculine,accusative,singular,*Diilojigãntaamba,1.1784589217951509,*Diilojigãntaamba,chief priest
ἀρχιερεύς,108,unigram,masculine,nominative,plural,*Diilojigãntaamba,1.2027528045648994,*Diilojigãntaamba,chief priest
ἀρχιερεύς,214,unigram,masculine,nominative,singular,Diilojigãntaamba,2.8017186558696534,Diilojigãntaamba,chief priest
παῖς,202,unigram,masculine,accusative,plural,daaba,1.3019687539649711,daaba,child
παῖς,43,unigram,masculine,accusative,singular,siremma,1.0954540950705378,siremma,child
τέκνον,286,unigram,neuter,accusative,plural,bisãlmba‑i,1.640881735984003,bisãlmba‑i,child
τέκνον,160,unigram,neuter,accusative,singular,mɔlbaa,1.0643396655655928,mɔlbaa,child
τέκνον,14,unigram,neuter,nominative,plural,mɔlbaa,1.0680572072721175,mɔlbaa,child
παιδίον,12,unigram,neuter,accusative,plural,cie-ba,1.2076377345778753,cie-ba,child
παιδίον,80,unigram,neuter,accusative,singular,naacombiloŋo‑i,1.0402274064790031,naacombiloŋo‑i,child
παιδίον,36,unigram,neuter,nominative,singular,*Diiloŋ-nellentesĩnni‑i,1.0500339303768809,*Diiloŋ-nellentesĩnni‑i,child
πόλις,162,unigram,feminine,accusative,plural,nilɛiŋa-na,1.067399593612687,nilɛiŋa-na,city
πόλις,58,unigram,feminine,accusative,singular,nelleŋ-huɔŋga-na,1.1822094432680037,nelleŋ-huɔŋga-na,city
πύλη,179,unigram,feminine,nominative,singular,kãaŋ,1.1745024412933258,kãaŋ,city gate
χιτών,105,unigram,masculine,accusative,plural,bũɔle,1.1277097338703712,bũɔle,"clothing, undergarments"
χιτών,26,unigram,masculine,accusative,singular,joŋgorbuɔ‑i,2.629268786267746,joŋgorbuɔ‑i,"clothing, undergarments"
ἱμάτιον,120,unigram,neuter,accusative,plural,hiel,1.0430735191483786,hiel,coat
ἱμάτιον,119,unigram,neuter,accusative,singular,joŋgorbuɔ‑i,1.4703853060823509,joŋgorbuɔ‑i,coat
ἐντολή,72,unigram,feminine,accusative,plural,hũmieŋa,1.4070146025954218,hũmieŋa,commandment
ἐντολή,70,unigram,feminine,accusative,singular,bĩncuɔŋ-maama,1.9622885299603612,bĩncuɔŋ-maama,commandment
συνέδριον,274,unigram,neuter,accusative,plural,muo-na,1.1443491410946474,muo-na,council
συνέδριον,47,unigram,neuter,accusative,singular,yuntaamba‑i,1.0547784788477443,yuntaamba‑i,council
χώρα,68,unigram,feminine,accusative,plural,Ciiriiŋ,1.0954679461699222,Ciiriiŋ,"country, countryside"
χώρα,246,unigram,feminine,accusative,singular,Yesubaa-baŋ,1.130870486369434,Yesubaa-baŋ,"country, countryside"
ὄχλος,51,unigram,masculine,accusative,plural,bɔrɔ,1.682885697567259,bɔrɔ,crowd
ὄχλος,7,unigram,masculine,accusative,singular,nuɔmba,1.3825912400030151,nuɔmba,crowd
ὄχλος,89,unigram,masculine,nominative,plural,Nuɔŋ,1.1063275888915582,Nuɔŋ,crowd
ὄχλος,239,unigram,masculine,nominative,singular,nelpũŋgu,1.207230308931502,nelpũŋgu,crowd
θυγάτηρ,103,unigram,feminine,nominative,plural,caaŋ,1.1410669399338793,caaŋ,daughter
θυγάτηρ,269,unigram,feminine,nominative,singular,yaraa-yo,1.1052050237666118,yaraa-yo,daughter
ἡμέρα,66,unigram,feminine,accusative,plural,yinni,2.9839773998043353,yinni,day
ἡμέρα,75,unigram,feminine,accusative,singular,joŋ,1.0848513867292653,joŋ,day
ἡμέρα,1,unigram,feminine,nominative,plural,yinni,1.2575892610075334,yinni,day
ἡμέρα,60,unigram,feminine,nominative,singular,jumayiiŋgu,1.1459633728259764,jumayiiŋgu,day
ὀφειλέτης,216,unigram,masculine,nominative,plural,dujaataama,1.095394287878594,dujaataama,debtor
δαιμόνιον,27,unigram,neuter,accusative,plural,donya,2.406845916217909,donya,demon
δαιμόνιον,280,unigram,neuter,accusative,singular,*jĩna,1.704544845806694,*jĩna,demon
δαιμόνιον,170,unigram,neuter,nominative,plural,Jĩnabaa,1.0569697994631533,Jĩnabaa,demon
δαιμόνιον,153,unigram,neuter,nominative,singular,Jĩna,1.3779787964156731,Jĩna,demon
δηνάριον,261,unigram,neuter,accusative,plural,cɛ̃mɛlle,1.9580145586081767,cɛ̃mɛlle,denarius (about a day's wages)
δηνάριον,144,unigram,neuter,accusative,singular,warbelle,1.3693668176180729,warbelle,denarius (about a day's wages)
μαθητής,158,unigram,masculine,accusative,plural,*hãalãbiemba‑i,3.4170191278368534,*hãalãbiemba‑i,disciple
μαθητής,287,unigram,masculine,accusative,singular,*hãalãbiloŋo,1.7971929566546438,*hãalãbiloŋo,disciple
μαθητής,235,unigram,masculine,nominative,plural,*hãalãbiemba,1.6172049362778118,*hãalãbiemba,disciple
μαθητής,285,unigram,masculine,nominative,singular,hãalãbiloŋ,1.4033970303600751,hãalãbiloŋ,disciple
νόσος,2,unigram,feminine,accusative,plural,siire-yiɛ,1.3272023276162581,siire-yiɛ,disease
νόσος,64,unigram,feminine,accusative,singular,sĩnni-na,1.2092803238448055,sĩnni-na,disease
περιστερά,88,unigram,feminine,accusative,plural,nɔnsɔr,1.5786524065379397,nɔnsɔr,dove
περιστερά,49,unigram,feminine,accusative,singular,koŋhuruŋ,1.0351532312316778,koŋhuruŋ,dove
οὖς,135,unigram,neuter,accusative,plural,nu,1.4867627865871844,nu,ear
οὖς,238,unigram,neuter,accusative,singular,fuo,1.4123576866531742,fuo,ear
σεισμός,175,unigram,masculine,nominative,plural,sagalla,1.2418834213017471,sagalla,"earthquakes, storm"
τέλος,233,unigram,neuter,accusative,singular,bãlma‑i,1.1018240496258884,bãlma‑i,end
αἰών,203,unigram,masculine,accusative,plural,gbula,1.0186582504630963,gbula,eternity
αἰών,258,unigram,masculine,accusative,singular,cɛraa,1.1967762910041355,cɛraa,eternity
ὀφθαλμός,20,unigram,masculine,accusative,plural,yufieŋa‑i,2.2441921515456413,yufieŋa‑i,eye
ὀφθαλμός,57,unigram,masculine,nominative,plural,yufieŋa‑i,1.1813124854401795,yufieŋa‑i,eye
ὀφθαλμός,255,unigram,masculine,nominative,singular,hiel-de,1.0840487128349297,hiel-de,eye
πρόσωπον,111,unigram,neuter,accusative,plural,yammu‑i,1.6179593846183051,yammu‑i,face
πρόσωπον,167,unigram,neuter,accusative,singular,ciɛluɔ,1.1198534378048464,ciɛluɔ,face
λιμός,81,unigram,feminine,nominative,singular,gbeiŋaŋ,1.2905814487180645,gbeiŋaŋ,famine
λιμός,123,unigram,masculine,nominative,singular,Nyul,1.160164722821634,Nyul,famine
γεωργός,215,unigram,masculine,nominative,plural,‹Ciiluwuotieŋo,1.049547426629232,‹Ciiluwuotieŋo,"farmer, tenant"
γεωργός,44,unigram,masculine,nominative,singular,*ɛrɛsɛ̃-tibiiŋ-kerre‑i,1.3539516697209226,*ɛrɛsɛ̃-tibiiŋ-kerre‑i,"farmer, tenant"
πατήρ,260,unigram,masculine,accusative,singular,To,1.7389860477962813,To,father
πατήρ,268,unigram,masculine,nominative,plural,bĩncuɔmbaŋ,1.10716728004648,bĩncuɔmbaŋ,father
πατήρ,163,unigram,masculine,nominative,singular,To,2.3323565585234523,To,father
ἀγρός,279,unigram,masculine,accusative,plural,sonni‑i,1.3993338155785024,sonni‑i,field
ἀγρός,35,unigram,masculine,accusative,singular,sãa,1.0009397757674792,sãa,field
δάκτυλος,157,unigram,masculine,accusative,singular,gbugbɛiŋo-na,1.1054820573587156,gbugbɛiŋo-na,finger
ἰχθύς,137,unigram,masculine,accusative,plural,titiraamba,1.3492411054989786,titiraamba,fish
ἰχθύς,166,unigram,masculine,accusative,singular,teterieŋo,1.6930206346772123,teterieŋo,fish
δίκτυον,96,unigram,neuter,accusative,plural,jɔnaamba‑i,1.979091471088805,jɔnaamba‑i,fishing net
τροφή,207,unigram,feminine,accusative,plural,nelleŋ-huɔŋ-na,1.603759767556726,nelleŋ-huɔŋ-na,food
τροφή,277,unigram,feminine,accusative,singular,namaacembiemba,1.1054820573587156,namaacembiemba,food
πούς,200,unigram,masculine,accusative,plural,gbeini‑i,1.802162350160814,gbeini‑i,foot
πούς,100,unigram,masculine,accusative,singular,tũu-ni,1.1126373355852568,tũu-ni,foot
καρπός,196,unigram,masculine,accusative,singular,biefɛfɛiŋa,1.2996883222027098,biefɛfɛiŋa,"fruit, crop, harvest"
γενεά,197,unigram,feminine,accusative,singular,fiɛfiɛ,1.5536317205646155,fiɛfiɛ,generation
γενεά,266,unigram,feminine,nominative,plural,doŋ,1.0163701548545758,doŋ,generation
γενεά,134,unigram,feminine,nominative,singular,Fiɛfiɛ,1.0264651770261366,Fiɛfiɛ,generation
δῶρον,145,unigram,neuter,accusative,singular,pã-ku,1.0679492970843876,pã-ku,gift
ἡγεμών,151,unigram,masculine,accusative,plural,fɔ̃ŋgɔ̃taamba,1.6974643844047903,fɔ̃ŋgɔ̃taamba,"governor, ruler"
ἡγεμών,9,unigram,masculine,accusative,singular,sũnuŋgu,1.0489502036150975,sũnuŋgu,"governor, ruler"
ἀσπασμός,271,unigram,masculine,accusative,plural,jaal-ba,1.0208736668124374,jaal-ba,greeting
ἀσπασμός,152,unigram,masculine,accusative,singular,kusũŋgu-na,1.0351512926326685,kusũŋgu-na,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,yirii,1.1935422442826336,yirii,guide
χείρ,262,unigram,feminine,accusative,plural,nammu‑i,6.668648470486892,nammu‑i,hand
χείρ,189,unigram,feminine,accusative,singular,naŋga‑i,2.0696957610759745,naŋga‑i,hand
