lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_396_translation,english_translation
θεός,248,unigram,masculine,accusative,plural,Chiga'can'fa,1.2136558777228728,Chiga'can'fa,God
θεός,103,unigram,masculine,accusative,singular,ñotsse,1.1907227087155514,ñotsse,God
θεός,163,unigram,masculine,nominative,singular,Chiga,1.6229598759759671,Chiga,God
κύριος,250,unigram,masculine,nominative,plural,ccupa'je'fasi,1.096344883540667,ccupa'je'fasi,"Lord, lord, master"
κύριος,104,unigram,masculine,nominative,singular,Na'su,3.4942973018669417,Na'su,"Lord, lord, master"
γραφή,99,unigram,feminine,accusative,plural,Tevaen'jema,2.1463286590672865,Tevaen'jema,Scripture
γραφή,37,unigram,feminine,accusative,singular,Tevaen'jen,1.5253866100847908,Tevaen'jen,Scripture
γραφή,198,unigram,feminine,nominative,plural,fi'ttiya'chone,1.1580715158640509,fi'ttiya'chone,Scripture
γραφή,245,unigram,feminine,nominative,singular,Tevaen'jen,1.6195212024674377,Tevaen'jen,Scripture
ἄγγελος,74,unigram,masculine,accusative,plural,sefacconi'su,1.7214209667443359,sefacconi'su,angel
ἄγγελος,66,unigram,masculine,accusative,singular,Quema,1.0294373543856643,Quema,angel
ἄγγελος,33,unigram,masculine,nominative,plural,sefacconi'su,1.8362728019663044,sefacconi'su,angel
ἄγγελος,84,unigram,masculine,nominative,singular,sefacconi'su,1.7100818011669912,sefacconi'su,angel
ἀπόστολος,30,unigram,masculine,nominative,plural,candusiañe,1.177612248660439,candusiañe,apostle
ἐξουσία,157,unigram,feminine,accusative,singular,antte,1.7269832054413707,antte,authority
βρέφος,244,unigram,neuter,accusative,singular,ppiña'choma,1.0591090190634709,ppiña'choma,babies
ἀποθήκη,204,unigram,feminine,accusative,plural,taipa,1.5306413443732605,taipa,barn
ἀποθήκη,55,unigram,feminine,accusative,singular,trigoma,1.3130091049572743,trigoma,barn
ἀρχή,141,unigram,feminine,accusative,singular,me'ttia'ye,1.809057327381432,me'ttia'ye,beginning
