lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_403_translation,english_translation
θεός,111,unigram,masculine,accusative,singular,Dios,3.2281197866745304,Dios,God
θεός,176,unigram,masculine,nominative,singular,Dios,5.91700908436862,Dios,God
κύριος,112,unigram,masculine,nominative,singular,tavástaraꞌa,2.640855487225749,tavástaraꞌa,"Lord, lord, master"
γραφή,108,unigram,feminine,accusative,plural,yuꞌuxari,1.1791391317586124,yuꞌuxari,Scripture
γραφή,43,unigram,feminine,accusative,singular,yuꞌuxari,1.0088597701162658,yuꞌuxari,Scripture
γραφή,218,unigram,feminine,nominative,plural,araúrasten,1.4374381285805629,araúrasten,Scripture
γραφή,269,unigram,feminine,nominative,singular,téꞌeyuꞌusiꞌi,1.1797424090522317,téꞌeyuꞌusiꞌi,Scripture
ἄγγελος,82,unigram,masculine,accusative,plural,huaꞌutaꞌaíjteꞌesin,1.0446950490606937,huaꞌutaꞌaíjteꞌesin,angel
ἄγγελος,39,unigram,masculine,nominative,plural,ta,1.330487164203466,ta,angel
ἄγγελος,92,unigram,masculine,nominative,singular,tíꞌivaɨreꞌe,1.1755768339263049,tíꞌivaɨreꞌe,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,aráꞌase,1.1604633862116085,aráꞌase,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,aꞌutaꞌítiꞌihuacaꞌa,1.4314133829574616,aꞌutaꞌítiꞌihuacaꞌa,apostle
ἐξουσία,169,unigram,feminine,accusative,singular,antínmuaꞌaree,1.248290106193507,antínmuaꞌaree,authority
βρέφος,268,unigram,neuter,accusative,singular,téꞌecuaꞌaca,1.144325270768837,téꞌecuaꞌaca,babies
ἀποθήκη,58,unigram,feminine,accusative,singular,triigu,1.286702617968854,triigu,barn
ζώνη,189,unigram,feminine,accusative,singular,xuaa,1.095398876121712,xuaa,belt
βλασφημία,26,unigram,feminine,accusative,plural,―¿Aꞌataqui,1.3066489659461868,―¿Aꞌataqui,blasphemy
βλασφημία,80,unigram,feminine,accusative,singular,raꞌantisiújtzaꞌan,1.0591180671250278,raꞌantisiújtzaꞌan,blasphemy
βλασφημία,70,unigram,feminine,nominative,singular,Iꞌirɨꞌɨri,1.3271814788311858,Iꞌirɨꞌɨri,blasphemy
πλοῖον,90,unigram,neuter,accusative,plural,baarcu,1.9076305420365272,baarcu,boat
πλοῖον,255,unigram,neuter,accusative,singular,baarcu,1.9316311341669885,baarcu,boat
πλοῖον,201,unigram,neuter,nominative,plural,huajauhuáꞌaxɨ,1.2113377554823876,huajauhuáꞌaxɨ,boat
πλοῖον,191,unigram,neuter,nominative,singular,baarcu,1.157604413739544,baarcu,boat
σῶμα,52,unigram,neuter,nominative,singular,áꞌajɨꞌɨ,1.323973984182165,áꞌajɨꞌɨ,body
κλῆμα,124,unigram,neuter,nominative,singular,piꞌista,1.500692125766112,piꞌista,branch
ἄρτος,260,unigram,masculine,accusative,plural,pan,3.753791033339173,pan,bread
ἄρτος,282,unigram,masculine,accusative,singular,pan,2.539536301617208,pan,bread
ἄρτος,130,unigram,masculine,nominative,plural,pan,2.22417613233854,pan,bread
ἄρτος,30,unigram,masculine,nominative,singular,cuaꞌira,1.313855128460615,cuaꞌira,bread
ἀδελφός,247,unigram,masculine,accusative,plural,ruꞌihuaamuaꞌa,1.308823690168516,ruꞌihuaamuaꞌa,brother
ἀδελφός,103,unigram,masculine,accusative,singular,juutzeájraꞌan,1.8927740895950884,juutzeájraꞌan,brother
ἀδελφός,96,unigram,masculine,nominative,plural,ihuáamuaꞌameꞌen,1.154497686215442,ihuáamuaꞌameꞌen,brother
ἀδελφός,196,unigram,masculine,nominative,singular,ihuáareꞌaraꞌan,1.1932702701939293,ihuáareꞌaraꞌan,brother
στῆθος,236,unigram,neuter,accusative,singular,¿aꞌatani,1.1299317145764758,¿aꞌatani,"chest, breast"
ἀρχιερεύς,203,unigram,masculine,accusative,plural,teyujtaꞌa,1.1850722435919463,teyujtaꞌa,chief priest
ἀρχιερεύς,102,unigram,masculine,nominative,plural,teyujtaꞌa,1.8371633621375587,teyujtaꞌa,chief priest
ἀρχιερεύς,207,unigram,masculine,nominative,singular,teyujtaꞌa,1.4715129653899273,teyujtaꞌa,chief priest
παῖς,199,unigram,masculine,accusative,plural,jéꞌecan,1.5599868164960682,jéꞌecan,child
παῖς,41,unigram,masculine,accusative,singular,raꞌitárɨe,1.0954540950705378,raꞌitárɨe,child
τέκνον,276,unigram,neuter,accusative,plural,ruyaujmuaꞌa,1.232890971471208,ruyaujmuaꞌa,child
τέκνον,149,unigram,neuter,accusative,singular,ruyaujmuaꞌa,1.0324938763820612,ruyaujmuaꞌa,child
τέκνον,13,unigram,neuter,nominative,plural,yaújmuaꞌameꞌen,1.3562358076782544,yaújmuaꞌameꞌen,child
τέκνον,161,unigram,neuter,nominative,singular,Niyauj,1.1799408953226342,Niyauj,child
