lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_366_translation,english_translation
θεός,277,unigram,masculine,accusative,plural,pasian-te,1.16212982949932,pasian-te,God
θεός,113,unigram,masculine,accusative,singular,Pasian,5.097635654281423,Pasian,God
θεός,178,unigram,masculine,nominative,singular,Pasian,11.461768958595574,Pasian,God
κύριος,279,unigram,masculine,nominative,plural,sut,1.039954090191376,sut,"Lord, lord, master"
κύριος,114,unigram,masculine,nominative,singular,Topa,2.061473972016484,Topa,"Lord, lord, master"
γραφή,110,unigram,feminine,accusative,plural,Lai,1.1885267187815844,Lai,Scripture
γραφή,221,unigram,feminine,nominative,plural,Lai,1.1458159330686064,Lai,Scripture
γραφή,273,unigram,feminine,nominative,singular,Lai,1.1745185365812565,Lai,Scripture
ἄγγελος,82,unigram,masculine,accusative,plural,vantung,1.1680797504821163,vantung,angel
ἄγγελος,71,unigram,masculine,accusative,singular,kamtai,1.3242760566068346,kamtai,angel
ἄγγελος,39,unigram,masculine,nominative,plural,vantung,1.5418921633380578,vantung,angel
ἄγγελος,92,unigram,masculine,nominative,singular,vantungmi,4.594853574638436,vantungmi,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,sawltakte,1.759590355896692,sawltakte,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,kisawlpa,1.2110091039177606,kisawlpa,apostle
ἐξουσία,170,unigram,feminine,accusative,singular,aana,1.2576218020670045,aana,authority
βρέφος,11,unigram,neuter,accusative,plural,piaksak,1.160164722821634,piaksak,babies
βρέφος,271,unigram,neuter,accusative,singular,kisial,1.105470825457771,kisial,babies
ἀποθήκη,225,unigram,feminine,accusative,plural,tuate,1.5348705650275951,tuate,barn
ἀποθήκη,59,unigram,feminine,accusative,singular,khul,1.467821444313653,khul,barn
ἀρχή,153,unigram,feminine,accusative,singular,Kana,1.1265934008219958,Kana,beginning
βλασφημία,27,unigram,feminine,accusative,plural,kikimin,1.3838548721672823,kikimin,blasphemy
βλασφημία,72,unigram,feminine,nominative,singular,gamtat,1.3045950968968851,gamtat,blasphemy
πλοῖον,90,unigram,neuter,accusative,plural,gunkuang,1.1605628681444942,gunkuang,boat
πλοῖον,260,unigram,neuter,accusative,singular,gunkuang,2.8432150802545384,gunkuang,boat
πλοῖον,203,unigram,neuter,nominative,plural,tuannasa,1.0955700932426244,tuannasa,boat
πλοῖον,192,unigram,neuter,nominative,singular,gunkuang,2.392563295168086,gunkuang,boat
σῶμα,51,unigram,neuter,nominative,singular,pumpi,4.120016850627262,pumpi,body
κλῆμα,48,unigram,neuter,nominative,plural,kizomte,1.2535031234274072,kizomte,branch
κλῆμα,129,unigram,neuter,nominative,singular,kizom,1.0930728095802962,kizom,branch
ἄρτος,265,unigram,masculine,accusative,plural,anlum,1.2858771811563865,anlum,bread
ἄρτος,288,unigram,masculine,accusative,singular,an,1.5143368902083048,an,bread
ἄρτος,134,unigram,masculine,nominative,plural,anlum,1.2213017620100994,anlum,bread
ἄρτος,32,unigram,masculine,nominative,singular,an,1.4937772733468353,an,bread
ἀδελφός,251,unigram,masculine,accusative,plural,sanggamte,1.1968979974211598,sanggamte,brother
ἀδελφός,103,unigram,masculine,accusative,singular,nau,1.1125319197202972,nau,brother
ἀδελφός,95,unigram,masculine,nominative,plural,naute,1.0810198768835055,naute,brother
ἀδελφός,195,unigram,masculine,nominative,singular,naupa,1.208426701255211,naupa,brother
στῆθος,237,unigram,neuter,accusative,singular,aw,1.0248623147168774,aw,"chest, breast"
ἀρχιερεύς,207,unigram,masculine,accusative,plural,siampi,1.0172122857693475,siampi,chief priest
ἀρχιερεύς,52,unigram,masculine,accusative,singular,siampi,1.1753415902235222,siampi,chief priest
ἀρχιερεύς,102,unigram,masculine,nominative,plural,liante,1.5096711283867204,liante,chief priest
ἀρχιερεύς,211,unigram,masculine,nominative,singular,lianpen,1.0361123905994518,lianpen,chief priest
παῖς,199,unigram,masculine,accusative,plural,heh,1.2711288498932969,heh,child
τέκνον,281,unigram,neuter,accusative,plural,tate,1.6719691249736195,tate,child
τέκνον,152,unigram,neuter,accusative,singular,Unau,1.3212742482882736,Unau,child
τέκνον,12,unigram,neuter,nominative,plural,Unau,1.4162794479443228,Unau,child
τέκνον,163,unigram,neuter,nominative,singular,ta,1.3273979055308809,ta,child
παιδίον,78,unigram,neuter,accusative,singular,naupang,1.2740845482854417,naupang,child
παιδίον,146,unigram,neuter,nominative,plural,naupangte,1.6035913723503932,naupangte,child
παιδίον,34,unigram,neuter,nominative,singular,naupang,1.075281829125446,naupang,child
πόλις,154,unigram,feminine,accusative,plural,khuapite,1.6914089394117502,khuapite,city
πόλις,55,unigram,feminine,accusative,singular,khua,2.5385566758787195,khua,city
πύλη,176,unigram,feminine,nominative,singular,lampi,1.2638754952293183,lampi,city gate
χιτών,99,unigram,masculine,accusative,plural,unla,1.0697766665696826,unla,"clothing, undergarments"
χιτών,24,unigram,masculine,accusative,singular,puansungsilh,1.11505618771538,puansungsilh,"clothing, undergarments"
