lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1830_translation,english_translation
θεός,118,unigram,masculine,accusative,singular,Mlungu,8.623442444593753,Mlungu,God
θεός,187,unigram,masculine,nominative,singular,Mlungu,12.745528690958324,Mlungu,God
κύριος,119,unigram,masculine,nominative,singular,Bwana,1.9212572885046328,Bwana,"Lord, lord, master"
γραφή,114,unigram,feminine,accusative,plural,Maandiko,4.240411239624245,Maandiko,Scripture
γραφή,233,unigram,feminine,nominative,plural,Maandiko,2.1552660180466696,Maandiko,Scripture
γραφή,292,unigram,feminine,nominative,singular,maandiko,1.9298835736406763,maandiko,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,malaika,1.53313609922448,malaika,angel
ἄγγελος,75,unigram,masculine,accusative,singular,mdumi,1.0404223368358003,mdumi,angel
ἄγγελος,44,unigram,masculine,nominative,plural,malaika,1.5985448657047918,malaika,angel
ἄγγελος,94,unigram,masculine,nominative,singular,malaika,3.4322349659925617,malaika,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,wadumi,2.2636169725060915,wadumi,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,umdumie,1.2125895793310684,umdumie,apostle
ἐξουσία,62,unigram,feminine,accusative,plural,msakesumbuka,1.0962199599997684,msakesumbuka,authority
ἐξουσία,179,unigram,feminine,accusative,singular,nguma,5.833266047679518,nguma,authority
βρέφος,16,unigram,neuter,accusative,plural,wiendawiwona,1.161328723715616,wiendawiwona,babies
ἀποθήκη,238,unigram,feminine,accusative,plural,nganya,1.999949042375989,nganya,barn
ἀποθήκη,61,unigram,feminine,accusative,singular,nganyenyi,1.2147585393228764,nganyenyi,barn
ἀρχή,64,unigram,feminine,accusative,plural,msakesumbuka,1.0961063339256685,msakesumbuka,beginning
ζώνη,155,unigram,feminine,accusative,plural,mifuko,1.0960524252565438,mifuko,belt
ζώνη,203,unigram,feminine,accusative,singular,orerwaeghe,1.0960524252565438,orerwaeghe,belt
πλοῖον,92,unigram,neuter,accusative,plural,mashua,2.430177018397666,mashua,boat
πλοῖον,278,unigram,neuter,accusative,singular,ishuonyi,3.1423602434879374,ishuonyi,boat
πλοῖον,205,unigram,neuter,nominative,singular,ishua,1.5957721190666327,ishua,boat
σῶμα,193,unigram,neuter,nominative,plural,mimbi,1.999948655640119,mimbi,body
σῶμα,54,unigram,neuter,nominative,singular,mumbi,2.994636112648326,mumbi,body
κλῆμα,134,unigram,neuter,nominative,singular,lumbashu,1.7298470713344765,lumbashu,branch
ἄρτος,282,unigram,masculine,accusative,plural,mikate,4.924246047994535,mikate,bread
ἄρτος,304,unigram,masculine,accusative,singular,mkate,1.929431601549965,mkate,bread
ἄρτος,141,unigram,masculine,nominative,plural,mikate,1.5760236775488536,mikate,bread
