lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_454_translation,english_translation
θεός,112,unigram,masculine,accusative,singular,Goãmʉre,2.5218272247653357,Goãmʉre,God
θεός,24,unigram,masculine,nominative,plural,Goãmarã,1.097258004808277,Goãmarã,God
θεός,174,unigram,masculine,nominative,singular,Goãmʉ,2.6480021222381853,Goãmʉ,God
κύριος,270,unigram,masculine,nominative,plural,pãcʉ̃,1.0970894485985805,pãcʉ̃,"Lord, lord, master"
κύριος,113,unigram,masculine,nominative,singular,opʉ,1.1519768387514155,opʉ,"Lord, lord, master"
γραφή,108,unigram,feminine,accusative,plural,yare,1.0165093988230596,yare,Scripture
γραφή,43,unigram,feminine,accusative,singular,sĩriburire,1.1063446289765493,sĩriburire,Scripture
γραφή,215,unigram,feminine,nominative,plural,gojadiro,1.061558531123845,gojadiro,Scripture
γραφή,265,unigram,feminine,nominative,singular,gojarapũ,1.1847615070101314,gojarapũ,Scripture
ἄγγελος,84,unigram,masculine,accusative,plural,anyuare,1.4110439049923518,anyuare,angel
ἄγγελος,73,unigram,masculine,accusative,singular,wereyubure,1.2493358425337882,wereyubure,angel
ἄγγελος,39,unigram,masculine,nominative,plural,anyua,2.012115966796283,anyua,angel
ἄγγελος,91,unigram,masculine,nominative,singular,anyu,2.466314173510604,anyu,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,obeonirã,1.1959194042385672,obeonirã,apostle
ἐξουσία,59,unigram,feminine,accusative,plural,cãhmotaburire,1.1616007369569912,cãhmotaburire,authority
ἐξουσία,166,unigram,feminine,accusative,singular,cóãdoreari,1.0737897287679,cóãdoreari,authority
βρέφος,264,unigram,neuter,accusative,singular,wecʉa,1.0441063733306788,wecʉa,babies
ἀποθήκη,58,unigram,feminine,accusative,singular,diburi,1.2851174540566834,diburi,barn
ἀρχή,61,unigram,feminine,accusative,plural,cãhmotaburire,1.1613985352799874,cãhmotaburire,beginning
ζώνη,146,unigram,feminine,accusative,plural,aĩbiricãque,1.413500480223867,aĩbiricãque,belt
βλασφημία,28,unigram,feminine,accusative,plural,cóãmasibeami,1.1062887916934805,cóãmasibeami,blasphemy
βλασφημία,82,unigram,feminine,accusative,singular,Guatariacãmi,1.0960768946513286,Guatariacãmi,blasphemy
βλασφημία,172,unigram,feminine,nominative,plural,ñeri,1.057143504203742,ñeri,blasphemy
πλοῖον,252,unigram,neuter,accusative,singular,dohodirugue,3.5290736273698764,dohodirugue,boat
πλοῖον,189,unigram,neuter,nominative,singular,deco,1.0497806563546197,deco,boat
σῶμα,180,unigram,neuter,nominative,plural,sĩrinirã,1.3459822464007118,sĩrinirã,body
σῶμα,51,unigram,neuter,nominative,singular,Mʉa,1.3827715225056991,Mʉa,body
κλῆμα,124,unigram,neuter,nominative,singular,dʉpʉri,1.8875720920615984,dʉpʉri,branch
ἄρτος,256,unigram,masculine,accusative,plural,pan,1.7511891767680812,pan,bread
ἄρτος,278,unigram,masculine,accusative,singular,barire,1.3002314110865056,barire,bread
ἄρτος,132,unigram,masculine,nominative,plural,barire,1.2459921707951178,barire,bread
ἄρτος,32,unigram,masculine,nominative,singular,bari,1.3076494327473094,bari,bread
ἀδελφός,243,unigram,masculine,accusative,plural,pagʉ,1.5307941649139094,pagʉ,brother
ἀδελφός,102,unigram,masculine,accusative,singular,pagʉ,1.616811470602416,pagʉ,brother
ἀδελφός,94,unigram,masculine,nominative,plural,porã,1.2418798960969095,porã,brother
ἀδελφός,192,unigram,masculine,nominative,singular,pagʉ,1.2359090208178574,pagʉ,brother
στῆθος,130,unigram,neuter,accusative,plural,Dujaa,1.212541630128925,Dujaa,"chest, breast"
στῆθος,232,unigram,neuter,accusative,singular,yʉpʉ,1.2972888235549984,yʉpʉ,"chest, breast"
ἀρχιερεύς,198,unigram,masculine,accusative,plural,pahia,2.3653773664559896,pahia,chief priest
ἀρχιερεύς,52,unigram,masculine,accusative,singular,Caifa,1.1318454789085617,Caifa,chief priest
ἀρχιερεύς,101,unigram,masculine,nominative,plural,pahia,1.174876146565308,pahia,chief priest
ἀρχιερεύς,202,unigram,masculine,nominative,singular,pahia,2.3224310360114244,pahia,chief priest
παῖς,41,unigram,masculine,accusative,singular,aririsubu,1.0961210847775034,aririsubu,child
τέκνον,272,unigram,neuter,accusative,plural,porãre,1.1963112274199803,porãre,child
τέκνον,151,unigram,neuter,accusative,singular,tĩrã,1.0648494792904102,tĩrã,child
τέκνον,12,unigram,neuter,nominative,plural,tĩrã,1.068626691954887,tĩrã,child
τέκνον,160,unigram,neuter,nominative,singular,Mahgʉ,1.595559987712206,Mahgʉ,child
παιδίον,11,unigram,neuter,accusative,plural,erãgãre,1.2522012355136518,erãgãre,child
παιδίον,79,unigram,neuter,accusative,singular,majigʉgãre,1.210369822345582,majigʉgãre,child
πόλις,153,unigram,feminine,accusative,plural,macarire,1.03419187301701,macarire,city
πόλις,54,unigram,feminine,accusative,singular,macague,3.2403477281022943,macague,city
πύλη,171,unigram,feminine,nominative,singular,wadiacʉ̃,1.1188996830498492,wadiacʉ̃,city gate
χιτών,98,unigram,masculine,accusative,plural,Peñe,1.0715725811976675,Peñe,"clothing, undergarments"
χιτών,25,unigram,masculine,accusative,singular,camisa,1.1160074173855494,camisa,"clothing, undergarments"
ἱμάτιον,111,unigram,neuter,accusative,plural,tuwea,1.3745932723762624,tuwea,coat
ἱμάτιον,110,unigram,neuter,accusative,singular,suhrirore,1.176550002979375,suhrirore,coat
ἐντολή,71,unigram,feminine,accusative,plural,dorerire,1.92499005762718,dorerire,commandment
ἐντολή,69,unigram,feminine,accusative,singular,dorerire,1.2364457737723529,dorerire,commandment
συνέδριον,260,unigram,neuter,accusative,plural,parãcoma,1.2633914052661706,parãcoma,council
συνέδριον,45,unigram,neuter,accusative,singular,gamenererore,1.1795559982199348,gamenererore,council
χώρα,235,unigram,feminine,accusative,singular,yebague,2.0136590798484484,yebague,"country, countryside"
ὄχλος,49,unigram,masculine,accusative,plural,masare,1.875936377556116,masare,crowd
ὄχλος,5,unigram,masculine,accusative,singular,bajarã,2.678653517026669,bajarã,crowd
ὄχλος,86,unigram,masculine,nominative,plural,bajarã,1.189422517729126,bajarã,crowd
ὄχλος,228,unigram,masculine,nominative,singular,bajarã,1.7585950373818515,bajarã,crowd
θυγάτηρ,97,unigram,feminine,nominative,plural,oreque,1.0961506491767987,oreque,daughter
θυγάτηρ,255,unigram,feminine,nominative,singular,mago,2.3200277062038714,mago,daughter
ἡμέρα,64,unigram,feminine,accusative,plural,nʉri,1.1824988142556134,nʉri,day
ἡμέρα,74,unigram,feminine,accusative,singular,Ʉmʉri,1.133050342379792,Ʉmʉri,day
ἡμέρα,2,unigram,feminine,nominative,plural,aĩcãgʉcumi,1.0684716178112323,aĩcãgʉcumi,day
ἡμέρα,56,unigram,feminine,nominative,singular,Irinʉ,1.1143733322874791,Irinʉ,day
δαιμόνιον,26,unigram,neuter,accusative,plural,watẽare,2.50660890168219,watẽare,demon
δαιμόνιον,267,unigram,neuter,accusative,singular,goroweregʉ,1.6399365108646549,goroweregʉ,demon
δαιμόνιον,161,unigram,neuter,nominative,plural,watẽa,1.2899996152677775,watẽa,demon
δαιμόνιον,144,unigram,neuter,nominative,singular,watĩre,2.4722829329370226,watĩre,demon
