lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_329_translation,english_translation
θεός,114,unigram,masculine,accusative,singular,Diyos,4.2181091863298015,Diyos,God
θεός,179,unigram,masculine,nominative,singular,Diyos,7.237648791326051,Diyos,God
κύριος,115,unigram,masculine,nominative,singular,amo,1.198900842920472,amo,"Lord, lord, master"
γραφή,110,unigram,feminine,accusative,plural,kasulatan,1.6000503559010164,kasulatan,Scripture
γραφή,40,unigram,feminine,accusative,singular,kasulatan,1.3270630365297995,kasulatan,Scripture
γραφή,223,unigram,feminine,nominative,plural,matupad,1.1833610850869571,matupad,Scripture
γραφή,278,unigram,feminine,nominative,singular,kasulatan,2.1470488840993665,kasulatan,Scripture
ἄγγελος,83,unigram,masculine,accusative,plural,anghel,2.1284857389947,anghel,angel
ἄγγελος,72,unigram,masculine,accusative,singular,paghandaén,1.263580881149151,paghandaén,angel
ἄγγελος,38,unigram,masculine,nominative,plural,anghel,4.669377517916801,anghel,angel
ἄγγελος,92,unigram,masculine,nominative,singular,anghel,4.137673172879977,anghel,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,apostol,4.195027734089743,apostol,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,mégutus,1.2846778397688712,mégutus,apostle
ἐξουσία,58,unigram,feminine,accusative,plural,mangidimanda,1.208732306940044,mangidimanda,authority
ἐξουσία,170,unigram,feminine,accusative,singular,kapangyarian,2.015249150578353,kapangyarian,authority
βρέφος,13,unigram,neuter,accusative,plural,mabulol,1.0351493549257762,mabulol,babies
βρέφος,276,unigram,neuter,accusative,singular,pénganan,1.117906523855687,pénganan,babies
ἀρχή,60,unigram,feminine,accusative,plural,mangidimanda,1.2084875881197978,mangidimanda,beginning
ζώνη,151,unigram,feminine,accusative,plural,mégkébil,1.3747766559871828,mégkébil,belt
βλασφημία,26,unigram,feminine,accusative,plural,makapagpatawad,1.2358551681443826,makapagpatawad,blasphemy
βλασφημία,177,unigram,feminine,nominative,plural,péngupos,1.876493934725812,péngupos,blasphemy
πλοῖον,91,unigram,neuter,accusative,plural,abeng,1.7999547197490269,abeng,boat
πλοῖον,265,unigram,neuter,accusative,singular,abeng,2.1185467535823013,abeng,boat
πλοῖον,202,unigram,neuter,nominative,plural,sinumakay,1.0352157418774437,sinumakay,boat
πλοῖον,192,unigram,neuter,nominative,singular,ditaw,1.1235748836225514,ditaw,boat
σῶμα,49,unigram,neuter,nominative,singular,bégi,1.7579384634245492,bégi,body
κλῆμα,128,unigram,neuter,nominative,singular,sanga,1.1443173213121025,sanga,branch
ἄρτος,269,unigram,masculine,accusative,plural,tinapay,3.153113874542388,tinapay,bread
ἄρτος,291,unigram,masculine,accusative,singular,kanén,1.1539018335183808,kanén,bread
ἄρτος,136,unigram,masculine,nominative,plural,tam,1.0595057853876064,tam,bread
ἄρτος,30,unigram,masculine,nominative,singular,dinumibi,1.1745571785179476,dinumibi,bread
ἀδελφός,254,unigram,masculine,accusative,plural,tétotop,1.410761726728583,tétotop,brother
ἀδελφός,103,unigram,masculine,accusative,singular,Santiago,1.2284192846521116,Santiago,brother
ἀδελφός,95,unigram,masculine,nominative,plural,tétotop,2.3525365466210357,tétotop,brother
ἀδελφός,195,unigram,masculine,nominative,singular,wadi,2.0133284521967303,wadi,brother
στῆθος,133,unigram,neuter,accusative,plural,mégita,1.105470825457771,mégita,"chest, breast"
ἀρχιερεύς,205,unigram,masculine,accusative,plural,padi,1.3951776697067453,padi,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,Kaipas,1.1847399181430962,Kaipas,chief priest
ἀρχιερεύς,102,unigram,masculine,nominative,plural,padi,1.399086221254611,padi,chief priest
ἀρχιερεύς,210,unigram,masculine,nominative,singular,padi,1.865116182704548,padi,chief priest
παῖς,39,unigram,masculine,accusative,singular,péngiadene,1.0954540950705378,péngiadene,child
τέκνον,285,unigram,neuter,accusative,plural,anak,2.9950074159788618,anak,child
τέκνον,163,unigram,neuter,nominative,singular,Anéng,2.4629766717829997,Anéng,child
παιδίον,12,unigram,neuter,accusative,plural,méghari,1.037961138892353,méghari,child
παιδίον,78,unigram,neuter,accusative,singular,anak,1.806049615852506,anak,child
παιδίον,32,unigram,neuter,nominative,singular,anak,1.6630352780509898,anak,child
πόλις,156,unigram,feminine,accusative,plural,banuwan,1.0896462105819449,banuwan,city
πόλις,54,unigram,feminine,accusative,singular,banuwan,5.590051955303509,banuwan,city
πύλη,176,unigram,feminine,nominative,singular,dimanén,1.029563259125251,dimanén,city gate
χιτών,99,unigram,masculine,accusative,plural,sahukod,1.2941267405488153,sahukod,"clothing, undergarments"
χιτών,24,unigram,masculine,accusative,singular,diyaket,1.0727316837843723,diyaket,"clothing, undergarments"
ἱμάτιον,112,unigram,neuter,accusative,plural,damit,1.8606080339517657,damit,coat
ἱμάτιον,111,unigram,neuter,accusative,singular,badu,2.530426371058536,badu,coat
ἐντολή,70,unigram,feminine,accusative,plural,sundin,1.4377577737997398,sundin,commandment
ἐντολή,68,unigram,feminine,accusative,singular,utus,1.3167097649343102,utus,commandment
συνέδριον,273,unigram,neuter,accusative,plural,balbalén,1.6284617625793518,balbalén,council
συνέδριον,42,unigram,neuter,accusative,singular,nagmiting,1.827739638047076,nagmiting,council
χώρα,245,unigram,feminine,accusative,singular,banuwan,1.083872258403216,banuwan,"country, countryside"
ὄχλος,46,unigram,masculine,accusative,plural,dudu,1.182639482128219,dudu,crowd
ὄχλος,9,unigram,masculine,accusative,singular,tolay,1.6273209267717408,tolay,crowd
ὄχλος,85,unigram,masculine,nominative,plural,tolay,1.1760005082298788,tolay,crowd
ὄχλος,238,unigram,masculine,nominative,singular,tolay,1.3560660310754162,tolay,crowd
θυγάτηρ,97,unigram,feminine,nominative,plural,pagsangitan,1.0954864432981108,pagsangitan,daughter
θυγάτηρ,268,unigram,feminine,nominative,singular,Minate,1.1953316283888578,Minate,daughter
ἡμέρα,63,unigram,feminine,accusative,plural,aldew,2.5825970980747264,aldew,day
ἡμέρα,73,unigram,feminine,accusative,singular,Aldew-aldew,1.2178612955362158,Aldew-aldew,day
ἡμέρα,2,unigram,feminine,nominative,plural,oras,1.4601238874072269,oras,day
ἡμέρα,56,unigram,feminine,nominative,singular,disperas,1.2660237525311837,disperas,day
δαιμόνιον,25,unigram,neuter,accusative,plural,dimonyo,3.3033370299036093,dimonyo,demon
δαιμόνιον,281,unigram,neuter,accusative,singular,dimonyo,3.324532728232412,dimonyo,demon
δαιμόνιον,165,unigram,neuter,nominative,plural,dimonyo,3.986216659441217,dimonyo,demon
δαιμόνιον,149,unigram,neuter,nominative,singular,dimonyo,1.717919163795993,dimonyo,demon
δηνάριον,259,unigram,neuter,accusative,plural,utang,1.4057311917586857,utang,denarius (about a day's wages)
μαθητής,153,unigram,masculine,accusative,plural,alagad,3.2469462622401424,alagad,disciple
μαθητής,286,unigram,masculine,accusative,singular,mahal,1.4101568598170289,mahal,disciple
μαθητής,232,unigram,masculine,nominative,plural,alagad,3.5006345175465636,alagad,disciple
μαθητής,284,unigram,masculine,nominative,singular,alagad,3.6589268652549936,alagad,disciple
νόσος,3,unigram,feminine,accusative,plural,saket,1.4641987187144485,saket,disease
νόσος,62,unigram,feminine,accusative,singular,sakisaket,1.5036501309654289,sakisaket,disease
περιστερά,84,unigram,feminine,accusative,plural,palapati,1.4341108921292132,palapati,dove
περιστερά,44,unigram,feminine,accusative,singular,dagalan,1.2764803202149158,dagalan,dove
οὖς,127,unigram,neuter,accusative,plural,baten,1.0622450319694692,baten,ear
οὖς,237,unigram,neuter,accusative,singular,lihim,1.2727353845803682,lihim,ear
σεισμός,171,unigram,masculine,nominative,plural,lindul,1.0437743476448686,lindul,"earthquakes, storm"
σεισμός,52,unigram,masculine,nominative,singular,mesibét,1.618310412296046,mesibét,"earthquakes, storm"
τέλος,230,unigram,neuter,accusative,singular,matapat,1.2172404516853614,matapat,end
αἰών,199,unigram,masculine,accusative,plural,péghari,1.0922512838634175,péghari,eternity
αἰών,255,unigram,masculine,accusative,singular,nikésiya,1.3903330090585009,nikésiya,eternity
ὀφθαλμός,19,unigram,masculine,accusative,plural,mata,2.4285254209910354,mata,eye
ὀφθαλμός,53,unigram,masculine,nominative,plural,mégtongka,1.3564806052030107,mégtongka,eye
ὀφθαλμός,252,unigram,masculine,nominative,singular,mata,1.466610699414702,mata,eye
πρόσωπον,160,unigram,neuter,accusative,singular,manuyu,1.215596332967641,manuyu,face
λιμός,6,unigram,feminine,nominative,plural,alép,1.0591090190634709,alép,famine
λιμός,264,unigram,masculine,nominative,plural,alép,1.0954126531313877,alép,famine
λιμός,116,unigram,masculine,nominative,singular,naghirap,1.160164722821634,naghirap,famine
γεωργός,211,unigram,masculine,nominative,plural,kahati,1.5209998179256878,kahati,"farmer, tenant"
πατήρ,258,unigram,masculine,accusative,singular,Nama,1.6549420951083615,Nama,father
πατήρ,267,unigram,masculine,nominative,plural,apo,1.191815372152261,apo,father
πατήρ,157,unigram,masculine,nominative,singular,Nama,1.4282300746645167,Nama,father
ἀγρός,280,unigram,masculine,accusative,plural,babuy,1.1458747841350958,babuy,field
ἀγρός,31,unigram,masculine,accusative,singular,uma,1.0996132674569747,uma,field
ἰχθύς,130,unigram,masculine,accusative,plural,pindang,1.1531031471242643,pindang,fish
ἰχθύς,159,unigram,masculine,accusative,singular,ikan,1.3947331729096049,ikan,fish
δίκτυον,168,unigram,neuter,accusative,singular,rambat,1.3108587311312452,rambat,fishing net
δίκτυον,203,unigram,neuter,nominative,singular,Sandaan,1.0954356558477605,Sandaan,fishing net
πούς,196,unigram,masculine,accusative,plural,tikéd,3.8151814954534418,tikéd,foot
πούς,94,unigram,masculine,accusative,singular,mebagsak,1.2363224424082249,mebagsak,foot
καρπός,155,unigram,masculine,accusative,plural,bunga,1.3010785053038587,bunga,"fruit, crop, harvest"
καρπός,194,unigram,masculine,accusative,singular,bunga,1.2102956263844389,bunga,"fruit, crop, harvest"
πλήρωμα,226,unigram,neuter,accusative,plural,gatang,1.0525607938026185,gatang,fullness
γενεά,227,unigram,feminine,accusative,plural,Kékagbian,1.160328867169704,Kékagbian,generation
γενεά,126,unigram,feminine,nominative,singular,lahi,2.024051134680062,lahi,generation
δῶρον,257,unigram,neuter,accusative,plural,niatéd,1.2068610049422828,niatéd,gift
δῶρον,138,unigram,neuter,accusative,singular,ka,1.008950915183476,ka,gift
ἡγεμών,147,unigram,masculine,accusative,plural,gubernador,1.0256451187928204,gubernador,"governor, ruler"
σταφυλή,288,unigram,feminine,accusative,singular,mapitas,1.5702556071555134,mapitas,grapes
ἀσπασμός,270,unigram,masculine,accusative,plural,saloduan,1.0930728095802962,saloduan,greeting
ἀσπασμός,148,unigram,masculine,accusative,singular,linuminés,1.09541724956689,linuminés,greeting
