lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_427_translation,english_translation
θεός,127,unigram,masculine,accusative,singular,God,2.581519350487604,God,God
θεός,203,unigram,masculine,nominative,singular,God,4.860057072278772,God,God
κύριος,128,unigram,masculine,nominative,singular,Ayop,1.8714938215071848,Ayop,"Lord, lord, master"
γραφή,122,unigram,feminine,accusative,plural,seane,1.1131632837176295,seane,Scripture
γραφή,250,unigram,feminine,nominative,plural,oitana,1.3173139631100792,oitana,Scripture
γραφή,302,unigram,feminine,nominative,singular,seane,1.298757623132332,seane,Scripture
ἄγγελος,93,unigram,masculine,accusative,plural,anea,2.3341935182478566,anea,angel
ἄγγελος,80,unigram,masculine,accusative,singular,genan,1.028781629090855,genan,angel
ἄγγελος,47,unigram,masculine,nominative,plural,anea,5.203963556299387,anea,angel
ἄγγελος,104,unigram,masculine,nominative,singular,anea,2.701277266105881,anea,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,enamot,1.5769811187524152,enamot,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,garawaseta,1.3274881227601265,garawaseta,apostle
ἐξουσία,67,unigram,feminine,accusative,plural,tantanaya,1.1604032204292956,tantanaya,authority
ἐξουσία,195,unigram,feminine,accusative,singular,amun,1.057402928062542,amun,authority
βρέφος,18,unigram,neuter,accusative,plural,amapewa,1.0804647548593014,amapewa,babies
βρέφος,300,unigram,neuter,accusative,singular,baraene,1.0305355902543225,baraene,babies
ἀρχή,69,unigram,feminine,accusative,plural,tantanaya,1.160238403567914,tantanaya,beginning
ἀρχή,175,unigram,feminine,accusative,singular,angingin,1.1054890991685846,angingin,beginning
ζώνη,167,unigram,feminine,accusative,plural,aisene,1.0186269724908723,aisene,belt
βλασφημία,90,unigram,feminine,accusative,singular,wabebenage,1.284624929055517,wabebenage,blasphemy
βλασφημία,201,unigram,feminine,nominative,plural,nuaroro,1.1781073541768443,nuaroro,blasphemy
πλοῖον,102,unigram,neuter,accusative,plural,kabum,1.8852786410846205,kabum,boat
πλοῖον,288,unigram,neuter,accusative,singular,kabum,2.4697633797361798,kabum,boat
πλοῖον,229,unigram,neuter,nominative,plural,Kabum,1.1056688777411938,Kabum,boat
πλοῖον,218,unigram,neuter,nominative,singular,awan,1.0957192392935238,awan,boat
σῶμα,209,unigram,neuter,nominative,plural,etumu,1.6655953399510095,etumu,body
σῶμα,58,unigram,neuter,nominative,singular,etuya,1.459444411576854,etuya,body
κλῆμα,144,unigram,neuter,nominative,singular,naniwa,1.212075004553945,naniwa,branch
ἄρτος,292,unigram,masculine,accusative,plural,buredi,2.118737338340907,buredi,bread
ἄρτος,317,unigram,masculine,accusative,singular,taba,1.1965652353363403,taba,bread
ἄρτος,152,unigram,masculine,nominative,plural,taba,1.286042041287237,taba,bread
ἄρτος,38,unigram,masculine,nominative,singular,tabaewa,1.3307257564334776,tabaewa,bread
ἀδελφός,278,unigram,masculine,accusative,plural,tase,1.323541798786623,tase,brother
ἀδελφός,116,unigram,masculine,accusative,singular,gwaniwa,1.26465015255619,gwaniwa,brother
ἀδελφός,108,unigram,masculine,nominative,plural,gwani,1.7588333042593736,gwani,brother
ἀδελφός,223,unigram,masculine,nominative,singular,gwaniwa,1.0268251053976096,gwaniwa,brother
στῆθος,149,unigram,neuter,accusative,plural,baiwan,1.210941650915542,baiwan,"chest, breast"
ἀρχιερεύς,232,unigram,masculine,accusative,plural,pirisi,1.5503696026595102,pirisi,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,pirisi,1.3425084629193877,pirisi,chief priest
ἀρχιερεύς,115,unigram,masculine,nominative,plural,pirisi,1.4783861804506362,pirisi,chief priest
ἀρχιερεύς,236,unigram,masculine,nominative,singular,pirisi,1.6239945932347943,pirisi,chief priest
τέκνον,309,unigram,neuter,accusative,plural,otu,1.826418638007387,otu,child
τέκνον,172,unigram,neuter,accusative,singular,guramo,1.0478273223821362,guramo,child
τέκνον,19,unigram,neuter,nominative,plural,guramo,1.0507246245323751,guramo,child
τέκνον,187,unigram,neuter,nominative,singular,Otunawa,3.1946971933660717,Otunawa,child
παιδίον,17,unigram,neuter,accusative,plural,watanamone,1.3854956066032271,watanamone,child
παιδίον,85,unigram,neuter,accusative,singular,orup,1.7284970499161016,orup,child
παιδίον,40,unigram,neuter,nominative,singular,kai,1.1281461695627475,kai,child
πόλις,176,unigram,feminine,accusative,plural,sewa,1.191274220013434,sewa,city
πόλις,63,unigram,feminine,accusative,singular,pa,1.3566399205059805,pa,city
πύλη,200,unigram,feminine,nominative,singular,negin,1.1429370323018475,negin,city gate
χιτών,112,unigram,masculine,accusative,plural,mondigataet,1.2926232726273614,mondigataet,"clothing, undergarments"
χιτών,31,unigram,masculine,accusative,singular,gauarape,1.5226247570530826,gauarape,"clothing, undergarments"
ἱμάτιον,125,unigram,neuter,accusative,plural,wanup,3.5974497610094898,wanup,coat
ἱμάτιον,124,unigram,neuter,accusative,singular,wanup,3.715591681747784,wanup,coat
ἐντολή,78,unigram,feminine,accusative,plural,ayamase,1.5089039655316288,ayamase,commandment
ἐντολή,76,unigram,feminine,accusative,singular,iup,1.4596494683187884,iup,commandment
συνέδριον,296,unigram,neuter,accusative,plural,wanene,1.1617259074026032,wanene,council
συνέδριον,50,unigram,neuter,accusative,singular,pirisi,1.0331439121442327,pirisi,council
χώρα,267,unigram,feminine,accusative,singular,at,1.83077669168568,at,"country, countryside"
ὄχλος,55,unigram,masculine,accusative,plural,waenapan,1.2307131182533655,waenapan,crowd
ὄχλος,12,unigram,masculine,accusative,singular,waenapan,1.4224891378709903,waenapan,crowd
ὄχλος,95,unigram,masculine,nominative,plural,aruga,1.2109963978142333,aruga,crowd
ὄχλος,262,unigram,masculine,nominative,singular,waenapan,1.232205264321339,waenapan,crowd
θυγάτηρ,110,unigram,feminine,nominative,plural,iria,1.3817914491831644,iria,daughter
θυγάτηρ,291,unigram,feminine,nominative,singular,orewa,1.070035483085275,orewa,daughter
ἡμέρα,72,unigram,feminine,accusative,plural,wam,1.58764499888655,wam,day
ἡμέρα,81,unigram,feminine,accusative,singular,wam,1.5995076936804704,wam,day
ἡμέρα,2,unigram,feminine,nominative,plural,wam,1.9343036277390688,wam,day
ἡμέρα,65,unigram,feminine,nominative,singular,gine,1.043549270901114,gine,day
δαιμόνιον,32,unigram,neuter,accusative,plural,airampu,2.8871023967575518,airampu,demon
δαιμόνιον,305,unigram,neuter,accusative,singular,airampu,2.779231775802621,airampu,demon
δαιμόνιον,189,unigram,neuter,nominative,plural,airampu,1.109006690364791,airampu,demon
δαιμόνιον,165,unigram,neuter,nominative,singular,airampu,1.128418455453543,airampu,demon
δηνάριον,283,unigram,neuter,accusative,plural,apane,1.1736510489555778,apane,denarius (about a day's wages)
δηνάριον,154,unigram,neuter,accusative,singular,tambune,1.0833282560343798,tambune,denarius (about a day's wages)
μαθητής,170,unigram,masculine,accusative,plural,wadiamot,3.2123959841514123,wadiamot,disciple
μαθητής,310,unigram,masculine,accusative,singular,guriniwa,1.977199021506692,guriniwa,disciple
μαθητής,257,unigram,masculine,nominative,plural,wadiamot,1.4388865455527236,wadiamot,disciple
μαθητής,308,unigram,masculine,nominative,singular,wadiat,1.252597272573318,wadiat,disciple
νόσος,3,unigram,feminine,accusative,plural,vek,1.058974337433636,vek,disease
νόσος,71,unigram,feminine,accusative,singular,inakam,1.0207591717448234,inakam,disease
περιστερά,94,unigram,feminine,accusative,plural,bairantan,1.2673875340453744,bairantan,dove
περιστερά,52,unigram,feminine,accusative,singular,visiwandin,1.0799633815971614,visiwandin,dove
οὖς,143,unigram,neuter,accusative,plural,Darinaya,1.2877204764251862,Darinaya,ear
οὖς,261,unigram,neuter,accusative,singular,simura,1.5020341400331894,simura,ear
σεισμός,196,unigram,masculine,nominative,plural,aeta,1.0253707206218827,aeta,"earthquakes, storm"
σεισμός,61,unigram,masculine,nominative,singular,gagap,1.0415800386357723,gagap,"earthquakes, storm"
τέλος,34,unigram,neuter,accusative,plural,siwan.,1.0954540950705378,siwan.,end
τέλος,255,unigram,neuter,accusative,singular,tumban,1.0584771807737934,tumban,end
αἰών,226,unigram,masculine,accusative,plural,utu,1.0955235373722771,utu,eternity
αἰών,279,unigram,masculine,accusative,singular,aiwandata,1.125992183033761,aiwandata,eternity
ὀφθαλμός,25,unigram,masculine,accusative,plural,yangut,1.5441603571863325,yangut,eye
ὀφθαλμός,62,unigram,masculine,nominative,plural,yamamu,2.997868100965788,yamamu,eye
ὀφθαλμός,276,unigram,masculine,nominative,singular,uruga,1.593472499112602,uruga,eye
πρόσωπον,184,unigram,neuter,accusative,singular,wadianianawa,1.064174195763658,wadianianawa,face
λιμός,9,unigram,feminine,nominative,plural,puinunu,1.0591090190634709,puinunu,famine
λιμός,129,unigram,masculine,nominative,singular,marakapu,1.0954126531313877,marakapu,famine
