lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_470_translation,english_translation
θεός,104,unigram,masculine,accusative,singular,Kalunga,4.95217482990221,Kalunga,God
θεός,167,unigram,masculine,nominative,singular,Kalunga,10.862508870917036,Kalunga,God
κύριος,277,unigram,masculine,nominative,plural,Ombulona,1.2150588415383703,Ombulona,"Lord, lord, master"
κύριος,105,unigram,masculine,nominative,singular,Muhona,3.4776706188908078,Muhona,"Lord, lord, master"
γραφή,100,unigram,feminine,accusative,plural,omisonekwa,2.8187370962382783,omisonekwa,Scripture
γραφή,33,unigram,feminine,accusative,singular,omusonekwa,2.088184016436506,omusonekwa,Scripture
γραφή,214,unigram,feminine,nominative,plural,omisonekwa,1.4293730880708404,omisonekwa,Scripture
γραφή,271,unigram,feminine,nominative,singular,hwithilwe,1.2634575008971909,hwithilwe,Scripture
ἄγγελος,70,unigram,masculine,accusative,plural,ovaengeli,1.4142875679705873,ovaengeli,angel
ἄγγελος,59,unigram,masculine,accusative,singular,hóye,1.0925456145049528,hóye,angel
ἄγγελος,29,unigram,masculine,nominative,plural,ovaengeli,1.9179877750606131,ovaengeli,angel
ἄγγελος,81,unigram,masculine,nominative,singular,waMuhona,1.023480112236731,waMuhona,angel
ἀπόστολος,26,unigram,masculine,nominative,plural,Ovayapostoli,1.8420448972537196,Ovayapostoli,apostle
ἐξουσία,159,unigram,feminine,accusative,singular,odhonkono,3.2626928198422323,odhonkono,authority
βρέφος,8,unigram,neuter,accusative,plural,oupepe,1.161328723715616,oupepe,babies
ἀποθήκη,48,unigram,feminine,accusative,singular,ovilya,1.0292522829791089,ovilya,barn
βλασφημία,19,unigram,feminine,accusative,plural,okulipula,1.1062887916934805,okulipula,blasphemy
βλασφημία,69,unigram,feminine,accusative,singular,epenyo,1.0960768946513286,epenyo,blasphemy
βλασφημία,60,unigram,feminine,nominative,singular,okupenya,1.999949021035427,okupenya,blasphemy
πλοῖον,79,unigram,neuter,accusative,plural,omawato,2.228090196862727,omawato,boat
πλοῖον,257,unigram,neuter,accusative,singular,mowato,2.5439929132608854,mowato,boat
πλοῖον,193,unigram,neuter,nominative,plural,Omawato,1.0596550866867382,Omawato,boat
πλοῖον,183,unigram,neuter,nominative,singular,owato,2.6105206540108634,owato,boat
