lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_362_translation,english_translation
θεός,107,unigram,masculine,accusative,singular,Mlungu,2.9177044885562413,Mlungu,God
θεός,167,unigram,masculine,nominative,singular,Mlungu,7.595516697320608,Mlungu,God
κύριος,108,unigram,masculine,nominative,singular,Bwana,1.854458464350729,Bwana,"Lord, lord, master"
γραφή,103,unigram,feminine,accusative,plural,Maandiko,2.8932105739350957,Maandiko,Scripture
γραφή,40,unigram,feminine,accusative,singular,Maandiko,1.3945964696707014,Maandiko,Scripture
γραφή,205,unigram,feminine,nominative,plural,Maandiko,1.3174258982032607,Maandiko,Scripture
γραφή,251,unigram,feminine,nominative,singular,Maandiko,2.702032424235151,Maandiko,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,malaika,1.5059048890417743,malaika,angel
ἄγγελος,37,unigram,masculine,nominative,plural,malaika,3.5256522449523104,malaika,angel
ἄγγελος,91,unigram,masculine,nominative,singular,malaika,2.436777305654733,malaika,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,mitume,1.3863478342233622,mitume,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,ariyemuhuma,1.2358973479181536,ariyemuhuma,apostle
ἐξουσία,160,unigram,feminine,accusative,singular,uwezo,2.944706961043185,uwezo,authority
βρέφος,13,unigram,neuter,accusative,plural,kuaajaliya,1.0954126531313877,kuaajaliya,babies
ἀποθήκη,57,unigram,feminine,accusative,singular,chitsagani,1.2128799494700937,chitsagani,barn
ἀρχή,146,unigram,feminine,accusative,singular,nchivyokuambirani,1.1054890991685846,nchivyokuambirani,beginning
ζώνη,138,unigram,feminine,accusative,plural,msihale,1.095398876121712,msihale,belt
πλοῖον,89,unigram,neuter,accusative,plural,madau,2.05410771831566,madau,boat
πλοῖον,240,unigram,neuter,accusative,singular,dau,1.0170118787289348,dau,boat
πλοῖον,180,unigram,neuter,nominative,singular,dau,1.3425602372320984,dau,boat
