lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_478_translation,english_translation
θεός,338,unigram,masculine,accusative,plural,jamthaoya,1.241489603690268,jamthaoya,God
θεός,136,unigram,masculine,accusative,singular,Madai,3.3322131301770024,Madai,God
θεός,32,unigram,masculine,nominative,plural,nisibo,1.1899321448168865,nisibo,God
θεός,213,unigram,masculine,nominative,singular,Madai,13.604796581429715,Madai,God
κύριος,340,unigram,masculine,nominative,plural,khrusaiba,1.0970894485985805,khrusaiba,"Lord, lord, master"
κύριος,137,unigram,masculine,nominative,singular,Gabra,1.571308336709934,Gabra,"Lord, lord, master"
γραφή,131,unigram,feminine,accusative,plural,laisini,2.2000710350882926,laisini,Scripture
γραφή,270,unigram,feminine,nominative,plural,japhai,1.0321693026216008,japhai,Scripture
γραφή,332,unigram,feminine,nominative,singular,sastro,1.7206734348315396,sastro,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,deglarao,1.9180530580519863,deglarao,angel
ἄγγελος,86,unigram,masculine,accusative,singular,degla,1.4661749528888703,degla,angel
ἄγγελος,50,unigram,masculine,nominative,plural,deglarao,3.460260758819288,deglarao,angel
ἄγγελος,108,unigram,masculine,nominative,singular,degla,4.4497856862801966,degla,angel
ἀπόστολος,47,unigram,masculine,nominative,plural,rikphayarao,1.1490844008283752,rikphayarao,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,dedaoya,1.1420178340817422,dedaoya,apostle
ἐξουσία,72,unigram,feminine,accusative,plural,Bedehe,1.0812448033018731,Bedehe,authority
ἐξουσία,204,unigram,feminine,accusative,singular,hukhum,1.2417112858240371,hukhum,authority
βρέφος,18,unigram,neuter,accusative,plural,ansarao,1.0571994852320608,ansarao,babies
βρέφος,331,unigram,neuter,accusative,singular,mihrung,1.4024811319384844,mihrung,babies
ἀποθήκη,277,unigram,feminine,accusative,plural,bojom,1.1495338728642934,bojom,barn
ἀποθήκη,71,unigram,feminine,accusative,singular,saokhrip,1.3763487480727807,saokhrip,barn
ἀρχή,75,unigram,feminine,accusative,plural,Bedehe,1.0811348984426945,Bedehe,beginning
ζώνη,179,unigram,feminine,accusative,plural,khayaba,1.0810827684916444,khayaba,belt
ζώνη,230,unigram,feminine,accusative,singular,jimu-lingmu,1.0960524252565438,jimu-lingmu,belt
πλοῖον,106,unigram,neuter,accusative,plural,rung,1.6485038762303803,rung,boat
πλοῖον,317,unigram,neuter,accusative,singular,rung,3.3107085486124714,rung,boat
πλοῖον,246,unigram,neuter,nominative,plural,khamyaba,1.2030507952452545,khamyaba,boat
πλοῖον,232,unigram,neuter,nominative,singular,rung,1.1232742218586345,rung,boat
σῶμα,63,unigram,neuter,nominative,singular,saomang,3.707537777231929,saomang,body
κλῆμα,59,unigram,neuter,nominative,plural,khlaiphu,1.0595384180401852,khlaiphu,branch
κλῆμα,154,unigram,neuter,nominative,singular,dongphaya,1.4378031165393532,dongphaya,branch
ἄρτος,321,unigram,masculine,accusative,plural,hon,1.8036371272563585,hon,bread
ἄρτος,349,unigram,masculine,accusative,singular,hon,4.911072854710586,hon,bread
ἄρτος,163,unigram,masculine,nominative,plural,hon,1.8627669800323352,hon,bread
ἄρτος,42,unigram,masculine,nominative,singular,hon,2.0011688256453017,hon,bread
ἀδελφός,308,unigram,masculine,accusative,plural,daphlungrao,1.9691644315969157,daphlungrao,brother
ἀδελφός,121,unigram,masculine,accusative,singular,buphlung,1.4125736776672846,buphlung,brother
ἀδελφός,112,unigram,masculine,nominative,plural,daphlungrao,1.4983085298609875,daphlungrao,brother
ἀδελφός,239,unigram,masculine,nominative,singular,buphlung,2.064413299904221,buphlung,brother
στῆθος,160,unigram,neuter,accusative,plural,khahbao,1.0810922260060456,khahbao,"chest, breast"
στῆθος,293,unigram,neuter,accusative,singular,khahbao,1.4132137339637998,khahbao,"chest, breast"
ἀρχιερεύς,251,unigram,masculine,accusative,plural,Jonthairao,1.9001536288386989,Jonthairao,chief priest
ἀρχιερεύς,120,unigram,masculine,nominative,plural,Jonthaimarao,2.3228129973704874,Jonthaimarao,chief priest
ἀρχιερεύς,255,unigram,masculine,nominative,singular,Jonthaima,2.4083544573041844,Jonthaima,chief priest
παῖς,243,unigram,masculine,accusative,plural,miyah,1.3661468339491778,miyah,child
παῖς,52,unigram,masculine,accusative,singular,buphane,1.5936493548543544,buphane,child
τέκνον,342,unigram,neuter,accusative,plural,basathu,1.2871538113349474,basathu,child
τέκνον,184,unigram,neuter,accusative,singular,ansarao,1.2654346608544105,ansarao,child
τέκνον,19,unigram,neuter,nominative,plural,ansarao,1.2816653746282365,ansarao,child
τέκνον,196,unigram,neuter,nominative,singular,Ani,1.1852482410092984,Ani,child
παιδίον,17,unigram,neuter,accusative,plural,ansarao,1.8566980447696864,ansarao,child
παιδίον,92,unigram,neuter,accusative,singular,nana,1.726867223247789,nana,child
παιδίον,177,unigram,neuter,nominative,plural,ansarao,2.1207018537983973,ansarao,child
παιδίον,44,unigram,neuter,nominative,singular,ansa,1.131729276235218,ansa,child
πόλις,187,unigram,feminine,accusative,plural,noleima,1.3920258472243534,noleima,city
πόλις,67,unigram,feminine,accusative,singular,nolei,1.5748128648709272,nolei,city
πύλη,211,unigram,feminine,nominative,singular,dergade,1.1454502626623055,dergade,city gate
χιτών,117,unigram,masculine,accusative,plural,grang,1.0499504453829178,grang,"clothing, undergarments"
χιτών,33,unigram,masculine,accusative,singular,sola,1.6873942514361788,sola,"clothing, undergarments"
ἱμάτιον,134,unigram,neuter,accusative,plural,rih,2.6285059309915466,rih,coat
ἱμάτιον,133,unigram,neuter,accusative,singular,rih,4.531863696779032,rih,coat
ἐντολή,83,unigram,feminine,accusative,plural,hukhum,1.2608824292503549,hukhum,commandment
ἐντολή,81,unigram,feminine,accusative,singular,graothai,1.2309420108732738,graothai,commandment
συνέδριον,326,unigram,neuter,accusative,plural,mirik,1.1062545795375238,mirik,council
χώρα,297,unigram,feminine,accusative,singular,nar,1.0956810426079335,nar,"country, countryside"
ὄχλος,60,unigram,masculine,accusative,plural,subung,1.0934844230159542,subung,crowd
ὄχλος,12,unigram,masculine,accusative,singular,subung,1.0795713878111677,subung,crowd
ὄχλος,100,unigram,masculine,nominative,plural,buthu,1.1298370836505225,buthu,crowd
ὄχλος,288,unigram,masculine,nominative,singular,buthu,1.049328553587747,buthu,crowd
θυγάτηρ,115,unigram,feminine,nominative,plural,naiphin,1.14673280136712,naiphin,daughter
θυγάτηρ,320,unigram,feminine,nominative,singular,bisik,7.074633227834825,bisik,daughter
ἡμέρα,78,unigram,feminine,accusative,plural,nokha,1.1798559803433872,nokha,day
ἡμέρα,87,unigram,feminine,accusative,singular,midi,1.3718284671423215,midi,day
ἡμέρα,2,unigram,feminine,nominative,plural,basain,1.8705231618073863,basain,day
ἡμέρα,69,unigram,feminine,nominative,singular,basain,1.7887993642199598,basain,day
ὀφειλέτης,258,unigram,masculine,nominative,plural,baiphip,1.0960524252565438,baiphip,debtor
ὀφειλέτης,124,unigram,masculine,nominative,singular,rjingsi,1.0960524252565438,rjingsi,debtor
δαιμόνιον,34,unigram,neuter,accusative,plural,sgain,1.2387218472706574,sgain,demon
δαιμόνιον,335,unigram,neuter,accusative,singular,sgain,1.3049219636040184,sgain,demon
δαιμόνιον,198,unigram,neuter,nominative,plural,sgo,1.4705440587281406,sgo,demon
δαιμόνιον,176,unigram,neuter,nominative,singular,sgain,1.3195281693578755,sgain,demon
δηνάριον,312,unigram,neuter,accusative,plural,aduli,1.1811128073205182,aduli,denarius (about a day's wages)
δηνάριον,165,unigram,neuter,accusative,singular,aduli,1.368294012529596,aduli,denarius (about a day's wages)
μαθητής,182,unigram,masculine,accusative,plural,rikphayarao,3.535308783400497,rikphayarao,disciple
μαθητής,343,unigram,masculine,accusative,singular,rikphayasa,1.126253205885085,rikphayasa,disciple
μαθητής,281,unigram,masculine,nominative,plural,rikphayarao,2.8075970000298054,rikphayarao,disciple
μαθητής,341,unigram,masculine,nominative,singular,rikphayasa,5.7691623031432195,rikphayasa,disciple
νόσος,3,unigram,feminine,accusative,plural,raoyayaba,1.106266548626385,raoyayaba,disease
νόσος,77,unigram,feminine,accusative,singular,Raji,1.0839252436144011,Raji,disease
περιστερά,99,unigram,feminine,accusative,plural,phainyarao,1.0474600157783496,phainyarao,dove
περιστερά,56,unigram,feminine,accusative,singular,daothu,1.3699141926133136,daothu,dove
οὖς,153,unigram,neuter,accusative,plural,khmao,1.920684611055092,khmao,ear
οὖς,287,unigram,neuter,accusative,singular,khmao,1.457103066648355,khmao,ear
σεισμός,205,unigram,masculine,nominative,plural,asari,1.4173718379039892,asari,"earthquakes, storm"
σεισμός,65,unigram,masculine,nominative,singular,raohi,1.8533627424253791,raohi,"earthquakes, storm"
τέλος,36,unigram,neuter,accusative,plural,ba.Noh,1.0961112485594913,ba.Noh,end
τέλος,278,unigram,neuter,accusative,singular,sosi,1.2411915052639548,sosi,end
αἰών,244,unigram,masculine,accusative,plural,surikrao,1.3268451806737682,surikrao,eternity
αἰών,309,unigram,masculine,accusative,singular,thaoglao,3.7583594336517585,thaoglao,eternity
ὀφθαλμός,25,unigram,masculine,accusative,plural,muthai,2.539697140916512,muthai,eye
ὀφθαλμός,13,unigram,masculine,accusative,singular,Muthai,1.192951171900252,Muthai,eye
ὀφθαλμός,66,unigram,masculine,nominative,plural,muthai,2.800686927581463,muthai,eye
ὀφθαλμός,306,unigram,masculine,nominative,singular,muthai,1.760346889932071,muthai,eye
πρόσωπον,123,unigram,neuter,accusative,plural,Hamsi,1.1063446289765493,Hamsi,face
πρόσωπον,193,unigram,neuter,accusative,singular,mukhang,1.678437501613814,mukhang,face
λιμός,8,unigram,feminine,nominative,plural,asari,1.106276804395426,asari,famine
γεωργός,257,unigram,masculine,nominative,plural,bari,1.0536302330573326,bari,"farmer, tenant"
γεωργός,53,unigram,masculine,nominative,singular,Gibiyaba,1.1614072804579731,Gibiyaba,"farmer, tenant"
πατήρ,199,unigram,masculine,accusative,plural,surik,1.0572296405074824,surik,father
πατήρ,311,unigram,masculine,accusative,singular,bupha,1.203663818857863,bupha,father
πατήρ,319,unigram,masculine,nominative,plural,phagararao,1.8991731835875991,phagararao,father
πατήρ,189,unigram,masculine,nominative,singular,Bupha,1.070822297527272,Bupha,father
σύνδουλος,146,unigram,masculine,accusative,plural,baolarao,1.255508950677359,baolarao,"fellow-servant, colleague"
σύνδουλος,89,unigram,masculine,accusative,singular,khasaoba,1.1796107829896338,khasaoba,"fellow-servant, colleague"
σύνδουλος,323,unigram,masculine,nominative,plural,lengrao,1.104011737159208,lengrao,"fellow-servant, colleague"
σύνδουλος,113,unigram,masculine,nominative,singular,phahi,1.0595416318177246,phahi,"fellow-servant, colleague"
ἀγρός,334,unigram,masculine,accusative,plural,phadain,1.8656338262798449,phadain,field
ἀγρός,43,unigram,masculine,accusative,singular,phadain,1.3764062490095714,phadain,field
δάκτυλος,237,unigram,masculine,accusative,plural,jaosing,1.2125775833869603,jaosing,finger
δάκτυλος,181,unigram,masculine,accusative,singular,yaosi,1.1849925864362454,yaosi,finger
ἰχθύς,157,unigram,masculine,accusative,plural,pher,1.289793315513468,pher,fish
