lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_440_translation,english_translation
θεός,282,unigram,masculine,accusative,plural,alaat,1.097258004808277,alaat,God
θεός,113,unigram,masculine,accusative,singular,Ala,3.474238770826189,Ala,God
θεός,25,unigram,masculine,nominative,plural,alaat,1.5863219987167334,alaat,God
θεός,176,unigram,masculine,nominative,singular,Ala,4.729065702585898,Ala,God
κύριος,114,unigram,masculine,nominative,singular,Etagepogot,2.3854066356723296,Etagepogot,"Lord, lord, master"
γραφή,109,unigram,feminine,accusative,plural,waganek,1.1036315006987223,waganek,Scripture
γραφή,42,unigram,feminine,accusative,singular,waganogo,1.0563714589567854,waganogo,Scripture
γραφή,220,unigram,feminine,nominative,plural,helal,1.0681544601876125,helal,Scripture
γραφή,276,unigram,feminine,nominative,singular,helal,1.3689653361614949,helal,Scripture
ἄγγελος,84,unigram,masculine,accusative,plural,malaikat,1.3236723569281963,malaikat,angel
ἄγγελος,39,unigram,masculine,nominative,plural,malaikat,1.2980968965750617,malaikat,angel
ἄγγελος,94,unigram,masculine,nominative,singular,malaikat,3.1324754868211264,malaikat,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,laksasike,1.210488688568846,laksasike,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,yogohìsak,1.0960817954296525,yogohìsak,apostle
ἐξουσία,61,unigram,feminine,accusative,plural,ninogat,1.0962199599997684,ninogat,authority
ἐξουσία,168,unigram,feminine,accusative,singular,logouagalùk,1.1009226472594211,logouagalùk,authority
βρέφος,12,unigram,neuter,accusative,plural,hagisoagalùk,1.1454672352426896,hagisoagalùk,babies
ἀποθήκη,227,unigram,feminine,accusative,plural,palogo,1.1190433852723451,palogo,barn
ἀποθήκη,60,unigram,feminine,accusative,singular,Gandum,1.35385012454891,Gandum,barn
ἀρχή,63,unigram,feminine,accusative,plural,ninogat,1.0961063339256685,ninogat,beginning
βλασφημία,28,unigram,feminine,accusative,plural,legetsikerek,1.0595480639608463,legetsikerek,blasphemy
βλασφημία,174,unigram,feminine,nominative,plural,inabok,1.5538158589255004,inabok,blasphemy
βλασφημία,75,unigram,feminine,nominative,singular,meatsìlìk,1.1062485993005018,meatsìlìk,blasphemy
πλοῖον,92,unigram,neuter,accusative,plural,so,1.6525636394883272,so,boat
πλοῖον,263,unigram,neuter,accusative,singular,so,2.541844623479937,so,boat
