lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2023_translation,english_translation
θεός,309,unigram,masculine,accusative,plural,mbeyok,1.1634492944761523,mbeyok,God
θεός,127,unigram,masculine,accusative,singular,Ala,3.2502260734953765,Ala,God
θεός,28,unigram,masculine,nominative,plural,yokkiragi,1.008116250853858,yokkiragi,God
θεός,202,unigram,masculine,nominative,singular,Ala,5.675240078472908,Ala,God
κύριος,128,unigram,masculine,nominative,singular,ninogoba,1.609646473362429,ninogoba,"Lord, lord, master"
γραφή,122,unigram,feminine,accusative,plural,mbanak,1.0203853521208148,mbanak,Scripture
γραφή,250,unigram,feminine,nominative,plural,yuwak,1.0497072620721024,yuwak,Scripture
γραφή,307,unigram,feminine,nominative,singular,liiru,1.4570040615310946,liiru,Scripture
ἄγγελος,94,unigram,masculine,accusative,plural,malayikat,1.4168382960960917,malayikat,angel
ἄγγελος,84,unigram,masculine,accusative,singular,neyaamunggun,1.3637051686559336,neyaamunggun,angel
ἄγγελος,48,unigram,masculine,nominative,plural,malayikat,5.654849070933684,malayikat,angel
ἄγγελος,104,unigram,masculine,nominative,singular,malayikat,3.5147042113291875,malayikat,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,nappiyareegerak,1.6586892503529267,nappiyareegerak,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,wonageelik,1.0441163236891542,wonageelik,apostle
ἐξουσία,192,unigram,feminine,accusative,singular,unde,1.8535397330626893,unde,authority
βρέφος,15,unigram,neuter,accusative,plural,Wogoret,1.2125536087908515,Wogoret,babies
βρέφος,305,unigram,neuter,accusative,singular,iri'ngga,1.0416698694051747,iri'ngga,babies
ἀποθήκη,70,unigram,feminine,accusative,singular,pege,1.0142186893976461,pege,barn
φραγμός,223,unigram,masculine,accusative,plural,andogon-andogon,1.1682475101679055,andogon-andogon,"barrier, wall"
ἀρχή,175,unigram,feminine,accusative,singular,paganeegerak,1.2870553315122644,paganeegerak,beginning
ζώνη,167,unigram,feminine,accusative,plural,tembaga,1.059531995066612,tembaga,belt
βλασφημία,31,unigram,feminine,accusative,plural,pinanege,1.2411647104906998,pinanege,blasphemy
βλασφημία,93,unigram,feminine,accusative,singular,yo'niraawak,1.161346151680032,yo'niraawak,blasphemy
βλασφημία,200,unigram,feminine,nominative,plural,piigwi,1.0500861048784338,piigwi,blasphemy
πλοῖον,102,unigram,neuter,accusative,plural,yiiro,1.0241433575321643,yiiro,boat
πλοῖον,289,unigram,neuter,accusative,singular,yiiro,2.756885698156624,yiiro,boat
πλοῖον,228,unigram,neuter,nominative,plural,To,1.3575384320084214,To,boat
πλοῖον,216,unigram,neuter,nominative,singular,yenggenak,1.4030781761221096,yenggenak,boat
σῶμα,61,unigram,neuter,nominative,singular,kineebe,2.5964631826726032,kineebe,body
κλῆμα,57,unigram,neuter,nominative,plural,eno'mbak,1.202552186315311,eno'mbak,branch
κλῆμα,143,unigram,neuter,nominative,singular,Eno'mbak,1.7320365234566146,Eno'mbak,branch
ἄρτος,294,unigram,masculine,accusative,plural,roti,2.8445133092221737,roti,bread
ἄρτος,316,unigram,masculine,accusative,singular,mbi,1.7034597246379757,mbi,bread
ἄρτος,150,unigram,masculine,nominative,plural,nawak,1.1893866404872389,nawak,bread
