lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1349_translation,english_translation
θεός,283,unigram,masculine,accusative,plural,Wathingaleta,1.0447145688529802,Wathingaleta,God
θεός,111,unigram,masculine,accusative,singular,Twaumase,1.8138153800404555,Twaumase,God
θεός,23,unigram,masculine,nominative,plural,wapacase,1.2746524606246723,wapacase,God
θεός,177,unigram,masculine,nominative,singular,Twaumase,9.63340393184218,Twaumase,God
κύριος,285,unigram,masculine,nominative,plural,mukerekerenge,1.2966169264520342,mukerekerenge,"Lord, lord, master"
κύριος,112,unigram,masculine,nominative,singular,Tamatama,2.2945230540542134,Tamatama,"Lord, lord, master"
γραφή,106,unigram,feminine,accusative,plural,Sisiu,1.0273006687171085,Sisiu,Scripture
γραφή,40,unigram,feminine,accusative,singular,tinukuciacingaalranenga,1.02035514035076,tinukuciacingaalranenga,Scripture
γραφή,220,unigram,feminine,nominative,plural,ngimia,1.2061323944817737,ngimia,Scripture
γραφή,278,unigram,feminine,nominative,singular,Sisiu,1.5215155032957643,Sisiu,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,sasiakawlu,1.124698329695669,sasiakawlu,angel
ἄγγελος,68,unigram,masculine,accusative,singular,sikawlaku,1.2906000545735066,sikawlaku,angel
ἄγγελος,38,unigram,masculine,nominative,plural,sasiakawlu,1.1076963398576554,sasiakawlu,angel
ἄγγελος,91,unigram,masculine,nominative,singular,sasiakawlu,1.9038437497835985,sasiakawlu,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,lanisikawlane,1.3951055959049945,lanisikawlane,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,Twakuciingalraku,1.1613548718850133,Twakuciingalraku,apostle
ἐξουσία,168,unigram,feminine,accusative,singular,puku,4.139976352259315,puku,authority
βρέφος,10,unigram,neuter,accusative,plural,answane,1.1454672352426896,answane,babies
ἀποθήκη,57,unigram,feminine,accusative,singular,mugi,1.207332755123625,mugi,barn
ζώνη,145,unigram,feminine,accusative,plural,lriwlu,1.1454417825320882,lriwlu,belt
βλασφημία,26,unigram,feminine,accusative,plural,kangariangi,1.0960768946513286,kangariangi,blasphemy
βλασφημία,79,unigram,feminine,accusative,singular,tatusinalrelremeaneini,1.0960768946513286,tatusinalrelremeaneini,blasphemy
βλασφημία,175,unigram,feminine,nominative,plural,pasalriu,1.2998217915154762,pasalriu,blasphemy
βλασφημία,69,unigram,feminine,nominative,singular,pasalriu,1.2998217915154762,pasalriu,blasphemy
πλοῖον,89,unigram,neuter,accusative,plural,varukuru,1.6717423039543382,varukuru,boat
πλοῖον,264,unigram,neuter,accusative,singular,varukuru,2.8162623177190085,varukuru,boat
πλοῖον,193,unigram,neuter,nominative,singular,varukuru,2.6196986152308783,varukuru,boat
σῶμα,49,unigram,neuter,nominative,singular,kinawmasane,1.6276592283224984,kinawmasane,body
κλῆμα,123,unigram,neuter,nominative,singular,ricingi,1.7459938246101123,ricingi,branch
ἄρτος,268,unigram,masculine,accusative,plural,pange,3.7315248332662128,pange,bread
ἄρτος,294,unigram,masculine,accusative,singular,pange,1.4316253069659053,pange,bread
ἄρτος,130,unigram,masculine,nominative,plural,pange,1.2360426422905924,pange,bread
ἄρτος,32,unigram,masculine,nominative,singular,taleke,2.1679204012022346,taleke,bread
ἀδελφός,254,unigram,masculine,accusative,plural,labetakaneini,1.8380535190534504,labetakaneini,brother
ἀδελφός,101,unigram,masculine,accusative,singular,agini,1.0777389418460597,agini,brother
ἀδελφός,197,unigram,masculine,nominative,singular,agi,1.4230132430554876,agi,brother
στῆθος,128,unigram,neuter,accusative,plural,takubakebake,1.0960622061228922,takubakebake,"chest, breast"
στῆθος,239,unigram,neuter,accusative,singular,deethe,1.9521538979220856,deethe,"chest, breast"
