lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2123_translation,english_translation
θεός,313,unigram,masculine,accusative,plural,ye̱ge̱-shir,1.2154724280609577,ye̱ge̱-shir,God
θεός,127,unigram,masculine,accusative,singular,Shir,2.9472475898219943,Shir,God
θεός,27,unigram,masculine,nominative,plural,ye̱ge̱-shir,1.097258004808277,ye̱ge̱-shir,God
θεός,202,unigram,masculine,nominative,singular,Shir,7.694614170906715,Shir,God
κύριος,128,unigram,masculine,nominative,singular,Go̱s-wu̱,2.2757945530554964,Go̱s-wu̱,"Lord, lord, master"
γραφή,123,unigram,feminine,accusative,plural,Ma-to̱,1.2120013465087944,Ma-to̱,Scripture
γραφή,250,unigram,feminine,nominative,plural,Ma-to̱,1.1183510107859205,Ma-to̱,Scripture
γραφή,308,unigram,feminine,nominative,singular,shoosté̱,1.0218854621115667,shoosté̱,Scripture
ἄγγελος,93,unigram,masculine,accusative,plural,yan-to̱m-ye̱,2.896388202725212,yan-to̱m-ye̱,angel
ἄγγελος,77,unigram,masculine,accusative,singular,wan-to̱m,2.3821399547635336,wan-to̱m,angel
ἄγγελος,44,unigram,masculine,nominative,plural,yan-to̱m-ye̱,3.241468037907228,yan-to̱m-ye̱,angel
ἄγγελος,103,unigram,masculine,nominative,singular,wan-to̱m-wu̱,2.123771998652428,wan-to̱m-wu̱,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,Yan-To̱m,2.39657301707374,Yan-To̱m,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,Wan-to̱m,1.0960817954296525,Wan-to̱m,apostle
ἐξουσία,193,unigram,feminine,accusative,singular,u̱t-gwo̱mo,1.3974420653389141,u̱t-gwo̱mo,authority
βρέφος,14,unigram,neuter,accusative,plural,hu̱u̱té̱,1.161328723715616,hu̱u̱té̱,babies
ἀποθήκη,64,unigram,feminine,accusative,singular,ru̱,1.0644268935825352,ru̱,barn
φραγμός,108,unigram,masculine,accusative,singular,anab,1.1133013679752972,anab,"barrier, wall"
ἀρχή,176,unigram,feminine,accusative,singular,sheret,1.1796099268067013,sheret,beginning
ζώνη,167,unigram,feminine,accusative,plural,hap-o,1.53973959127218,hap-o,belt
βλασφημία,30,unigram,feminine,accusative,plural,Wan,1.1062887916934805,Wan,blasphemy
πλοῖον,101,unigram,neuter,accusative,plural,hat-to̱,1.1314719385778187,hat-to̱,boat
πλοῖον,293,unigram,neuter,accusative,singular,o-hat,2.255103886961823,o-hat,boat
πλοῖον,231,unigram,neuter,nominative,plural,yagnu̱ru̱,1.0596550866867382,yagnu̱ru̱,boat
πλοῖον,218,unigram,neuter,nominative,singular,o-hat,1.0713388848424763,o-hat,boat
σῶμα,56,unigram,neuter,nominative,singular,wu̱r-o,2.0680533541501482,wu̱r-o,body
κλῆμα,52,unigram,neuter,nominative,plural,u̱s-jet,1.1795999899061549,u̱s-jet,branch
ἄρτος,297,unigram,masculine,accusative,plural,u̱t-buro̱di,1.4939469246230417,u̱t-buro̱di,bread
ἄρτος,321,unigram,masculine,accusative,singular,m-re̱,2.24620314490018,m-re̱,bread
ἄρτος,151,unigram,masculine,nominative,plural,m-re̱,1.3571959121599624,m-re̱,bread
ἄρτος,36,unigram,masculine,nominative,singular,buro̱di-to̱,1.8592267046947548,buro̱di-to̱,bread
ἀδελφός,284,unigram,masculine,accusative,plural,hen-ne̱,2.255722900915464,hen-ne̱,brother
ἀδελφός,116,unigram,masculine,accusative,singular,heno,1.4322038296990378,heno,brother
